Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.15504439,-4.786968,10.014699,0.007497763,-0.0018045906,0.09385782,8.811107,3.4862926,7.148187,-4.4547906,0.0,0.0,0.0,0.0,0.0,0.0,425.14664,1265.7386,-201.0,1424.3876,967.88495,-201.0,2450.5574,568.3578,-201.0
0.7378625,-5.4321723,14.735105,-0.038772464,0.0037966792,0.94564897,11.724509,-2.2357974,11.905997,-1.2811393,0.0,0.0,0.0,0.0,0.0,0.0,568.45245,1138.8751,-201.0,1625.4662,930.0966,-201.0,2712.986,487.7963,-201.0
1.2533238,-6.5739617,20.365013,-0.08857883,0.016438114,1.22406,13.557442,-8.703559,16.382616,5.8432775,0.0,0.0,0.0,0.0,0.0,0.0,707.7576,1019.41376,-201.0,1816.8585,928.5007,-201.0,2953.834,431.66345,-201.0
1.5915402,-5.8004575,21.602545,-0.1206547,0.028151833,1.3142827,11.267474,-14.583592,16.832891,16.710745,0.0,0.0,0.0,0.0,0.0,0.0,874.3819,748.2705,-201.0,2049.0144,786.4031,-201.0,3106.5498,556.757,-201.0
1.4487175,-6.484533,23.16797,-0.13189878,0.03717858,0.6630792,10.413619,-15.39579,12.219635,24.612185,0.0,0.0,0.0,0.0,0.0,0.0,835.3177,1261.7212,-201.0,1652.7438,911.9175,-201.0,2781.845,747.8647,-201.0
1.3268687,-8.015437,23.632318,-0.14216986,0.033577528,0.6240817,9.785511,-14.344692,11.481232,27.16104,0.0,0.0,0.0,0.0,0.0,0.0,862.60236,1291.8838,-201.0,1706.0875,964.9871,-201.0,2809.5393,1004.0232,-201.0
1.2431155,-9.947234,24.042482,-0.13639717,0.030639434,0.5917726,9.567895,-12.30556,12.279243,23.703054,0.0,0.0,0.0,0.0,0.0,0.0,879.405,1318.7758,-201.0,1701.3623,1044.986,-201.0,2793.528,906.6446,-201.0
1.2978761,-9.991689,20.659693,-0.14240257,0.016527114,0.7167583,4.181757,-8.005093,25.347631,13.128392,0.0,0.0,0.0,0.0,0.0,0.0,1047.6655,623.91516,-201.0,2191.4417,922.19794,-201.0,3201.2637,1025.6447,-201.0
1.423232,-8.574643,17.266668,-0.14807127,0.014832094,0.64269376,-0.16500902,-8.184072,34.694183,6.3599486,0.0,0.0,0.0,0.0,0.0,0.0,1116.5795,361.86765,-201.0,2233.6277,923.11017,-201.0,3195.6055,966.79126,-201.0
1.4575726,-8.1507845,15.751378,-0.15484244,0.014888406,0.7350276,-2.8538501,-10.0775175,40.71696,6.0271163,0.0,0.0,0.0,0.0,0.0,0.0,1141.6146,223.55415,-201.0,2238.7034,877.21356,-201.0,3171.0461,966.77734,-201.0
1.415444,-7.191629,18.463737,-0.15164717,0.02793668,0.7519844,2.0932088,-16.082819,29.151953,17.324303,0.0,0.0,0.0,0.0,0.0,0.0,1016.76776,408.3046,-139.64975,2149.038,940.15186,-139.71294,3076.6125,791.94586,-142.09822
1.4421926,-5.933958,18.007362,-0.15629898,0.028336713,0.8739528,7.423757,-21.275106,15.556716,24.460142,12.4188385,0.0,2.4161527,-9.636065,24.393938,7.7526793,843.15704,989.45996,-74.79666,1718.3073,1042.3802,-77.9298,2759.255,762.9724,-81.96517
1.5846745,-4.2947574,16.154478,-0.14475583,0.020549024,1.0054063,13.176639,-23.90275,3.336425,22.503546,12.447621,0.0,2.4161527,-10.437512,24.195078,8.298478,665.67456,1175.0085,-16.91989,1472.5929,1087.8091,-14.740682,2513.0488,842.67426,-22.801605
1.6531415,-4.010554,15.868355,-0.119736135,0.012655479,0.95445585,15.715507,-23.508238,-3.480976,14.153244,12.481138,0.0,2.4161527,-11.002772,24.162151,7.7086535,532.55817,1311.3898,-78.27014,1220.8834,1157.4779,-76.02775,2240.122,878.7255,-81.70338
1.5277897,-5.059263,19.104406,-0.1019459,0.010712762,1.0289541,16.931616,-20.45061,-5.6333594,9.460248,0.0,0.0,0.0,0.0,0.0,0.0,500.10828,1053.1669,-143.12323,1339.958,1087.5657,-137.81088,2298.114,895.42694,-141.83643
1.4051819,-5.618517,21.27446,-0.10262891,0.016799299,0.90429026,12.381736,-16.691284,0.15342967,5.766565,0.0,0.0,0.0,0.0,0.0,0.0,609.61053,1016.74316,-201.0,1228.9078,1356.5476,-201.0,2352.4255,897.0625,-201.0
1.5266682,-5.435749,18.170454,-0.11006584,0.020251298,0.931137,7.336712,-14.076202,11.724036,0.06680838,0.0,0.0,0.0,0.0,0.0,0.0,660.8752,747.84717,-130.1595,1362.235,1369.4961,-128.2838,2392.2107,733.2351,-128.85023
1.6410958,-5.7793465,16.430733,-0.09964494,0.024563253,0.8926504,5.228461,-9.313611,21.404932,-4.5068083,13.963377,0.0,0.0,-22.775095,112.96815,6.028973,807.38837,638.2496,-69.09667,1621.975,1184.8766,-67.654976,2644.4277,570.9781,-68.22141
1.6125507,-6.465775,15.767316,-0.08961674,0.02658804,0.86949855,7.699865,-6.1893325,23.638573,0.123781204,13.965228,0.0,0.0,-19.179304,82.241974,9.184485,885.982,580.35474,-7.6259704,2011.1676,767.18695,-7.5579085,2951.78,441.46213,-10.5967865
1.3656497,-8.466038,18.203161,-0.07831722,0.02999795,0.79651713,13.385497,-3.103936,20.914194,12.084081,13.914124,0.0,0.0,-13.404556,21.536333,10.42951,1038.3408,763.4353,-16.470194,2209.2415,628.81836,-20.629778,3228.1755,652.58203,-22.968887
1.1908649,-9.97636,19.195265,-0.0653646,0.026462292,0.62980264,16.159224,-1.379428,18.613869,19.633806,13.808788,0.0,0.0,-14.566764,18.867952,10.7313795,793.9559,1059.6284,-22.441458,1939.8993,753.55273,-18.25458,2960.0107,794.81683,-23.310717
1.188709,-10.29192,19.367699,-0.065694116,0.02628065,0.6297283,16.882393,-1.845612,17.899101,23.362936,13.728718,0.0,0.0,-15.856283,17.90712,8.349315,847.65497,1111.0507,-83.91215,1984.9326,838.614,-78.35165,2958.5227,1059.0099,-80.93534
1.2239469,-9.997664,19.361397,-0.0739761,0.022514516,0.5687168,15.931561,-4.219299,17.248518,23.151146,0.0,0.0,0.0,0.0,0.0,0.0,822.46906,1165.1332,-145.90843,1945.4777,967.59406,-137.99599,2887.6855,1116.0619,-140.71301
1.354602,-7.7067237,18.087322,-0.08515308,0.02535705,0.61191136,15.658448,-8.494245,13.115703,21.644564,0.0,0.0,0.0,0.0,0.0,0.0,1066.6412,983.9285,-201.0,2225.7637,969.1614,-201.0,3157.2039,1092.7532,-201.0
1.4442649,-5.689554,17.560766,-0.07393831,0.023018792,0.6667304,13.502448,-9.607312,12.336464,13.46186,0.0,0.0,0.0,0.0,0.0,0.0,722.49384,1617.181,-201.0,1767.0597,1015.15015,-201.0,2807.2117,987.40814,-201.0
1.6846837,-2.248182,14.14209,-0.06531166,0.023205906,0.79394275,7.4660754,-10.059987,15.078326,4.8467107,0.0,0.0,0.0,0.0,0.0,0.0,622.3667,1362.5807,-201.0,1379.9727,2964.0842,-201.0,2475.646,804.812,-201.0
1.737073,-0.7674756,13.009201,-0.078003764,0.02738679,0.9598909,1.5060978,-10.54737,18.76449,3.0232022,0.0,0.0,0.0,0.0,0.0,0.0,525.9748,1103.5568,-201.0,1256.5707,4084.4238,-201.0,2112.424,740.76807,-201.0
1.6785275,-0.6547761,11.275897,-0.09584892,0.031624895,0.9347989,-1.2754723,-13.664903,18.267609,8.654787,0.0,0.0,0.0,0.0,0.0,0.0,690.2258,320.42694,-201.0,1450.039,4310.6245,-201.0,2066.8296,730.96344,-201.0
