Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0013664104,0.81334955,0.5340498,0.11532252,0.018962303,1.3474805e-05,1.479309,-3.5547304,0.97037786,0.12308174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0019473913,1.9525493,1.2191939,0.096155584,0.014712352,2.3322546e-05,1.9394894,-6.9042754,2.5051491,-1.8037761,0.0,0.0,0.0,0.0,0.0,0.0,495.833,924.2445,-201.0,1428.2788,928.3092,-201.0,2365.61,854.6892,-201.0
0.0033547964,2.7568052,1.9550108,0.09569141,0.010547899,6.467843e-05,2.6657355,-9.569701,3.0323029,-3.0852973,0.0,0.0,0.0,0.0,0.0,0.0,707.9863,845.3635,-201.0,1690.7487,799.04443,-201.0,2666.7864,716.4279,-201.0
0.0052610026,2.1182241,2.7842972,0.10658914,0.007442388,0.00011590185,1.2858777,-6.4777756,5.050779,-3.9634476,0.0,0.0,0.0,0.0,0.0,0.0,972.4117,692.35504,-201.0,1998.284,659.95325,-201.0,2998.2039,634.6701,-201.0
0.006819438,1.6837959,3.0876458,0.108009666,0.0075098486,0.0001617206,0.32152402,-4.283726,5.803992,-3.5295608,0.0,0.0,0.0,0.0,0.0,0.0,1226.7755,636.7142,-201.0,2264.1848,602.4285,-201.0,3305.9192,507.9567,-201.0
0.008371919,0.18133283,4.5410614,0.09469835,0.0012358762,0.00023186883,1.4391588,-1.942063,8.101464,-3.1003401,0.0,0.0,0.0,0.0,0.0,0.0,1289.0547,593.3185,-201.0,2274.8079,633.88153,-201.0,3339.6902,446.67056,-201.0
0.009189422,-0.43875292,4.7387347,0.09257277,-0.0009544249,0.00023876625,3.007735,-3.1268177,6.9880815,-4.024785,0.0,0.0,0.0,0.0,0.0,0.0,1299.3345,657.1226,-201.0,2253.3699,683.88916,-201.0,3331.2688,424.39185,-201.0
0.010606248,-2.9254913,7.8193192,0.097678185,-0.005116979,0.00033181263,5.357792,-1.2045678,8.026726,-2.9062436,0.0,0.0,0.0,0.0,0.0,0.0,1307.3354,598.67395,-201.0,2261.821,691.3217,-201.0,3356.3767,399.71347,-201.0
0.01124305,-3.3106782,8.915166,0.10127736,-0.0043371944,0.0003209111,5.650164,-1.3247334,9.357215,-1.1185971,0.0,0.0,0.0,0.0,0.0,0.0,1317.1385,549.9771,-201.0,2294.3398,755.2225,-201.0,3350.9111,525.6968,-201.0
