Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.001954727,3.6947987,1.9508419,0.08444893,0.013679664,1.26284685e-05,-1.1962737,-3.511832,0.7178652,-1.5686716,0.0,0.0,0.0,0.0,0.0,0.0,501.72702,869.5712,-201.0,1438.9912,876.99335,-201.0,2382.6003,805.90485,-201.0
0.0016735694,4.3831344,1.1180581,0.085866116,0.014048774,1.7127071e-05,-3.543726,-1.6171288,-0.14469151,-0.60831195,0.0,0.0,0.0,0.0,0.0,0.0,503.8586,832.91425,-201.0,1442.2104,845.123,-201.0,2386.27,784.60956,-201.0
0.0014682185,5.058928,0.28554437,0.08643865,0.014257471,1.8917262e-05,-6.0733438,0.052574497,-1.2205955,0.1607497,0.0,0.0,0.0,0.0,0.0,0.0,506.3396,794.528,-201.0,1445.5453,811.99994,-201.0,2389.8923,762.13275,-201.0
0.0014682185,3.7610714,0.0058400086,0.09954131,0.016615989,1.5502063e-05,-6.0733438,0.052574497,-1.2205955,0.1607497,0.0,0.0,0.0,0.0,0.0,0.0,511.87994,752.5664,-201.0,1450.9187,778.7162,-201.0,2395.5532,737.256,-201.0
0.0012889957,1.8742652,0.0030549427,0.115697026,0.019320613,1.1003461e-05,-3.1277544,-0.08621267,-0.7169714,-0.015274116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0011609368,1.9609073,0.0,0.118291825,0.019777188,1.556115e-05,-2.729353,0.38799086,-0.27248034,0.4385816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0012120956,3.9218132,0.0,0.10475677,0.017514264,8.07338e-06,-4.428613,1.5612911,-0.49083272,0.47432706,0.0,0.0,0.0,0.0,0.0,0.0,502.3092,781.74994,-201.0,1446.7825,793.8469,-201.0,2395.2297,749.66583,-201.0
0.0013498213,5.809446,0.0014494061,0.08878211,0.01471356,1.035542e-05,-7.1760864,1.9413176,-0.7895356,0.8136611,0.0,0.0,0.0,0.0,0.0,0.0,506.3846,785.46796,-201.0,1448.5109,803.0872,-201.0,2396.128,758.9856,-201.0
0.001516064,5.7067833,0.003223923,0.08518007,0.013885719,7.673835e-06,-7.6303825,1.3857298,-1.3394057,0.27322966,0.0,0.0,0.0,0.0,0.0,0.0,511.5542,779.2165,-201.0,1451.6854,804.56305,-201.0,2398.0735,762.12775,-201.0
0.0014649052,3.7458775,0.003223923,0.09871512,0.016148642,1.6070444e-05,-5.931122,0.21242969,-1.1210533,0.2374842,0.0,0.0,0.0,0.0,0.0,0.0,516.1908,778.34424,-201.0,1454.1282,810.36456,-201.0,2399.4548,768.8087,-201.0
0.0016679504,3.8726146,0.016181134,0.10049509,0.017640447,2.5150051e-05,-6.50057,-0.41918468,-1.6950356,-0.34995332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0016911868,4.0006676,0.021138377,0.09962031,0.018386707,2.6358322e-05,-6.5656357,-0.5608998,-1.9066118,-0.60802704,0.0,0.0,0.0,0.0,0.0,0.0,519.40125,749.61395,-201.0,1455.4268,787.7646,-201.0,2397.8037,749.09247,-201.0
0.0017744545,5.961571,0.021138377,0.08566625,0.01605373,2.213179e-05,-8.828151,0.3261614,-1.901803,-0.21910107,0.0,0.0,0.0,0.0,0.0,0.0,513.6926,760.52167,-201.0,1452.5162,789.99347,-201.0,2396.8875,749.4868,-201.0
0.0015258909,5.908109,0.00673176,0.0858067,0.015012902,1.0970366e-05,-7.891894,1.357669,-1.0487434,0.48327196,0.0,0.0,0.0,0.0,0.0,0.0,508.9869,772.42377,-201.0,1450.732,794.53766,-201.0,2397.3757,752.52374,-201.0
0.0012094409,4.8988843,0.57013416,0.07853598,0.014229645,1.0292399e-05,-4.643179,1.6669807,-0.014816668,0.8431956,0.0,0.0,0.0,0.0,0.0,0.0,739.67694,931.73114,-201.0,1487.535,643.56696,-201.0,2484.8784,1533.7113,-201.0
0.0017213247,3.7762268,1.468721,0.06813159,0.013732734,2.2155937e-05,-4.3207154,0.7646361,-2.0834925,2.290232,0.0,0.0,0.0,0.0,0.0,0.0,742.0381,843.60547,-201.0,1503.9894,552.92316,-201.0,2516.7458,1457.0629,-201.0
0.0020592422,3.511966,1.6713185,0.068675525,0.016316233,3.258306e-05,-4.8446198,-0.67808723,-3.0937812,1.2397767,0.0,0.0,0.0,0.0,0.0,0.0,751.85675,824.2045,-201.0,1509.4908,546.832,-201.0,2519.5173,1451.917,-201.0
