Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.17804904,-27.726357,44.50792,-0.11425194,0.006567646,0.07214907,11.926929,1.3222631,6.2626457,12.415543,34.33334,0.0,0.0,5.1186776,2.8081906,-17.362326,894.42596,1144.3087,15.994967,1912.4095,1219.6326,19.442268,2948.2998,1151.1918,9.92047
0.6808052,-9.259332,32.15753,-0.093635626,0.019545974,0.7117863,9.235419,-12.132556,-0.8915488,8.799791,34.30826,0.0,0.0,7.3442817,5.590428,-20.888517,704.7132,912.26953,3.2052562,1647.8553,1137.6322,26.17624,2645.1182,879.94073,13.073689
1.2551341,10.357785,19.807247,-0.0836672,0.028939417,1.362989,4.708586,-22.208956,-5.5921364,4.422359,34.2722,0.0,0.0,9.673614,7.576261,-24.253677,537.73126,680.0952,-11.772523,1370.5981,1112.8234,33.2571,2316.0095,592.30536,16.569407
1.7001848,18.039747,16.804356,-0.07145301,0.027285747,1.4356332,2.672775,-21.830667,-1.7447606,-0.45835972,34.221947,0.0,1.0132105,10.106082,8.781756,-24.296396,537.11206,695.64764,-20.69993,1330.3354,1240.4059,25.623316,2204.9321,527.04694,8.890217
1.7417284,20.066132,16.774498,-0.07844157,0.02458332,0.88598555,-0.014969707,-18.556944,1.4954993,-3.1515567,34.1302,0.0058431914,0.8492985,8.984882,7.736553,-22.379969,552.7228,671.39655,-22.374857,1323.4498,1237.0901,25.7189,2184.9219,499.10535,7.741665
1.586234,21.106258,16.735641,-0.07770911,0.027397832,0.5855766,0.48949096,-20.554384,1.8689324,-2.1111085,34.06634,0.005052044,0.7858023,7.3960137,7.6263604,-21.991013,541.54913,644.91644,-21.666254,1333.4537,1167.7882,25.623123,2191.104,493.1251,7.951119
1.266052,19.163528,17.849564,-0.067579314,0.025604988,1.0027175,3.296849,-20.559893,-0.21844251,0.82338285,34.066463,0.002927419,0.6286998,6.8895087,7.8562202,-21.970825,552.47876,657.43475,-20.08444,1362.4858,1341.7767,27.438675,2169.539,545.01526,9.742606
1.0087401,17.277185,16.235598,-0.069102615,0.02695935,1.0858107,4.6137238,-22.88665,-1.2280025,7.7420344,34.05548,0.005781403,1.2449806,7.1675644,7.1309533,-26.475784,565.16315,639.25977,-17.762486,1422.6235,1466.7017,19.87323,2139.8914,614.6953,15.844254
0.8536808,14.989026,16.609472,-0.060495198,0.02831384,0.8657816,4.559217,-23.596262,-2.5675354,9.431874,34.000324,0.0078957975,1.2614088,8.381611,3.6008136,-32.055912,581.3837,584.06354,-11.655163,1514.8903,1544.3885,14.219342,2128.3018,708.25287,24.001564
0.8965661,14.444102,14.4602585,-0.06757349,0.0354154,0.5005107,0.8511576,-26.793709,-1.3273548,11.911068,33.902287,0.010036535,1.1180559,8.286114,4.04891,-28.049143,581.5793,500.11325,-12.396645,1599.0153,1492.4863,-0.4382604,2102.725,713.8179,19.701406
1.001118,14.601868,15.51353,-0.06821148,0.03637753,0.73214585,-1.6007509,-30.042398,-2.329853,7.539734,32.478016,0.0565473,0.6854488,3.3095303,3.3531735,-14.305389,584.29645,490.15805,-13.234497,1616.1503,1570.1881,-7.2785354,2078.974,695.55365,6.4635596
