Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.14762536,6.057548,4.9560866,0.017758742,0.0301216,0.046886895,-5.7453666,-10.241236,0.61399215,14.8751135,26.189056,0.0,0.0,-0.38574323,-0.754842,8.973174,631.7217,551.46967,1.1969602,1560.6133,1201.7131,1.9703826,2527.368,862.1507,-3.2922316
0.6833547,3.1931174,6.7135177,0.004178597,0.021349601,0.48755157,2.6877224,-10.292506,-2.5896595,13.037361,26.182028,0.0,0.0,0.10141424,0.014654796,12.532222,759.2029,818.236,0.30201516,1762.5236,1177.8374,-1.4552011,2767.2324,940.3089,-7.7992415
1.2901849,-1.3322577,8.767062,-0.02602805,0.011972018,0.9567124,14.604358,-9.034606,-1.9619507,13.020591,26.16524,0.0,0.0,0.6487693,2.4047267,13.630664,639.4951,1260.4767,0.67034125,1666.7056,1123.6122,-2.98042,2732.946,993.4309,-10.121511
1.7828056,-3.2675846,10.442973,0.0027686383,0.0043548625,1.2836343,20.211432,-9.257571,-1.300721,4.627552,26.149124,0.0,1.486182,0.9526856,4.7493935,16.61712,801.4575,1382.4595,-0.15766065,1817.2943,1167.0256,-7.5466247,2788.2205,977.9978,-13.712277
1.8107525,-3.8816764,11.002998,0.0004976904,0.0041393107,1.1537517,21.993134,-8.103549,2.997182,6.7861876,26.14609,0.001974906,1.6035243,1.2036643,5.10751,16.203375,817.9953,1352.7949,-0.43751875,1818.833,1179.2025,-9.347474,2740.8584,888.3023,-13.6349745
1.7375289,-3.3673427,12.732502,0.006510183,0.0026529413,0.8435535,22.059286,-8.535486,2.0318902,6.86838,26.151293,0.0028137492,1.468657,1.4399719,2.8074791,17.432089,844.6084,1363.5846,-0.5609425,1835.2402,1242.4918,-9.464108,2746.0168,1132.5996,-15.201255
1.6780434,-3.185382,14.162953,-0.003231885,0.0046172435,0.8694535,23.053602,-9.437573,1.0108908,8.24779,26.151031,0.0031712337,0.9961944,1.5978173,0.41023254,16.580048,558.3271,1624.611,0.23093621,1498.2661,1270.4268,-6.239905,2485.074,1243.8276,-15.080703
1.6879234,-4.0540195,15.821278,-0.01037397,0.0041496656,0.92397594,25.884285,-10.047933,1.6960797,6.532083,26.135061,0.0026883178,1.258008,1.6377863,-0.21751325,15.345295,560.7213,1648.2477,-0.120006405,1394.0682,1514.1201,-2.6473396,2373.7556,1320.4856,-14.675559
1.6540724,-3.920619,17.037281,-0.0006333406,0.005769605,1.0670873,26.485832,-9.731518,0.38906828,4.259234,26.114334,0.0014155972,1.5837003,1.4723086,0.24677436,14.017315,544.52386,1579.8076,-0.7352392,1394.0732,1443.5737,-2.4853175,2361.1912,1145.7778,-13.74867
1.5886564,-4.0833893,16.89601,-0.003146298,0.003242873,0.9216302,26.273209,-7.5758514,0.0318075,6.076042,26.105024,0.0015377263,2.2796457,0.90512615,0.7631564,11.981823,594.2739,1484.5654,-1.1513901,1424.6793,1446.152,-1.8009357,2448.4114,1082.9603,-11.812003
1.4969412,-3.7105732,15.021938,-0.007754026,0.005761652,0.7979452,25.449455,-7.999002,-0.29466805,7.774303,26.115778,0.0017632734,2.0066066,-1.1946114,1.9014999,10.409913,307.01416,1716.7323,-0.20486832,1218.7761,1184.9404,-1.2956492,2317.5588,1182.1588,-9.97363
1.4158216,-3.3738766,11.82732,-0.0014113523,0.0047032814,0.7690143,26.458231,-10.655439,1.0162826,10.4563,27.129522,0.0023306822,2.213867,-2.556228,2.5039804,11.032859,302.53165,1731.6564,0.0,1213.3912,1206.3871,-1.5592165,2304.3264,1171.7386,-10.103501
