Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0057043633,-4.260433,15.850667,0.0046995794,0.0034254286,3.603863e-05,-6.404356,2.3723075,0.5035796,2.5302007,0.0,0.0,0.0,0.0,0.0,0.0,649.3001,774.1873,-201.0,1575.2428,850.74567,-201.0,2492.831,1369.3369,-201.0
0.005716311,-4.393156,16.017519,0.005559809,0.006816806,7.111526e-05,-6.2243094,3.3266194,-0.3086065,2.9491928,0.0,0.0,0.0,0.0,0.0,0.0,658.42065,850.21234,-201.0,1495.7797,1022.9826,-201.0,2383.5015,1122.9432,-201.0
0.005736997,-4.7946076,16.330313,-0.00246749,0.012597393,0.00010688477,-6.412024,3.502107,-1.548831,4.2646384,0.0,0.0,0.0,0.0,0.0,0.0,642.4097,798.90015,-201.0,1482.3398,1124.5043,-201.0,2306.4062,842.6846,-201.0
0.0056431233,-5.094658,16.350569,0.0052980967,0.015979707,0.00011071219,-6.4336624,3.3995914,0.3430337,5.4388385,0.0,0.0,0.0,0.0,0.0,0.0,643.9461,783.507,-201.0,1484.8545,1082.1193,-201.0,2321.3337,845.9109,-201.0
0.005608847,-4.243648,15.470547,-0.00051976833,0.014480266,0.000109448076,-7.5041757,2.6589987,2.3880517,5.563242,0.0,0.0,0.0,0.0,0.0,0.0,612.2154,652.3342,-201.0,1523.5385,808.89764,-201.0,2410.371,808.87256,-201.0
0.005556926,-4.13607,14.907681,-0.0017547505,0.013153906,0.00011493857,-6.895819,4.3143535,3.2815902,4.8104024,0.0,0.0,0.0,0.0,0.0,0.0,614.66766,697.6174,-201.0,1508.2103,797.81244,-201.0,2468.8245,765.81696,-201.0
0.0056005507,-4.9777126,15.38134,-0.013718177,0.015093073,0.00013493297,-4.344784,5.5180707,6.0785556,9.422357,0.0,0.0,0.0,0.0,0.0,0.0,741.76117,799.88965,-201.0,1676.4814,799.6048,-201.0,2724.3254,684.4781,-201.0
0.0058015124,-8.258534,17.082926,-0.03205354,0.015112768,0.00022565202,-1.2697927,9.74636,8.123513,13.00766,0.0,0.0,0.0,0.0,0.0,0.0,694.4578,1000.7757,-201.0,1644.8114,910.13184,-201.0,2680.0781,626.7249,-201.0
0.0058809654,-10.548638,19.167635,-0.03198611,0.012696075,0.00024143094,1.2768222,13.6543045,13.404826,16.994215,0.0,0.0,0.0,0.0,0.0,0.0,580.1839,1263.0468,-201.0,1613.1934,753.4336,-201.0,2674.3213,658.5749,-201.0
0.006043054,-11.345593,19.685097,-0.02893017,0.0099293,0.0002573793,1.6754583,16.46441,14.914762,17.118105,0.0,0.0,0.0,0.0,0.0,0.0,361.73398,1374.7173,-201.0,1399.8324,630.2675,-201.0,2417.7302,657.56696,-201.0
