Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.12783168,4.9257717,1.9168609,0.046521556,0.0048832535,0.03385518,-3.779355,-9.49859,-3.880439,-0.11100801,30.48037,0.0,0.0,-0.3789568,-11.093513,-4.3606896,692.98785,1206.9215,16.572855,1598.3525,941.19305,11.395341,2634.772,814.32153,7.776726
0.678958,2.295676,4.0043707,0.052306723,0.0048949327,0.45546088,2.224808,-9.958402,-8.048675,-1.3560696,32.817673,0.0,0.0,2.0826473,-0.5931018,2.4201567,650.0052,1282.3829,14.309774,1581.088,1027.3746,9.395259,2593.1653,837.8226,4.4838233
1.3689966,-1.0564251,6.5378327,0.08371275,0.0046471287,0.7530922,6.5000763,-9.358592,-13.981694,-5.9572616,35.156277,0.0,0.0,4.051557,8.526528,9.470342,617.0933,1267.9283,0.0,1593.8876,1050.6708,7.6773353,2570.1501,842.4128,1.0204319
1.9547726,-2.9191778,7.2007585,0.11771027,0.006592043,0.91754895,4.830514,-8.705457,-18.715887,-10.679474,35.134155,0.0,1.2206495,3.4399786,4.463139,9.60285,625.159,1452.9806,0.0,1497.4321,1074.5114,7.358455,2564.9968,691.65106,1.0473787
2.1032999,-2.9623716,7.448652,0.14432086,0.0060889926,0.7112618,1.3134136,-8.4537115,-21.209007,-14.326294,35.08884,0.0034378306,1.1533605,4.0257607,-3.2563093,9.996276,578.00977,1422.4805,9.166071,1510.4047,990.665,7.1529326,2611.3718,662.1571,0.16245778
2.1536505,-2.3186367,8.156197,0.14346203,0.0026963914,0.6907509,1.2323782,-9.764105,-22.115402,-14.648082,32.02817,0.002831754,0.9273589,4.401523,-5.0069447,2.5066674,568.21436,1455.1519,0.0,1514.0328,1016.0967,16.70156,2627.5203,720.55273,8.782367
2.3223052,-4.1874847,12.250974,0.1295503,-0.009170001,1.4690895,3.9693978,-11.146229,-23.42048,-20.215456,29.041,0.0016196003,1.0187825,5.3130374,4.2315907,1.0614033,544.783,1243.9545,22.348312,1555.1659,1025.2908,22.559402,2607.6934,741.7761,12.661629
2.4681609,-8.056171,17.422607,0.12130385,-0.01808048,2.1496618,8.843478,-14.162837,-26.015686,-25.92312,26.102243,0.0016196003,1.0187825,5.4784675,6.60708,4.4226413,838.4393,1091.9674,25.039719,1793.725,981.7326,29.519592,2866.3293,664.00507,14.714505
2.4983819,-12.381134,23.529257,0.109785356,-0.026091458,2.4283726,13.59922,-16.71485,-28.46549,-32.19945,26.179697,0.07121288,1.318275,6.362,-1.0954081,3.9599907,1079.2363,982.69135,29.81106,1992.4808,917.4627,26.00178,3128.166,491.30054,12.292233
2.3853006,-13.837081,25.746925,0.10815608,-0.026512476,1.8720242,16.074295,-18.10818,-29.737396,-32.94368,26.193686,0.07507701,1.2136703,6.5480194,-16.015144,-6.5112596,1019.4917,915.3891,29.754173,1959.9663,834.2508,28.922796,3094.823,512.2425,19.254328
