Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,1.9609071,0.0,0.122406445,0.02046511,1.4173293e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.001307797,3.9248478,0.00023744116,0.10672308,0.017855745,9.630471e-06,-2.9862864,0.017453937,-0.6947536,0.0328347,0.0,0.0,0.0,0.0,0.0,0.0,582.626,818.85065,-201.0,1570.8625,980.2346,-201.0,2570.62,1052.3383,-201.0
0.0017269024,5.866531,0.0011064311,0.08283539,0.015104738,1.5885034e-05,-6.351387,-0.44885603,-1.8827673,-0.36047244,0.0,0.0,0.0,0.0,0.0,0.0,561.8168,792.0484,-201.0,1533.41,911.7541,-201.0,2515.2312,946.64923,-201.0
0.002154667,5.803827,0.014898147,0.0617618,0.017262323,2.2708895e-05,-9.832583,-0.08269775,-2.0264385,1.0390354,0.0,0.0,0.0,0.0,0.0,0.0,515.6221,625.27826,-201.0,1482.6406,655.7548,-201.0,2455.9797,661.0856,-201.0
0.0018808354,5.7601027,0.016250784,0.05426469,0.02066105,2.7110378e-05,-6.846297,-0.100151695,-1.331685,1.0062007,0.0,0.0,0.0,0.0,0.0,0.0,520.5877,489.35458,-201.0,1512.9498,526.8228,-201.0,2512.0625,578.61694,-201.0
0.0018241532,5.0988946,0.36838377,0.060493153,0.020340046,3.3099397e-05,-3.137372,-3.2031288,2.226639,-1.3374354,0.0,0.0,0.0,0.0,0.0,0.0,513.63104,533.98065,-201.0,1506.0233,561.4722,-201.0,2504.2122,604.6064,-201.0
0.0018678796,4.4678426,0.7115882,0.073130056,0.016694447,2.8501361e-05,0.7508618,-7.365396,4.8862343,-5.832873,0.0,0.0,0.0,0.0,0.0,0.0,508.0394,700.0957,-201.0,1472.8682,719.5329,-201.0,2443.0623,708.4084,-201.0
0.0023316494,3.8484237,1.1285069,0.07759844,0.012659751,2.0960111e-05,0.13884723,-9.922438,5.8841915,-7.449407,0.0,0.0,0.0,0.0,0.0,0.0,502.47864,854.9178,-201.0,1439.5404,866.1425,-201.0,2381.7932,802.0935,-201.0
0.0030155058,5.847389,-0.64597654,0.07537747,0.0135642635,3.347213e-05,-5.4634957,-5.42938,2.2620707,-5.174333,0.0,0.0,0.0,0.0,0.0,0.0,522.11206,709.0664,-201.0,1431.8717,750.17487,-201.0,2411.0974,638.6716,-201.0
