Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0027899996,6.357843,0.8112709,0.04838859,0.021908486,2.3654311e-05,-7.8738976,-0.7581604,1.0809274,3.7251465,0.0,0.0,0.0,0.0,0.0,0.0,543.1953,474.01172,-201.0,1539.4281,662.9178,-201.0,2492.8936,712.4741,-201.0
0.0024562376,5.322924,0.7348909,0.052920002,0.015653173,3.4997294e-05,-8.022407,1.8481048,-2.1642258,3.8801038,0.0,0.0,0.0,0.0,0.0,0.0,526.2293,626.09955,-201.0,1495.8566,728.1966,-201.0,2450.0518,718.8156,-201.0
0.0021694754,4.7836595,-0.03831176,0.059423745,0.009462245,4.2212905e-05,-8.39591,5.4561143,-3.3454285,-1.1859293,0.0,0.0,0.0,0.0,0.0,0.0,508.72958,750.49347,-201.0,1462.1276,751.5573,-201.0,2406.5452,572.564,-201.0
0.0020276783,3.8709335,1.3057966,0.06446151,0.01031489,3.60221e-05,-4.5172653,2.8401234,-2.6362243,-1.6889954,0.0,0.0,0.0,0.0,0.0,0.0,506.1857,808.03687,-201.0,1461.2217,792.6164,-201.0,2404.119,594.68823,-201.0
0.0015658542,4.9440007,0.4231466,0.080924,0.013356921,2.7508611e-05,-2.9331834,2.603898,-0.85056716,-3.1433551,0.0,0.0,0.0,0.0,0.0,0.0,508.46036,778.41455,-201.0,1461.2661,776.5727,-201.0,2400.1316,601.499,-201.0
0.0019359771,5.4427834,1.4702686,0.07213401,0.020854613,4.9206803e-05,-2.894932,-0.47025284,1.3256124,3.8151872,0.0,0.0,0.0,0.0,0.0,0.0,561.7214,719.67,-201.0,1415.7988,961.2094,-201.0,2393.6035,678.1269,-201.0
0.003287657,5.144224,3.730117,0.05814114,0.018402746,5.945341e-05,-5.163082,-2.2314918,0.8018816,5.5517945,0.0,0.0,0.0,0.0,0.0,0.0,602.68677,711.89716,-201.0,1375.3287,1036.3793,-201.0,2431.5752,641.9052,-201.0
0.004836206,4.6886725,4.315036,0.04397734,0.01633533,8.715607e-05,-5.6277366,-4.5331807,4.373526,7.650785,0.0,0.0,0.0,0.0,0.0,0.0,632.97144,860.95703,-201.0,1282.3773,1036.5663,-201.0,2433.676,558.85913,-201.0
0.005372304,3.456128,4.7403665,0.0543407,0.009166593,9.345618e-05,-4.201235,-3.3509867,3.3700352,6.1321893,0.0,0.0,0.0,0.0,0.0,0.0,585.45135,991.3577,-201.0,1271.0737,841.44385,-201.0,2427.849,569.5711,-201.0
0.0062751938,2.6278307,3.9985416,0.056765392,0.006054571,0.00012599549,-2.6810942,-4.016283,2.2739966,4.4875445,0.0,0.0,0.0,0.0,0.0,0.0,532.34686,1109.118,-201.0,1254.7557,756.4126,-201.0,2394.1309,556.50543,-201.0
