Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0052830917,-21.734442,35.572483,-0.041598644,0.010127518,5.2325016e-05,0.48519412,11.510386,4.0854487,16.982237,0.0,0.0,0.0,0.0,0.0,0.0,579.17847,1626.872,-201.0,1561.7379,982.3618,-201.0,2668.677,867.4248,-201.0
0.005162615,-22.10433,34.48323,-0.049277347,0.010033672,8.164664e-05,-0.7500965,8.801563,3.1546395,15.966975,0.0,0.0,0.0,0.0,0.0,0.0,813.4567,1465.5348,-201.0,1803.065,974.77924,-201.0,2934.4812,844.67865,-201.0
0.0051683015,-22.269173,34.229538,-0.055463344,0.009211226,0.0001166162,-1.4831033,8.640095,2.7553864,14.406808,0.0,0.0,0.0,0.0,0.0,0.0,856.8344,1434.5946,-201.0,1864.0436,1062.8038,-201.0,2913.9836,1212.4028,-201.0
0.005523808,-20.697517,32.75472,-0.057694256,0.008990247,0.0001036346,-1.6080374,6.429479,1.9670101,13.88913,0.0,0.0,0.0,0.0,0.0,0.0,842.517,1376.1826,-201.0,1814.4092,971.84595,-201.0,3031.5334,978.9558,-201.0
0.0057387017,-20.040466,33.00456,-0.045883536,0.0072588935,0.000115121285,-1.7075764,8.070301,2.3468487,12.745995,0.0,0.0,0.0,0.0,0.0,0.0,637.9465,1344.7408,-201.0,1626.1606,900.8239,-201.0,2758.7336,1030.2572,-201.0
0.0058591715,-19.18718,32.425373,-0.04391251,0.010097501,0.0001158147,-2.901519,6.0178933,2.563318,10.951661,0.0,0.0,0.0,0.0,0.0,0.0,568.42285,1647.1411,-201.0,1531.7949,924.83514,-201.0,2773.5125,799.6243,-201.0
0.0059124255,-19.224443,32.399464,-0.029362345,0.006913289,0.00011599169,-2.8553712,7.001447,2.1170294,8.86733,0.0,0.0,0.0,0.0,0.0,0.0,580.9019,1740.8842,-201.0,1482.9521,1079.3164,-201.0,2638.99,899.4861,-201.0
0.005870255,-19.177122,31.658903,-0.029398842,0.009566699,0.0001270493,-2.8487976,6.9457173,2.137334,7.482949,0.0,0.0,0.0,0.0,0.0,0.0,790.7913,1648.8971,-201.0,1744.5406,1041.192,-201.0,2876.8489,716.905,-201.0
0.005761523,-19.60116,31.325851,-0.031485323,0.008081034,0.00013080292,-2.0540884,7.3990893,2.8575957,9.441548,0.0,0.0,0.0,0.0,0.0,0.0,1036.2653,1150.774,-201.0,2003.4828,890.65283,-201.0,3076.914,466.33987,-201.0
0.005787347,-19.446594,31.415533,-0.037644763,0.009626057,0.00013593769,-1.3031409,6.6600327,2.4466007,9.913662,0.0,0.0,0.0,0.0,0.0,0.0,983.6352,1126.0773,-201.0,2026.7487,815.3311,-201.0,3135.7979,397.48038,-201.0
0.005967245,-18.870153,30.924606,-0.038469832,0.015041876,0.00012439658,-2.382944,5.286499,2.1655817,12.994048,0.0,0.0,0.0,0.0,0.0,0.0,802.16113,1941.5319,-201.0,1611.4479,1060.6451,-201.0,2812.8152,704.81744,-201.0
0.006121581,-18.389833,31.036577,-0.035377268,0.020424126,0.00013563794,-2.5292728,4.225777,0.87292546,15.056789,0.0,0.0,0.0,0.0,0.0,0.0,810.05707,1839.9144,-201.0,1669.4205,1227.365,-201.0,2728.1584,859.2918,-201.0
0.006154496,-18.551151,30.887396,-0.03560028,0.016789384,0.00013434597,-2.5573747,5.660834,1.7726856,12.757825,0.0,0.0,0.0,0.0,0.0,0.0,832.88104,1888.808,-201.0,1712.7363,1203.7764,-201.0,2774.7454,913.4543,-201.0
0.0063811005,-18.123371,31.160116,-0.037322592,0.01192766,0.00014184606,-0.2861501,7.008926,2.115468,8.520669,0.0,0.0,0.0,0.0,0.0,0.0,968.13947,1134.5994,-201.0,2177.3777,1014.4014,-201.0,3059.0078,823.7819,-201.0
0.006802151,-17.41555,30.44716,-0.04160891,0.004980761,0.00023319533,2.966237,9.797589,4.3978567,8.600481,0.0,0.0,0.0,0.0,0.0,0.0,990.87726,1145.5226,-201.0,2232.735,842.9973,-201.0,3185.7834,748.4725,-201.0
0.007403726,-16.508741,29.881067,-0.04930671,0.007882458,0.0003150986,5.5784225,12.147731,8.249007,11.44383,0.0,0.0,0.0,0.0,0.0,0.0,1057.2285,1115.5757,-201.0,2299.7332,833.3791,-201.0,3261.6125,772.677,-201.0
0.007900794,-16.493912,29.368347,-0.06060681,0.010972962,0.00043069114,7.672312,13.778768,11.533511,18.754013,0.0,0.0,0.0,0.0,0.0,0.0,1112.3442,1007.4318,-201.0,2235.1902,890.63385,-201.0,3294.5286,621.2271,-201.0
0.008711629,-15.299271,28.356562,-0.053156566,0.01268965,0.00048695575,6.967724,12.477401,9.894354,17.008204,0.0,0.0,0.0,0.0,0.0,0.0,1005.6276,1362.139,-201.0,1769.4497,1035.8373,-201.0,2944.3076,670.39215,-201.0
0.009347607,-14.289538,27.243895,-0.048719406,0.011219784,0.0005040242,5.1672807,11.257833,6.1574035,17.4587,0.0,0.0,0.0,0.0,0.0,0.0,803.8796,1328.2162,-201.0,1509.5319,1074.785,-201.0,2584.5256,723.3497,-201.0
0.010799096,-12.061382,24.777147,-0.032364164,0.0072822594,0.00051418267,4.2844143,10.838244,4.4441733,12.573781,0.0,0.0,0.0,0.0,0.0,0.0,601.23956,1583.1211,-201.0,1166.2731,1131.4791,-201.0,2248.0833,809.65753,-201.0
0.012160319,-9.984689,21.179068,-0.024175527,0.007580875,0.00050234,3.0451868,11.334184,6.4714255,10.762505,0.0,0.0,0.0,0.0,0.0,0.0,502.9711,1288.266,-201.0,1315.846,975.813,-201.0,2285.9316,758.6224,-201.0
0.013753644,-9.729706,20.194307,-0.016553996,0.008375526,0.0009352032,2.8759975,10.028976,7.9070115,10.068546,0.0,0.0,0.0,0.0,0.0,0.0,517.0916,1416.5381,-201.0,1257.8916,1007.5198,-201.0,2319.847,840.9631,-201.0
0.015195834,-7.0313964,17.2329,-0.010755557,0.014362768,0.0014297742,2.0186303,6.6657844,8.795947,12.149945,0.0,0.0,0.0,0.0,0.0,0.0,544.3098,1112.1661,-201.0,1363.8594,943.4827,-201.0,2395.257,1027.547,-201.0
0.016041415,-8.112777,19.91207,-0.035817865,0.021389455,0.0020220845,1.7158575,1.6236836,8.430631,18.205029,0.0,0.0,0.0,0.0,0.0,0.0,595.8071,1001.1101,-201.0,1404.1327,1194.6724,-201.0,2368.467,1163.0629,-201.0
0.018367121,-5.6085224,18.03369,-0.006803766,0.01972154,0.0024950244,6.565033,-1.3388225,5.813467,17.602318,0.0,0.0,0.0,0.0,0.0,0.0,530.2839,980.61786,-201.0,1424.0425,1185.8628,-201.0,2287.676,1159.3301,-201.0
0.019987136,-8.402792,22.278458,-0.004859839,0.009152134,0.0024520904,12.517921,-0.23053646,2.9766471,13.626817,0.0,0.0,0.0,0.0,0.0,0.0,477.8289,1132.077,-201.0,1404.4037,1177.6318,-201.0,2246.371,1163.9196,-201.0
0.023509866,-6.4190345,17.872171,0.03111585,-0.0007931567,0.002331585,19.023441,-1.7511171,-1.9890985,5.5127444,0.0,0.0,0.0,0.0,0.0,0.0,425.82104,1356.7487,-201.0,1402.5596,1229.31,-201.0,2159.4583,1350.9623,-201.0
0.026831895,-7.457559,16.505692,0.006122923,-0.0018755071,0.002434862,21.686518,-4.450529,-1.0587604,2.457276,0.0,0.0,0.0,0.0,0.0,0.0,458.84183,1239.6113,-201.0,1410.5145,1237.1372,-201.0,2207.2126,1276.7704,-201.0
0.029584689,-7.3016906,15.203903,-0.0051322957,0.0048304643,0.0032226548,22.43943,-9.167939,0.98883337,5.0976725,0.0,0.0,0.0,0.0,0.0,0.0,465.19077,1464.4281,-201.0,1321.7294,1389.8407,-201.0,2129.3967,1245.4032,-201.0
0.032027513,-7.945158,17.221489,-0.02036868,0.011319068,0.0041845073,22.960844,-8.157466,4.5066047,8.218861,0.0,0.0,0.0,0.0,0.0,0.0,444.96228,1633.7596,-201.0,1197.2245,1252.4486,-201.0,2211.1443,1116.1017,-201.0
0.034076266,-7.7021255,18.4199,-0.028856361,0.016767913,0.004319117,21.046167,-7.9561443,5.0186534,10.678612,0.0,0.0,0.0,0.0,0.0,0.0,462.51718,1642.3984,-201.0,1178.8395,1314.0756,-201.0,2210.5222,1062.1539,-201.0
0.037333187,-6.302786,16.089006,-0.036421645,0.013456228,0.0040895734,18.726974,-7.8083057,3.2168448,7.782019,0.0,0.0,0.0,0.0,0.0,0.0,480.65317,1341.3711,-201.0,1246.7596,1213.9205,-201.0,2271.72,901.31055,-201.0
0.03934862,-6.962097,16.522383,-0.051063146,0.01457643,0.004680138,16.538177,-9.677009,1.6635147,8.120168,0.0,0.0,0.0,0.0,0.0,0.0,503.67447,1009.3034,-201.0,1323.4788,1133.2487,-201.0,2265.0251,748.1597,-201.0
0.040693577,-7.702418,16.602583,-0.057977658,0.014338493,0.005502956,17.314291,-9.597827,2.1755168,6.495236,0.0,0.0,0.0,0.0,0.0,0.0,502.71292,1012.8073,-201.0,1321.1976,1151.9877,-201.0,2256.8586,763.7446,-201.0
0.04150969,-9.470043,17.738342,-0.06999101,0.01895214,0.0065360726,18.439432,-10.033223,3.4238148,7.5911427,0.0,0.0,0.0,0.0,0.0,0.0,509.56747,1070.0712,-201.0,1289.2689,1219.0952,-201.0,2224.7627,756.2644,-201.0
0.044166446,-9.892696,17.88333,-0.071167,0.015401813,0.006318921,19.626507,-13.338829,4.7590337,2.834896,0.0,0.0,0.0,0.0,0.0,0.0,512.8335,1055.874,-201.0,1296.2164,1222.5609,-201.0,2244.5496,751.0408,-201.0
0.045131933,-9.828944,17.671877,-0.07909902,0.01708576,0.005308403,17.272982,-16.715973,3.9425611,1.2300369,0.0,0.0,0.0,0.0,0.0,0.0,523.12933,1025.8737,-201.0,1294.6462,1230.9835,-201.0,2240.972,718.14185,-201.0
0.047599394,-8.893226,16.489124,-0.078206725,0.019419909,0.0048431125,15.394315,-21.120897,5.590278,-0.26638198,0.0,0.0,0.0,0.0,0.0,0.0,599.77106,1067.6078,-201.0,1184.719,1471.3427,-201.0,2213.8113,722.93164,-201.0
0.049863517,-8.100257,14.765877,-0.07909163,0.017270563,0.0042899637,14.143909,-22.323174,7.406956,0.1178148,0.0,0.0,0.0,0.0,0.0,0.0,609.8777,1072.6232,-201.0,1218.8778,1540.2677,-201.0,2186.5178,760.9604,-201.0
0.054066766,-6.553125,12.767194,-0.07402596,0.013669502,0.004607353,15.487977,-25.625788,9.681123,-0.15705042,0.0,0.0,0.0,0.0,0.0,0.0,625.52484,1118.4174,-201.0,1233.2869,1656.9589,-201.0,2172.3894,836.5664,-201.0
0.05857105,-4.3011613,10.287764,-0.059620958,0.0106442645,0.0054020486,17.674833,-28.778427,7.9855847,-3.394637,0.0,0.0,0.0,0.0,0.0,0.0,539.5405,1017.0024,-201.0,1373.3722,1342.6202,-201.0,2223.5886,835.33844,-201.0
0.061681192,-2.4267056,7.6949897,-0.048412446,0.0133886235,0.0054550734,18.329422,-29.669165,5.685379,-5.4641876,0.0,0.0,0.0,0.0,0.0,0.0,515.534,992.5623,-201.0,1331.4537,1211.808,-201.0,2239.394,747.57635,-201.0
0.06436755,-0.22690757,6.328917,-0.019218607,0.014929824,0.0061128642,18.06235,-31.390242,1.3291954,-7.155993,0.0,0.0,0.0,0.0,0.0,0.0,404.37683,1051.2223,-201.0,1287.1245,1017.91656,-201.0,2236.5251,659.5616,-201.0
0.06590525,0.33526146,6.1157837,-0.01055862,0.0122218765,0.0052869245,17.017836,-31.996847,-1.1297013,-6.3182244,0.0,0.0,0.0,0.0,0.0,0.0,345.83438,1150.3224,-201.0,1258.5918,1007.89923,-201.0,2217.7913,661.0546,-201.0
0.06846214,1.4388894,5.919001,0.0106959,0.01154996,0.005451616,16.527239,-34.38098,-3.2450047,-3.795058,0.0,0.0,0.0,0.0,0.0,0.0,585.48755,1233.3475,-201.0,1547.3097,969.71295,-201.0,2526.9258,666.56323,-201.0
0.07219126,2.676059,4.149819,0.017068828,0.011140798,0.005960632,13.867436,-33.335777,-2.786998,-2.7076905,0.0,0.0,0.0,0.0,0.0,0.0,648.37665,1122.442,-201.0,1610.2852,1036.1241,-201.0,2520.5088,726.15265,-201.0
0.07632939,3.3523877,1.7885841,0.025788032,0.011221975,0.0070356983,12.501621,-27.32157,1.7541986,2.6549444,0.0,0.0,0.0,0.0,0.0,0.0,739.78876,1195.083,-201.0,1546.7072,1181.5311,-201.0,2489.9358,728.92084,-201.0
0.080382146,2.0961466,1.0640334,0.009235055,0.005352214,0.008451261,11.480457,-19.189573,7.223108,3.6536894,0.0,0.0,0.0,0.0,0.0,0.0,502.29114,1245.4777,-201.0,1228.4457,1307.1005,-201.0,2152.1338,745.9915,-201.0
0.08394956,-1.2046578,3.5789154,-0.017024487,0.0005699575,0.008669226,14.194923,-14.3868,8.92077,5.636978,0.0,0.0,0.0,0.0,0.0,0.0,508.79944,1231.2003,-201.0,1203.5516,1207.7811,-201.0,2172.66,674.0473,-201.0
0.08760204,-2.3508673,5.084455,-0.033955645,-0.0014605885,0.009579328,16.863737,-15.58285,4.273754,2.6835878,0.0,0.0,0.0,0.0,0.0,0.0,459.6473,1088.6532,-201.0,1268.9467,1035.5745,-201.0,2201.6077,635.3371,-201.0
0.09329615,-1.576713,5.156375,-0.03674091,0.003913394,0.0096162595,19.415777,-20.28998,1.0699193,4.7454433,0.0,0.0,0.0,0.0,0.0,0.0,460.5635,1007.1616,-201.0,1297.0133,1003.42914,-201.0,2217.5964,669.2686,-201.0
0.09945566,-0.052450966,4.077134,-0.03075468,0.010341558,0.01008162,19.11873,-23.945581,-1.0178509,6.062372,0.0,0.0,0.0,0.0,0.0,0.0,471.38223,985.2442,-201.0,1305.48,1026.974,-201.0,2219.9692,701.4317,-201.0
0.10587867,0.44033024,4.657003,-0.018974029,0.013604413,0.010188803,16.821527,-26.032623,1.2481445,5.5496907,0.0,0.0,0.0,0.0,0.0,0.0,489.5239,934.99774,-201.0,1335.4406,1054.3125,-201.0,2222.277,734.6785,-201.0
0.1116763,0.27518842,5.1901364,-0.017686909,0.010694415,0.011083226,13.819653,-25.394491,3.292125,0.96694326,0.0,0.0,0.0,0.0,0.0,0.0,495.57962,899.6692,-201.0,1347.6412,1049.944,-201.0,2222.7166,712.6042,-201.0
0.11720959,0.3255002,4.3183565,-0.014922585,0.006600129,0.012826785,12.489467,-24.305643,6.965011,-4.8266377,0.0,0.0,0.0,0.0,0.0,0.0,492.16928,926.9993,-201.0,1365.958,1104.0199,-201.0,2211.8337,718.6469,-201.0
0.12169785,0.053899568,4.421639,-0.016247211,0.0047852374,0.013962383,11.79628,-23.963419,7.618242,-9.2805395,0.0,0.0,0.0,0.0,0.0,0.0,461.19522,962.10187,-201.0,1387.1063,1113.5911,-201.0,2219.2139,713.46954,-201.0
0.1257173,0.5189407,3.7640464,0.008173526,0.005929325,0.015804328,11.270897,-25.335077,6.5066414,-12.517249,0.0,0.0,0.0,0.0,0.0,0.0,363.08047,1044.6599,-201.0,1407.8885,1076.0529,-201.0,2235.9856,769.77295,-201.0
0.1304964,1.7262259,3.6109066,0.012231766,0.01051494,0.017546661,10.616887,-27.093407,5.026524,-11.01864,0.0,0.0,0.0,0.0,0.0,0.0,347.5128,1081.1862,-201.0,1383.0205,1093.1267,-201.0,2241.4622,757.4257,-201.0
0.14017195,2.8901825,3.619852,0.025706962,0.012261395,0.018936472,9.965129,-28.853079,2.9662101,-10.012056,0.0,0.0,0.0,0.0,0.0,0.0,275.49353,1139.7031,-201.0,1348.5607,1060.8783,-201.0,2256.4185,769.80914,-201.0
0.17041661,2.415929,4.1431537,0.01768954,0.013051875,0.027328217,11.472074,-25.594248,5.467582,-6.455691,0.0,0.0,0.0,0.0,0.0,0.0,374.4147,1042.4379,-201.0,1372.6548,1038.2073,-201.0,2303.621,853.4388,-201.0
0.18449654,-2.9333065,10.247073,0.0072442456,0.006151568,0.051640958,14.350624,-17.384182,12.436212,-0.553148,0.0,0.0,0.0,0.0,0.0,0.0,348.98462,1130.1952,-201.0,1376.0161,890.1111,-201.0,2335.6787,867.89575,-201.0
0.19209675,-7.6868405,13.409791,-0.02220755,0.0013216067,0.060145438,15.717523,-6.6433434,22.503504,5.757492,0.0,0.0,0.0,0.0,0.0,0.0,392.90723,1199.9069,-201.0,1372.8097,812.81934,-201.0,2326.658,805.2036,-201.0
0.17286344,-11.189552,15.356301,-0.05745389,-0.008150859,0.06153841,14.827184,0.62617904,26.852974,10.956504,0.0,0.0,0.0,0.0,0.0,0.0,362.89334,1246.5238,-201.0,1355.1522,738.52826,-201.0,2297.1418,638.36053,-201.0
0.16991977,-10.066649,12.174413,-0.0519257,-0.016019328,0.042136926,13.103755,3.7490444,26.005713,7.726545,0.0,0.0,0.0,0.0,0.0,0.0,389.39542,1092.0034,-201.0,1396.2775,697.97345,-201.0,2299.737,585.98267,-201.0
0.1693701,-10.425085,11.926754,-0.05375534,-0.022482162,0.051461983,14.079533,4.973412,27.61003,8.233813,0.0,0.0,0.0,0.0,0.0,0.0,402.09036,968.01465,-201.0,1454.028,578.04974,-201.0,2331.58,590.98114,-201.0
0.17397456,-10.119176,12.639305,-0.046415586,-0.019980075,0.0496138,13.512258,5.289925,32.496197,8.080137,0.0,0.0,0.0,0.0,0.0,0.0,347.3678,1049.6854,-201.0,1449.9019,416.92432,-201.0,2340.279,605.8887,-201.0
0.18215275,-10.294609,12.338101,-0.0637084,-0.01003358,0.0545693,13.056213,3.8705237,37.853596,13.423973,0.0,0.0,0.0,0.0,0.0,0.0,305.86905,1180.089,-140.21175,1442.0175,301.79425,-142.76784,2355.235,686.32404,-138.1224
0.19114399,-7.769037,9.916261,-0.058096975,-0.003370301,0.048432663,10.609017,2.0941503,38.46887,13.473073,12.419756,0.0,0.0,-11.028215,108.52786,15.449604,304.59695,1245.7415,-79.98437,1435.8073,245.98543,-85.77447,2380.466,800.38184,-75.2837
0.19869845,-7.0489583,10.231856,-0.050432663,-0.00020565077,0.05133475,10.621819,2.9688022,39.917957,11.919389,13.124714,0.0,0.0,-12.243503,77.1647,14.650006,320.91245,1231.4999,-19.566803,1467.208,186.41615,-28.530478,2456.7988,891.3151,-12.765259
0.19485755,-7.511537,11.759711,-0.046411667,-0.0037406841,0.05006549,9.621365,6.343333,41.301575,8.966297,13.761495,0.0,0.0,-18.694502,75.376976,14.460675,324.77805,1177.7983,-20.399132,1504.2047,104.34043,-28.727568,2506.8733,941.6099,-14.677345
0.18815137,-9.023242,14.179639,-0.048126098,-0.009360693,0.05073006,9.161885,10.117973,41.8059,7.1030045,14.512831,0.0,0.0,-22.862047,12.565472,14.140709,332.83514,1126.1415,-80.6265,1549.111,49.84917,-85.72095,2576.3682,985.1362,-77.51606
0.17619586,-10.794467,16.058271,-0.051954597,-0.010573305,0.04872972,8.106076,12.771859,38.568027,7.2350516,0.0,0.0,0.0,0.0,0.0,0.0,595.53973,1474.195,-141.04407,1618.8004,166.49608,-142.96492,2719.7432,943.0456,-140.03448
0.17104264,-11.773384,17.586538,-0.0530639,-0.012281385,0.05089697,8.598193,14.144349,37.8427,10.058885,0.0,0.0,0.0,0.0,0.0,0.0,586.6037,1515.1865,-201.0,1624.5675,224.94359,-201.0,2682.5378,971.12885,-201.0
0.16907518,-12.355732,17.48015,-0.05957603,-0.007776782,0.056929823,8.867936,13.41402,35.536694,13.811783,0.0,0.0,0.0,0.0,0.0,0.0,543.76294,1703.6914,-201.0,1618.6078,389.01245,-201.0,2523.9177,1161.7177,-201.0
0.17698912,-11.761466,15.090225,-0.06409043,-0.0078254035,0.054451447,9.963174,10.330261,35.955414,18.00156,0.0,0.0,0.0,0.0,0.0,0.0,291.7159,1397.466,-201.0,1554.0367,395.4247,-201.0,2299.031,1364.7052,-201.0
0.1777788,-12.18732,14.612111,-0.06553062,-0.0077077947,0.04878573,9.943513,8.045955,33.60497,17.198277,0.0,0.0,0.0,0.0,0.0,0.0,636.7909,1246.3866,-201.0,1767.9811,751.2883,-201.0,2505.9856,1270.2308,-201.0
0.16854309,-13.849376,15.879416,-0.08427981,-0.0072176787,0.04180486,8.881312,9.960725,34.50705,18.267689,0.0,0.0,0.0,0.0,0.0,0.0,956.70264,862.3633,-201.0,2054.1587,723.8071,-201.0,2818.2961,1075.4316,-201.0
0.15450652,-16.924377,18.839376,-0.10665671,-0.0028016784,0.07076194,7.240892,13.633552,34.49161,18.11524,0.0,0.0,0.0,0.0,0.0,0.0,1267.9873,554.9306,-201.0,2407.7197,647.07477,-201.0,3124.448,1152.4336,-201.0
0.15359007,-16.460777,17.963655,-0.12611742,-0.00075890496,0.08675029,2.905248,15.70778,35.9711,18.122784,0.0,0.0,0.0,0.0,0.0,0.0,1203.3414,364.78674,-201.0,2424.1338,343.92264,-201.0,3121.0178,1234.8817,-201.0
0.16229123,-15.976129,17.077538,-0.13118993,-0.0021547882,0.080856524,0.35107887,15.67032,37.0957,18.393373,0.0,0.0,0.0,0.0,0.0,0.0,1187.0376,287.42972,-201.0,2380.5696,337.49622,-201.0,3100.927,1171.9735,-201.0
0.17493807,-13.117596,14.3484,-0.13043912,-0.0030271905,0.05401743,-0.94663525,12.584788,39.20598,19.36283,0.0,0.0,0.0,0.0,0.0,0.0,1139.5765,210.14691,-201.0,2257.2812,430.9456,-201.0,3035.0332,855.89435,-201.0
0.1782577,-12.906708,14.051955,-0.13908702,0.0008641649,0.042813223,-0.58631605,10.66513,41.879498,22.147276,0.0,0.0,0.0,0.0,0.0,0.0,1128.202,161.45277,-201.0,2233.8862,418.0193,-201.0,3026.7976,777.55426,-201.0
0.17836349,-12.106853,13.12775,-0.13882674,0.0042283284,0.046517808,0.5143544,8.531981,46.078094,22.954336,0.0,0.0,0.0,0.0,0.0,0.0,1111.651,105.82376,-143.55835,2209.9348,401.2224,-142.52217,3022.801,745.7209,-134.82524
0.17968126,-9.932381,9.8576975,-0.11742004,-0.00164754,0.0727812,1.3259197,9.379367,45.698902,19.580286,13.742949,0.0,0.0,-2.9609084,9.013786,3.6478314,1116.4198,126.26054,-87.35211,2230.7605,405.03662,-83.4137,3044.218,763.8208,-67.96599
0.19355531,-8.236735,7.7038627,-0.060918566,-0.0062267887,0.07716008,4.0957427,10.522717,42.06676,15.037875,13.875154,0.0,0.0,-3.547226,6.762365,2.6490736,1162.0311,283.75815,-29.87388,2301.7542,483.37076,-23.073217,3087.0469,752.91016,-0.82422644
0.21748877,-5.94517,5.4315686,-0.041869354,-0.0077908724,0.08459923,4.7520213,11.197402,41.35508,13.702797,14.029731,0.0,1.6946474,-3.536785,5.2269564,2.051368,1161.0238,339.27225,-87.31553,2287.7588,525.7293,-81.551056,3100.2002,716.5589,-66.99899
0.23656572,-5.414573,5.1919837,-0.038864743,-0.0074446723,0.06017712,5.2175136,11.690671,43.331432,13.300216,0.0,0.0,0.0,0.0,0.0,0.0,1172.149,373.39005,-85.68902,2307.3625,636.5539,-80.85538,3047.8113,790.48047,-66.58996
0.25598645,-4.5720544,3.801122,-0.0537875,-0.009803005,0.0640213,7.2295876,10.98977,42.33623,11.9761,36.96718,0.0,0.0,4.083494,5.5530033,8.607529,861.1455,621.977,-114.25087,1957.0377,625.37067,-81.421715,2889.1912,656.56976,-73.660675
0.27702132,-4.209949,2.3923867,-0.032413,-0.01502112,0.058214813,11.180121,9.727005,36.06653,4.754318,36.998623,0.0,0.0,4.1992316,3.5148814,9.653683,615.55597,883.6097,0.0,1689.8158,644.18805,-16.801521,2680.5056,652.0328,-10.54434
0.3129613,-4.0522456,2.0157835,0.0016338689,-0.022687802,0.07157125,14.058331,6.17716,27.25133,-5.2408357,37.02493,0.05546996,1.503639,2.2095459,-0.78359324,12.238166,342.09518,1147.339,0.0,1387.6753,611.3971,-12.948499,2554.8682,586.7714,-13.709457
0.3520303,-2.976431,0.5414847,0.014229958,-0.025954673,0.068894364,15.028595,0.07434591,20.848335,-12.591067,37.037773,0.05546996,1.503639,0.32436252,-3.052971,7.9839544,376.16638,1079.7711,0.0,1426.2572,689.0842,-72.72264,2511.7505,911.17303,-73.780495
0.4042929,-2.049546,0.6892304,0.014169276,-0.02670108,0.08793032,14.752187,-6.424845,18.597788,-12.650601,0.0,0.0,0.0,0.0,0.0,0.0,398.5032,1014.2417,-201.0,1457.5063,682.6684,-137.34283,2489.0105,989.64435,-136.89684
0.43938026,-3.5086133,3.8862123,-0.019096363,-0.021486314,0.13461407,16.668947,-8.966627,23.341827,-4.4671884,0.0,0.0,0.0,0.0,0.0,0.0,420.34167,986.2624,-201.0,1467.768,697.8035,-201.0,2389.4656,1052.0048,-201.0
