Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.1486488,-1.142296,5.382293,0.060172033,0.008526306,0.08381537,3.078955,-4.2337956,-0.26803875,-0.30906597,14.198059,0.0,0.0,-10.6031,-135.1364,-108.49283,610.25995,1016.483,-5.8705287,1626.0463,856.4949,-18.294737,2538.2822,985.0568,-24.300346
0.5784297,-8.4041395,16.89074,0.01751517,-0.004397916,0.91550034,13.984807,2.7554486,4.080048,-0.5066444,15.626592,0.0,0.0,-6.980219,-69.48483,-40.212345,776.2021,1209.6377,-9.354492,1868.4609,966.0962,-20.276075,2821.9211,856.83014,-26.195688
0.93953675,-16.148851,26.94078,-0.028908206,-0.021436187,1.3945326,28.862549,9.027615,10.815434,-2.460824,17.083141,0.0,0.0,-3.5138142,-3.2116144,28.423635,931.11395,1316.7963,-12.846768,2041.0776,973.51874,-21.384138,3121.4648,596.5879,-28.24079
1.1657138,-17.825443,28.262129,-0.02670289,-0.0367326,1.7781719,36.098976,7.211134,10.553841,-7.3747063,17.13724,0.0,2.345071,-2.982961,-2.100315,28.889914,839.35474,1572.043,-13.503184,1962.1351,1032.905,-22.224241,3204.9846,584.8408,-28.844109
1.0963794,-18.335007,27.533812,-0.035803035,-0.040763903,1.4262705,40.471756,5.9932747,11.6054735,-7.804876,17.178877,0.0,2.314781,-3.461602,-1.7044631,29.82241,795.46655,1395.5947,-10.697709,1858.7695,920.1592,-21.13724,3189.0808,552.98785,-30.17661
1.0732464,-17.765211,27.962713,-0.04167748,-0.041465357,1.3166546,40.86987,6.0318527,9.64659,-5.4311223,17.165733,0.0875545,2.1144462,-4.096746,-2.3601866,29.129044,785.89014,1321.3916,-7.8864913,1855.8402,987.25415,-20.758896,3148.22,824.25397,-30.837564
1.0547658,-18.267054,28.791914,-0.040334195,-0.040002733,1.2714075,40.629436,7.536203,10.977433,-4.53162,18.120007,0.09429693,1.9141115,-4.6810226,-0.29403177,28.767374,844.3177,1293.7113,-4.478255,1894.1554,947.48114,-18.639465,3150.966,739.5359,-31.279093
1.0397118,-16.763857,27.444605,-0.03391807,-0.040020313,1.1436825,40.145367,5.1189914,9.826001,-5.63966,19.039116,0.10778179,1.7440668,-4.3828344,2.6354308,28.846443,832.4209,1383.6566,-4.334493,1901.6622,971.21564,-18.606138,3189.1497,663.9197,-31.127798
1.0345036,-16.469175,27.605042,-0.014623634,-0.035527695,1.2834412,39.470554,4.0144005,9.410048,-7.08999,19.992462,0.10778179,1.7440668,-3.98884,6.021473,28.794615,867.73956,1467.9491,-6.5852184,1898.8882,912.90314,-18.69453,3244.3103,360.41513,-30.386793
1.0536258,-15.6998625,27.39084,-0.011087727,-0.03488352,1.2713739,40.237446,2.8916042,6.4199524,-7.0887527,19.99085,0.10778179,1.7440668,-3.2678576,6.004067,25.26718,849.22705,1438.3561,-6.3140583,1854.5143,934.6086,-19.22658,3242.168,387.20776,-27.283684
1.1007355,-15.554329,27.733612,-0.0063518584,-0.031299457,1.2045698,39.830612,2.955745,7.581612,-6.1902084,19.999887,0.107731156,1.3906898,-2.921976,5.875692,21.072214,665.46405,1788.1217,-7.501602,1517.0771,1192.6991,-14.083751,2790.9417,565.7105,-23.35657
1.1751331,-14.214282,25.193861,-0.0063916,-0.034593284,1.0235819,35.98148,2.376106,8.261497,-9.390846,19.997046,0.10768052,1.037313,-2.566621,4.939756,18.437204,481.57178,1710.4598,-4.565923,1364.4644,1299.4677,-13.633248,2454.6406,935.4074,-21.19304
1.3404385,-13.149247,21.345163,-0.013015654,-0.031564206,0.9632275,29.160063,7.0079846,12.863452,-16.859879,19.998413,0.07357799,1.372386,-2.9032714,2.9962494,17.651346,350.9528,1676.253,-4.16555,1206.7921,1406.2953,-12.524329,2234.6904,976.41504,-21.152626
1.4825548,-10.657524,15.21376,-0.010815725,-0.03225316,1.023979,20.999418,10.8502035,13.031991,-27.191366,20.00297,0.039526116,2.0608358,-3.6741025,1.0605572,17.41124,422.24496,1162.0874,-2.274937,1392.438,1154.0132,-16.688389,2459.2812,669.2244,-21.616707
1.5951122,-7.3870044,9.203881,-0.008571147,-0.02726225,0.9680689,15.653541,12.177292,15.672478,-33.52975,19.998495,0.0054742307,2.7492857,-4.0790753,0.7071721,18.261988,417.3074,1069.7511,-1.9432116,1374.1034,992.9783,-16.135843,2553.869,245.81877,-21.925837
1.5701103,-6.617952,8.263935,-0.019037701,-0.027076721,0.9109158,14.53712,11.468484,15.692604,-32.55438,19.983295,0.0054742307,2.7492857,-4.208937,0.9815442,20.102621,424.79245,1013.1177,-1.774106,1418.8197,911.76825,-16.241867,2613.5464,115.52378,-23.290642
1.4664392,-7.219195,9.29976,-0.02177959,-0.029970733,0.8435487,15.699108,11.740974,15.550721,-31.352493,18.789114,0.0054742307,2.7492857,-3.8965845,0.30716547,21.717001,430.9012,1014.7425,-2.2039206,1441.3461,928.988,-16.863531,2674.0232,185.11891,-24.874191
1.351965,-9.411362,12.623997,-0.029282706,-0.034631602,0.83237594,18.567932,12.184597,13.612943,-26.703371,17.812613,0.0054742307,2.7492857,-3.7214642,-0.61535597,18.953972,348.6169,1329.2373,-2.619428,1359.6185,1128.3744,-15.553853,2589.203,503.61328,-22.365507
1.2391608,-11.3621025,15.579358,-0.02218073,-0.034609538,0.7927441,21.337057,11.800496,12.0506935,-24.887316,16.883615,0.06660772,2.379454,-3.2115002,-0.7194622,20.66873,398.6791,1423.2988,-2.4351041,1486.8657,1053.1149,-15.389674,2763.3582,450.9852,-23.498804
1.1934372,-12.838702,17.240646,-0.011796915,-0.036157403,0.75798064,25.789701,9.548442,11.781555,-20.162325,16.920387,0.097174466,2.0096223,-2.983969,0.25493225,21.257456,507.79395,1517.3589,-2.6803741,1610.4727,941.8169,-15.058452,2921.4902,441.196,-23.045334
1.1305491,-14.257004,18.769152,-0.0079967305,-0.031632233,0.6535195,28.965164,8.876614,11.6505785,-16.709398,16.939507,0.0,1.3138653,-2.5643628,0.7847945,22.787836,588.2609,1354.9838,-3.0872529,1677.2831,1019.91846,-16.20852,2799.097,456.94363,-23.65574
1.0959929,-13.816329,18.102737,-0.0105224075,-0.033906665,0.6402115,30.789446,5.930149,9.929733,-17.246153,16.916656,0.062426228,1.0531429,-2.6318073,1.0911099,19.17326,555.1068,1346.585,-3.0734932,1484.3658,1412.3607,-14.4339285,2367.7205,762.09283,-19.305536
1.0548134,-13.771363,18.895157,-0.01336674,-0.03166222,0.6244217,31.218729,4.84181,10.174557,-16.56775,16.968002,0.059035372,0.5737603,-3.0289307,1.0648831,15.588918,554.2737,1405.2316,-2.8253963,1482.4518,1456.3346,-13.326053,2363.785,750.79254,-15.338005
1.0639738,-13.794595,21.212158,-0.024005154,-0.03216201,0.75017625,33.48976,3.5176537,7.7156386,-12.709286,16.728329,0.053686555,0.42030275,-4.319387,-0.25737762,13.001294,542.0284,1410.14,-1.9209036,1427.4469,1331.9434,-10.149735,2393.2192,666.4747,-12.402928
1.057277,-13.520851,22.29302,-0.02332989,-0.033134528,0.85905284,35.125942,2.4719062,5.236863,-8.21055,16.494265,0.0,0.4703885,-6.4436417,-2.3773544,9.971928,523.8073,1428.9581,-0.91436905,1391.3691,1168.1261,-5.462334,2386.9248,596.1765,-7.238767
1.0603756,-13.008256,21.974516,-0.01360502,-0.028075933,0.8922486,34.036755,1.1791428,5.852491,-4.892545,16.588205,0.020959051,0.7391343,-6.969322,-3.9476204,7.4999123,585.65204,1431.919,0.6502597,1416.0934,1160.0914,-0.3886498,2416.295,654.5113,-1.1706253
2.0320399,-6.5152755,13.186578,-0.0077512884,-0.015466773,1.8811154,25.528082,-8.422027,15.713395,-9.604574,16.810461,0.020959051,1.0078802,-6.2134147,-4.0531096,8.895081,682.351,1255.7904,-3.1803749,1443.9252,1269.6218,0.3008636,2482.7825,645.33795,-0.7249444
2.9594736,-2.9948294,9.85594,-0.011902464,-0.0004208352,2.5302036,17.893564,-14.578382,25.81825,-8.785843,17.006006,0.020959051,1.0078802,-4.476181,-4.0391984,10.996654,895.02124,1056.9237,-6.239988,1794.7848,1000.3362,-3.4919798,2921.0723,633.4183,-3.506758
3.7401762,0.060798805,6.734463,-0.052476224,0.01065464,3.1243393,11.939227,-18.214983,33.419754,-8.269401,16.972815,0.022679543,0.79009944,-3.7044113,-4.4033313,13.110402,929.8737,836.3343,-9.6071825,1873.2988,927.97626,-6.504265,2896.3984,749.1397,-7.0604362
3.4340115,-4.2714334,12.584531,-0.076195866,0.003189041,2.7126873,12.14117,-10.625638,34.29314,-4.655388,17.003916,0.024400035,0.5723186,-3.6485376,-4.495145,13.239254,1126.5602,713.62726,-7.6455836,2209.452,611.3406,-7.7719,3254.7402,670.30963,-5.755509
3.1547525,-4.32024,11.215054,-0.08062873,-0.0020980274,2.8047092,10.214377,-4.6857333,35.570194,-7.8580685,17.175352,0.026120523,0.35453784,-3.059474,-3.3240223,15.156386,1215.1581,666.1882,-7.7436295,2212.698,605.4918,-7.349196,3235.2969,655.6131,-4.344324
2.8723907,-6.7205563,13.762688,-0.061972037,-0.006485851,3.0582511,8.96728,3.4377224,35.654175,-7.7999654,17.257452,0.026120523,0.35453784,-3.0034027,-3.0957863,16.035418,1288.5428,588.6566,-8.135476,2234.8938,498.01636,-9.092419,3279.5498,587.69104,-3.6298916
2.602825,-7.311741,13.460521,-0.044802267,-0.0089521855,2.9658413,8.460086,8.38697,33.215916,-10.298279,17.250998,0.018174188,0.49641213,-2.6415207,-3.5009005,17.425846,1287.0011,687.5705,-8.992368,2214.3179,467.306,-10.830879,3263.3372,554.03595,-4.637171
2.2908547,-10.948418,17.261475,-0.035149813,-0.012468457,2.5023568,10.256475,15.027335,30.499395,-10.103203,17.249916,0.010227851,0.63828635,-2.726474,-3.6781979,19.895382,909.0959,939.28876,-0.67605084,1921.7446,532.1995,-12.127941,2988.743,434.7247,-6.8924484
2.014255,-11.7931185,17.552443,-0.026157625,-0.019038906,1.8543755,11.605374,17.236235,29.312815,-12.458909,17.350395,0.0049828794,1.3309668,-2.5182831,-2.8834174,24.914206,555.83374,1207.2042,8.352313,1696.8383,657.553,-10.306285,2674.049,451.80124,-10.688663
1.8361698,-13.778552,18.308794,-0.012883366,-0.02322873,1.581336,13.952525,19.167376,31.74346,-14.239747,17.337822,0.006333562,1.881773,-2.3126764,-3.0499325,26.211548,239.62292,1347.2606,17.258638,1476.4692,748.5452,-7.336188,2421.3093,458.24442,-11.938079
1.6639704,-14.501522,17.518576,-0.012103465,-0.023607949,1.2751188,16.076866,19.030401,31.196114,-12.6535635,17.225954,0.0,2.3947818,-2.207838,-4.030019,27.618315,560.53925,1285.0883,0.0,1772.3351,879.34625,-6.702296,2655.8743,462.99362,-14.48455
1.5209335,-15.359582,19.915201,-0.0061740153,-0.0195983,1.3617144,18.5063,17.199417,28.001558,-9.453023,17.217262,0.04841305,2.3569844,-1.8077666,-3.9586875,28.401667,896.5931,1097.6957,-6.306929,2092.3127,918.1342,-10.988343,2964.972,432.94504,-15.36116
1.4454781,-16.16458,21.927118,-0.01051731,-0.017268615,1.4890145,21.86798,15.347542,20.232483,-6.1485047,17.227585,0.04841305,2.319187,-1.8559297,-3.8101594,30.016638,1191.5189,1178.899,-5.94264,2226.0146,1017.6657,-12.542579,3286.1243,338.23096,-17.026365
1.3992295,-17.026024,22.799715,0.0059329183,-0.020156974,1.6999599,24.982437,14.392994,19.271315,-7.1486588,17.194439,0.043031234,2.0707452,-1.547339,-4.060768,26.97468,935.0579,1211.9437,-2.8676186,1989.2638,1111.8878,-10.990209,2920.3088,638.6945,-13.956744
1.4110174,-17.611742,21.828407,0.00981925,-0.024193168,1.6069242,28.527544,13.771659,17.203547,-11.081729,17.17021,0.03764942,1.8223038,-2.0553865,-4.4321823,27.649109,845.97876,1408.555,-2.2810795,1770.903,1197.2529,-8.14519,2910.5977,497.0275,-14.774783
