Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0032300716,5.048243,2.1307123,0.06681333,0.011387375,1.7525761e-05,-8.1168785,-2.2820494,-0.22385804,1.399991,0.0,0.0,0.0,0.0,0.0,0.0,567.25726,776.0135,-201.0,1469.6353,880.37714,-201.0,2388.2188,930.7972,-201.0
0.0033386599,4.560095,3.0436275,0.059928734,0.013243093,3.5286124e-05,-8.313907,-0.2481234,1.1803411,2.4480228,0.0,0.0,0.0,0.0,0.0,0.0,591.2223,772.49615,-201.0,1478.841,841.8286,-201.0,2417.14,1002.9155,-201.0
0.0035203665,3.249325,3.7703116,0.054920327,0.010928977,5.0605435e-05,-7.165764,2.6003554,1.2636101,1.1140512,0.0,0.0,0.0,0.0,0.0,0.0,595.2736,832.49054,-201.0,1512.4022,866.3049,-201.0,2437.4973,1106.0918,-201.0
0.0031214657,2.473189,4.7486253,0.055206507,0.0055003837,5.0047413e-05,-6.2905917,3.124305,-1.1826197,-3.6971867,0.0,0.0,0.0,0.0,0.0,0.0,566.66144,876.21735,-201.0,1518.5131,853.4858,-201.0,2458.319,970.8112,-201.0
0.002878472,3.2626407,3.312369,0.05496018,0.00684106,4.2507614e-05,-6.9494934,2.9357383,-0.75287396,-0.56957465,0.0,0.0,0.0,0.0,0.0,0.0,578.39136,852.12305,-201.0,1452.0537,909.2285,-201.0,2445.494,827.0064,-201.0
0.0029294908,1.6039633,5.2076244,0.046372652,0.009786359,5.785808e-05,-5.4637933,4.988161,2.4972427,4.250543,0.0,0.0,0.0,0.0,0.0,0.0,595.2583,921.16,-201.0,1531.1556,909.21924,-201.0,2280.5852,1086.1678,-201.0
0.0042494056,-1.0569724,8.260033,0.03310795,0.01197207,0.00012787148,-2.4789734,7.7394376,8.97052,10.363746,0.0,0.0,0.0,0.0,0.0,0.0,541.41315,1140.4777,-201.0,1492.3672,854.59406,-201.0,2251.4753,1107.2631,-201.0
0.0059912778,-7.353161,15.274857,0.012777028,0.0051675444,0.0003088092,4.3243117,12.223092,10.782443,9.407337,0.0,0.0,0.0,0.0,0.0,0.0,455.56772,1298.4639,-201.0,1506.9794,793.97235,-201.0,2259.4968,1088.2914,-201.0
0.0076552792,-9.048309,17.258192,0.002310388,0.0030927116,0.0003883885,6.2118945,11.374061,10.863385,10.258007,0.0,0.0,0.0,0.0,0.0,0.0,405.67383,1285.0966,-201.0,1368.0679,755.6472,-201.0,2413.3677,660.094,-201.0
0.00868738,-10.87001,18.910624,-0.0065663145,0.0020854408,0.0004479566,8.3837805,10.2377405,9.421416,12.038821,0.0,0.0,0.0,0.0,0.0,0.0,424.0193,1306.3624,-201.0,1371.6234,865.2923,-201.0,2394.141,777.93,-201.0
0.009552746,-9.441752,16.304596,-0.013886511,0.005563485,0.00040278374,8.3098135,3.972936,9.601327,17.459099,0.0,0.0,0.0,0.0,0.0,0.0,454.2091,1244.6625,-201.0,1387.934,875.46173,-201.0,2340.0469,857.90674,-201.0
0.0102826655,-9.632274,15.617271,-0.024476767,0.008219554,0.00040505306,9.470628,1.1289569,11.258298,23.266253,0.0,0.0,0.0,0.0,0.0,0.0,681.51764,1117.0463,-201.0,1635.7096,866.7402,-201.0,2671.3616,796.47314,-201.0
0.011018957,-10.239938,14.971717,-0.046551257,0.013972421,0.0005644343,10.246043,-1.0452671,13.26445,27.683584,0.0,0.0,0.0,0.0,0.0,0.0,918.1805,836.3326,-201.0,1899.4268,775.5783,-201.0,3031.283,635.4959,-201.0
0.012072242,-9.374642,13.817439,-0.046735924,0.016098348,0.0007841063,9.415171,-1.1426884,13.87074,28.527864,0.0,0.0,0.0,0.0,0.0,0.0,940.10724,871.3743,-201.0,1877.86,845.521,-201.0,3003.2087,624.2818,-201.0
0.013402176,-11.367241,15.50813,-0.06288893,0.016100587,0.0015732754,10.399313,-0.9180751,14.538811,27.841284,0.0,0.0,0.0,0.0,0.0,0.0,706.6268,1112.265,-201.0,1618.5231,993.50415,-201.0,2600.887,773.4612,-201.0
0.014120973,-11.930192,16.077787,-0.07400426,0.009966876,0.0017640479,10.555942,-0.816448,13.249844,23.917374,0.0,0.0,0.0,0.0,0.0,0.0,491.28333,1225.7723,-201.0,1378.2906,1086.0887,-201.0,2262.315,819.331,-201.0
0.014256888,-15.697086,20.203585,-0.08573634,0.0075170845,0.0018075095,12.006406,3.4703248,16.32094,22.904884,0.0,0.0,0.0,0.0,0.0,0.0,719.882,1082.9535,-201.0,1680.8073,963.84064,-201.0,2657.346,734.1091,-201.0
0.013174023,-18.650488,24.288948,-0.08978579,0.007853326,0.0015510143,11.553619,10.359619,19.686543,22.00968,0.0,0.0,0.0,0.0,0.0,0.0,942.3228,847.95654,-201.0,1950.7094,726.64526,-201.0,2993.0671,578.1943,-201.0
0.012736585,-21.29946,28.427946,-0.08424201,0.0073305885,0.0017875164,11.9817505,16.122784,22.52212,21.522469,0.0,0.0,0.0,0.0,0.0,0.0,1211.6505,792.1253,-201.0,2236.034,685.75415,-201.0,3359.6174,487.64786,-201.0
0.012250734,-24.57988,32.72853,-0.09142164,0.00319455,0.0027989578,12.246945,21.664604,26.586578,20.127562,0.0,0.0,0.0,0.0,0.0,0.0,1289.4028,803.5811,-201.0,2266.4863,699.3143,-201.0,3369.619,423.1085,-201.0
0.013589275,-23.97473,33.362457,-0.07798811,-0.0008509368,0.0034562915,14.646464,21.774324,23.62861,16.752314,0.0,0.0,0.0,0.0,0.0,0.0,1340.055,937.586,-201.0,2423.7458,1179.7758,-201.0,3310.2688,510.10486,-201.0
0.013901665,-26.694138,36.077297,-0.09075976,0.0021949615,0.0050210836,15.389272,24.09624,27.482712,18.667784,0.0,0.0,0.0,0.0,0.0,0.0,1289.8848,1142.4598,-201.0,2333.9968,1089.0955,-201.0,3260.4114,538.6429,-201.0
0.015911283,-25.247671,35.09141,-0.07899487,0.006154752,0.0054242634,16.793774,21.837683,21.876348,16.489573,0.0,0.0,0.0,0.0,0.0,0.0,1184.1333,1271.784,-201.0,2351.4568,1266.668,-201.0,3205.8796,659.1663,-201.0
0.018618247,-24.235657,33.017933,-0.08659187,0.007041967,0.00562009,14.1078,19.723436,26.852713,18.397995,0.0,0.0,0.0,0.0,0.0,0.0,1222.7245,1077.3204,-201.0,2244.943,998.79083,-201.0,3233.446,629.48456,-201.0
0.02533547,-19.814348,27.891424,-0.06592438,0.0006211225,0.0052546314,14.493621,14.430823,21.463982,15.899628,0.0,0.0,0.0,0.0,0.0,0.0,938.4633,1131.29,-201.0,1995.8315,1153.1512,-201.0,2900.8372,735.52704,-201.0
0.031765345,-16.98862,23.262201,-0.07010824,-0.001436688,0.0060709207,14.5434885,10.354474,21.377022,18.98294,0.0,0.0,0.0,0.0,0.0,0.0,684.5078,1215.7607,-201.0,1653.3281,1106.9789,-201.0,2548.9753,805.52655,-201.0
