Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0033607173,3.7673314,4.4774933,0.055368382,0.013886397,1.704987e-05,-6.3574157,-0.6151914,-1.8268384,-2.6221952,0.0,0.0,0.0,0.0,0.0,0.0,563.7669,782.2292,-201.0,1387.4178,833.134,-201.0,2436.7483,438.6499,-201.0
0.0033507803,3.3329427,5.4879775,0.053060617,0.012197889,3.413657e-05,-6.17872,0.16020507,-3.6207485,1.5685803,0.0,0.0,0.0,0.0,0.0,0.0,565.9666,775.65216,-201.0,1390.8942,840.4893,-201.0,2440.679,527.05743,-201.0
0.0033736527,3.4541683,6.170654,0.047934648,0.01794258,5.173724e-05,-6.288626,-1.1110544,-2.279114,5.508924,0.0,0.0,0.0,0.0,0.0,0.0,575.20544,662.6719,-201.0,1486.3594,842.83136,-201.0,2413.178,825.7107,-201.0
0.0034584189,3.3683965,5.8030257,0.051221255,0.020294026,5.2971012e-05,-4.336433,-3.560892,-0.34263995,3.662511,0.0,0.0,0.0,0.0,0.0,0.0,567.5961,642.2881,-201.0,1524.276,878.3711,-201.0,2380.0254,892.9895,-201.0
0.0036010642,2.7654848,5.1145287,0.06194297,0.020043137,5.9725484e-05,-4.560161,-4.4946117,-0.007267793,-1.2560815,0.0,0.0,0.0,0.0,0.0,0.0,553.4628,698.6958,-201.0,1560.4572,887.3781,-201.0,2343.6106,933.23584,-201.0
0.003335178,2.9518573,4.3021245,0.06849714,0.018751996,6.488768e-05,-3.7721174,-3.7113721,-0.6778739,-1.5537577,0.0,0.0,0.0,0.0,0.0,0.0,568.93915,826.396,-201.0,1452.2382,1012.78467,-201.0,2360.049,719.5974,-201.0
0.0027104944,2.8001492,4.199104,0.069868684,0.017453805,6.346468e-05,-4.5599704,-0.12392529,-0.68805856,-1.0495262,0.0,0.0,0.0,0.0,0.0,0.0,614.77094,1198.6481,-201.0,1298.87,979.43207,-201.0,2314.5662,580.6753,-201.0
0.0028735166,1.5444742,5.557326,0.0485266,0.01839004,9.130085e-05,-2.1855085,3.5194101,3.4408112,3.9923122,0.0,0.0,0.0,0.0,0.0,0.0,592.7979,1289.0482,-201.0,1234.266,920.0972,-201.0,2343.2017,477.14185,-201.0
0.0030620073,0.9952939,5.1134715,0.04410575,0.015744295,0.000105857696,-2.4299357,5.2521048,5.1090903,5.1857677,0.0,0.0,0.0,0.0,0.0,0.0,570.4382,1240.3021,-201.0,1260.4049,747.5031,-201.0,2368.5305,457.85352,-201.0
0.003910709,-1.8571787,7.6605353,0.031754803,0.014948468,0.00011790259,-0.24880536,8.530494,7.1239285,9.09343,0.0,0.0,0.0,0.0,0.0,0.0,433.3121,1266.0443,-201.0,1302.9415,791.6496,-201.0,2397.0056,487.09897,-201.0
