Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0023433708,5.337137,0.4260992,0.070675574,0.011495267,1.5530815e-05,-8.82078,-2.2453866,-4.430685,-3.6129825,0.0,0.0,0.0,0.0,0.0,0.0,497.95944,691.6726,-201.0,1495.4684,727.12036,-201.0,2383.6943,692.6232,-201.0
0.0023736723,5.288009,0.2808691,0.07451919,0.011178747,3.0553583e-05,-8.695607,-2.1924021,-4.461181,-3.7391908,0.0,0.0,0.0,0.0,0.0,0.0,496.25488,689.9582,-201.0,1498.7479,724.8828,-201.0,2384.1377,691.4954,-201.0
0.002137656,5.3079658,0.26406536,0.08003298,0.01160854,3.7339767e-05,-7.72913,-1.0347575,-3.5124874,-3.1736968,0.0,0.0,0.0,0.0,0.0,0.0,489.0873,708.4055,-201.0,1494.6364,733.3188,-201.0,2381.7817,697.8826,-201.0
0.0016874553,5.8136287,-0.12842639,0.087973274,0.014241159,2.5014006e-05,-8.2687235,0.7465828,-1.6799825,0.04619275,0.0,0.0,0.0,0.0,0.0,0.0,507.75708,761.0,-201.0,1454.2032,782.51215,-201.0,2398.1223,741.47833,-201.0
0.0015632348,5.895405,0.00031146096,0.08904288,0.014731668,1.1748027e-05,-8.204867,0.9321447,-1.4206535,0.37804022,0.0,0.0,0.0,0.0,0.0,0.0,498.23767,788.7351,-201.0,1444.5968,794.87726,-201.0,2394.097,749.67236,-201.0
0.0024477364,2.2425961,4.797377,0.060400378,0.006742625,4.8972084e-05,-5.4470515,1.3743268,-3.462005,0.05631512,0.0,0.0,0.0,0.0,0.0,0.0,485.77002,782.4126,-201.0,1435.7681,749.4626,-201.0,2429.6875,649.713,-201.0
0.0033169154,-1.4896297,9.205433,0.039743964,0.0020739876,6.519489e-05,-1.2037603,2.5822525,-3.8703032,-2.0967166,0.0,0.0,0.0,0.0,0.0,0.0,470.87683,791.7341,-201.0,1420.361,729.13947,-201.0,2431.2754,529.9632,-201.0
0.004082523,-4.245517,12.993798,0.025938729,-0.00052576483,9.6294185e-05,2.6391973,3.6181948,-5.0108614,-1.3540732,0.0,0.0,0.0,0.0,0.0,0.0,506.1882,946.16644,-201.0,1443.1758,1153.8359,-201.0,2325.998,714.6906,-201.0
0.0047243377,-3.949445,13.287993,0.015367563,0.008810972,0.00011924831,0.15586774,4.342314,0.26918316,4.873488,0.0,0.0,0.0,0.0,0.0,0.0,452.83078,1877.0211,-201.0,1288.66,1158.9373,-201.0,2243.9138,886.4658,-201.0
0.0054937718,-5.4793563,15.57051,-0.008333234,0.014248128,0.00020469597,-0.7894857,7.962108,4.52043,12.642807,0.0,0.0,0.0,0.0,0.0,0.0,470.22165,2095.9744,-201.0,1236.1306,1287.73,-201.0,2200.2551,935.2419,-201.0
0.006924583,-7.813021,18.261908,-0.03948806,0.015509188,0.0003263461,-1.5366384,9.674327,7.095925,15.157977,0.0,0.0,0.0,0.0,0.0,0.0,508.80566,1974.0941,-201.0,1102.2567,1380.5433,-201.0,2237.1287,638.0319,-201.0
0.007997517,-8.065415,19.628508,-0.043724064,0.011872746,0.0003713332,1.0928802,7.6153007,2.7276037,11.274562,0.0,0.0,0.0,0.0,0.0,0.0,615.46185,1060.8875,-201.0,1226.4628,1771.9977,-201.0,2223.1155,509.84424,-201.0
0.008814651,-8.066562,20.91945,-0.046047438,0.007165162,0.0004162132,2.2823129,5.849428,-2.5357697,6.614589,0.0,0.0,0.0,0.0,0.0,0.0,657.52844,990.4375,-201.0,1164.4845,1908.4337,-201.0,2256.175,483.30844,-201.0
0.008728887,-9.422684,22.968538,-0.05372374,0.008107186,0.00037742304,3.817672,7.5762963,-4.3144546,6.8718133,0.0,0.0,0.0,0.0,0.0,0.0,717.1071,1011.75214,-201.0,1528.6957,1322.2402,-201.0,2601.743,608.8462,-201.0
0.009038855,-12.476966,25.367332,-0.057431296,0.007755564,0.0004244758,5.009167,11.686879,-2.7813895,6.4467583,0.0,0.0,0.0,0.0,0.0,0.0,802.6966,1057.0975,-201.0,1817.3356,886.38135,-201.0,2946.929,644.66,-201.0
0.010373014,-12.329822,23.62702,-0.05248608,0.010252001,0.00046831617,2.4416866,11.582066,4.316998,6.880505,0.0,0.0,0.0,0.0,0.0,0.0,840.35474,963.1049,-201.0,2103.1912,606.74164,-201.0,3152.0488,729.79364,-201.0
0.013224832,-10.612594,20.785255,-0.042177394,0.006222286,0.000627575,0.98328084,13.318588,9.256112,1.8650627,0.0,0.0,0.0,0.0,0.0,0.0,791.0256,1256.3038,-201.0,1699.5724,971.5721,-201.0,2895.4336,523.77057,-201.0
0.016431874,-10.56594,19.32354,-0.047311407,0.005338859,0.001290462,0.676799,16.24662,12.832985,0.0972478,0.0,0.0,0.0,0.0,0.0,0.0,852.6783,1318.1025,-201.0,1815.2706,837.5789,-201.0,2851.9343,646.6121,-201.0
