Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005931699,-1.7051463,13.375882,0.0038198794,0.019790782,4.2103038e-05,-6.2620583,-2.5835576,0.0670658,7.520247,0.0,0.0,0.0,0.0,0.0,0.0,565.314,469.65738,-201.0,1510.7074,577.0357,-201.0,2506.8635,598.12286,-201.0
0.005770098,-2.2202475,13.884133,0.0020472647,0.0157782,8.155715e-05,-7.169422,0.6950523,-1.2775115,6.1541023,0.0,0.0,0.0,0.0,0.0,0.0,571.15814,507.29306,-201.0,1582.519,582.84247,-201.0,2506.1885,813.3488,-201.0
0.0056568454,-2.3544838,13.70556,0.015515477,0.014860864,0.000115785726,-7.2079606,2.4018009,-0.91144586,3.1447546,0.0,0.0,0.0,0.0,0.0,0.0,580.9663,596.0542,-201.0,1632.6162,658.1424,-201.0,2441.7708,976.6441,-201.0
0.0055024275,-3.024231,14.386785,0.011812073,0.020571912,0.00011337485,-6.983854,4.2029166,0.60355455,8.126396,0.0,0.0,0.0,0.0,0.0,0.0,611.8025,605.3129,-201.0,1641.4364,847.0564,-201.0,2434.677,1056.4911,-201.0
0.0054395557,-2.237813,13.31028,0.024463588,0.020984173,0.00011262186,-5.228596,3.6578102,3.7342732,9.180816,0.0,0.0,0.0,0.0,0.0,0.0,619.9849,817.9131,-201.0,1481.0522,915.57367,-201.0,2388.1523,856.52765,-201.0
0.0054060384,-2.8291035,13.64704,0.012641477,0.021755576,0.00012567408,-3.417333,5.6837273,6.4791245,13.020038,0.0,0.0,0.0,0.0,0.0,0.0,458.43567,1354.8135,-201.0,1289.6642,836.2264,-201.0,2443.3828,645.6844,-201.0
0.005557265,-3.6964092,13.616936,0.017483419,0.014023307,0.00014422147,0.1546747,8.015712,8.45295,10.262195,0.0,0.0,0.0,0.0,0.0,0.0,419.3395,1619.0687,-201.0,1235.8408,922.1148,-201.0,2391.7275,618.0718,-201.0
0.006039981,-5.902153,13.797878,0.005646402,0.011528049,0.00018861535,2.073394,10.356854,10.271778,8.681915,0.0,0.0,0.0,0.0,0.0,0.0,571.55096,1588.9858,-201.0,1535.2383,864.3537,-201.0,2657.3025,562.5452,-201.0
0.0067909365,-7.4300213,13.796571,0.022934636,0.00092404365,0.0002423622,4.95044,13.244969,10.969783,4.350469,0.0,0.0,0.0,0.0,0.0,0.0,669.68494,1205.5884,-201.0,1703.7909,892.6882,-201.0,2646.786,833.1899,-201.0
0.007243786,-10.146347,15.292727,0.010726533,0.0037621881,0.00037473455,5.9741607,16.150845,14.17923,8.79427,0.0,0.0,0.0,0.0,0.0,0.0,884.1719,1039.6564,-201.0,1943.0055,848.48926,-201.0,2871.4668,741.32,-201.0
0.0072969715,-11.5955,17.76826,0.019074488,-0.0018612106,0.00042855283,8.259543,18.67817,15.103416,9.416577,0.0,0.0,0.0,0.0,0.0,0.0,653.33075,1061.4005,-201.0,1746.796,821.5578,-201.0,2660.7644,956.4847,-201.0
0.007271415,-12.388413,19.608175,0.004077185,-0.00073861243,0.00045547067,8.727581,17.818138,13.723748,10.339472,0.0,0.0,0.0,0.0,0.0,0.0,660.3398,1079.3516,-201.0,1707.1166,874.47675,-201.0,2687.6667,853.31573,-201.0
0.0072380356,-11.357407,18.363298,0.0075829956,-0.0055754655,0.00038569744,8.9564495,17.517311,12.572522,5.276864,0.0,0.0,0.0,0.0,0.0,0.0,541.96106,1630.983,-201.0,1594.0533,856.2244,-201.0,2645.4504,810.7744,-201.0
0.008160607,-11.697085,17.080849,-0.00980922,-0.00097340095,0.00053179014,9.655259,16.106897,13.075364,3.171547,0.0,0.0,0.0,0.0,0.0,0.0,516.5392,1838.7115,-201.0,1500.6841,1046.357,-201.0,2668.3137,663.8725,-201.0
