Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,1.9609059,0.0,0.12243816,0.020470412,1.4010392e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0016908246,2.9538088,0.4455049,0.10271615,0.015143539,2.231678e-05,-0.86604834,-0.4962257,1.4660387,-1.247855,0.0,0.0,0.0,0.0,0.0,0.0,599.5428,662.7665,-201.0,1566.0413,788.7168,-201.0,2520.691,958.4037,-201.0
0.002997176,3.3449643,2.5991008,0.08144236,0.01071798,5.679629e-05,0.38300624,-2.9999983,0.4856205,-0.11702021,0.0,0.0,0.0,0.0,0.0,0.0,567.0787,779.5318,-201.0,1512.4629,870.19305,-201.0,2459.257,945.71875,-201.0
0.0049011786,0.7341935,6.57589,0.07636049,0.007721288,0.00011609401,3.1527798,-3.7842188,-1.8183817,-0.5060068,0.0,0.0,0.0,0.0,0.0,0.0,487.84814,1062.4232,-201.0,1408.0352,992.22784,-201.0,2332.09,925.7834,-201.0
0.006811105,-2.1608684,11.0871,0.0770796,0.0037524935,0.00019265425,6.9169326,-1.8662549,-1.6322227,1.7044827,0.0,0.0,0.0,0.0,0.0,0.0,456.88354,1108.8046,-201.0,1391.6895,963.8133,-201.0,2363.101,918.04364,-201.0
0.008011942,-4.628343,13.91338,0.080906875,-0.0022096795,0.00023172783,8.424098,2.046511,-1.1044798,-1.5891844,0.0,0.0,0.0,0.0,0.0,0.0,410.22095,1165.68,-201.0,1408.536,860.4538,-201.0,2425.8733,916.9365,-201.0
0.008883407,-6.38393,14.404613,0.075703,-0.009849388,0.00024156959,8.758282,4.301991,0.64432126,-4.671268,0.0,0.0,0.0,0.0,0.0,0.0,391.14526,1102.3433,-201.0,1456.7284,745.7388,-201.0,2495.7842,862.02814,-201.0
0.009372369,-6.9000373,14.240486,0.07840613,-0.012329638,0.00022797135,9.012563,4.7047977,-4.606283,-9.1494465,0.0,0.0,0.0,0.0,0.0,0.0,383.52393,1173.3632,-201.0,1473.3042,814.9902,-201.0,2576.7449,1214.6044,-201.0
0.010666729,-7.082123,13.635829,0.08759133,-0.014288365,0.00027882578,10.048945,3.1055887,-7.2492523,-11.724353,0.0,0.0,0.0,0.0,0.0,0.0,394.07776,1186.9288,-201.0,1483.349,947.5661,-201.0,2497.6768,1359.4498,-201.0
0.012001376,-7.04522,14.741712,0.10295668,-0.013262108,0.00031464474,11.397595,1.5590073,-9.390362,-13.119916,0.0,0.0,0.0,0.0,0.0,0.0,354.5269,1366.3053,-201.0,1450.2817,1153.3397,-201.0,2368.948,1498.7251,-201.0
