Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0052752704,0.6638444,10.030693,0.0119627835,0.003367558,3.217548e-05,-9.814588,5.31354,10.482552,3.351763,0.0,0.0,0.0,0.0,0.0,0.0,599.37946,986.23834,-201.0,1359.0137,339.1916,-201.0,2513.7307,615.87964,-201.0
0.0049962155,1.3573322,9.753928,0.020306757,0.0064239926,6.410656e-05,-9.096573,4.5161176,8.057229,4.405651,0.0,0.0,0.0,0.0,0.0,0.0,607.01245,898.8448,-201.0,1377.7379,437.81067,-201.0,2497.3525,610.4288,-201.0
0.004771136,2.3850393,8.243057,0.033313222,0.009308059,8.691892e-05,-8.153544,1.6551237,5.572659,4.841642,0.0,0.0,0.0,0.0,0.0,0.0,622.61163,846.7166,-201.0,1373.3755,568.55133,-201.0,2465.1365,633.2845,-201.0
0.004428997,2.7976494,7.32181,0.035217036,0.013292141,7.993126e-05,-7.6745677,0.08427405,2.0982816,4.311773,0.0,0.0,0.0,0.0,0.0,0.0,591.00543,531.6985,-201.0,1484.9332,622.9225,-201.0,2467.9397,696.0152,-201.0
0.0043106065,2.8061984,6.8532996,0.04852468,0.016402315,7.001215e-05,-6.9303164,-1.55909,1.155995,3.033787,0.0,0.0,0.0,0.0,0.0,0.0,603.96204,655.7447,-201.0,1470.998,852.8399,-201.0,2379.6897,768.81793,-201.0
0.0041879187,2.7206392,6.6646876,0.05545404,0.018586688,6.858199e-05,-5.920168,-2.030837,-0.42912126,1.9279308,0.0,0.0,0.0,0.0,0.0,0.0,599.6866,689.8726,-201.0,1535.5455,968.2935,-201.0,2357.2173,970.57666,-201.0
0.004317762,1.4558116,7.405895,0.051192384,0.011435931,7.584533e-05,-4.2424083,0.9974825,1.9710242,4.0913835,0.0,0.0,0.0,0.0,0.0,0.0,572.8693,823.8006,-201.0,1519.859,870.9759,-201.0,2402.3538,953.85187,-201.0
0.004710166,0.07886752,8.199569,0.028731778,0.003625486,9.586674e-05,-3.960655,2.6071346,0.7939454,3.2849019,0.0,0.0,0.0,0.0,0.0,0.0,535.50836,773.11005,-201.0,1506.7218,655.975,-201.0,2465.476,787.1618,-201.0
0.005063608,-2.3542006,11.020131,0.01273157,0.0011220407,0.00011232544,-2.1193428,6.9582534,3.029583,3.9771519,0.0,0.0,0.0,0.0,0.0,0.0,519.6918,850.5283,-201.0,1481.7305,640.3745,-201.0,2445.045,624.89404,-201.0
0.005326903,-2.9879751,12.041741,0.015471338,0.00085809716,0.000117311945,-0.57580465,5.954064,1.6176673,-1.2023784,0.0,0.0,0.0,0.0,0.0,0.0,511.9469,796.9038,-201.0,1527.4943,688.73883,-201.0,2407.942,617.96277,-201.0
