Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0054530916,-10.399636,20.855333,-0.0016173236,0.0071729706,2.9259418e-05,-8.620941,4.9996405,-4.0729647,10.37758,0.0,0.0,0.0,0.0,0.0,0.0,693.65875,1385.0509,-201.0,1297.413,1136.6157,-201.0,2240.427,803.2526,-201.0
0.0055076256,-10.124437,21.097727,-0.0035093017,0.010539082,5.804359e-05,-8.351331,6.1638665,-2.0716727,11.244606,0.0,0.0,0.0,0.0,0.0,0.0,744.61005,1626.7412,-201.0,1159.368,1085.2372,-201.0,2241.7708,748.09503,-201.0
0.0054105776,-10.318961,21.751488,-0.00011137562,0.01643382,8.933162e-05,-8.596972,8.094816,-1.635931,13.437184,0.0,0.0,0.0,0.0,0.0,0.0,732.91644,1556.8114,-201.0,1199.8811,963.92316,-201.0,2302.8909,812.94257,-201.0
0.0054661073,-9.822185,22.541262,-0.0017885066,0.01521108,8.897739e-05,-8.238063,6.625277,-1.5691557,11.351925,0.0,0.0,0.0,0.0,0.0,0.0,655.6538,1093.4648,-201.0,1353.311,850.9537,-201.0,2414.2654,764.1906,-201.0
0.005404914,-9.915565,22.741816,-0.0017089086,0.01237803,8.588253e-05,-9.114797,6.5048585,-0.4633418,11.442967,0.0,0.0,0.0,0.0,0.0,0.0,599.0267,841.4104,-201.0,1496.7451,741.9996,-201.0,2465.281,850.8135,-201.0
0.0055422653,-9.605556,22.121178,-0.013227411,0.01217204,8.610921e-05,-10.153932,4.798309,-0.3563858,9.646046,0.0,0.0,0.0,0.0,0.0,0.0,618.6192,798.7537,-140.13582,1525.232,835.89185,-146.34035,2452.1292,857.8663,-146.3072
0.0062277406,-8.329387,20.166924,-0.006744914,0.0145498365,0.00010677881,-9.114869,5.1524286,-1.7438107,7.1698756,29.674522,0.0,0.0,-4.5221047,-188.90277,-163.26376,664.62585,804.98535,-79.76412,1492.079,1348.409,-89.707726,2339.638,789.7678,-91.49082
0.010859949,-5.6976714,15.914203,0.02211716,0.014769468,0.00042944797,-6.0978947,4.181076,-5.7016335,1.1577352,28.875778,0.0,0.0,-3.563556,-126.59793,-99.944084,602.03125,824.5288,-16.679148,1455.0804,1365.2823,-32.578087,2346.0334,582.36993,-37.967022
0.09676889,-8.285844,16.893072,0.042733137,-0.005556027,0.060640786,5.8111653,7.7697196,-3.535394,-4.897696,27.07363,0.0,0.0,-1.8907188,-63.83742,-37.503704,745.71356,1239.1979,-20.914001,1726.9977,1477.2723,-33.70274,2684.9805,460.83618,-38.491627
0.54926914,-14.746211,24.298073,0.040592823,-0.023249254,1.5390836,18.273155,17.919586,-1.8306179,-3.602642,25.288132,0.0,0.0,-1.2682027,-2.9683256,24.345934,804.7617,1464.9604,-23.601225,1975.5424,1230.8085,-36.97035,3022.0781,545.1077,-39.735096
