Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0053034197,-0.6673205,10.742756,0.030141339,0.01103697,3.986848e-05,-5.0531964,3.1479845,-0.9697375,0.68783116,0.0,0.0,0.0,0.0,0.0,0.0,559.13965,550.7027,-201.0,1579.0385,600.07355,-201.0,2575.605,617.15094,-201.0
0.005259477,-0.20108855,10.732888,0.029868478,0.0060412963,6.808727e-05,-5.570215,2.6427915,-1.2466339,-1.5341638,0.0,0.0,0.0,0.0,0.0,0.0,565.3078,594.64703,-201.0,1553.8356,669.0666,-201.0,2507.9033,596.6669,-201.0
0.0051296167,1.2870785,9.7446375,0.02498901,0.008393924,9.921731e-05,-8.737259,0.5357444,0.3328724,-0.6760252,0.0,0.0,0.0,0.0,0.0,0.0,587.85345,498.65146,-201.0,1543.5137,667.0879,-201.0,2471.633,609.50433,-201.0
0.005276203,0.4721922,10.292529,0.01277827,0.010197687,9.728397e-05,-7.7054534,0.09986999,3.4629993,1.4467293,0.0,0.0,0.0,0.0,0.0,0.0,598.5512,535.5611,-201.0,1524.691,709.7051,-201.0,2426.5227,635.4218,-201.0
0.0051432806,1.1422131,8.750897,0.013571039,0.014285686,0.00010681124,-7.9425063,0.6398616,4.4827313,4.7613616,0.0,0.0,0.0,0.0,0.0,0.0,608.28265,574.38617,-201.0,1494.7572,726.11456,-201.0,2428.4631,729.38257,-201.0
0.0053659286,-1.0612434,10.958331,0.014899346,0.014937545,0.00013402737,-4.684051,2.4225485,3.992396,7.198635,0.0,0.0,0.0,0.0,0.0,0.0,603.3585,726.1663,-201.0,1493.7389,859.5328,-201.0,2379.659,855.08594,-201.0
0.0050520003,-1.0880238,10.845069,0.010550548,0.015940232,0.0001476112,-5.549553,3.8083527,5.1639075,9.161094,0.0,0.0,0.0,0.0,0.0,0.0,624.9607,727.99414,-201.0,1484.3805,954.145,-201.0,2360.0957,859.4927,-201.0
0.0052725263,-4.0108066,14.972806,-0.0051482567,0.014789094,0.00018696295,-5.645736,3.8380144,5.7311344,11.625323,0.0,0.0,0.0,0.0,0.0,0.0,616.9599,695.9189,-201.0,1480.972,884.52594,-201.0,2356.6152,786.9592,-201.0
0.0051735756,-3.794677,14.269798,-0.0018123487,0.00978884,0.00019546376,-5.2472777,6.85029,6.181536,6.9316936,0.0,0.0,0.0,0.0,0.0,0.0,618.0466,803.678,-201.0,1508.7992,1160.5563,-201.0,2273.4817,631.28485,-201.0
0.005745847,-6.8633018,16.821686,-0.009923122,0.008052599,0.00025266633,-2.2677314,8.542117,7.7925057,8.156872,0.0,0.0,0.0,0.0,0.0,0.0,562.8475,1014.0109,-201.0,1457.2529,1053.5477,-201.0,2295.3513,635.8492,-201.0
0.0059905997,-8.296009,17.32996,0.00042687976,0.0030860696,0.00025782146,2.946306,11.6477,10.871228,7.4478593,0.0,0.0,0.0,0.0,0.0,0.0,502.33386,1184.0306,-201.0,1480.6366,1118.1118,-201.0,2259.1438,743.82477,-201.0
0.0069194827,-13.155223,22.409363,-0.0207886,0.0028091392,0.00064528635,6.427765,13.866241,17.862143,13.126584,0.0,0.0,0.0,0.0,0.0,0.0,722.7891,1133.1481,-201.0,1648.5146,829.5358,-201.0,2631.1885,735.00665,-201.0
0.008175838,-16.593264,26.319448,-0.02904818,-0.00086342386,0.0012279934,10.105513,18.82147,26.545355,14.585893,0.0,0.0,0.0,0.0,0.0,0.0,1049.8666,870.969,-201.0,1994.4254,762.12085,-201.0,2973.7542,642.9177,-201.0
0.009298597,-18.118528,27.206793,-0.03851908,0.0034213641,0.00157257,10.253883,20.89369,34.30408,16.821257,0.0,0.0,0.0,0.0,0.0,0.0,989.3337,879.6636,-201.0,1992.9097,561.47516,-201.0,3048.5276,487.74295,-201.0
0.009788086,-20.324928,29.124002,-0.04362139,0.0023266105,0.0019485481,11.860051,23.25972,36.61408,18.579634,0.0,0.0,0.0,0.0,0.0,0.0,1068.1251,805.4248,-201.0,2080.3936,519.4757,-201.0,3074.5247,501.71216,-201.0
0.010144831,-22.351913,31.135614,-0.039640408,-0.00045886775,0.0017805878,13.70608,23.67901,33.644424,16.340908,0.0,0.0,0.0,0.0,0.0,0.0,688.6787,1054.7516,-201.0,1821.0604,564.5899,-201.0,2783.4006,626.13654,-201.0
0.010854692,-23.062546,32.031322,-0.034924366,-0.00503232,0.0024538657,15.806855,24.22844,27.513636,12.983016,0.0,0.0,0.0,0.0,0.0,0.0,745.07404,983.4401,-201.0,1831.4747,760.534,-201.0,2747.9482,667.2957,-201.0
0.012214619,-21.215208,29.369223,-0.01778055,-0.0043788324,0.002090872,17.28185,22.565054,22.130516,5.6804967,0.0,0.0,0.0,0.0,0.0,0.0,379.9791,1201.0161,-201.0,1510.7948,1021.6656,-201.0,2414.5876,645.9209,-201.0
0.013159071,-21.457891,29.719732,-0.020096578,-0.0077309026,0.0030545478,19.302273,22.51735,17.303413,4.512582,0.0,0.0,0.0,0.0,0.0,0.0,364.33902,1326.7426,-201.0,1385.728,1168.1887,-201.0,2394.156,531.59985,-201.0
0.013959731,-22.838142,31.436874,-0.03176159,-0.010729082,0.0028423092,21.22353,21.727407,17.304054,2.2809281,0.0,0.0,0.0,0.0,0.0,0.0,526.75653,1495.312,-201.0,1621.0856,1122.331,-201.0,2709.253,631.634,-201.0
0.014225011,-23.585688,31.891953,-0.034370765,-0.020483162,0.0031039203,22.915842,22.616629,16.894691,1.6481975,0.0,0.0,0.0,0.0,0.0,0.0,545.90826,1558.9464,-201.0,1544.0977,1326.2098,-201.0,2706.9373,649.31494,-201.0
0.014678397,-23.477554,31.959631,-0.03134342,-0.019739741,0.0029007308,22.892372,23.024117,18.687769,0.44015536,0.0,0.0,0.0,0.0,0.0,0.0,579.3027,1523.2207,-201.0,1573.9873,1475.5493,-201.0,2686.669,707.1384,-201.0
0.015532307,-22.744547,30.590094,-0.016274562,-0.017247712,0.0031491101,22.867348,23.751383,19.10729,1.3507088,0.0,0.0,0.0,0.0,0.0,0.0,464.4136,2094.0007,-201.0,1023.3411,1803.1398,-201.0,2222.452,593.39185,-201.0
0.016329862,-22.277006,29.102386,-0.01819334,-0.016428493,0.0031292979,22.808817,22.855005,21.276503,0.85379726,0.0,0.0,0.0,0.0,0.0,0.0,544.5804,1957.2734,-201.0,1291.5205,1191.7125,-201.0,2431.9355,575.6524,-201.0
0.017701,-20.809622,26.266607,-0.0051346817,-0.019013857,0.0031892403,24.013733,19.514563,24.504814,0.45276698,0.0,0.0,0.0,0.0,0.0,0.0,652.7446,1875.389,-201.0,1518.5912,781.38007,-201.0,2622.548,579.9632,-201.0
0.018834667,-21.778074,25.88417,-0.01634791,-0.026343293,0.0030729482,25.093344,18.683723,26.320692,0.3607765,0.0,0.0,0.0,0.0,0.0,0.0,715.4817,1230.0189,-201.0,2007.1831,405.02295,-201.0,2962.2441,554.3211,-201.0
0.020108478,-21.085924,25.436148,-0.018431267,-0.030286834,0.004207309,26.04761,16.31637,28.708376,1.8016634,0.0,0.0,0.0,0.0,0.0,0.0,646.62274,1342.4281,-201.0,1657.1699,1258.496,-201.0,2659.052,527.98236,-201.0
0.020742608,-20.603935,24.289968,-0.031499516,-0.032446627,0.004563761,25.187286,16.650055,29.608902,1.7484306,0.0,0.0,0.0,0.0,0.0,0.0,644.4616,1343.7123,-201.0,1665.2709,1210.7057,-201.0,2675.694,545.2327,-201.0
0.022569941,-19.497858,23.794455,-0.03618811,-0.033462834,0.005076555,24.986832,16.159164,31.844818,-1.5467354,0.0,0.0,0.0,0.0,0.0,0.0,628.2971,1302.3226,-201.0,1666.6489,1123.5151,-201.0,2667.9934,608.2587,-201.0
0.0246797,-18.819246,23.354012,-0.030437814,-0.031935815,0.0047694263,23.70738,15.3039055,31.94068,-5.161039,0.0,0.0,0.0,0.0,0.0,0.0,614.8372,1216.4208,-201.0,1851.7694,1094.5801,-201.0,2678.8684,581.5659,-201.0
0.02730585,-18.632345,22.980738,-0.026145903,-0.03593547,0.005173776,23.24291,16.087435,32.84709,-10.115313,0.0,0.0,0.0,0.0,0.0,0.0,606.3317,1173.7656,-201.0,1872.0099,1029.4865,-201.0,2673.7004,584.66797,-201.0
0.029764593,-19.867777,23.627722,-0.025622612,-0.034641847,0.0066734743,22.662354,16.946596,31.795507,-11.695542,0.0,0.0,0.0,0.0,0.0,0.0,630.8049,1146.6996,-201.0,1907.4088,987.855,-201.0,2711.8562,618.33514,-201.0
0.031712204,-21.677742,25.088135,-0.03568497,-0.035934325,0.007943943,24.27571,18.90805,33.189396,-8.250513,0.0,0.0,0.0,0.0,0.0,0.0,711.52466,1197.1084,-201.0,2095.0486,148.24292,-201.0,3028.3115,796.0052,-201.0
0.034010056,-22.150969,25.184797,-0.032657456,-0.033156116,0.008698065,25.528765,17.346437,33.043552,-4.1642475,0.0,0.0,0.0,0.0,0.0,0.0,730.49066,1250.2062,-201.0,2099.1223,232.17482,-201.0,3051.302,820.0767,-201.0
0.036023095,-21.208136,24.168657,-0.031439632,-0.031870183,0.007690601,26.161783,15.068158,35.16122,-1.3111175,0.0,0.0,0.0,0.0,0.0,0.0,732.47455,1357.912,-201.0,2089.2566,299.90353,-201.0,3043.8708,771.0883,-201.0
0.037822545,-20.643782,24.044325,-0.024743175,-0.03094832,0.008708515,24.901373,13.571376,34.267902,-1.3970598,0.0,0.0,0.0,0.0,0.0,0.0,754.3007,1351.5045,-201.0,2083.7732,321.50687,-201.0,3043.3955,721.3758,-201.0
0.03961702,-20.981958,25.929207,-0.03323965,-0.029509343,0.010037827,23.820938,14.467263,33.86154,-2.555991,0.0,0.0,0.0,0.0,0.0,0.0,725.2237,1417.6055,-201.0,2091.4695,338.9467,-201.0,3021.2937,772.95703,-201.0
0.041039746,-20.746485,26.279549,-0.03484735,-0.030828008,0.009764228,23.568213,15.68926,33.322987,-3.9023724,0.0,0.0,0.0,0.0,0.0,0.0,705.1367,1358.6593,-201.0,2086.0583,309.2495,-201.0,3007.3562,813.79224,-201.0
