Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0016125612,-0.50841707,3.2567227,0.0992248,0.019296857,2.3947678e-05,0.11121378,1.9040564,0.34831658,5.8275237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0032610048,-4.8802977,10.935432,0.04823258,0.0123688625,0.00019921908,2.7124789,6.2477646,1.3036528,8.87591,0.0,0.0,0.0,0.0,0.0,0.0,645.47,1181.3923,-201.0,1319.4045,2971.914,-201.0,2156.6143,2046.9882,-201.0
0.004878093,-10.773622,21.14504,-0.0043976144,0.005117563,0.00032964302,7.1945233,11.82368,3.9978867,13.784175,0.0,0.0,0.0,0.0,0.0,0.0,547.5418,1254.171,-201.0,1319.1104,2285.161,-201.0,2237.3264,1604.9801,-201.0
0.005723244,-17.207682,29.420685,-0.013748266,0.00076482055,0.00038181583,13.450704,15.167859,4.599207,11.181038,0.0,0.0,0.0,0.0,0.0,0.0,443.5824,1389.9916,-201.0,1415.7465,1140.7896,-201.0,2495.4902,1765.4072,-201.0
0.0056641973,-19.067606,31.51854,-0.010714431,0.0028843395,0.0002580745,15.194642,14.416982,7.8876824,14.214871,0.0,0.0,0.0,0.0,0.0,0.0,360.40698,1426.6534,-201.0,1327.5651,984.334,-201.0,2421.612,945.51874,-201.0
0.0058827177,-20.028925,32.428833,-0.007959097,0.0052758367,0.00027946243,16.398722,14.05338,7.4866295,14.01416,0.0,0.0,0.0,0.0,0.0,0.0,333.9304,1493.5739,-201.0,1284.4717,1009.7266,-201.0,2399.8386,897.6751,-201.0
0.006548986,-19.287838,31.854797,-0.014685716,0.0048326077,0.00035241642,15.635556,11.474256,7.142748,14.410525,0.0,0.0,0.0,0.0,0.0,0.0,530.20337,1358.2721,-201.0,1566.2418,889.70215,-201.0,2681.4346,806.8203,-201.0
0.007069752,-19.760862,33.6812,-0.020458093,0.006026713,0.00052034366,17.56064,10.175393,5.3131404,13.160457,0.0,0.0,0.0,0.0,0.0,0.0,816.9919,1268.0161,-201.0,1879.0524,968.99493,-201.0,2984.702,846.34064,-201.0
0.007602693,-20.285597,33.45502,-0.027355691,0.0013511261,0.0005751899,18.043768,7.1489615,6.991401,10.838706,0.0,0.0,0.0,0.0,0.0,0.0,840.83154,1237.0446,-201.0,1921.2526,1018.4611,-201.0,2966.7468,959.34845,-201.0
0.008167399,-21.931595,33.841568,-0.040840134,-0.0021794962,0.00078741787,18.77994,6.8735085,10.951331,8.530946,0.0,0.0,0.0,0.0,0.0,0.0,636.74634,1474.9907,-201.0,1666.1924,1387.4537,-201.0,2542.3877,991.2789,-201.0
0.008995274,-23.203924,33.250645,-0.04509024,-0.009285535,0.00076700444,19.061886,8.00804,13.467002,5.3360133,0.0,0.0,0.0,0.0,0.0,0.0,376.43127,1521.8773,-201.0,1414.8956,1369.2826,-201.0,2365.9941,1172.7872,-201.0
