Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.00298679,5.251776,0.41939494,0.065818414,0.01699379,1.5310156e-05,-8.182747,-1.5810223,-0.97230405,0.51747555,0.0,0.0,0.0,0.0,0.0,0.0,553.46277,557.8212,-201.0,1536.7401,838.355,-201.0,2347.7468,720.85004,-201.0
0.0027342376,4.713551,0.16131598,0.06143951,0.012963173,2.4523479e-05,-8.478292,2.6441534,-2.6326497,-2.618139,0.0,0.0,0.0,0.0,0.0,0.0,529.5909,608.8823,-201.0,1512.5033,740.08234,-201.0,2400.8137,469.69556,-201.0
0.0023284105,4.9796777,-0.32389024,0.06687483,0.011638033,3.3126522e-05,-9.031352,3.5789497,-3.0270174,-2.1626635,0.0,0.0,0.0,0.0,0.0,0.0,514.5721,657.7112,-201.0,1474.7269,670.6849,-201.0,2446.8333,429.23587,-201.0
0.0025864318,4.483907,0.9668629,0.06289037,0.008826851,3.3853805e-05,-8.77407,4.903239,-1.0099939,-1.7206503,0.0,0.0,0.0,0.0,0.0,0.0,561.5451,806.1451,-201.0,1467.4082,823.6689,-201.0,2379.4202,627.155,-201.0
0.0030050979,4.2216854,2.953903,0.061574657,0.00643692,4.204194e-05,-8.415763,1.8837396,-0.8469289,1.8266402,0.0,0.0,0.0,0.0,0.0,0.0,579.05524,791.54517,-201.0,1460.5732,825.33954,-201.0,2395.2185,809.6149,-201.0
0.0030121652,2.5623717,4.474077,0.03507522,0.003089796,5.3861935e-05,-7.258995,3.8809776,-3.3543034,2.7013512,0.0,0.0,0.0,0.0,0.0,0.0,572.93207,712.22906,-201.0,1484.5936,729.47485,-201.0,2461.8342,724.8094,-201.0
0.003431856,1.6330773,6.5689692,0.02930096,0.010958683,7.748811e-05,-5.617855,2.342824,-4.129859,5.499597,0.0,0.0,0.0,0.0,0.0,0.0,558.6938,641.9275,-201.0,1455.0367,756.42755,-201.0,2498.5713,596.1248,-201.0
0.0037225813,0.30729267,7.8632355,0.023289582,0.017371206,8.511237e-05,-4.9976263,3.8664563,-2.8339198,8.031035,0.0,0.0,0.0,0.0,0.0,0.0,561.4636,690.0843,-201.0,1458.8544,773.39984,-201.0,2505.236,684.9697,-201.0
0.0051141107,-0.5919743,9.621341,0.036735892,0.022127872,0.00012046221,-3.310385,2.9259021,1.6578364,11.606536,0.0,0.0,0.0,0.0,0.0,0.0,485.82373,1055.145,-201.0,1356.4858,841.5501,-201.0,2415.2502,726.2503,-201.0
0.006249675,-3.5122032,12.310982,0.023446359,0.015118656,0.0002011108,-0.61116904,5.486626,0.9984899,11.73599,0.0,0.0,0.0,0.0,0.0,0.0,404.19247,1325.8597,-201.0,1301.518,820.30585,-201.0,2395.0354,727.99976,-201.0
