Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005458267,-22.274511,34.754898,-0.053858656,0.007060222,3.0492112e-05,-7.4665604,12.358668,7.4655356,17.513144,0.0,0.0,0.0,0.0,0.0,0.0,1182.6606,1333.8265,-201.0,1979.4517,1111.3085,-201.0,3052.469,815.0701,-201.0
0.005477395,-22.290663,34.485855,-0.056551326,0.0064748973,6.056159e-05,-6.7422414,12.845436,7.5720353,16.160143,0.0,0.0,0.0,0.0,0.0,0.0,859.29346,1487.8077,-201.0,1774.0878,994.49365,-201.0,2882.1191,695.4223,-201.0
0.005389277,-22.626266,34.469337,-0.057646926,0.009540343,9.113594e-05,-6.863933,13.346672,6.9804416,18.158895,0.0,0.0,0.0,0.0,0.0,0.0,858.937,1469.2802,-201.0,1843.2555,948.56836,-201.0,2938.4753,830.2673,-201.0
0.005389442,-22.544977,34.549175,-0.068289846,0.015583322,8.677895e-05,-6.2065644,11.525645,7.230644,19.27423,0.0,0.0,0.0,0.0,0.0,0.0,879.92535,1436.8112,-201.0,1920.2216,908.12085,-201.0,3026.1387,1084.1383,-201.0
0.0053449012,-22.333792,34.29723,-0.07105924,0.017518966,8.538803e-05,-6.2165017,11.010731,7.8543267,18.16081,0.0,0.0,0.0,0.0,0.0,0.0,904.14984,1489.4615,-201.0,1935.8815,987.56836,-201.0,3029.2588,1071.8824,-201.0
0.005495787,-21.716028,33.75265,-0.07222705,0.011960874,8.83695e-05,-6.0598984,10.954883,7.00989,13.462342,0.0,0.0,0.0,0.0,0.0,0.0,877.10614,1569.8195,-201.0,1897.2614,938.2022,-201.0,3069.3975,870.7153,-201.0
0.0055528977,-21.24906,33.272427,-0.060891658,0.015162684,9.473367e-05,-7.109255,10.150635,7.0442796,13.915866,0.0,0.0,0.0,0.0,0.0,0.0,845.6932,1528.5194,-201.0,1838.3158,901.5896,-201.0,3024.875,573.24365,-201.0
0.0054637515,-21.93901,33.449318,-0.061256994,0.012967366,9.5904e-05,-7.7454734,12.202573,5.213801,15.447433,0.0,0.0,0.0,0.0,0.0,0.0,866.5839,1444.4258,-201.0,1860.713,901.9104,-201.0,3030.5479,611.0788,-201.0
0.0054061115,-22.177603,34.04584,-0.05913943,0.016131198,9.112813e-05,-7.5499,11.353856,6.454372,18.35768,0.0,0.0,0.0,0.0,0.0,0.0,858.39667,1251.8588,-201.0,1879.816,910.7392,-201.0,2976.413,633.67285,-201.0
0.005423814,-22.321894,33.825832,-0.06348931,0.012621522,8.9966314e-05,-7.329499,12.535858,6.97236,18.75792,0.0,0.0,0.0,0.0,0.0,0.0,838.90216,1195.1896,-201.0,1837.5488,895.88306,-201.0,2881.1785,673.93616,-201.0
0.0054406454,-22.273132,34.250423,-0.05562373,0.012141343,9.2496826e-05,-7.1081295,12.270131,7.016193,18.780714,0.0,0.0,0.0,0.0,0.0,0.0,1069.6422,1079.2051,-201.0,1998.8842,891.9821,-201.0,3043.7034,717.91144,-201.0
0.005362902,-22.801836,33.581913,-0.054432858,0.01029799,9.26404e-05,-5.980934,13.069667,5.326972,18.426346,0.0,0.0,0.0,0.0,0.0,0.0,1033.5685,1155.8014,-201.0,1933.0996,825.35114,-201.0,3029.248,685.40186,-201.0
0.005356762,-23.034555,35.01869,-0.05740642,0.009975906,9.265489e-05,-6.677256,12.634896,1.484272,16.931816,0.0,0.0,0.0,0.0,0.0,0.0,1044.4805,1219.3759,-201.0,2004.6039,897.2908,-201.0,3076.1033,763.9637,-201.0
0.0054536667,-22.633928,33.693027,-0.05238976,0.013196628,9.145014e-05,-6.697684,11.566125,0.048348367,16.001923,0.0,0.0,0.0,0.0,0.0,0.0,1077.5835,1131.244,-201.0,2149.3113,817.4476,-201.0,3189.2588,755.12427,-201.0
0.0055949264,-21.998693,34.157528,-0.051328912,0.01399672,9.4795374e-05,-7.929028,9.8687105,-1.1161517,15.633609,0.0,0.0,0.0,0.0,0.0,0.0,1115.6388,1098.6188,-201.0,2217.5408,920.8962,-201.0,3248.6375,940.93164,-201.0
0.005636156,-21.922895,33.11996,-0.04651697,0.018517202,9.383026e-05,-7.1187654,9.2341795,0.6148796,16.389938,0.0,0.0,0.0,0.0,0.0,0.0,1081.3905,1068.9631,-201.0,2124.361,857.48413,-201.0,3166.114,843.0131,-201.0
0.005539241,-22.11229,34.751278,-0.056229323,0.01929841,8.827498e-05,-8.117147,9.409076,2.3522398,17.328577,0.0,0.0,0.0,0.0,0.0,0.0,1060.7849,1072.7557,-201.0,2066.599,893.88446,-201.0,3061.781,917.5988,-201.0
0.005605279,-21.966955,34.321545,-0.046579767,0.020525325,8.84947e-05,-7.2888846,10.824847,3.753537,15.946278,0.0,0.0,0.0,0.0,0.0,0.0,1029.6976,1021.1042,-201.0,2067.5195,739.5503,-201.0,3082.338,696.8613,-201.0
0.0056835213,-21.46987,33.619534,-0.05026847,0.014578521,9.0977795e-05,-7.301731,10.351395,2.2336564,14.686809,0.0,0.0,0.0,0.0,0.0,0.0,1071.9897,1097.8221,-201.0,2072.0847,859.07446,-201.0,3167.6511,666.6938,-201.0
0.005881803,-21.153864,33.413116,-0.045440104,0.013185721,0.000101018435,-5.975635,8.691503,-0.4209886,14.07657,0.0,0.0,0.0,0.0,0.0,0.0,1037.6149,1063.539,-201.0,2020.5804,797.7253,-201.0,3221.4902,544.49335,-201.0
0.0055619366,-21.749163,33.950882,-0.060559303,0.012471593,9.588189e-05,-6.561644,7.6895566,0.36628827,16.474197,0.0,0.0,0.0,0.0,0.0,0.0,1112.2509,1082.2533,-201.0,2114.3545,1033.078,-201.0,3333.4814,670.9138,-201.0
0.005505018,-22.218092,34.404083,-0.055617597,0.013641407,9.765055e-05,-6.4491897,7.9563503,1.5000257,15.371773,0.0,0.0,0.0,0.0,0.0,0.0,1168.6267,1137.0161,-135.10063,2104.5117,1676.7035,-137.13843,3096.3,763.9365,-135.9507
0.005255222,-22.88164,34.12324,-0.057766408,0.012678895,8.994484e-05,-6.092462,10.396513,4.2748404,15.817902,53.296158,0.0,0.0,8.117603,10.330559,-2.3991618,1271.8506,1249.1312,-69.912926,2279.4294,1761.3439,-69.50121,3274.2488,1592.7653,-68.313484
0.005362317,-22.722794,33.779083,-0.06017973,0.01392782,9.2731236e-05,-6.2132087,12.395843,5.9914994,14.930267,53.2368,0.0,0.0,9.10286,12.98212,-4.5596647,1255.8186,1368.9469,-5.3256803,2138.8347,1793.4058,-11.009049,3021.1213,1461.5864,-0.7660158
0.05251287,-13.416173,22.81038,-0.009859011,0.008799027,0.010176593,-2.26589,-2.5961902,9.093869,1.6393801,53.11656,0.05574687,1.5905793,10.972633,17.467955,-9.074762,1154.778,1176.5214,-6.337575,2131.586,1004.4629,-17.388704,3147.3943,1422.1627,1.8552622
0.36445203,-3.9630291,10.415878,0.037375454,0.0007942238,0.225547,1.4882885,-19.598288,11.796763,-14.898166,53.10382,0.046521887,3.0672529,12.464467,18.98466,-11.14033,1072.3118,1001.69476,0.0,1987.1896,893.1035,-23.144232,2890.1052,693.01935,2.2397764
0.8785313,3.9187067,-0.7557662,0.064621426,-0.014574046,0.63801056,5.334269,-35.293655,15.271103,-33.590073,53.091106,0.031351205,3.319809,14.202334,15.262947,-13.637092,1037.5044,803.51776,-10.8292675,2040.6611,636.488,-18.653805,2908.7961,802.8549,3.4231298
1.3487083,2.9802024,-1.1161634,0.025009288,-0.021446973,0.7337286,2.639143,-34.45425,19.288347,-36.39186,53.081738,0.018052846,2.8880186,15.423409,12.237038,-15.182799,1087.703,816.3416,-10.041435,2094.1672,680.6281,-12.5049715,2882.748,927.4937,5.1413636
1.5064889,2.974603,-1.4627632,-0.022539863,-0.029588347,0.66247976,-1.3641735,-30.590172,24.978058,-36.158577,53.073284,0.009001811,1.0106839,15.715785,11.536815,-14.2428465,1167.4281,783.6961,-8.120261,2147.7168,650.96466,-11.590553,2999.8093,1060.431,6.1225853
1.461882,4.63372,-3.3689785,-0.044231623,-0.026852993,0.4017353,-4.750713,-27.894388,29.73674,-35.306423,53.064693,0.00241387,0.4200479,15.616748,15.8853655,-11.171855,1285.8883,524.7366,-5.0948462,2292.881,688.5998,-5.887898,3185.4617,1095.2493,6.077009
1.4528381,6.206716,-4.890981,-0.054777324,-0.024535133,0.4658532,-5.2392364,-27.021105,30.948565,-35.31557,53.06338,0.000857024,0.36136386,16.321062,17.788904,-8.156924,1256.371,603.33795,-3.0285523,2286.1238,667.6385,-8.467744,3190.0918,1154.8622,5.1283717
1.5199734,6.8364034,-4.840499,-0.042774614,-0.018418761,0.4515177,-4.5212097,-28.456316,28.426414,-36.71424,53.07335,0.0007469577,0.32754612,17.59315,16.355024,-6.715883,1147.7932,617.25006,-2.1845686,2234.7705,601.1584,-9.684482,3078.778,1028.5961,4.0707173
1.5417031,6.030539,-3.9464493,-0.01710384,-0.018151658,0.45883015,-4.86505,-29.335907,21.267653,-39.388477,53.084835,0.0008503766,0.33161595,18.696833,13.529376,-6.2134004,1007.06793,829.2215,0.0,2148.7568,375.54114,-16.535097,3029.5159,991.62885,3.121128
1.5510281,4.7436852,-2.649459,0.0014068814,-0.02057638,0.4037577,-5.3252106,-31.62565,18.642576,-40.96107,53.083187,0.0010465586,0.26512766,19.418137,12.35511,-5.636921,1006.34937,725.46857,-2.915262,2209.0164,257.41367,-15.059701,3110.5232,1042.6913,2.504627
1.5014213,3.5270634,-1.7438008,0.011799656,-0.02472044,0.35725737,-5.6474166,-33.487793,15.180209,-40.37509,53.06949,0.0010082871,0.25209108,19.606901,13.26268,-5.0112796,1038.2012,737.7871,-2.419827,2304.3972,324.658,-14.679226,3064.3113,1319.8256,2.5914526
1.4985738,3.3305986,-1.0856946,0.011917715,-0.026006535,0.30558774,-5.3207383,-37.83016,15.162854,-38.4071,53.05676,0.0009790318,0.24745043,19.299833,14.574001,-5.0457015,1035.2906,776.58026,-2.2936838,2251.544,487.0659,-14.965688,2913.4734,1314.3407,2.752018
1.4814997,3.925663,-1.6262165,0.011354678,-0.028532984,0.30018675,-5.567949,-39.35812,12.808764,-39.14754,53.05032,0.0006930637,0.21187866,18.856995,13.715701,-6.38989,1007.1341,767.0983,-2.2470486,2170.6467,542.15265,-14.71638,2802.8662,1100.1299,2.8504841
1.4638392,4.3397,-2.1112487,0.0065040477,-0.029091312,0.3100851,-6.2191634,-39.649784,12.59668,-45.353016,53.057236,0.0007481589,0.20066692,18.963396,10.193675,-8.775273,977.72626,730.51447,0.0,2079.885,461.71973,-14.246735,2846.8308,822.00287,2.759063
1.4698159,4.4576344,-2.8507488,0.003667331,-0.030104162,0.34262523,-6.4134674,-39.2633,14.836049,-47.869522,53.0701,0.0007176139,0.18054406,19.397726,6.584769,-10.431062,1005.3133,757.37256,0.0,2062.05,491.4564,-13.456345,2853.4558,858.04956,2.3738081
1.424635,3.713857,-2.5136917,0.009295626,-0.031991918,0.36041728,-5.7462907,-38.542793,16.411444,-47.151623,53.080982,0.00079897064,0.1723355,19.844229,5.793238,-10.353577,1076.2683,738.3032,-8.492726,2137.5178,715.74567,-14.692215,2802.5325,1009.92535,1.7386365
1.4099951,2.945174,-1.913763,0.017114917,-0.030021569,0.35049698,-5.2778172,-39.402363,18.031755,-42.565254,53.075024,0.00081341184,0.130352,20.067743,7.3185744,-9.276784,1160.1449,749.54376,-8.068767,2238.923,746.935,-14.664956,3031.5637,1053.5111,1.2080177
1.3471524,2.0071173,-0.54455507,0.03559579,-0.02908136,0.31539056,-4.4432797,-37.975643,16.76772,-40.099247,53.056995,0.00089828594,0.10107299,19.907215,7.9497857,-9.386167,1155.5839,735.47754,-8.242715,2326.743,713.5415,-13.687205,3054.529,1235.7837,1.1434516
1.3378525,1.5721835,0.17712228,0.034641106,-0.027488941,0.25939718,-4.5723176,-36.94852,15.644226,-40.344666,53.044235,0.00097090815,0.086006425,19.326164,6.0045013,-11.707425,1094.0812,746.22394,-8.465482,2263.1794,485.2307,-12.167064,3104.2942,1083.4928,1.191411
1.3562317,2.0500586,-0.65475005,0.033145364,-0.028000563,0.2918471,-5.501817,-36.893547,15.545224,-39.60969,53.0426,0.0009411718,0.095054395,18.853228,4.618583,-13.092167,1030.7067,760.0257,0.0,2113.4263,533.668,-13.16908,2856.8604,988.6057,1.1946377
1.3315209,1.9683639,-1.0975469,0.017841795,-0.03323772,0.3412839,-7.242046,-35.03799,16.26851,-40.568592,53.051853,0.00082368887,0.19034916,18.991995,4.481128,-13.027972,1112.7303,686.7466,-10.365847,2070.172,805.9595,-14.699933,2807.9646,895.3747,1.2450465
1.3108912,1.963621,-1.368239,0.023872979,-0.031984705,0.36997858,-8.531114,-34.657276,14.024598,-41.307823,53.063168,0.0011307752,0.2515228,19.58549,5.5161514,-11.371797,1152.2651,715.7659,-10.245835,2141.7683,786.7117,-17.845772,2967.6738,1108.4249,1.1259619
1.2649409,1.606205,-0.8637983,0.017821701,-0.032892447,0.32750776,-7.7987556,-33.496815,12.354461,-42.118366,53.07053,0.001502473,0.2952778,20.286255,5.4655786,-10.700135,1161.3671,709.80206,-9.912669,2247.4287,772.6206,-18.947485,2987.343,1303.8378,0.78746635
