Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005717958,-6.811769,19.417656,0.00083051407,0.007542267,2.9713507e-05,-7.045057,5.4039383,-0.62858725,2.3182318,0.0,0.0,0.0,0.0,0.0,0.0,569.06665,657.6419,-201.0,1537.5474,567.4841,-201.0,2557.7664,567.0201,-201.0
0.0057012024,-6.1731586,18.124746,0.0072707585,0.0055705053,6.6756846e-05,-6.372046,5.164661,-0.36991596,1.6004423,0.0,0.0,0.0,0.0,0.0,0.0,566.9317,678.0399,-201.0,1509.5819,606.94867,-201.0,2540.005,554.77924,-201.0
0.006075309,-5.334436,16.934795,0.011477943,0.0016703438,0.00011877075,-4.3513813,5.0134134,3.0772724,1.5733894,0.0,0.0,0.0,0.0,0.0,0.0,554.9393,811.36285,-201.0,1453.189,672.4462,-201.0,2477.2498,550.0428,-201.0
0.0067631565,-4.6604924,13.788017,0.02092191,-0.0039383196,0.00015403466,-1.6427903,3.0242453,0.80557317,0.40076432,0.0,0.0,0.0,0.0,0.0,0.0,532.85815,911.13214,-201.0,1469.0199,763.5003,-201.0,2436.3254,793.06714,-201.0
0.007978759,-4.4206834,9.797978,0.023838982,-0.012603964,0.00021262122,2.027794,2.4660285,3.5699103,-2.4196332,0.0,0.0,0.0,0.0,0.0,0.0,512.42035,933.3777,-201.0,1560.4326,688.88165,-201.0,2497.4316,1345.5487,-201.0
0.009431752,-5.092809,7.868093,0.028072374,-0.012973674,0.00031191317,4.8084235,-0.20163862,0.3324635,-7.386017,0.0,0.0,0.0,0.0,0.0,0.0,498.75833,857.637,-201.0,1679.001,655.49585,-201.0,2659.6516,1429.1224,-201.0
0.01120207,-5.164152,6.70221,0.044938635,-0.015452568,0.00040176077,7.9960117,-1.0728015,1.1101049,-9.06046,0.0,0.0,0.0,0.0,0.0,0.0,482.55347,903.4759,-201.0,1671.6193,768.66766,-201.0,2591.8474,1348.0997,-201.0
0.013345346,-5.632725,8.871502,0.055898946,-0.011464697,0.000547405,10.17714,-3.036538,-0.17140484,-9.002085,0.0,0.0,0.0,0.0,0.0,0.0,461.28214,1181.0048,-201.0,1541.7491,1140.8717,-201.0,2407.1626,1110.8912,-201.0
0.0148129435,-5.224937,7.9460716,0.06770223,-0.012398958,0.00055176625,11.7057905,-3.2526925,0.9669776,-5.5475793,0.0,0.0,0.0,0.0,0.0,0.0,459.93668,1303.2653,-201.0,1463.5677,1432.8177,-201.0,2144.9246,1196.8871,-201.0
0.017071096,-5.425979,8.053636,0.075440936,-0.014521524,0.0006919543,13.177254,-3.8331482,4.3182025,-9.556037,0.0,0.0,0.0,0.0,0.0,0.0,478.886,1374.7084,-201.0,1562.5541,1215.1625,-201.0,2390.8098,1028.2844,-201.0
0.019902075,-4.8025165,6.120205,0.084132425,-0.014607303,0.00084225973,14.412068,-6.034719,6.019423,-8.438235,0.0,0.0,0.0,0.0,0.0,0.0,656.00946,1296.5586,-201.0,1766.227,990.1104,-201.0,2689.1033,763.66,-201.0
0.024076516,-4.302784,5.809967,0.0729895,-0.014890299,0.0012153325,15.752942,-7.247418,10.766159,-7.21228,0.0,0.0,0.0,0.0,0.0,0.0,819.8013,1318.0421,-201.0,1891.9259,787.40546,-201.0,2984.153,648.40314,-201.0
0.029116014,-3.4651635,4.860512,0.062980406,-0.0106343655,0.0015497836,15.786258,-8.850499,12.258382,-2.1924808,0.0,0.0,0.0,0.0,0.0,0.0,992.3262,1310.9453,-201.0,1946.464,863.0332,-201.0,3039.1863,670.42706,-201.0
0.036182553,-2.984005,4.8146486,0.066373505,-0.009044639,0.0024421413,14.906283,-10.071048,13.345683,-3.8869362,0.0,0.0,0.0,0.0,0.0,0.0,751.4949,1412.7958,-201.0,1736.9716,1054.3143,-201.0,2695.3105,777.4401,-201.0
0.045049112,-2.837842,5.1383986,0.10591635,-0.010420787,0.0032663327,13.58546,-12.129519,11.308919,-7.5354385,0.0,0.0,0.0,0.0,0.0,0.0,800.4248,1250.7356,-201.0,1801.602,1042.7648,-201.0,2756.8694,761.4388,-201.0
0.055046063,-4.2187095,7.5729346,0.1190056,-0.013246161,0.0046140538,13.631148,-12.382464,9.778476,-11.685388,0.0,0.0,0.0,0.0,0.0,0.0,790.34863,1348.3351,-201.0,1788.2373,1054.1925,-201.0,2802.3525,787.7249,-201.0
0.06390286,-5.203564,9.627671,0.1135238,-0.017409854,0.0048202607,14.293338,-11.517106,8.356806,-11.848769,0.0,0.0,0.0,0.0,0.0,0.0,1090.1011,1117.3685,-201.0,2049.1296,884.5207,-201.0,3262.3037,666.7825,-201.0
0.07149871,-6.381415,10.387348,0.0948348,-0.017847085,0.0054107974,15.278282,-9.903731,5.9629383,-13.088889,0.0,0.0,0.0,0.0,0.0,0.0,836.7041,1273.2452,-201.0,1812.3447,927.4565,-201.0,2931.8977,708.1621,-201.0
0.077555895,-6.7045045,9.52572,0.08086056,-0.020916553,0.0057337736,16.80734,-8.066159,6.3552322,-9.911388,0.0,0.0,0.0,0.0,0.0,0.0,620.5855,1199.6744,-201.0,1605.1713,1015.624,-201.0,2578.9387,747.3746,-201.0
0.08131352,-6.650622,7.769869,0.06753844,-0.021253115,0.0067338035,16.63709,-5.468348,8.521508,-9.385225,0.0,0.0,0.0,0.0,0.0,0.0,343.11536,1370.9847,-201.0,1415.5576,1137.101,-201.0,2111.2268,897.6452,-201.0
0.08688172,-5.4888496,5.447605,0.046105865,-0.02272143,0.0077227545,16.614412,-4.109799,12.663976,-6.231449,0.0,0.0,0.0,0.0,0.0,0.0,292.45575,1653.1383,-201.0,1399.203,1478.5204,-201.0,2029.1786,993.5994,-201.0
0.089935295,-5.4660544,4.9274907,0.041566666,-0.020870628,0.00833588,17.091555,-3.3366978,14.346484,-5.3889084,0.0,0.0,0.0,0.0,0.0,0.0,291.34412,1754.2896,-201.0,1381.5585,1643.8597,-201.0,1987.4233,1017.9069,-201.0
0.09086707,-5.991301,5.921724,0.043917257,-0.015155535,0.008687012,18.471952,-3.4297714,14.5646925,-0.32502666,0.0,0.0,0.0,0.0,0.0,0.0,602.5315,1559.7706,-201.0,1609.5944,1520.254,-201.0,2396.0688,887.29443,-201.0
0.089214124,-6.759811,7.4669137,0.042455953,-0.011666027,0.009843983,19.713583,-3.2968712,13.084704,1.9419292,0.0,0.0,0.0,0.0,0.0,0.0,837.2242,1262.5443,-201.0,1814.4977,1141.0869,-201.0,2744.8079,803.28827,-201.0
