Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0054576695,-10.548954,23.750498,-0.016024355,0.01736228,3.1155625e-05,-7.023218,4.743645,2.381338,9.42917,0.0,0.0,0.0,0.0,0.0,0.0,604.70245,795.6462,-201.0,1505.5206,831.2197,-201.0,2442.3206,758.8496,-201.0
0.0056007947,-9.956653,22.856552,-0.017420048,0.014900233,6.860744e-05,-7.2699876,5.8125367,2.7746983,7.286093,0.0,0.0,0.0,0.0,0.0,0.0,590.186,811.09033,-201.0,1528.8248,751.3728,-201.0,2426.1782,859.91766,-201.0
0.005775312,-9.721593,21.952978,-0.020794323,0.013789871,0.00010728469,-7.7108116,5.911363,4.284158,7.051275,0.0,0.0,0.0,0.0,0.0,0.0,584.5137,826.71063,-201.0,1517.9196,680.4062,-201.0,2402.5166,852.47565,-201.0
0.0057763266,-9.823524,21.6232,-0.024804473,0.014117782,0.00010920413,-7.7386785,7.098459,5.6632276,6.6614456,0.0,0.0,0.0,0.0,0.0,0.0,604.7437,903.8414,-201.0,1477.0635,711.37225,-201.0,2437.1448,809.4397,-201.0
0.005723178,-10.535553,22.172628,-0.015755579,0.016216025,0.000106693806,-7.5654335,5.7699122,5.4921145,7.068197,0.0,0.0,0.0,0.0,0.0,0.0,610.62885,869.7048,-201.0,1476.7443,729.4878,-201.0,2414.6438,763.68744,-201.0
0.0057044774,-10.657576,22.911783,0.002135853,0.017284287,0.00010308717,-7.0606675,4.9206614,2.0019448,2.6448298,0.0,0.0,0.0,0.0,0.0,0.0,710.262,861.91974,-201.0,1721.913,669.1603,-201.0,2696.1106,762.89526,-201.0
0.0057456032,-10.616212,22.370003,0.014817101,0.011665038,0.00011008612,-6.471836,5.395043,2.3129492,1.684517,0.0,0.0,0.0,0.0,0.0,0.0,675.0412,877.95776,-201.0,1736.8097,569.2336,-201.0,2681.2388,807.3309,-201.0
0.0059283734,-10.300302,22.34041,0.010190376,0.008853929,0.00011774626,-5.729965,6.6348825,4.1158395,2.3631203,0.0,0.0,0.0,0.0,0.0,0.0,681.20306,894.6531,-201.0,1778.2877,565.0476,-201.0,2809.3203,870.26154,-201.0
0.0058972947,-9.98145,22.078123,-0.002452163,0.007930242,0.00012814061,-5.6014714,6.1495805,6.420391,6.353231,0.0,0.0,0.0,0.0,0.0,0.0,618.2419,928.1314,-201.0,1518.7471,817.0607,-201.0,2490.0857,940.3042,-201.0
0.005908655,-10.202145,22.522554,-0.006785963,0.010412901,0.00013504138,-5.0584826,6.9181104,7.010739,8.27649,0.0,0.0,0.0,0.0,0.0,0.0,613.5989,976.1709,-201.0,1496.1127,824.64496,-201.0,2501.1636,875.5347,-201.0
