Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0055261105,-2.4264157,15.150635,0.015423078,0.015032972,3.6709094e-05,-5.8913665,2.934903,-2.4944696,2.9030628,0.0,0.0,0.0,0.0,0.0,0.0,575.38086,599.87885,-201.0,1520.4092,726.1351,-201.0,2522.2688,565.9611,-201.0
0.0054007876,-1.7650557,13.973975,0.028264249,0.015685437,6.665501e-05,-5.631092,2.5693753,0.06428035,3.1220102,0.0,0.0,0.0,0.0,0.0,0.0,585.2602,709.28174,-201.0,1504.8695,780.34357,-201.0,2425.7458,708.2876,-201.0
0.0052008103,-0.991786,12.217198,0.039593745,0.0067213923,0.00010057346,-6.716824,1.8947419,0.49135637,-1.3961655,0.0,0.0,0.0,0.0,0.0,0.0,564.231,735.73706,-201.0,1510.9178,670.4968,-201.0,2385.7996,727.2087,-201.0
0.005069666,-1.0557628,11.635555,0.03442678,0.0025096117,8.877359e-05,-6.1728477,2.6588717,-0.2037975,-4.3908634,0.0,0.0,0.0,0.0,0.0,0.0,561.8345,781.14966,-201.0,1508.9092,712.04315,-201.0,2371.9639,693.03546,-201.0
0.005192598,-1.7905835,12.360672,0.031030362,-0.0020162133,9.511888e-05,-6.300167,2.6438396,-2.7869415,-5.011827,0.0,0.0,0.0,0.0,0.0,0.0,531.4847,662.5929,-201.0,1505.5074,560.85815,-201.0,2452.5244,511.6674,-201.0
0.005413056,-2.3531158,13.3067255,0.024693234,0.008916221,9.609537e-05,-4.7794666,2.5410259,-2.4008083,2.5105321,0.0,0.0,0.0,0.0,0.0,0.0,561.1718,666.7932,-201.0,1511.9059,710.7996,-201.0,2473.5007,742.7918,-201.0
0.0057031717,-2.7921646,13.590552,0.018132022,0.012099461,0.00011458863,-5.633751,2.1534812,-0.19336605,6.408952,0.0,0.0,0.0,0.0,0.0,0.0,573.4786,612.33887,-201.0,1507.1849,654.4836,-201.0,2465.054,813.48944,-201.0
0.005337737,-1.1591231,12.204122,0.020930083,0.014634654,0.0001351409,-7.0386944,1.0257393,-0.80737376,4.4688096,0.0,0.0,0.0,0.0,0.0,0.0,599.1785,620.9599,-201.0,1527.0424,783.6408,-201.0,2409.7595,882.6403,-201.0
0.0053294334,-1.5231396,12.453696,0.016530437,0.009982696,0.00015179068,-7.5527306,3.1955862,-0.6112646,2.5665143,0.0,0.0,0.0,0.0,0.0,0.0,605.32965,693.5627,-201.0,1457.3217,826.46576,-201.0,2395.5583,677.5911,-201.0
0.00530016,-1.8664411,12.845833,0.018871427,0.003797707,0.00014451139,-6.214182,4.3159785,0.2678113,-1.8917478,0.0,0.0,0.0,0.0,0.0,0.0,580.3676,760.0676,-201.0,1489.695,771.1499,-201.0,2427.7263,705.63165,-201.0
0.0058256835,-4.331785,15.252639,0.014191509,0.0023187282,0.00013099801,-4.190767,5.964477,3.1311426,1.7297564,0.0,0.0,0.0,0.0,0.0,0.0,561.5793,794.70233,-201.0,1475.2866,660.2193,-201.0,2456.6934,762.9324,-201.0
0.00565917,-3.179308,13.366634,0.023465684,0.0034587625,0.0001490726,-4.117878,5.573202,5.9831033,0.69136095,0.0,0.0,0.0,0.0,0.0,0.0,548.97754,779.0999,-201.0,1535.0055,594.4223,-201.0,2403.502,811.1655,-201.0
