Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0054646954,-6.785146,17.661507,-0.01033679,0.009047053,3.2217726e-05,-8.230311,5.222426,5.172426,8.6084795,0.0,0.0,0.0,0.0,0.0,0.0,610.10144,893.5992,-201.0,1396.8849,756.32367,-201.0,2392.6672,681.52814,-201.0
0.0055411947,-6.3078246,17.805418,-0.01591453,0.010272816,6.478952e-05,-8.767373,3.265052,3.948417,9.137637,0.0,0.0,0.0,0.0,0.0,0.0,610.6529,736.80646,-201.0,1437.086,723.6976,-201.0,2433.036,694.9575,-201.0
0.0057264618,-5.6071434,17.208284,-0.01565182,0.012774314,0.00010009597,-9.026425,1.3049257,3.498216,7.470876,0.0,0.0,0.0,0.0,0.0,0.0,595.12805,598.0444,-201.0,1493.6298,593.55115,-201.0,2472.7786,683.5235,-201.0
0.005807894,-6.0190263,17.603914,-0.0069616716,0.0076574516,0.000106720196,-8.16639,2.48151,0.7636916,5.0477157,0.0,0.0,0.0,0.0,0.0,0.0,576.1556,681.7564,-201.0,1509.62,601.9353,-201.0,2483.511,780.9816,-201.0
0.0059221983,-5.616777,17.06141,-0.0039581438,0.014460348,0.00011334793,-8.038597,1.2006844,1.6035146,7.332763,0.0,0.0,0.0,0.0,0.0,0.0,578.3293,611.1007,-201.0,1538.7928,600.24884,-201.0,2486.8057,869.62964,-201.0
0.005787363,-5.992763,18.159693,-0.007933669,0.017735815,0.00011221646,-7.8966484,2.393676,1.9756327,9.308417,0.0,0.0,0.0,0.0,0.0,0.0,596.50757,561.5994,-201.0,1568.3219,723.195,-201.0,2460.01,881.48773,-201.0
0.0056677163,-5.9510894,18.651289,-0.009868328,0.02101139,0.00010763031,-8.089894,2.7427003,6.400575,12.412938,0.0,0.0,0.0,0.0,0.0,0.0,632.1626,680.16815,-201.0,1486.8018,777.9078,-201.0,2401.593,820.0667,-201.0
0.005497592,-6.56632,18.834507,-0.013045362,0.016706547,0.00010300114,-7.924816,5.211339,9.337006,13.064822,0.0,0.0,0.0,0.0,0.0,0.0,697.09326,977.7671,-201.0,1362.0868,790.46576,-201.0,2371.2092,819.7371,-201.0
0.0056363423,-5.963581,18.005257,-0.0070646447,0.013639488,0.00010632097,-8.150636,3.6607864,8.116917,10.970075,0.0,0.0,0.0,0.0,0.0,0.0,686.3071,974.2539,-201.0,1321.5988,689.09686,-201.0,2400.012,728.95026,-201.0
0.0057224925,-5.5519404,17.70974,-0.0030662995,0.019549252,0.00011232116,-7.896923,1.6544809,4.0602612,10.714196,0.0,0.0,0.0,0.0,0.0,0.0,669.04877,771.42163,-201.0,1393.9897,757.05493,-201.0,2425.269,687.7077,-201.0
0.005829942,-5.324703,17.34445,0.0023393603,0.01897691,0.00011549564,-6.935329,1.779913,0.90042955,8.514048,0.0,0.0,0.0,0.0,0.0,0.0,598.6595,563.59863,-201.0,1530.9893,734.3073,-201.0,2499.8005,671.7975,-201.0
0.005808629,-6.0757146,18.48128,0.0046212743,0.021430733,0.00011406825,-5.6864853,3.9471037,1.1765985,8.6512575,0.0,0.0,0.0,0.0,0.0,0.0,653.0682,688.9895,-201.0,1468.3585,1158.0526,-201.0,2441.8132,714.4191,-201.0
0.005757903,-6.436622,18.514872,0.002886601,0.016155548,0.0001096403,-6.1922035,6.6891136,3.333443,7.9225354,0.0,0.0,0.0,0.0,0.0,0.0,667.7072,770.1516,-201.0,1450.4708,1097.3168,-201.0,2458.8525,797.0302,-201.0
0.0058321767,-6.4804015,18.983969,0.003978687,0.01638105,0.00011115401,-5.4834023,5.488112,1.9121013,5.129625,0.0,0.0,0.0,0.0,0.0,0.0,657.72736,776.91254,-201.0,1428.0463,1146.1161,-201.0,2406.43,696.9915,-201.0
0.005805848,-6.4098535,17.961668,-0.0023047503,0.013823933,0.000116381016,-6.046867,4.4466653,2.893605,5.487348,0.0,0.0,0.0,0.0,0.0,0.0,607.1387,706.6902,-201.0,1503.4965,772.0976,-201.0,2430.4216,737.6092,-201.0
0.0057315547,-5.303276,16.264746,0.0041464134,0.012365888,0.00013913638,-5.0572476,2.8471308,0.14960074,4.1667256,0.0,0.0,0.0,0.0,0.0,0.0,604.8912,754.07697,-201.0,1536.2977,899.5513,-201.0,2386.978,853.5579,-201.0
0.005767805,-7.4513574,18.64168,-0.004148307,0.011249971,0.0002624779,-5.029896,5.227354,3.7166777,6.5575123,0.0,0.0,0.0,0.0,0.0,0.0,654.0388,931.9046,-201.0,1482.5177,1217.5609,-201.0,2275.371,886.14996,-201.0
0.0057101543,-8.049144,19.503521,-0.0048191193,0.0051178024,0.00032811216,-3.9218876,6.706518,4.409502,6.220242,0.0,0.0,0.0,0.0,0.0,0.0,635.4494,933.87134,-201.0,1494.2076,1160.3907,-201.0,2300.6028,848.40204,-201.0
0.0057494617,-7.4598613,18.369198,-0.019679569,0.0052907546,0.0003499114,-3.9419382,7.7442017,7.6941547,3.8511918,0.0,0.0,0.0,0.0,0.0,0.0,627.51245,843.0372,-201.0,1561.1849,1181.7299,-201.0,2246.4019,626.08026,-201.0
0.005819317,-5.8190155,16.240042,-0.013380765,0.0007091807,0.00027932963,-4.1014366,7.3439636,6.9281907,3.1544664,0.0,0.0,0.0,0.0,0.0,0.0,574.6081,723.7364,-201.0,1595.4467,792.29614,-201.0,2352.3672,626.271,-201.0
0.0060635116,-4.977697,14.556687,-0.0032306637,0.0043697036,0.0002395383,-2.9609601,7.200605,5.276956,3.5491178,0.0,0.0,0.0,0.0,0.0,0.0,559.867,721.399,-201.0,1576.5126,805.7946,-201.0,2352.6711,616.80493,-201.0
0.0062224255,-7.9835014,18.02009,-0.008026544,0.0021764047,0.00023381122,-1.6384254,8.154269,3.3309317,6.626433,0.0,0.0,0.0,0.0,0.0,0.0,527.9477,776.68976,-201.0,1488.419,669.4915,-201.0,2431.9358,605.6175,-201.0
0.0061012525,-10.555172,21.360266,-0.0131969405,0.0059174155,0.00030426375,0.3821043,9.410125,1.6006092,7.6186714,0.0,0.0,0.0,0.0,0.0,0.0,533.42303,797.21674,-201.0,1604.5885,826.8115,-201.0,2401.0686,976.09503,-201.0
0.0060871034,-11.1386175,22.36968,-0.0094556855,0.00740242,0.00044277182,1.2835006,10.518572,1.3583318,8.147626,0.0,0.0,0.0,0.0,0.0,0.0,535.7669,867.24774,-201.0,1598.2384,907.2363,-201.0,2418.453,991.16095,-201.0
0.006070778,-9.930717,21.734129,0.011680561,0.005451512,0.00046147764,2.2345088,10.773257,0.018990755,3.5646954,0.0,0.0,0.0,0.0,0.0,0.0,534.32745,893.29755,-201.0,1624.6893,965.5708,-201.0,2395.7957,1031.8862,-201.0
0.0064613684,-8.655642,20.416344,0.016238473,0.005177504,0.00042904532,3.4394333,10.159103,-2.077664,0.60864717,0.0,0.0,0.0,0.0,0.0,0.0,517.48944,889.86554,-201.0,1515.5062,1013.5654,-201.0,2394.668,656.64984,-201.0
0.0066447505,-12.8528185,24.420334,-0.006171188,-0.0011165788,0.00060554367,4.005905,11.710339,-0.9184157,0.70856,0.0,0.0,0.0,0.0,0.0,0.0,516.7921,950.7354,-201.0,1565.6328,1002.4108,-201.0,2482.9192,627.36304,-201.0
0.0069475304,-14.862075,25.823477,-0.0258438,-0.0021287308,0.0008339186,4.854414,12.704601,0.23816895,1.5190843,0.0,0.0,0.0,0.0,0.0,0.0,516.8777,936.5052,-201.0,1578.6299,968.6812,-201.0,2563.097,609.33966,-201.0
0.007092882,-14.801712,25.825233,-0.020851465,-0.007299688,0.00078935426,5.8060493,12.859741,0.8035254,0.6628886,0.0,0.0,0.0,0.0,0.0,0.0,514.9572,918.35675,-201.0,1583.1967,899.78253,-201.0,2608.8691,558.9725,-201.0
0.0074780784,-13.636907,25.93165,-0.013057444,-0.00063916045,0.000690327,7.223755,10.133526,-0.06115206,2.527675,0.0,0.0,0.0,0.0,0.0,0.0,513.6705,899.31195,-201.0,1510.5414,964.5969,-201.0,2478.7795,650.626,-201.0
0.007838073,-14.0948105,27.31694,-0.009778373,0.0016663611,0.0005049865,7.9478245,7.9545503,-0.84005433,5.494713,0.0,0.0,0.0,0.0,0.0,0.0,506.18423,917.0371,-201.0,1449.7787,919.7869,-201.0,2461.1228,657.23615,-201.0
0.008086777,-17.496845,31.523745,-0.029040612,0.007905121,0.0009896605,8.51704,7.5135446,-0.87252617,8.016575,0.0,0.0,0.0,0.0,0.0,0.0,588.4109,1045.1614,-201.0,1608.7648,943.0547,-201.0,2681.926,637.6089,-201.0
0.008086207,-16.591742,30.587204,-0.028861301,0.0050895684,0.0013491885,9.832971,7.6130185,-3.931083,7.31246,0.0,0.0,0.0,0.0,0.0,0.0,596.0312,1037.3282,-201.0,1654.8667,1045.5557,-201.0,2632.3076,822.2482,-201.0
0.008261601,-16.445604,30.228485,-0.023198878,0.0041209296,0.0013521541,11.488193,8.123427,-5.06543,8.502419,0.0,0.0,0.0,0.0,0.0,0.0,594.82684,1094.001,-201.0,1677.4347,1077.0897,-201.0,2682.7898,1150.1263,-201.0
0.00847392,-13.240966,27.56234,-0.01000781,0.0036510301,0.0009414191,12.631554,8.091674,-6.073677,8.812488,0.0,0.0,0.0,0.0,0.0,0.0,506.41,997.4605,-201.0,1491.4218,1010.0418,-201.0,2528.6467,1293.8568,-201.0
0.009053256,-12.863487,28.456633,-0.0048385593,0.0047689653,0.00041960308,13.513564,7.7996316,-5.959465,7.8918343,0.0,0.0,0.0,0.0,0.0,0.0,508.18936,995.699,-201.0,1482.8746,958.12604,-201.0,2650.305,1255.2137,-201.0
0.00955112,-12.440738,29.288734,-0.00010405636,0.0027522196,0.00057209545,15.718254,8.582368,-5.787647,5.998464,0.0,0.0,0.0,0.0,0.0,0.0,536.02106,1057.7207,-201.0,1549.8883,1019.1455,-201.0,2785.8284,979.8545,-201.0
0.010514631,-14.889087,29.666147,-0.0070516826,-0.002014599,0.0012391101,18.169548,9.570618,-1.9709979,8.375468,0.0,0.0,0.0,0.0,0.0,0.0,519.71106,1236.0221,-201.0,1508.2887,1178.0228,-201.0,2657.181,983.1225,-201.0
0.0112125315,-17.748146,31.230852,-0.033014797,-0.006758047,0.0016844105,20.62965,10.869382,2.6748974,11.593147,0.0,0.0,0.0,0.0,0.0,0.0,640.582,1280.6289,-201.0,1696.3014,1109.8175,-201.0,2951.57,964.35956,-201.0
0.011443562,-18.10752,30.774155,-0.03294498,-0.0044261767,0.0025588472,19.951033,9.521871,5.7236276,16.038404,0.0,0.0,0.0,0.0,0.0,0.0,604.3704,1230.5986,-201.0,1578.9948,1104.0961,-201.0,2691.247,951.53485,-201.0
0.011124492,-16.419003,29.52196,-0.024280518,-0.0009836952,0.0021136682,19.833883,9.153404,5.7150865,18.723381,0.0,0.0,0.0,0.0,0.0,0.0,569.18475,1200.504,-201.0,1589.6469,931.11163,-201.0,2731.4739,898.83673,-201.0
0.011249234,-13.177673,26.517607,0.0031917559,-0.002967893,0.0018226135,18.986486,8.535887,3.5457847,12.914468,0.0,0.0,0.0,0.0,0.0,0.0,453.95703,1216.5206,-201.0,1388.6738,1221.3639,-201.0,2321.0427,968.68317,-201.0
0.012182434,-12.406238,25.082827,0.0024187143,-0.0038942639,0.0010479923,20.189186,8.655099,2.4981108,9.195126,0.0,0.0,0.0,0.0,0.0,0.0,443.24075,1244.1703,-201.0,1375.3053,1208.6903,-201.0,2339.5479,1012.0474,-201.0
0.01309237,-11.758687,24.873442,0.0054873624,-0.0038220047,0.001236546,19.505136,6.387194,1.8199364,4.3639607,0.0,0.0,0.0,0.0,0.0,0.0,600.96277,1262.2163,-201.0,1602.1605,1317.7651,-201.0,2555.8567,1006.5817,-201.0
0.013529551,-11.595657,23.563051,-0.0011489136,0.0024483255,0.0013737753,19.34809,4.5997467,2.5221329,8.660854,0.0,0.0,0.0,0.0,0.0,0.0,671.9076,1285.7328,-201.0,1715.25,1048.0383,-201.0,2827.6096,809.20465,-201.0
0.013508022,-13.539719,25.023119,-0.022177741,0.004804064,0.0018124077,18.11087,2.143511,2.6116807,11.339208,0.0,0.0,0.0,0.0,0.0,0.0,767.9875,1272.6981,-201.0,1876.3292,1018.1434,-201.0,3033.946,719.67865,-201.0
0.01363242,-15.256179,26.716736,-0.027141074,0.0034931574,0.00176387,19.219336,1.978515,3.9487581,13.059955,0.0,0.0,0.0,0.0,0.0,0.0,685.6595,1315.0317,-201.0,1724.6427,1098.7163,-201.0,2906.7346,825.3664,-201.0
0.013758515,-17.003057,29.858057,-0.030090833,0.0016342556,0.0019056286,19.859657,2.2119455,4.6069155,11.250355,0.0,0.0,0.0,0.0,0.0,0.0,599.3668,1269.0726,-201.0,1619.7902,1116.082,-201.0,2785.1504,1174.274,-201.0
0.0139168585,-13.960178,28.480486,-0.007425517,0.004169357,0.0017786223,19.799109,1.7580643,4.76352,7.976034,0.0,0.0,0.0,0.0,0.0,0.0,533.69464,1238.9628,-201.0,1487.2295,1192.7018,-201.0,2600.2014,1300.8763,-201.0
0.014422121,-11.5136595,25.529047,-0.004025851,0.008019537,0.0018161805,19.137646,0.2804424,4.2511606,8.683117,0.0,0.0,0.0,0.0,0.0,0.0,523.6822,1152.3062,-201.0,1473.4965,1209.9677,-201.0,2408.5996,1636.9396,-201.0
