Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0050785826,0.08579949,10.279359,0.044890672,0.011145263,3.1455318e-05,-5.2617493,1.7980776,0.5333659,-0.33542204,0.0,0.0,0.0,0.0,0.0,0.0,587.7168,722.41034,-201.0,1544.5338,757.07764,-201.0,2390.2708,909.1578,-201.0
0.004704688,1.4816422,8.288583,0.04878646,0.011429287,6.3265026e-05,-6.9307933,0.7533968,0.025293589,-2.0797698,0.0,0.0,0.0,0.0,0.0,0.0,591.5678,670.03595,-201.0,1530.5874,734.08185,-201.0,2397.809,769.9078,-201.0
0.004608599,2.1808558,7.1901927,0.040843662,0.0107526975,9.279509e-05,-7.415077,-1.0437685,0.50004894,-2.2505183,0.0,0.0,0.0,0.0,0.0,0.0,589.95166,654.84863,-201.0,1494.8019,719.45215,-201.0,2415.1794,618.49506,-201.0
0.004463013,2.1019514,7.714212,0.037608493,0.012352976,8.832247e-05,-7.756948,-1.6090511,-1.0164088,-0.4587156,0.0,0.0,0.0,0.0,0.0,0.0,569.99695,570.9487,-201.0,1484.3527,618.2078,-201.0,2478.614,505.83936,-201.0
0.0048846737,1.2407888,9.094994,0.03436901,0.008989403,8.412698e-05,-6.843614,-1.0764117,0.2600654,3.47354,0.0,0.0,0.0,0.0,0.0,0.0,586.0472,724.5035,-201.0,1418.8566,699.1699,-201.0,2451.436,635.3572,-201.0
0.004915166,0.8889765,9.495142,0.04229909,0.010003313,8.514805e-05,-6.969101,-0.54291815,-0.7147953,3.6097934,0.0,0.0,0.0,0.0,0.0,0.0,583.3317,722.751,-201.0,1414.7129,700.647,-201.0,2427.263,661.67474,-201.0
0.005092615,-0.18676366,11.217072,0.037327066,0.009118532,9.1357564e-05,-6.398775,0.14788342,-1.5068699,2.993873,0.0,0.0,0.0,0.0,0.0,0.0,594.25757,734.2032,-201.0,1492.9369,854.99005,-201.0,2351.216,827.90985,-201.0
0.0050692284,-0.19009642,11.363585,0.0380113,0.013124325,9.341564e-05,-7.3775163,1.5343565,-0.84082556,1.4829149,0.0,0.0,0.0,0.0,0.0,0.0,598.89044,683.22833,-201.0,1539.5148,845.03644,-201.0,2348.4885,807.6511,-201.0
0.005117617,-0.23888133,11.439153,0.03335622,0.011178889,9.036385e-05,-7.978864,2.9979553,1.7547064,3.8536384,0.0,0.0,0.0,0.0,0.0,0.0,615.4307,711.8094,-201.0,1529.9932,810.00226,-201.0,2399.0935,834.00055,-201.0
0.005034786,0.52405936,10.215426,0.0295742,0.014280036,8.695945e-05,-7.909532,2.2376194,3.0468361,4.0663943,0.0,0.0,0.0,0.0,0.0,0.0,602.47534,667.58026,-201.0,1483.2787,667.45294,-201.0,2497.5613,747.4755,-201.0
