Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005774128,-5.813343,16.833117,0.009914414,0.013909542,3.8519906e-05,-7.0695453,4.315038,3.0262816,7.9988003,0.0,0.0,0.0,0.0,0.0,0.0,627.69836,696.43524,-201.0,1447.3129,844.72217,-201.0,2431.2473,646.00214,-201.0
0.005774649,-6.45217,18.01671,0.013846326,0.010281357,7.5747e-05,-5.970905,5.322368,1.135956,6.059422,0.0,0.0,0.0,0.0,0.0,0.0,603.3072,766.0422,-201.0,1446.335,807.5796,-201.0,2466.4841,626.8078,-201.0
0.005845828,-7.1051984,18.51417,0.020755066,0.0074623055,0.00011142937,-3.618047,6.720514,0.8761944,4.047748,0.0,0.0,0.0,0.0,0.0,0.0,595.7527,984.0446,-201.0,1422.4154,915.91943,-201.0,2420.295,745.80695,-201.0
0.005977391,-7.952765,19.782942,0.020488001,0.010508412,0.00012540696,-1.8249989,6.586149,2.0938485,8.835092,0.0,0.0,0.0,0.0,0.0,0.0,751.2903,1066.4427,-201.0,1668.1078,940.2785,-201.0,2694.7434,842.5964,-201.0
0.0063614775,-8.184212,19.43577,0.024611572,0.00934225,0.00013901961,2.7329414,8.452835,1.9312893,9.258356,0.0,0.0,0.0,0.0,0.0,0.0,700.3295,1175.9662,-201.0,1605.4984,971.7422,-201.0,2628.9077,758.0568,-201.0
0.006803889,-7.731184,19.05731,0.029062554,0.0061498997,0.00016074078,6.1823673,8.95977,-0.32241297,8.376444,0.0,0.0,0.0,0.0,0.0,0.0,638.49164,1236.798,-201.0,1570.3895,964.9461,-201.0,2642.6707,709.00415,-201.0
0.0077858344,-7.5624046,16.950521,0.040965468,-0.0012609352,0.00021958428,9.100219,7.7766433,-3.7590592,4.538617,0.0,0.0,0.0,0.0,0.0,0.0,443.09494,1321.9071,-201.0,1303.6567,1083.9249,-201.0,2307.922,824.37164,-201.0
0.0093843285,-6.9654527,14.716519,0.054404806,-0.0042427606,0.00032871927,11.930293,4.280869,-2.1484509,3.686402,0.0,0.0,0.0,0.0,0.0,0.0,408.23178,1365.1244,-201.0,1314.6371,1071.6144,-201.0,2309.2874,876.78143,-201.0
0.011612949,-6.284677,12.964523,0.058479205,-0.0063698427,0.00050390646,15.990178,-0.07343181,-0.51265067,6.41495,0.0,0.0,0.0,0.0,0.0,0.0,383.92245,1315.3818,-201.0,1323.2474,978.0865,-201.0,2314.9387,808.8215,-201.0
0.013668262,-6.075102,13.982978,0.054263633,-0.00649143,0.0006868282,19.149666,-1.8372818,2.2145586,8.536643,0.0,0.0,0.0,0.0,0.0,0.0,370.4526,1278.8892,-201.0,1302.9683,860.9969,-201.0,2367.488,712.91266,-201.0
0.015024749,-7.2868705,14.398791,0.05761877,-0.006352397,0.00077354413,21.097517,-1.5631533,4.5779567,8.673065,0.0,0.0,0.0,0.0,0.0,0.0,381.82657,1228.7006,-201.0,1323.3031,860.4954,-201.0,2342.072,741.3713,-201.0
0.016433064,-9.57071,17.133186,0.06474287,-0.009934388,0.0008891982,22.935844,0.30660725,4.958154,4.4078403,0.0,0.0,0.0,0.0,0.0,0.0,357.48947,1301.3527,-201.0,1318.7943,950.7415,-201.0,2308.488,833.6751,-201.0
0.018235223,-9.38609,14.647605,0.06085305,-0.009515983,0.0010368982,23.948843,-1.5267509,6.6275573,2.7211392,0.0,0.0,0.0,0.0,0.0,0.0,363.4385,1299.1466,-201.0,1323.0895,987.8237,-201.0,2281.4844,878.34515,-201.0
0.019857101,-8.866115,13.953827,0.05514163,-0.014193841,0.0012466144,24.385897,-4.385124,3.8502676,-0.17763288,0.0,0.0,0.0,0.0,0.0,0.0,391.01944,1232.4839,-201.0,1347.4386,1008.8968,-201.0,2315.4622,935.4536,-201.0
0.022255495,-8.70697,13.008701,0.054189593,-0.014413907,0.0015794411,24.701563,-6.900496,4.764231,-3.6372979,0.0,0.0,0.0,0.0,0.0,0.0,428.02905,1132.6879,-201.0,1391.5455,976.73236,-201.0,2394.5244,916.7303,-201.0
0.024362931,-9.620712,15.104196,0.06728565,-0.014948819,0.0016817091,25.235985,-7.3533397,4.866131,-5.467464,0.0,0.0,0.0,0.0,0.0,0.0,423.22412,1150.8265,-201.0,1424.337,1025.9215,-201.0,2341.3523,1061.9142,-201.0
0.027195388,-9.051396,15.574903,0.06768749,-0.010488152,0.0020036711,26.00335,-8.105702,9.574044,-2.9017966,0.0,0.0,0.0,0.0,0.0,0.0,384.8164,1354.3646,-201.0,1403.493,1116.5463,-201.0,2284.1204,1153.6525,-201.0
