Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0058293846,-10.749706,23.068449,-0.02119974,0.004443925,3.6562964e-05,-7.3940635,4.9451323,9.887631,9.480866,0.0,0.0,0.0,0.0,0.0,0.0,592.2402,1387.9053,-201.0,1323.8202,747.9207,-201.0,2332.7607,723.48486,-201.0
0.0058226087,-10.519303,22.184935,-0.00910914,0.007069899,7.10933e-05,-8.116624,5.912348,9.941079,9.665944,0.0,0.0,0.0,0.0,0.0,0.0,563.252,1319.1771,-201.0,1328.8612,572.60345,-201.0,2374.0735,648.65533,-201.0
0.0059232735,-10.253243,22.269354,-0.0037986932,0.009108964,0.00010842868,-8.781169,6.634969,8.776701,10.224991,0.0,0.0,0.0,0.0,0.0,0.0,575.21533,1209.8429,-201.0,1359.4547,624.5594,-201.0,2357.9604,663.85223,-201.0
0.005964488,-10.575996,21.94375,-0.012334344,0.00952861,0.000109830755,-8.18374,4.9213505,4.416649,8.570565,0.0,0.0,0.0,0.0,0.0,0.0,598.0306,840.89056,-201.0,1516.7457,730.8035,-201.0,2372.509,799.9455,-201.0
0.005913172,-11.68999,23.692137,-0.024430687,0.0064588753,0.00012244428,-6.923513,4.750074,0.27111068,7.547196,0.0,0.0,0.0,0.0,0.0,0.0,617.6822,927.0469,-201.0,1504.9703,1011.5135,-201.0,2344.3982,854.3017,-201.0
0.0057732225,-12.759271,24.614845,-0.024778916,0.004380154,0.00012132699,-4.686481,5.941101,1.0375911,7.022736,0.0,0.0,0.0,0.0,0.0,0.0,566.00366,973.69147,-201.0,1501.8097,850.49365,-201.0,2406.2231,817.81354,-201.0
0.0056908727,-12.9596815,24.46414,-0.018077722,0.007332537,0.00012643711,-4.786953,7.2563186,3.5783885,5.8017287,0.0,0.0,0.0,0.0,0.0,0.0,568.4466,1064.5468,-201.0,1429.943,859.3343,-201.0,2388.428,712.11523,-201.0
0.0057616034,-12.36608,24.102552,-0.018018482,0.0120755015,0.00011558208,-5.4579616,6.3433404,5.0458293,6.3490987,0.0,0.0,0.0,0.0,0.0,0.0,576.2448,965.13916,-201.0,1451.1571,800.4091,-201.0,2404.207,669.14166,-201.0
0.005773118,-12.365852,23.999346,-0.014416524,0.010853358,0.00012282298,-6.6337223,5.4233756,4.1666937,5.68442,0.0,0.0,0.0,0.0,0.0,0.0,583.29926,971.26807,-201.0,1416.8209,840.9504,-201.0,2390.7996,567.1471,-201.0
0.005657369,-12.639386,24.764465,-0.017330488,0.008851867,0.00012794709,-5.3482556,7.116986,1.9270376,5.5859585,0.0,0.0,0.0,0.0,0.0,0.0,582.8225,933.0442,-201.0,1447.6255,948.113,-201.0,2400.5906,548.69165,-201.0
0.005625734,-12.706868,25.087357,-0.018173939,0.011281283,0.00012737287,-5.147812,6.849735,1.4680837,7.105005,0.0,0.0,0.0,0.0,0.0,0.0,669.42163,996.2941,-201.0,1288.9213,1203.1567,-201.0,2361.7864,549.24927,-201.0
0.0057058926,-12.055645,24.399618,-0.021335647,0.01734894,0.00011768095,-6.145655,5.720618,2.6853466,8.483192,0.0,0.0,0.0,0.0,0.0,0.0,697.4334,994.8565,-201.0,1323.5361,1216.9299,-201.0,2348.8352,745.799,-201.0
0.0059839,-11.314084,23.579744,-0.021947503,0.015310735,0.000103177,-7.500112,3.9064744,5.3540215,8.931047,0.0,0.0,0.0,0.0,0.0,0.0,691.2155,960.3875,-201.0,1352.2578,999.8975,-201.0,2319.3193,879.91675,-201.0
