Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0059277043,-13.668026,26.90365,-0.034012895,0.010955482,4.8361067e-05,-5.237574,5.523566,7.3088975,5.380108,0.0,0.0,0.0,0.0,0.0,0.0,654.02155,1138.3029,-201.0,1728.1947,1551.5742,-201.0,2120.2668,909.795,-201.0
0.0058679916,-13.812843,26.376818,-0.028310085,0.010117932,9.394033e-05,-5.680523,4.148126,5.251051,4.3554997,0.0,0.0,0.0,0.0,0.0,0.0,623.1789,1127.4584,-201.0,1582.347,1250.0676,-201.0,2273.5986,809.68304,-201.0
0.005870966,-13.747749,25.607405,-0.024059333,0.009491029,0.0001353569,-6.997166,4.632635,5.52145,3.8946555,0.0,0.0,0.0,0.0,0.0,0.0,570.2637,1108.9401,-201.0,1432.9276,811.42303,-201.0,2408.2354,629.42816,-201.0
0.0058003054,-14.7513275,26.5802,-0.02879942,0.008815376,0.00012047352,-6.4475837,4.585623,4.997303,7.382913,0.0,0.0,0.0,0.0,0.0,0.0,586.5233,1133.6605,-201.0,1506.662,845.95465,-201.0,2570.078,819.9526,-201.0
0.005888835,-15.108001,26.99483,-0.025080845,0.0059330775,0.00012001207,-4.7776475,6.4605293,3.2381032,7.0357547,0.0,0.0,0.0,0.0,0.0,0.0,556.2531,1127.6595,-201.0,1504.2094,803.90485,-201.0,2591.388,750.32153,-201.0
0.006339798,-15.174726,26.637129,0.0023755233,-0.0007551005,0.00018463183,-0.19774151,9.102298,0.65464056,-0.17156601,0.0,0.0,0.0,0.0,0.0,0.0,521.04364,1046.8606,-201.0,1536.5068,821.8908,-201.0,2621.186,656.3483,-201.0
0.0068517835,-14.919206,25.960962,0.02852566,-0.0091169225,0.0002216792,2.51651,11.489392,-2.0676763,-8.138606,0.0,0.0,0.0,0.0,0.0,0.0,458.33438,942.7918,-201.0,1559.768,788.33984,-201.0,2459.6282,601.61285,-201.0
0.0076760813,-14.740387,25.663736,0.05934578,-0.013743694,0.00028455158,5.8889503,12.908208,-2.6488464,-14.826695,0.0,0.0,0.0,0.0,0.0,0.0,428.621,882.5014,-201.0,1547.0436,745.07245,-201.0,2482.6633,485.4122,-201.0
0.008904532,-14.4614105,24.925537,0.065585144,-0.019070948,0.0003606814,8.010827,8.714543,-4.846952,-13.7862015,0.0,0.0,0.0,0.0,0.0,0.0,426.86563,919.9096,-201.0,1501.3739,786.4619,-201.0,2505.4827,536.8219,-201.0
0.010922744,-13.799991,23.384855,0.06994372,-0.022551483,0.0005071275,9.702737,3.5365093,-2.6570652,-14.304128,0.0,0.0,0.0,0.0,0.0,0.0,413.96964,885.74884,-201.0,1433.2814,684.7944,-201.0,2504.8643,420.4896,-201.0
