Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005608248,-2.5621054,13.288722,0.01612019,0.00983044,3.484703e-05,-6.2968726,4.4060807,-3.3466828,2.6799,0.0,0.0,0.0,0.0,0.0,0.0,565.1335,614.3457,-201.0,1527.8949,690.2426,-201.0,2554.544,551.5334,-201.0
0.005500764,-1.4657382,12.894329,0.014101547,0.015406147,6.877928e-05,-7.2526393,2.1427126,-2.471011,3.6123524,0.0,0.0,0.0,0.0,0.0,0.0,586.6137,566.7527,-201.0,1566.4271,773.77203,-201.0,2491.4114,710.0799,-201.0
0.005361103,-1.0418671,12.316491,0.018781392,0.013828124,0.00010238661,-6.94824,0.7604262,-2.4505854,3.457939,0.0,0.0,0.0,0.0,0.0,0.0,583.6137,643.3282,-201.0,1543.651,827.013,-201.0,2426.8115,801.1032,-201.0
0.0052521215,-1.1804597,12.527822,0.021950906,0.008984449,9.919726e-05,-7.3304114,0.12436694,-3.3336773,1.5793934,0.0,0.0,0.0,0.0,0.0,0.0,574.2851,654.8399,-201.0,1524.4971,822.124,-201.0,2367.4185,757.3687,-201.0
0.0052806363,-1.7043518,11.999652,0.024542322,0.0017802414,9.582444e-05,-5.9483776,1.5162932,-1.9283285,-0.35544804,0.0,0.0,0.0,0.0,0.0,0.0,543.61707,718.9451,-201.0,1493.8854,662.2453,-201.0,2414.5886,658.06323,-201.0
0.005514365,-2.2997894,12.769341,0.024901204,0.00011273784,0.00010485775,-4.110049,1.9761215,0.017896017,-0.8075802,0.0,0.0,0.0,0.0,0.0,0.0,521.3781,715.281,-201.0,1511.5973,586.33673,-201.0,2426.46,670.0679,-201.0
0.0054869945,-2.8672082,13.021488,0.03445421,-0.00065486616,0.00011441665,-1.5426035,1.8178153,-0.93572426,-2.6911848,0.0,0.0,0.0,0.0,0.0,0.0,497.66016,811.44354,-201.0,1492.6564,607.3598,-201.0,2423.7727,656.741,-201.0
0.005625784,-2.9633112,13.402946,0.042472553,0.004923994,0.00012334947,0.8816917,0.44449255,-3.7366352,-2.456576,0.0,0.0,0.0,0.0,0.0,0.0,512.1086,887.3615,-201.0,1458.7516,884.3521,-201.0,2367.7427,707.3038,-201.0
0.005978854,-3.2568862,12.88931,0.048504386,0.0033893492,0.00014236737,1.6829172,0.54113024,-6.856543,-4.5432014,0.0,0.0,0.0,0.0,0.0,0.0,496.85107,906.7647,-201.0,1428.7803,907.3418,-201.0,2389.8604,612.21564,-201.0
0.006836025,-3.3098087,12.7792425,0.05922919,0.0036193135,0.00016892682,3.867218,1.4291533,-8.142427,-4.659141,0.0,0.0,0.0,0.0,0.0,0.0,455.47787,1024.0889,-201.0,1371.818,909.36163,-201.0,2410.5076,574.5533,-201.0
0.0080013415,-3.9253254,13.599748,0.0780616,-0.0063124746,0.00022459566,5.745795,1.4587783,-12.326856,-8.263492,0.0,0.0,0.0,0.0,0.0,0.0,375.20645,1095.7977,-201.0,1320.3846,719.3156,-201.0,2459.4104,513.6543,-201.0
0.009175849,-3.4895566,15.315579,0.087676406,-0.00441128,0.00025753476,9.087653,0.90197897,-15.470665,-9.008996,0.0,0.0,0.0,0.0,0.0,0.0,355.15332,1147.2318,-201.0,1280.2949,733.1577,-201.0,2473.737,572.528,-201.0
