Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.004362038,3.543845,5.555388,0.05707373,0.027810916,2.4060822e-05,-6.0350075,-2.8776805,-0.053675786,3.618024,0.0,0.0,0.0,0.0,0.0,0.0,607.0764,582.5711,-201.0,1471.8839,1054.6445,-201.0,2330.8984,567.47925,-201.0
0.0044756546,2.107118,7.788695,0.048806336,0.024284488,5.0740502e-05,-4.982588,-1.6439263,1.5587512,6.4413047,0.0,0.0,0.0,0.0,0.0,0.0,607.9799,611.59955,-201.0,1449.9955,1009.8755,-201.0,2344.344,590.6408,-201.0
0.0048094443,0.17223728,9.803979,0.036858376,0.019412601,8.500927e-05,-2.7776957,0.41504654,4.8308167,6.8848968,0.0,0.0,0.0,0.0,0.0,0.0,572.4096,1091.6902,-201.0,1326.7285,995.3252,-201.0,2290.8313,631.33734,-201.0
0.0050276625,-2.2009494,11.319797,0.02949897,0.013064957,9.879299e-05,-0.12523286,4.5364914,6.3789597,7.955063,0.0,0.0,0.0,0.0,0.0,0.0,536.5851,1307.7528,-201.0,1355.956,949.3897,-201.0,2313.128,874.2395,-201.0
0.005896052,-4.6592383,11.720304,0.03407596,0.005839063,0.00015814463,4.597585,7.5583344,4.346494,3.66844,0.0,0.0,0.0,0.0,0.0,0.0,470.9863,1491.5055,-201.0,1314.5183,968.9614,-201.0,2330.5977,846.8952,-201.0
0.0066094697,-7.2759757,13.705747,0.03857914,0.0032107495,0.00021069667,8.68646,9.836712,3.1852067,5.1651,0.0,0.0,0.0,0.0,0.0,0.0,733.61444,1170.5367,-201.0,1707.3799,967.65094,-201.0,2693.2002,857.0184,-201.0
0.007838667,-8.554181,16.040037,0.045984853,0.0044737165,0.00026415772,12.715431,10.053012,2.713206,6.0868454,0.0,0.0,0.0,0.0,0.0,0.0,952.42163,1104.1075,-201.0,1946.5282,969.00494,-201.0,2982.2656,605.2694,-201.0
0.008822464,-9.626473,19.163849,0.04961213,0.0065871323,0.00035228836,15.104875,10.621439,4.948444,8.866212,0.0,0.0,0.0,0.0,0.0,0.0,872.2551,1298.5453,-201.0,1910.5905,1023.7624,-201.0,2960.0627,687.5247,-201.0
0.010320005,-10.715819,21.535685,0.050193314,0.0055672657,0.0005463495,18.767866,10.423367,3.967254,9.863243,0.0,0.0,0.0,0.0,0.0,0.0,818.1491,1352.3789,-201.0,1860.041,1054.0304,-201.0,2947.7024,669.6584,-201.0
0.012184328,-14.208782,24.686445,0.05878572,-0.003631872,0.00084678846,22.477577,13.361829,5.2935605,7.3416634,0.0,0.0,0.0,0.0,0.0,0.0,563.50323,1431.4565,-201.0,1573.1466,1146.9581,-201.0,2604.1533,840.0085,-201.0
