Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005606475,-19.348175,29.62761,-0.049551085,0.011669419,5.4477307e-05,-3.6722,10.619205,9.780034,11.248385,0.0,0.0,0.0,0.0,0.0,0.0,954.3288,1340.6357,-201.0,1997.9092,947.99677,-201.0,2942.4404,828.85156,-201.0
0.005708059,-18.932539,29.775602,-0.047540173,0.012077988,8.966578e-05,-4.937205,9.775704,8.511188,11.442932,0.0,0.0,0.0,0.0,0.0,0.0,740.4494,1438.5894,-201.0,1727.3732,1097.018,-201.0,2647.1272,844.292,-201.0
0.005791586,-18.75637,30.65568,-0.036826175,0.011179559,0.00012801486,-5.9075127,8.782891,6.319155,12.52425,0.0,0.0,0.0,0.0,0.0,0.0,487.193,1568.0747,-201.0,1446.8652,1055.0621,-201.0,2438.2532,895.4575,-201.0
0.005798387,-19.078712,32.343826,-0.04109289,0.009184205,0.000106542255,-5.5874877,8.631126,5.6825085,11.306664,0.0,0.0,0.0,0.0,0.0,0.0,738.9043,1360.0807,-201.0,1712.4346,962.2654,-201.0,2780.2288,926.39545,-201.0
0.005784958,-19.409136,32.428654,-0.047582272,0.013168958,0.00012453015,-4.502252,8.268943,7.028,13.209575,0.0,0.0,0.0,0.0,0.0,0.0,888.54987,1135.209,-201.0,1933.0385,702.46124,-201.0,3043.7002,865.6014,-201.0
0.0058560153,-19.15611,31.431025,-0.056427687,0.014892467,0.00015157882,-4.9725556,6.660871,6.449508,11.677071,0.0,0.0,0.0,0.0,0.0,0.0,935.09796,1125.3027,-201.0,1925.2056,935.7859,-201.0,2939.5671,861.67474,-201.0
0.006135504,-18.640718,30.389303,-0.05380935,0.019294336,0.0001922507,-4.220283,5.1883526,8.22208,14.267146,0.0,0.0,0.0,0.0,0.0,0.0,876.5319,1049.6193,-201.0,1798.7051,960.73,-201.0,2800.925,672.98206,-201.0
0.00613129,-19.033575,30.857504,-0.043186024,0.015241885,0.00017814462,-4.596731,6.989035,7.074572,12.1216545,0.0,0.0,0.0,0.0,0.0,0.0,887.5192,1351.7588,-201.0,1755.9884,1121.3785,-201.0,2713.9993,918.4785,-201.0
0.005976292,-19.063293,30.847795,-0.038572107,0.017475376,0.00020848315,-4.9482207,9.291659,8.966962,13.273285,0.0,0.0,0.0,0.0,0.0,0.0,1086.4735,1150.5691,-201.0,2082.3298,837.0998,-201.0,3027.2732,829.70197,-201.0
0.0057613603,-18.979082,30.887644,-0.03980057,0.012560013,0.0001758191,-5.5406175,10.184006,7.3368573,9.699786,0.0,0.0,0.0,0.0,0.0,0.0,941.0857,1266.9309,-201.0,2062.1912,860.9358,-201.0,2765.46,1371.2855,-201.0
