Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010599443,3.9218118,0.0,0.10718,0.017919404,3.4833984e-06,-1.2890254,1.6138581,-1.4170855,0.88208586,0.0,0.0,0.0,0.0,0.0,0.0,502.3354,781.86816,-201.0,1446.8126,793.99945,-201.0,2395.2705,749.8216,-201.0
0.001046955,1.9609059,0.0,0.119938694,0.020052528,3.4833984e-06,-0.6445127,0.80692905,-0.70854276,0.44104293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,3.4833984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010434963,1.9609051,-2.588597e-07,0.12005898,0.020072637,3.3340164e-06,-0.50914377,0.67416024,-0.6582667,0.49444354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0012405663,3.897046,0.00013848329,0.10495863,0.017198987,7.958199e-06,-3.4908931,0.699312,-1.3411487,0.5396938,0.0,0.0,0.0,0.0,0.0,0.0,506.88782,787.81934,-201.0,1448.9282,805.126,-201.0,2396.4126,762.9695,-201.0
0.0015926171,5.6932235,0.42422077,0.087269165,0.0143844625,1.3579284e-05,-6.5032234,0.5291231,-2.3915203,0.31371546,0.0,0.0,0.0,0.0,0.0,0.0,512.04596,775.22266,-201.0,1451.8971,799.8062,-201.0,2397.6992,757.43085,-201.0
0.0035394763,3.2144048,3.2309456,0.07351319,0.010039992,0.00010600844,-2.923422,-2.5936434,-5.3504615,-0.6362302,0.0,0.0,0.0,0.0,0.0,0.0,500.8829,831.97723,-201.0,1448.0084,899.21844,-201.0,2372.4648,747.28143,-201.0
0.006112999,-2.0804627,9.4168005,0.074868895,0.0014619551,0.0002754082,5.9035645,-1.3580275,-7.876883,-6.2957573,0.0,0.0,0.0,0.0,0.0,0.0,478.58237,1077.3901,-201.0,1367.8522,1217.8951,-201.0,2296.5527,826.2188,-201.0
0.008644711,-6.523525,15.234036,0.07316389,-0.004417649,0.00041129751,12.731613,-0.51886636,-10.733937,-13.489406,0.0,0.0,0.0,0.0,0.0,0.0,454.29776,1178.4756,-201.0,1334.3344,1348.561,-201.0,2285.6926,800.11847,-201.0
0.010465808,-9.427625,19.862225,0.08428269,-0.010159454,0.0005617092,16.001947,3.372001,-13.392814,-18.92507,0.0,0.0,0.0,0.0,0.0,0.0,443.2164,1237.3976,-201.0,1290.1993,1347.931,-201.0,2366.886,764.2508,-201.0
0.011734311,-10.83048,21.023079,0.078004844,-0.013600026,0.0006131812,17.309538,5.0351944,-13.5454,-17.390417,0.0,0.0,0.0,0.0,0.0,0.0,567.7354,1242.4061,-201.0,1603.1185,1117.2347,-201.0,2687.006,678.6374,-201.0
0.012968096,-13.0046835,22.392145,0.0762058,-0.01935129,0.0006748361,20.82709,7.427279,-14.14989,-15.175088,0.0,0.0,0.0,0.0,0.0,0.0,566.69073,1374.7999,-201.0,1518.4266,1202.3881,-201.0,2630.4111,704.9788,-201.0
0.014142983,-14.706735,22.868967,0.075476624,-0.021541903,0.0006717529,22.477028,9.163875,-12.412651,-16.325533,0.0,0.0,0.0,0.0,0.0,0.0,558.2609,1454.4619,-201.0,1466.1168,1242.4327,-201.0,2547.6016,754.5847,-201.0
0.01551729,-14.814862,24.53015,0.08573446,-0.020981466,0.00068650744,24.130747,9.146076,-15.20578,-17.344988,0.0,0.0,0.0,0.0,0.0,0.0,426.2041,1444.3224,-201.0,1131.5498,1334.1986,-201.0,2269.4028,846.8491,-201.0
0.017254384,-14.636787,26.075914,0.08781623,-0.02076569,0.00079268654,26.127882,8.224875,-17.48864,-17.961267,0.0,0.0,0.0,0.0,0.0,0.0,402.14917,1577.3964,-201.0,1133.7598,1363.4264,-201.0,2324.3474,1028.9552,-201.0
0.018954119,-14.395424,27.485664,0.091718026,-0.023420997,0.0009087627,28.201445,7.035705,-18.614388,-16.747297,0.0,0.0,0.0,0.0,0.0,0.0,386.18607,1724.9791,-201.0,1108.481,1429.2072,-201.0,2324.0159,1093.909,-201.0
0.020728381,-14.030708,26.937164,0.09380331,-0.025189372,0.0011093448,29.53392,5.5766673,-19.335855,-18.251532,0.0,0.0,0.0,0.0,0.0,0.0,373.0381,1710.7965,-201.0,1106.7222,1387.8258,-201.0,2292.8193,1028.0858,-201.0
0.022614667,-13.539243,25.767538,0.10136396,-0.024485612,0.0012412444,30.310585,5.148489,-19.725962,-18.297411,0.0,0.0,0.0,0.0,0.0,0.0,353.51526,1677.9941,-201.0,1096.8257,1322.5732,-201.0,2212.754,916.1058,-201.0
0.023816146,-12.489262,25.040659,0.100429915,-0.025420045,0.001470136,30.552011,4.1329556,-21.190628,-17.277517,0.0,0.0,0.0,0.0,0.0,0.0,363.55722,1524.6709,-201.0,1128.5972,1245.6781,-201.0,2148.279,862.1201,-201.0
0.025446272,-12.259071,26.304909,0.090239495,-0.026774338,0.0016874769,31.91773,4.2032547,-20.898895,-15.342728,0.0,0.0,0.0,0.0,0.0,0.0,373.9222,1643.9843,-201.0,1132.5065,1372.6554,-201.0,2160.4749,1034.5336,-201.0
0.026570862,-12.029662,26.908972,0.096007556,-0.027225265,0.0017981366,33.510414,3.028453,-20.062813,-15.104299,0.0,0.0,0.0,0.0,0.0,0.0,401.1356,1466.768,-201.0,1169.915,1269.2118,-201.0,2182.457,944.9783,-201.0
