Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,1.2510768,0.00021759835,0.12081655,0.016321776,1.4494076e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0014417022,2.5204103,0.10015278,0.10182049,0.009628894,1.5268894e-05,-2.004617,3.6065629,1.1990608,-5.188269,0.0,0.0,0.0,0.0,0.0,0.0,891.11304,1213.4062,-201.0,1850.5068,451.53046,-201.0,2350.9473,1457.6385,-201.0
0.002587401,3.055702,1.8218948,0.06383633,0.0038597807,4.567686e-05,-3.860913,4.864527,1.1405269,-5.945006,0.0,0.0,0.0,0.0,0.0,0.0,768.8958,993.9992,-201.0,1743.6127,457.46497,-201.0,2389.698,1137.2482,-201.0
0.0044596717,1.7411033,4.5777054,0.04635656,0.008057158,0.00010273072,-5.041061,6.825497,4.44918,-1.6580147,0.0,0.0,0.0,0.0,0.0,0.0,617.6928,1345.6171,-201.0,1456.6948,564.8354,-201.0,2196.3127,955.178,-201.0
0.0068868124,-0.2849079,6.56427,0.018821293,0.010503623,0.00021440216,-3.1331737,4.4507947,7.371362,8.747321,0.0,0.0,0.0,0.0,0.0,0.0,639.03326,1353.8862,-201.0,1309.6693,701.6429,-201.0,2320.4114,824.51685,-201.0
0.010171472,-1.4068327,7.953939,0.02667787,0.01348775,0.00039285413,0.15605807,4.3877363,10.154838,10.641121,0.0,0.0,0.0,0.0,0.0,0.0,783.77637,1460.2589,-201.0,1517.4772,801.76776,-201.0,2522.9458,952.79517,-201.0
0.013810289,-3.4284506,9.865525,0.009713935,0.008964735,0.00075579504,4.415607,3.7581165,11.868874,10.868783,0.0,0.0,0.0,0.0,0.0,0.0,879.06,930.1657,-201.0,1896.2113,719.03595,-201.0,2911.2756,854.5538,-201.0
0.017163396,-5.942346,14.143387,0.0142475115,0.005239753,0.0009878204,7.3120537,6.7554345,12.782481,8.117829,0.0,0.0,0.0,0.0,0.0,0.0,1079.0388,963.5157,-201.0,2143.8977,673.95355,-201.0,3204.4065,726.61017,-201.0
0.019817432,-7.8149753,16.157097,-0.0034417629,0.0053579626,0.0011713315,7.62394,9.166394,15.024823,11.4452715,0.0,0.0,0.0,0.0,0.0,0.0,834.2968,1289.443,-201.0,1843.3661,720.35596,-201.0,2929.8633,628.68225,-201.0
0.022939706,-7.659388,15.230682,-0.0033840854,0.005061204,0.001160977,5.9826927,10.729749,17.073807,8.387345,0.0,0.0,0.0,0.0,0.0,0.0,899.126,1339.8539,-201.0,1846.6187,752.20166,-201.0,2930.2031,681.11615,-201.0
0.026429534,-6.600373,13.5907545,-0.009913221,0.007929065,0.001408943,4.6971526,7.6293945,19.046202,10.724232,0.0,0.0,0.0,0.0,0.0,0.0,629.19653,1517.9092,-201.0,1575.7861,817.15204,-201.0,2588.0393,746.47943,-201.0
0.029663766,-5.808501,12.441296,-0.0017301152,0.0024236923,0.0014803149,4.391518,5.9786625,21.373117,8.628734,0.0,0.0,0.0,0.0,0.0,0.0,988.0057,1173.5751,-201.0,1849.3857,885.48004,-201.0,2913.571,842.43,-201.0
0.03396044,-5.223427,12.405543,0.0052644867,-0.00088904036,0.001680376,4.098621,4.441459,20.891077,11.1818495,0.0,0.0,0.0,0.0,0.0,0.0,603.1585,1476.0365,-201.0,1611.2023,894.04865,-201.0,2543.0034,1021.39325,-201.0
0.0382759,-3.952753,11.579147,0.010733149,-0.0024024022,0.00182691,3.3402789,4.6081395,19.763031,8.535563,0.0,0.0,0.0,0.0,0.0,0.0,852.6294,1267.3331,-201.0,1839.9434,947.91766,-201.0,2833.5488,928.67365,-201.0
