Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0055084596,-1.5633926,13.729569,0.020342821,0.0114175575,4.4772478e-05,-6.4924183,-1.629007,-3.2543795,4.400457,0.0,0.0,0.0,0.0,0.0,0.0,589.5446,544.4261,-201.0,1603.9454,759.4544,-201.0,2449.9758,1035.783,-201.0
0.0053542317,-1.3860229,13.251286,0.020466706,0.008364695,8.3016064e-05,-7.265169,-1.3079573,-1.4426655,3.1148329,0.0,0.0,0.0,0.0,0.0,0.0,601.4102,651.3509,-201.0,1559.2108,748.42255,-201.0,2432.7593,1037.9315,-201.0
0.0051818355,-1.5414228,13.450817,0.027878484,0.0064295824,0.000114684,-7.3343062,0.5485947,-2.134056,2.906657,0.0,0.0,0.0,0.0,0.0,0.0,585.2724,715.24194,-201.0,1503.1979,717.82355,-201.0,2431.8352,856.8562,-201.0
0.0053627174,-1.4749287,12.974238,0.026404658,0.0059059747,9.9771045e-05,-8.18134,3.8353875,1.071452,3.4496539,0.0,0.0,0.0,0.0,0.0,0.0,604.094,787.0424,-201.0,1416.7191,636.0561,-201.0,2459.4622,669.22076,-201.0
0.005303821,-1.8642673,12.480147,0.03276137,0.006302576,9.6406955e-05,-5.4397416,6.6088243,3.7413366,3.008084,0.0,0.0,0.0,0.0,0.0,0.0,563.7695,897.45966,-201.0,1419.8428,672.09546,-201.0,2452.6653,568.4757,-201.0
0.005630383,-1.8165064,11.221181,0.032632176,0.004901312,0.00010680002,-3.678264,7.3529015,5.5683084,-0.41527906,0.0,0.0,0.0,0.0,0.0,0.0,553.06775,945.4004,-201.0,1468.4702,679.9724,-201.0,2468.951,686.3411,-201.0
0.0060389345,-3.8801863,12.875546,0.03503533,0.00047040885,0.00012126416,0.81768495,8.036611,3.529701,-4.1082363,0.0,0.0,0.0,0.0,0.0,0.0,491.76376,1012.46027,-201.0,1500.9242,754.54816,-201.0,2447.3396,706.48663,-201.0
0.0067644618,-4.3537955,12.892859,0.032110374,0.00077744434,0.00014919952,2.7402449,6.450981,1.2367707,-1.6296283,0.0,0.0,0.0,0.0,0.0,0.0,479.08206,1009.2212,-201.0,1460.6592,793.7044,-201.0,2410.404,685.88837,-201.0
0.0074419505,-5.266028,13.800969,0.026526177,-0.002264107,0.00017757522,5.640253,5.4281325,2.158493,-0.62998563,0.0,0.0,0.0,0.0,0.0,0.0,460.50586,1078.7814,-201.0,1410.5029,874.32367,-201.0,2374.0752,643.728,-201.0
0.008346681,-5.202961,12.443522,0.02807122,0.0007777388,0.00022356107,7.8571715,4.090716,4.371981,4.2168317,0.0,0.0,0.0,0.0,0.0,0.0,416.3285,1256.6852,-201.0,1375.671,915.84845,-201.0,2330.7783,772.3511,-201.0
0.009120236,-6.0862594,12.701438,0.029102711,-0.007820803,0.00025792164,9.484042,5.806002,3.0374234,2.9839952,0.0,0.0,0.0,0.0,0.0,0.0,407.53162,1178.1666,-201.0,1423.6401,835.02246,-201.0,2412.7805,836.07355,-201.0
0.009946329,-7.3749213,14.834729,0.04196599,-0.011180024,0.00034542545,11.389026,8.797332,0.11661021,6.2924423,0.0,0.0,0.0,0.0,0.0,0.0,386.073,1250.1674,-201.0,1434.035,856.66705,-201.0,2410.0762,1053.9205,-201.0
0.010670667,-8.403595,16.26187,0.04425325,-0.018721879,0.00043122098,11.653206,11.196113,-2.8444078,0.88708526,0.0,0.0,0.0,0.0,0.0,0.0,418.53635,1113.1077,-201.0,1489.8375,864.73883,-201.0,2503.2493,1074.6226,-201.0
0.012191795,-9.247641,16.787638,0.055397358,-0.016763711,0.0005902541,13.552742,11.357629,-2.9832437,-0.6485298,0.0,0.0,0.0,0.0,0.0,0.0,589.6033,1277.4546,-201.0,1631.7614,964.8779,-201.0,2676.055,960.97687,-201.0
0.01387041,-8.657444,14.298203,0.060236346,-0.0148151675,0.0006850644,13.838894,8.216255,-3.0954025,-5.0484996,0.0,0.0,0.0,0.0,0.0,0.0,569.12115,1306.2927,-201.0,1588.725,1010.4216,-201.0,2630.8806,812.94525,-201.0
0.016352115,-8.951023,14.82299,0.06657495,-0.012821945,0.0008846076,15.738721,7.237826,-1.4660721,-3.9045677,0.0,0.0,0.0,0.0,0.0,0.0,539.74554,1362.8616,-201.0,1515.0326,969.9195,-201.0,2554.932,704.779,-201.0
0.018290795,-7.941673,14.375934,0.07668791,-0.010385009,0.0009421003,14.885425,4.773495,-1.3255032,-6.320048,0.0,0.0,0.0,0.0,0.0,0.0,637.3274,1289.2699,-201.0,1602.4535,996.374,-201.0,2606.2244,690.1208,-201.0
0.02103483,-8.219903,13.968377,0.077216245,-0.011766146,0.0011848749,16.390963,4.236875,2.214033,-6.060964,0.0,0.0,0.0,0.0,0.0,0.0,652.5094,1269.5114,-201.0,1610.2769,986.25507,-201.0,2616.9539,646.73145,-201.0
0.02242349,-6.6790543,12.111088,0.07773747,-0.008228199,0.0012691327,15.745201,1.2528195,2.675766,-7.8852744,0.0,0.0,0.0,0.0,0.0,0.0,648.23804,1257.0029,-201.0,1622.016,945.0506,-201.0,2639.7156,682.40106,-201.0
0.024686307,-7.4266396,11.927593,0.070914164,-0.009713578,0.0016163317,17.589499,2.012727,5.2554693,-7.453287,0.0,0.0,0.0,0.0,0.0,0.0,362.12097,1275.097,-201.0,1354.9681,946.10736,-201.0,2299.7656,858.7883,-201.0
