Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010600794,5.8827157,0.0,0.095301606,0.015933456,9.558904e-07,-1.3007375,1.6324688,-1.4421414,0.9129358,0.0,0.0,0.0,0.0,0.0,0.0,503.0474,794.9729,-201.0,1446.9019,809.08466,-201.0,2394.4368,765.30444,-201.0
0.0014713081,5.87187,0.05808423,0.08774731,0.015352848,1.243307e-05,-3.7247372,1.4227962,-0.0558877,2.8077266,0.0,0.0,0.0,0.0,0.0,0.0,546.44366,843.6004,-201.0,1404.6464,870.7532,-201.0,2414.509,834.757,-201.0
0.0015095841,5.899449,0.058946323,0.08311741,0.017658556,2.2306638e-05,-4.484472,1.1923801,0.19680314,3.3843663,0.0,0.0,0.0,0.0,0.0,0.0,712.3476,819.295,-201.0,1634.4185,1039.8602,-201.0,2639.0535,776.174,-201.0
0.0015094491,3.938545,0.058946323,0.09499582,0.019644506,2.5737252e-05,-4.4727597,1.1737694,0.22185898,3.3535163,0.0,0.0,0.0,0.0,0.0,0.0,816.28564,818.3513,-201.0,1728.0876,1140.1628,-201.0,2762.1953,766.1259,-201.0
0.001274688,2.9073598,1.1658609,0.10624171,0.020342926,2.2231907e-05,-3.077544,1.3498569,-1.2288033,1.4187402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0024315065,0.1728727,3.4747865,0.10269032,0.013480018,5.6776742e-05,-0.1341923,1.2653799,-2.1971233,-0.72502184,0.0,0.0,0.0,0.0,0.0,0.0,474.35074,907.94666,-201.0,1434.9149,886.50055,-201.0,2346.907,707.06506,-201.0
0.0038191732,0.6742463,5.2568507,0.08300483,0.0052557825,8.3916275e-05,-0.46135366,0.09622105,-3.4910557,-1.8464327,0.0,0.0,0.0,0.0,0.0,0.0,453.8218,933.0633,-201.0,1422.8828,823.61945,-201.0,2361.4707,702.1819,-201.0
0.0061733783,-1.4214846,7.3645287,0.07300552,-0.00090715865,0.00017962225,3.3961136,-0.42670584,-4.3700466,-3.6611226,0.0,0.0,0.0,0.0,0.0,0.0,432.9686,969.9436,-201.0,1414.5951,794.6094,-201.0,2370.173,658.4931,-201.0
0.008052614,-2.578417,9.567856,0.07468905,-0.0028169025,0.00024530047,4.868262,-0.24701905,-4.3215528,-3.7322037,0.0,0.0,0.0,0.0,0.0,0.0,419.06104,988.847,-201.0,1409.6312,758.2517,-201.0,2374.5725,696.479,-201.0
0.010630094,-5.2046094,11.19862,0.087613724,-0.0076547214,0.0003555594,7.935539,3.1144361,-2.9340346,-4.8620954,0.0,0.0,0.0,0.0,0.0,0.0,415.04385,967.3445,-201.0,1424.6329,725.39703,-201.0,2377.3826,682.5194,-201.0
