Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.006097716,-18.423738,31.8351,-0.039954662,0.0064049014,3.4172223e-05,-0.952282,10.433524,0.9567666,12.2441,0.0,0.0,0.0,0.0,0.0,0.0,912.49884,1092.1694,-201.0,2072.2825,1052.2181,-201.0,2992.7395,910.2637,-201.0
0.0061493497,-18.010237,30.69722,-0.035462596,0.008416936,7.528262e-05,-1.1880345,7.898993,0.86902255,11.077119,0.0,0.0,0.0,0.0,0.0,0.0,766.65985,1660.8783,-201.0,1617.1412,1170.6857,-201.0,2588.6323,919.54517,-201.0
0.006148184,-17.896631,29.763702,-0.028159834,0.0079537295,0.0001115051,-1.2747384,7.358644,2.0645392,11.513455,0.0,0.0,0.0,0.0,0.0,0.0,791.61163,1701.3114,-201.0,1594.7941,1180.7656,-201.0,2562.8425,930.2187,-201.0
0.0062135695,-17.685114,29.079493,-0.027439922,0.014132894,0.000116891555,-0.49806538,6.5180397,4.132162,14.903934,0.0,0.0,0.0,0.0,0.0,0.0,843.16754,1745.6329,-201.0,1657.2865,1122.0868,-201.0,2785.9092,767.8496,-201.0
0.0062521915,-18.276154,30.176844,-0.03304309,0.010652385,0.0001697623,2.1625156,10.352563,7.693772,18.630486,0.0,0.0,0.0,0.0,0.0,0.0,1081.1637,1171.2042,-201.0,2090.4238,2370.1868,-201.0,3060.9707,696.52167,-201.0
0.007893828,-17.384287,28.714834,-0.027472978,0.001996462,0.0004223898,7.665259,13.6127,8.02467,11.4719515,0.0,0.0,0.0,0.0,0.0,0.0,849.2668,1199.2891,-201.0,1890.8286,2526.0857,-201.0,2800.9275,864.7542,-201.0
0.014292084,-17.001709,26.336557,-0.010888937,-0.007715219,0.0024477863,17.043493,14.169067,9.142304,7.9852943,0.0,0.0,0.0,0.0,0.0,0.0,926.95874,1144.2305,-201.0,1980.1569,2399.6902,-201.0,2987.7683,844.0866,-201.0
0.02656466,-17.080427,23.460047,0.011411082,-0.014491558,0.0066146026,24.325804,13.843347,8.219386,1.6294745,0.0,0.0,0.0,0.0,0.0,0.0,528.92084,1406.2181,-129.81158,1622.5446,1163.8867,-136.41112,2717.2139,863.56665,-137.75085
0.046893835,-18.83106,24.374968,0.013417258,-0.013935685,0.015505221,29.619303,12.583049,10.013653,7.0191765,18.724735,0.0,0.0,0.3622616,7.1620755,23.621399,488.85825,1421.0552,-59.944164,1497.5385,1009.6685,-74.33727,2621.5579,626.0787,-77.74273
0.06943015,-19.794119,25.631845,0.0015806513,-0.011641921,0.022367334,29.989584,11.949079,12.45306,8.011601,22.529612,0.0,0.0,1.707945,12.186599,26.542395,285.55618,1535.0175,9.536926,1237.7129,1242.2408,-12.462602,2182.3918,718.35077,-19.056433
0.09474834,-20.098783,25.893843,-0.016399337,-0.011262514,0.030841751,29.857859,12.490418,16.96414,10.7502365,26.189672,0.0,3.0338151,3.5123417,18.369514,29.715796,340.6144,1460.6371,7.7635155,1275.36,1302.4799,-15.650403,2174.4275,737.7683,-24.003248
0.12633999,-18.805212,25.043144,-0.010084269,-0.00998331,0.041781794,28.831766,10.449578,18.491959,9.642487,29.873863,0.008956881,2.538625,4.3853774,26.31386,33.83613,575.4832,1410.2389,-0.3397824,1563.7118,1200.128,-20.411356,2574.8171,684.3741,-26.537378
0.16141412,-18.00432,26.114426,0.0003452807,-0.008219479,0.050335605,28.3955,10.577572,16.469648,6.5609,29.590567,0.010818414,1.6845375,4.0648236,30.254236,35.195873,825.5347,1210.7672,-7.636524,1883.7963,916.16626,-22.465899,3005.0803,491.8571,-27.912888
0.19780095,-17.502195,27.78106,-0.0071382835,-0.0049779494,0.066826575,28.392027,10.035661,15.20486,5.018623,29.274485,0.007792098,1.5505227,3.9626667,28.797607,34.67945,803.167,1178.2379,-7.555759,1856.1307,735.0811,-21.565157,3054.4412,426.5231,-27.315699
0.23589079,-18.09133,28.437378,-0.03156535,-0.0043439656,0.078929424,28.302422,11.236768,16.02545,6.6144524,29.018305,0.013620895,1.4600235,4.4384,24.40803,32.74506,827.87177,1200.3102,-7.18802,1903.892,740.2116,-19.12999,3088.9255,449.42065,-25.547043
0.26956084,-17.441359,27.874176,-0.035689354,-0.006529946,0.10195345,27.224356,10.419543,16.479109,7.656984,28.884039,0.022765612,1.1553017,4.780642,18.045929,28.81453,813.2141,1185.1154,-8.07534,1885.06,783.8842,-20.505152,3053.5476,600.07635,-22.203186
