Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005803604,-8.112859,20.250109,0.0037499275,0.011604217,4.2150004e-05,-5.3080316,2.3875086,5.8323035,9.095342,0.0,0.0,0.0,0.0,0.0,0.0,658.40936,856.33966,-201.0,1422.2196,927.3508,-201.0,2433.0723,862.9816,-201.0
0.005747121,-7.9951644,19.712606,0.0010690339,0.006290848,8.238607e-05,-4.8845177,4.0201163,5.1808677,6.4393177,0.0,0.0,0.0,0.0,0.0,0.0,596.4291,811.7105,-201.0,1445.9082,716.8759,-201.0,2418.6633,697.4937,-201.0
0.0057515553,-7.843374,19.596224,-0.012219922,0.0048653902,0.000121145546,-6.6335845,4.436255,4.050884,5.0130024,0.0,0.0,0.0,0.0,0.0,0.0,562.1372,698.15936,-201.0,1497.849,540.16705,-201.0,2438.6565,633.87213,-201.0
0.0057237768,-7.8608985,19.521425,-0.021162597,0.006880334,0.00011933568,-8.034104,5.1023602,4.8990436,5.436194,0.0,0.0,0.0,0.0,0.0,0.0,578.5195,728.747,-201.0,1473.8265,551.17645,-201.0,2495.9358,566.62524,-201.0
0.005833061,-8.868756,20.636675,-0.037746806,0.0039242557,0.00013228963,-6.2549477,7.9426064,5.960697,8.273311,0.0,0.0,0.0,0.0,0.0,0.0,563.5117,756.4318,-201.0,1499.0687,576.01556,-201.0,2484.203,641.5069,-201.0
0.0059800446,-9.134782,20.362886,-0.031620983,0.0023426085,0.00015511579,-2.71017,11.467856,8.601217,9.798118,0.0,0.0,0.0,0.0,0.0,0.0,487.5939,1110.0054,-201.0,1430.3496,650.8481,-201.0,2400.976,676.2597,-201.0
0.005949424,-10.247011,20.739428,-0.02089067,0.0014264263,0.00017314659,-0.17623925,16.539991,10.713483,8.641724,0.0,0.0,0.0,0.0,0.0,0.0,428.77536,1223.8105,-201.0,1469.3734,692.16034,-201.0,2339.548,680.0998,-201.0
0.006121837,-9.83556,19.93589,-0.0043016872,0.007516769,0.00016394182,1.2683372,16.747322,12.419219,7.275539,0.0,0.0,0.0,0.0,0.0,0.0,666.54736,1206.1508,-201.0,1736.2643,632.8128,-201.0,2670.3955,640.587,-201.0
0.0064629987,-10.675243,20.807056,0.0053832154,0.0062904297,0.00020444673,4.9546595,16.852028,12.409682,6.9221325,0.0,0.0,0.0,0.0,0.0,0.0,907.2573,944.1639,-201.0,2056.6145,609.7151,-201.0,3017.3406,497.6299,-201.0
0.0071545043,-10.146484,20.117933,0.0013363383,0.006682191,0.00025888378,6.996956,15.038933,10.973454,6.4536514,0.0,0.0,0.0,0.0,0.0,0.0,835.41876,1137.2487,-201.0,1940.1807,684.94415,-201.0,3013.8262,492.70312,-201.0
0.007909867,-11.607758,21.611794,0.0025567615,0.0015357059,0.00040390724,10.138141,15.700184,9.73146,7.114393,0.0,0.0,0.0,0.0,0.0,0.0,459.23734,1450.2119,-201.0,1582.9502,909.94995,-201.0,2679.1272,539.8306,-201.0
0.008671275,-11.805466,21.857924,0.0032447204,-0.00084638427,0.00038469865,12.032078,15.422105,6.602736,5.6187,0.0,0.0,0.0,0.0,0.0,0.0,207.1834,1598.6299,-201.0,1246.159,947.3116,-201.0,2389.7324,593.3635,-201.0
0.009551491,-12.323677,23.072996,0.010059874,-0.00068302057,0.00043200314,15.134053,14.210564,4.4640822,7.4625793,0.0,0.0,0.0,0.0,0.0,0.0,191.78444,1564.9103,-201.0,1249.5142,937.1684,-201.0,2365.9678,682.15326,-201.0
0.010460466,-12.234197,22.499779,0.015443377,-0.0010066242,0.00042912434,17.020521,11.151363,3.4099092,4.847731,0.0,0.0,0.0,0.0,0.0,0.0,485.82266,1298.7279,-201.0,1535.5493,764.5572,-201.0,2667.7,653.55035,-201.0
0.01133825,-12.085716,21.018476,0.013490491,-0.002083407,0.0006224129,19.259155,8.778178,1.4154505,6.7649574,0.0,0.0,0.0,0.0,0.0,0.0,500.88303,1344.7605,-201.0,1520.2855,864.64453,-201.0,2611.988,697.1258,-201.0
0.0129662,-12.247826,20.187532,0.027274573,-0.0038430926,0.00091409445,20.729631,5.8818126,1.9468066,4.9225526,0.0,0.0,0.0,0.0,0.0,0.0,832.66156,1146.9823,-201.0,1851.6588,806.91016,-201.0,2940.8914,665.6894,-201.0
0.0141729675,-11.495421,18.455862,0.033971194,-0.0045915823,0.0011005556,21.767,4.0031743,1.3650403,5.5345993,0.0,0.0,0.0,0.0,0.0,0.0,905.5025,1334.4491,-201.0,1919.7422,1022.90283,-201.0,2936.1572,1081.2285,-201.0
0.015923955,-12.286995,20.239067,0.050530583,-0.0037908338,0.0012871107,22.05145,3.0809119,4.7000313,1.1803786,0.0,0.0,0.0,0.0,0.0,0.0,1096.8873,1239.7317,-201.0,2190.094,945.5859,-201.0,3230.7112,1165.0527,-201.0
0.017324647,-12.464352,20.948801,0.055482555,-0.0053600967,0.0011975466,24.018463,2.157289,4.521992,-1.2134012,0.0,0.0,0.0,0.0,0.0,0.0,814.9677,1375.8334,-201.0,1859.8365,1024.6973,-201.0,2890.088,1195.9064,-201.0
0.01887058,-13.130844,21.947245,0.068721294,-0.0056217867,0.0012170114,25.146734,1.7744555,5.1703,-3.9681103,0.0,0.0,0.0,0.0,0.0,0.0,508.0238,1418.7306,-201.0,1467.0957,1022.4336,-201.0,2523.6533,788.83405,-201.0
0.02049603,-13.489461,22.77397,0.074518524,-0.004071227,0.0015619755,27.00598,1.5034385,5.532125,-1.7577101,0.0,0.0,0.0,0.0,0.0,0.0,266.14017,1548.5771,-201.0,1178.4233,1058.15,-201.0,2195.8835,693.3594,-201.0
0.022265345,-12.924553,21.14575,0.0818678,-0.0027466463,0.0021370242,27.317251,0.060310442,6.941321,-2.5681736,0.0,0.0,0.0,0.0,0.0,0.0,544.74835,1406.3013,-201.0,1512.3618,971.5239,-201.0,2575.7087,621.853,-201.0
0.024096644,-13.465699,22.427114,0.084290065,-0.0044284337,0.002765078,28.415213,-0.68716544,5.950559,-3.4631014,0.0,0.0,0.0,0.0,0.0,0.0,810.46954,1238.669,-201.0,1847.3187,852.4558,-201.0,2982.0105,595.4771,-201.0
0.024694381,-12.813857,21.918177,0.07608441,-0.004158924,0.002993309,28.558777,-1.7252544,7.3138375,-4.2751107,0.0,0.0,0.0,0.0,0.0,0.0,821.01807,1243.8187,-201.0,1855.8251,866.1004,-201.0,2998.384,648.65247,-201.0
0.025633058,-13.043274,22.833923,0.07759724,-0.0009923306,0.0030459703,28.405943,-1.9359807,8.405582,-2.8808804,0.0,0.0,0.0,0.0,0.0,0.0,817.23535,1235.2916,-201.0,1839.457,893.1944,-201.0,2955.327,637.2265,-201.0
0.027658792,-13.203818,22.189743,0.07439789,0.001978791,0.0031777173,29.939611,-2.440338,8.519189,1.4818417,0.0,0.0,0.0,0.0,0.0,0.0,569.67206,1341.5306,-201.0,1522.0817,971.7049,-201.0,2559.052,686.00665,-201.0
0.03001526,-13.091591,20.390396,0.08842554,-0.0047059376,0.0035350388,30.164701,-3.8622963,6.194973,-2.3728623,0.0,0.0,0.0,0.0,0.0,0.0,539.5457,1405.6904,-201.0,1482.145,1015.5964,-201.0,2528.3574,624.3028,-201.0
0.031122925,-13.586533,21.15441,0.0743319,-0.011650915,0.004270715,29.522957,-1.8064846,5.5677795,-3.0054677,0.0,0.0,0.0,0.0,0.0,0.0,530.5512,1446.6254,-201.0,1501.7279,1117.3715,-201.0,2497.668,705.1035,-201.0
0.03688669,-11.872281,19.294611,0.06819101,-0.013039599,0.0052745244,24.05986,0.07206082,7.283577,-7.150086,0.0,0.0,0.0,0.0,0.0,0.0,775.9246,1339.7361,-201.0,1795.6866,1027.6229,-201.0,2938.5085,666.7068,-201.0
0.049149487,-12.788295,21.79391,0.047242958,-0.0027531944,0.0108281365,19.168188,7.593403,11.755893,0.6185935,0.0,0.0,0.0,0.0,0.0,0.0,1099.4049,1076.5577,-201.0,2196.7883,876.36615,-201.0,3313.3438,708.0888,-201.0
0.055384632,-14.202583,22.71547,0.031865384,0.0015142068,0.013403859,17.968756,11.886375,14.806313,4.6604853,0.0,0.0,0.0,0.0,0.0,0.0,767.6826,1250.8322,-201.0,1851.3676,817.1279,-201.0,3033.4756,617.95416,-201.0
0.056408584,-17.230196,25.504515,0.00288756,0.004347102,0.014688103,19.393087,16.567022,18.685343,15.30379,0.0,0.0,0.0,0.0,0.0,0.0,527.8912,1296.4938,-201.0,1623.5953,824.3311,-201.0,2633.423,710.1761,-201.0
0.05431198,-17.94403,25.361862,-0.003921106,-0.0025294896,0.011115145,21.745047,16.073168,16.690968,13.822425,0.0,0.0,0.0,0.0,0.0,0.0,256.79648,1449.8754,-201.0,1293.1841,934.38983,-201.0,2334.0632,700.8904,-201.0
0.06069784,-17.253193,24.155,-0.005552837,-0.00268987,0.011420111,21.99959,14.22015,16.08289,14.284297,0.0,0.0,0.0,0.0,0.0,0.0,320.6195,1409.543,-201.0,1332.66,982.4585,-201.0,2302.2375,810.4128,-201.0
0.0675774,-15.802208,23.409391,-0.005568979,-0.007203804,0.011783272,23.08529,11.242753,13.129123,10.22034,0.0,0.0,0.0,0.0,0.0,0.0,312.70206,1509.0409,-201.0,1273.9052,1085.5095,-201.0,2250.5222,789.3615,-201.0
0.072442956,-14.832759,22.127073,-0.0041485713,-0.0070742983,0.012919995,24.23614,8.647072,12.166759,10.94114,0.0,0.0,0.0,0.0,0.0,0.0,616.4271,1458.5629,-201.0,1618.8184,1083.4569,-201.0,2640.3809,996.5324,-201.0
0.07806331,-14.222426,21.686295,0.011000414,-0.0075029656,0.01345446,24.7294,7.7716765,11.128696,10.78862,0.0,0.0,0.0,0.0,0.0,0.0,591.47955,1460.873,-201.0,1601.848,1032.3038,-201.0,2645.0044,983.78326,-201.0
0.081556074,-13.728966,20.806376,0.03165902,-0.004821157,0.014090635,24.565851,7.468235,9.991848,10.8047285,0.0,0.0,0.0,0.0,0.0,0.0,596.066,1401.2799,-201.0,1621.8896,984.66064,-201.0,2662.3635,983.2058,-201.0
0.08564409,-14.00111,20.840607,0.040939312,-0.006105202,0.0138921505,25.016787,7.402986,9.186188,9.344841,0.0,0.0,0.0,0.0,0.0,0.0,549.63043,1377.5684,-201.0,1548.9502,892.8303,-201.0,2602.9856,643.6336,-201.0
0.0861708,-14.002056,20.805405,0.03766713,-0.007171251,0.015258105,24.459063,7.6457405,10.904771,9.566438,0.0,0.0,0.0,0.0,0.0,0.0,575.95465,1292.409,-201.0,1571.0483,830.3296,-201.0,2608.2107,619.4443,-201.0
0.089318514,-14.443927,21.163292,0.038969576,-0.008712482,0.017650634,24.865112,7.367979,12.8991165,9.567487,0.0,0.0,0.0,0.0,0.0,0.0,571.531,1278.4677,-201.0,1587.2855,806.58136,-201.0,2613.1282,624.98236,-201.0
0.09197388,-14.654927,20.086786,0.042636175,-0.010024585,0.020007653,24.978765,7.292608,15.89077,13.731689,0.0,0.0,0.0,0.0,0.0,0.0,301.16885,1353.2183,-201.0,1326.6387,876.64154,-201.0,2220.4424,807.55176,-201.0
0.09545625,-15.511416,19.649641,0.04844773,-0.01028154,0.017565781,25.66535,7.7543297,16.538939,15.237164,0.0,0.0,0.0,0.0,0.0,0.0,308.43503,1342.9037,-201.0,1342.8224,893.0451,-201.0,2225.1592,834.74493,-201.0
0.09912857,-15.502696,19.032997,0.04344171,-0.0074468195,0.0159441,26.131058,7.3741493,15.514992,16.975615,0.0,0.0,0.0,0.0,0.0,0.0,595.67694,1314.8549,-201.0,1582.7418,954.5358,-201.0,2585.1262,806.42706,-201.0
0.10301083,-15.778187,20.22238,0.031013444,-0.0029944377,0.018539831,26.26103,7.275869,16.244402,16.327093,0.0,0.0,0.0,0.0,0.0,0.0,595.963,1292.6,-201.0,1577.6586,912.42804,-201.0,2621.2363,759.9749,-201.0
0.10759858,-14.637688,20.487177,0.017194707,-0.0038999848,0.02621595,27.041975,5.6279464,12.515611,16.203932,0.0,0.0,0.0,0.0,0.0,0.0,606.6552,1303.6569,-128.92867,1568.4298,952.0593,-135.59117,2592.8977,815.54486,-135.63567
0.112567864,-15.186793,21.293318,0.020572605,-0.008681058,0.03446804,28.067352,6.406273,12.946359,16.053179,13.070957,0.0,0.94571406,0.69105417,1.5433211,22.193525,320.81628,1411.8993,-56.809338,1337.0802,1020.0415,-70.076645,2191.081,951.7925,-72.22546
0.11635023,-15.455493,21.467218,0.028021397,-0.013515552,0.035478696,28.988749,6.9100366,12.251011,14.986057,13.083611,0.0,0.811491,0.62788314,1.5329319,21.352554,331.85098,1416.1508,15.267831,1344.9913,1065.3442,-4.5297294,2196.3154,974.2185,-6.834974
0.11834828,-16.421932,21.033775,0.034674376,-0.014635891,0.03138168,29.835257,8.257415,11.776828,12.429971,13.114043,0.011531623,0.677268,0.9558079,1.5710531,21.115461,322.43826,1516.5576,14.91603,1316.6808,1197.7759,-4.313995,2167.925,991.2154,-6.4745746
0.11883518,-17.25228,22.339027,0.03230225,-0.012613408,0.029805018,31.230898,8.31836,10.711087,13.315731,13.148579,0.0,0.38095355,1.2113123,1.7935156,18.493917,277.07062,1641.64,13.61261,1281.2784,1254.1088,-4.6441064,2203.7761,1040.8793,-4.1902122
0.11652866,-15.962357,21.198864,0.0161342,-0.008254002,0.035528857,30.397293,6.5242915,10.180113,14.277095,13.17213,0.008437363,0.21886216,1.3936449,2.3024628,22.325058,559.0699,1621.5142,6.2027493,1518.9922,1292.2897,-4.966478,2554.828,999.5769,-8.769391
0.11797017,-16.034798,21.472624,0.0032855922,-0.007739976,0.043093905,29.547949,6.304478,12.196326,17.491842,13.180522,0.0,0.24850704,1.2574409,2.910765,25.397482,879.48126,1590.3627,-0.72078705,1772.4994,1270.3495,-5.850149,2918.837,984.2231,-12.408291
0.11988961,-15.41893,21.339808,-0.015737189,-0.004197635,0.04233706,26.731493,6.6057,13.508906,18.70278,13.185524,0.0018891371,0.42595002,1.1678729,3.4598024,29.609552,1244.7675,1316.4581,-6.820802,2092.4873,1134.6337,-7.262816,3346.6697,821.0796,-16.878498
0.12610872,-15.157781,20.643816,-0.016364811,-0.0025430277,0.040226147,25.59973,6.910841,12.600494,21.464403,13.196355,0.0018891371,0.603393,1.1817479,3.6537654,29.33554,1229.5558,1245.3462,-4.943258,2088.8691,1072.7029,-7.856476,3349.2825,725.7676,-16.227837
0.13386492,-15.188563,22.334604,-0.010195307,-0.00029529328,0.04103029,24.517717,8.228833,11.531395,21.226038,13.18369,0.0,0.54759866,0.99082273,3.7342393,28.324812,862.39966,1285.8043,0.7829892,1822.1207,981.8872,-7.6128697,3026.337,674.16473,-14.69059
0.13773268,-14.2814455,20.388277,-0.004477874,-0.003290084,0.048529983,24.034645,8.857087,7.010225,19.05319,13.155505,0.0031573041,0.50609773,0.5838389,3.8260622,23.887436,561.02155,1433.2799,6.2106996,1477.4039,1056.0311,-6.347515,2560.0857,666.1181,-9.865698
0.14432509,-15.40596,24.02688,0.004188427,-0.0077458625,0.05264352,25.737562,11.4939995,4.9935207,16.662424,13.119496,0.0,0.4356335,-0.045929134,4.121785,19.42355,273.53537,1626.5074,8.484099,1210.6741,1178.8036,-6.118468,2106.0347,862.5197,-5.7887173
0.15170099,-14.468959,21.882761,0.008742288,-0.009557277,0.047132462,27.863585,8.251997,6.3185477,14.574964,13.098697,0.0023939488,1.0178026,-0.2981802,4.3849764,17.19913,330.99576,1484.7767,7.646127,1254.7242,1127.8458,-6.3217926,2095.7346,870.7988,-4.7381425
0.15623112,-14.612076,23.889175,0.032296963,-0.010878422,0.046634693,31.143494,4.7541614,9.488135,14.486881,17.100626,0.002297092,1.5999717,-0.5063305,-0.64384013,14.301875,343.4559,1359.1031,4.2770877,1318.784,1027.6503,-8.822293,2150.166,910.41675,-10.39957
0.15717745,-13.593503,22.800346,0.037937634,-0.0109904455,0.042381693,33.40111,-0.10583782,10.01749,9.628077,21.087059,0.0021033783,2.211104,-0.48864746,-5.744887,11.064448,375.0265,1226.2697,3.1046379,1327.5643,927.05304,-10.676166,2213.6982,846.9533,-14.3037615
0.15242417,-12.764678,21.911636,0.03843981,-0.010748942,0.041638274,34.956844,-2.574833,7.529953,9.473781,25.09096,0.0021033783,2.211104,-0.71454334,-10.891291,7.705386,389.6377,1199.973,-66.57963,1322.1914,945.44806,-75.45734,2206.1104,839.25214,-78.97742
0.15253037,-11.60635,21.231062,0.04048813,-0.011392738,0.035060927,35.957767,-4.842336,4.026109,3.1125143,0.0,0.0,0.0,0.0,0.0,0.0,378.57083,1263.9242,-133.3542,1277.0323,1007.20746,-137.99394,2158.7942,840.78595,-139.36525
0.14968397,-11.094455,17.127316,0.04231688,-0.012667403,0.027372891,35.15507,-6.188272,4.8688207,1.770357,0.0,0.0,0.0,0.0,0.0,0.0,351.4043,1412.5668,-201.0,1271.359,1148.1298,-201.0,2115.992,899.52466,-201.0
0.14744537,-9.639188,17.267666,0.06525449,-0.009418235,0.025690086,33.45216,-7.9468875,4.8723454,0.13335896,0.0,0.0,0.0,0.0,0.0,0.0,311.3168,1521.308,-134.0533,1246.2203,1160.3195,-136.19624,2112.4785,911.8455,-135.86934
0.14657573,-8.398369,13.723,0.057135027,-0.010157257,0.023444347,31.773054,-10.325559,5.722727,0.21001418,25.014034,0.0,0.0,-0.2560506,-6.460372,6.679299,321.65146,1482.17,-64.4381,1278.7904,1153.3873,-72.20089,2119.2678,935.6879,-71.71128
0.15418859,-8.260232,14.951045,0.06291051,-0.011460562,0.027653597,32.546757,-10.890709,2.6480942,-1.3977504,25.02273,0.0,0.0,0.31903902,-7.212501,7.6646066,350.9227,1350.8868,5.217994,1286.9008,1060.934,-8.064661,2137.9255,900.08466,-8.172516
0.16361769,-9.442918,16.605896,0.05827659,-0.014411089,0.02817137,33.501,-10.896949,1.5113705,-7.346853,25.045721,0.0,0.0,1.1877939,-7.793299,11.275683,370.4846,1326.3185,8.039093,1297.7938,1099.3447,-9.007719,2156.0498,942.35913,-11.466025
0.1729242,-11.750343,18.981817,0.06790421,-0.014469477,0.03177087,35.17597,-6.8715787,3.6356773,-9.49921,25.075562,0.0,0.35008585,1.1278043,-7.173879,12.370537,349.82788,1380.2968,8.144593,1259.9501,1120.6221,-8.555768,2141.466,886.17206,-11.399822
0.17417866,-12.642306,21.642435,0.07696574,-0.015745806,0.034866195,34.930477,-6.636402,4.3228836,-12.6571045,25.11268,0.008044638,0.777306,0.63727814,-5.3727436,12.744506,337.25778,1385.8969,8.050851,1247.7162,1089.025,-8.112094,2176.7773,832.0036,-10.066398
0.1777315,-13.58719,20.894217,0.07279091,-0.019425526,0.04115952,35.763958,-4.2283187,6.151788,-10.696111,25.155107,0.0073681115,1.0509299,-0.0042704544,-3.5063026,11.140136,351.65625,1300.9506,7.8411355,1249.7935,1040.8551,-7.4198785,2150.9883,749.9809,-6.805303
0.17697173,-12.952739,20.736708,0.07268379,-0.020881379,0.038932752,35.32192,-6.1356697,5.3008304,-13.19595,25.221125,0.0026012298,1.3489814,-0.29627922,-1.590044,12.979173,353.66504,1342.0819,8.147674,1246.445,1092.8651,-7.481341,2144.007,794.1851,-6.4215446
0.17739837,-12.550862,21.09429,0.062012102,-0.01943343,0.034956776,35.923588,-5.656189,5.4285793,-11.057109,25.291687,0.0031798908,1.0441786,-0.13855983,1.2442203,16.587244,355.21744,1439.7655,8.52964,1267.4996,1229.1217,-6.2429404,2090.7373,961.10986,-6.8133836
0.16889137,-11.851418,20.799355,0.057489395,-0.016526585,0.03349139,34.905354,-5.9575925,4.8107877,-11.392212,25.340933,0.0048018727,0.86028856,-1.2909526,4.6428175,20.366518,304.69406,1644.9946,9.566705,1235.8408,1355.5148,-6.1285253,2045.6617,1061.6226,-8.918503
0.17804295,-10.984361,19.727663,0.05481079,-0.014453356,0.032815814,29.872046,-3.5479114,3.906327,-11.032544,21.341707,0.17117824,1.4344558,-3.5540373,2.2916453,21.473816,503.73645,1543.3867,11.376877,1487.5084,1219.0475,-0.54428226,2400.7522,925.41,-4.017471
0.2251035,-9.791401,17.501635,0.060125362,-0.0115336105,0.055063963,23.828058,-2.3098848,7.7413306,-11.5046835,19.58935,0.3370874,2.1099844,-4.030229,2.9135334,25.053564,746.3037,1389.1768,2.3618572,1760.6094,1054.8087,-7.649015,2756.8025,745.41626,-10.460591
0.30492756,-10.663941,20.199816,0.052616175,-0.006521677,0.12018159,17.988436,3.1230953,9.776119,-7.583854,17.82372,0.5001906,2.7439244,-2.5287836,3.0777805,29.460028,1034.3395,1091.6156,-7.312418,2092.229,874.1899,-13.031581,3171.9207,539.74365,-16.670023
0.338729,-14.3117485,25.643906,0.026672766,-0.0050908187,0.20290272,18.636675,9.502216,16.418344,0.6998455,20.037907,0.5001906,2.7439244,-1.007689,8.215936,33.223377,1143.3408,1106.9674,-18.02754,2197.42,848.97266,-23.811255,3235.5789,611.30206,-28.05812
0.32874665,-18.658936,30.334036,-0.0022288393,-0.006340906,0.20529187,21.261309,16.68995,16.015886,8.066266,19.973898,0.5024039,2.028509,-2.5113637,8.122204,30.683294,834.5843,1333.7395,-10.705227,1899.5353,948.83057,-20.538223,2959.4023,760.9414,-26.077185
0.2875192,-19.227892,30.237715,-0.02140219,-0.013149993,0.20661359,23.428999,16.870064,14.674838,9.524999,18.231966,0.5046173,1.3130935,-4.5820093,4.991307,25.009989,596.32025,1511.3702,-8.301857,1628.2108,1053.076,-19.934977,2679.0305,1008.4344,-24.496603
0.28473842,-18.850159,29.074318,-0.03539787,-0.017073631,0.17900044,24.410116,15.857883,10.76337,9.495915,16.577055,0.5068306,0.59767807,-5.6366353,2.274208,22.541489,557.68353,1562.1232,-7.6677055,1648.4955,1106.4637,-19.825048,2796.548,1108.6136,-24.854073
0.28995812,-17.538343,27.01179,-0.042075295,-0.014816365,0.1994785,23.28094,13.958272,11.011813,8.517188,17.993505,0.5068306,0.59767807,-6.4876904,2.0520236,21.076185,865.2751,1360.3397,-14.713196,1981.3363,932.9233,-21.361364,3128.037,975.31006,-25.18733
0.30090663,-16.737112,25.773844,-0.033823296,-0.010784821,0.15482362,23.577818,12.07217,12.567677,9.459005,21.10658,0.5068306,0.59767807,-6.0903773,4.1969395,20.487268,821.49634,1432.3873,-11.648501,1915.0913,896.0417,-19.718924,3077.1204,791.5632,-22.908934
0.31484482,-14.344159,23.440763,-0.012329563,-0.0038861353,0.14267035,23.32522,8.337396,14.001961,11.453906,24.179369,0.5068306,0.59767807,-7.02877,5.4499993,18.345293,520.569,1439.0424,-6.7310786,1550.555,839.80646,-17.5587,2607.4512,671.8866,-19.82944
0.32861605,-12.871262,22.163727,0.0054786517,-0.0016068397,0.12895745,24.339148,5.5302978,14.679376,15.354777,24.198149,0.5068306,0.59767807,-6.832474,4.550355,19.784752,563.6733,1377.3716,-6.4091706,1534.5098,921.29834,-17.342978,2600.6726,686.4072,-21.068346
0.33770502,-12.842542,20.41628,0.01242959,-0.0030173995,0.13279973,24.632034,5.5749564,16.10673,16.753206,24.200651,0.45127568,0.4256891,-7.72937,3.7717884,22.752739,920.78436,1221.0547,-11.05667,1871.6879,1001.2964,-18.670378,2952.9758,788.5308,-24.215454
0.3468202,-14.121704,20.95764,0.010020967,-0.0030323633,0.12584174,25.452293,6.7328115,17.211767,16.786465,22.788858,0.34639683,0.7727597,-6.85276,3.8935592,25.94045,1263.4012,1079.0052,-15.859535,2213.9075,1042.2213,-20.124598,3316.4602,813.4189,-27.095505
0.353294,-14.66328,21.990425,0.009882144,-0.002880526,0.14519162,25.202387,7.843809,16.425623,13.71592,22.073406,0.26618,0.8603005,-6.562599,4.136127,26.59927,1226.522,1084.3138,-77.387566,2228.8418,1034.5569,-80.79061,3307.6868,847.9017,-85.541504
0.3574736,-15.045339,23.154144,0.0018002633,0.0001267775,0.16381842,25.74678,8.150298,16.835878,12.559178,0.0,0.0,0.0,0.0,0.0,0.0,1126.3053,1016.7173,-139.12901,2193.8262,938.36847,-140.99364,3226.8274,850.7168,-143.03708
0.36569843,-15.453473,23.989511,0.011666175,-0.0039015803,0.18466198,25.997034,7.840734,18.008179,10.765476,0.0,0.0,0.0,0.0,0.0,0.0,1080.9833,1091.2335,-201.0,2147.8264,939.2639,-201.0,3173.8782,880.04376,-201.0
0.3678675,-14.600327,22.128168,0.010789644,-0.006675228,0.22069998,25.628576,5.7505975,19.201885,11.4416685,0.0,0.0,0.0,0.0,0.0,0.0,1103.1659,1121.2145,-140.29239,2135.573,940.3716,-140.97151,3159.7795,918.4323,-141.99117
0.38430318,-15.890373,23.136772,0.014379225,-0.010488304,0.27074382,26.508947,6.108874,20.066532,13.800862,24.188688,0.0,0.0,-1.3664343,8.968156,20.860634,852.14276,1294.3232,-74.31359,1886.4435,943.24835,-80.40525,2884.8152,909.2156,-82.861084
0.3732027,-14.324234,21.206017,0.0074045635,-0.010741309,0.33263355,26.149176,4.793119,16.73746,13.6916,24.167986,0.0,2.6012821,-0.76687974,10.355479,20.78232,586.23975,1380.7743,-12.845223,1631.4225,1017.1429,-20.068117,2542.652,984.596,-23.891241
