Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005999547,-6.526934,14.241832,0.04928602,-0.0033863613,0.00025827737,7.115837,11.256377,1.9251723,1.0960261,0.0,0.0,0.0,0.0,0.0,0.0,414.37265,1182.4448,-201.0,1333.1241,895.0079,-201.0,2375.7473,529.26544,-201.0
0.009280428,-12.21543,21.472448,0.05600047,-0.0073469933,0.0010326187,16.181969,15.983688,3.0339158,-0.9603839,0.0,0.0,0.0,0.0,0.0,0.0,377.55984,1308.6731,-201.0,1295.2867,1035.3973,-201.0,2395.6975,664.3328,-201.0
0.014475931,-18.123825,30.291084,0.069920965,-0.0105132535,0.0023086101,27.35431,20.866781,1.9230343,0.48730955,0.0,0.0,0.0,0.0,0.0,0.0,570.6196,1524.1616,-201.0,1379.3652,1477.4913,-201.0,2618.6394,822.8028,-201.0
0.0228895,-20.776302,34.998547,0.06742393,-0.01315562,0.004986793,34.44455,23.77932,-2.3447351,-0.33825126,0.0,0.0,0.0,0.0,0.0,0.0,605.14215,1456.7074,-201.0,1376.1305,1422.5293,-201.0,2734.2864,889.1296,-201.0
0.031865846,-20.949327,37.444897,0.06458736,-0.012123458,0.007358946,37.221745,23.766851,-3.7444048,4.3469253,0.0,0.0,0.0,0.0,0.0,0.0,588.9508,1531.8043,-201.0,1380.2701,1417.8516,-201.0,2792.082,976.0285,-201.0
0.045792833,-21.321655,38.697308,0.06049158,-0.013164292,0.013444863,39.114605,24.83529,-5.6259055,4.2078934,0.0,0.0,0.0,0.0,0.0,0.0,364.4142,1448.5087,-134.4467,1260.2094,1084.2192,-140.33823,2617.784,1030.3124,-147.6366
0.056541134,-21.328005,39.422474,0.04472525,-0.01220506,0.017948406,38.172657,26.244177,-3.2182653,5.1666265,26.829174,0.0,2.6056123,1.6302131,0.8002782,40.4142,346.71094,1506.84,-67.86048,1245.0541,1091.3082,-79.46497,2651.6553,927.1035,-94.26975
0.074572206,-22.09932,39.37998,0.05421116,-0.015964804,0.028239442,38.690277,27.861746,-4.3098106,2.9809453,23.988937,0.21151192,3.2525187,0.6338902,0.72887707,39.847214,367.6643,1449.6364,6.753672,1236.0527,1085.0624,-10.593472,2615.0315,925.50885,-32.027466
0.08859701,-21.744637,37.51189,0.035362355,-0.016691556,0.031410534,36.803307,26.520508,-1.0489297,3.2465394,21.184166,0.14656971,2.4374893,-1.4395634,0.6528572,38.54587,358.99484,1482.9135,12.983949,1239.6346,1113.2462,-3.9913502,2548.863,1029.3202,-23.808435
0.11166874,-21.512886,34.98268,0.048123237,-0.021029985,0.03979214,36.25355,24.833344,-2.8053424,4.1770415,20.572174,0.14333457,2.7973194,-2.42276,0.49993333,34.753574,369.62012,1508.4672,13.001573,1263.8251,1206.2527,-3.9526703,2479.8828,1191.6842,-20.151438
0.14159267,-19.642073,33.50417,0.02308493,-0.020766145,0.048524052,36.17728,19.99014,-3.6220007,3.9676116,22.79925,0.22325449,2.2795274,-2.103758,-1.0257934,27.510193,359.9462,1605.4795,8.002471,1264.0887,1301.9122,-9.066508,2331.0393,1359.5494,-19.770082
0.18524362,-18.48417,32.12897,0.02604564,-0.020426476,0.06643299,37.180553,14.991658,-3.388634,4.4557695,25.001577,0.42982373,2.6362412,-0.5892637,-2.9845603,20.381285,376.30026,1577.2323,4.6381707,1321.4767,1316.7362,-12.762576,2272.578,1584.4977,-18.727674
0.22569673,-17.30932,31.702368,0.01886235,-0.017863223,0.08139282,37.662243,10.244155,-1.4817414,2.5463197,24.998627,0.437765,3.0572586,0.52356476,-4.1177974,16.498817,396.36954,1512.4884,5.6016107,1383.8138,1338.5306,-12.388126,2126.9458,1752.7251,-15.015003
0.25760257,-16.522825,30.100653,0.026034221,-0.019806465,0.08723887,36.249706,7.6738625,-4.32933,2.1218448,25.002563,0.24071938,2.1492913,1.5894226,-2.4689534,22.020891,542.5827,1359.7191,2.531163,1533.7247,1155.0702,-12.943009,2364.5413,1439.5741,-19.076576
0.2875091,-16.356009,28.95735,0.025246963,-0.021695895,0.1025548,35.821198,8.209763,-7.537657,2.5371058,25.021738,0.030802237,1.5279821,2.094343,0.034347456,28.91453,632.26215,1440.8467,1.152119,1622.6005,1126.8168,-13.3403015,2563.4512,1188.0927,-23.370203
0.3291486,-15.931424,27.57534,0.02512125,-0.021933064,0.114227064,36.05688,8.02148,-9.790213,5.306401,25.34818,0.01951299,0.84236974,2.0723777,1.9452232,30.784616,622.77997,1584.0231,0.7453552,1499.837,1287.5637,-13.155094,2500.1582,986.79694,-23.736177
0.39006507,-17.19642,28.762049,0.034482893,-0.02346296,0.16409363,37.23793,8.767451,-7.2356086,3.9623148,25.762175,0.0052742604,1.3903475,2.0939834,2.622098,30.47111,610.67035,1618.4293,-1.8935076,1484.0558,1310.6395,-17.453482,2488.8562,989.94855,-25.472311
0.47354236,-17.236544,29.915955,0.039587665,-0.02066574,0.25955835,38.29505,8.294318,-4.8213034,6.2152314,26.179098,0.0054234997,1.629938,1.2943524,3.2876492,30.011818,518.64014,1594.4777,-3.3408434,1396.985,1335.6276,-19.988611,2418.0417,966.7465,-27.270555
