Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,1.9609075,0.0,0.123909324,0.020716377,8.196571e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0016691973,1.1230712,1.9381653,0.10236883,0.010837939,2.5029482e-05,0.7025931,3.0883925,0.65233773,-0.13639364,0.0,0.0,0.0,0.0,0.0,0.0,930.03125,1232.6229,-201.0,1567.4274,426.5294,-201.0,2620.04,1167.5631,-201.0
0.0033009667,0.5713866,4.624128,0.09186495,0.010649231,9.1471884e-05,2.9315603,4.08274,3.2079926,4.351993,0.0,0.0,0.0,0.0,0.0,0.0,977.2747,1101.1569,-201.0,1689.3861,677.9075,-201.0,2768.8562,896.03754,-201.0
0.005864579,-2.9276187,9.833856,0.07210202,0.007830758,0.00020412274,6.777477,5.3609023,5.0682015,8.236896,0.0,0.0,0.0,0.0,0.0,0.0,866.7846,940.6058,-201.0,1893.0244,888.9131,-201.0,2935.0312,584.6289,-201.0
0.00809311,-4.8554354,13.417769,0.058611345,0.013253306,0.00030431864,11.30632,5.0614586,6.5546317,10.1355295,0.0,0.0,0.0,0.0,0.0,0.0,826.5101,1079.5282,-201.0,1793.4899,960.967,-201.0,2929.1797,473.15976,-201.0
0.010149275,-7.6306458,17.54777,0.0576465,0.0066824965,0.00042254454,15.764903,6.219513,5.551065,8.088352,0.0,0.0,0.0,0.0,0.0,0.0,922.53516,1283.933,-201.0,1759.957,1362.3512,-201.0,2904.9949,562.48615,-201.0
0.012372286,-9.302873,19.090307,0.06270618,0.0035752736,0.0005458256,17.833757,8.267381,4.1854706,6.469797,0.0,0.0,0.0,0.0,0.0,0.0,676.0423,1414.869,-201.0,1449.8143,1381.4022,-201.0,2605.2559,649.0364,-201.0
0.0152825015,-10.261376,20.702545,0.080286436,0.000574116,0.0008961279,20.59805,7.7406,2.6895723,4.901437,0.0,0.0,0.0,0.0,0.0,0.0,671.73755,1414.0033,-201.0,1458.6154,1420.4917,-201.0,2572.7861,735.65265,-201.0
0.0178858,-11.77962,23.599848,0.065110765,-0.0012713779,0.0014495868,23.261469,9.293761,2.0277565,3.0457,0.0,0.0,0.0,0.0,0.0,0.0,349.9308,1386.9882,-201.0,1288.6395,997.52496,-201.0,2360.0432,958.19507,-201.0
0.020066718,-12.5556,24.142794,0.08397094,-0.0028548266,0.001680831,25.66377,8.42345,2.6539326,0.6271277,0.0,0.0,0.0,0.0,0.0,0.0,365.82193,1419.0365,-201.0,1311.6777,1090.4923,-201.0,2400.8386,1176.2792,-201.0
0.02263092,-14.245061,27.254717,0.07119507,-0.0072930083,0.002496977,27.87046,9.962319,3.7305882,1.9623586,0.0,0.0,0.0,0.0,0.0,0.0,393.59525,1408.3099,-201.0,1314.001,1159.8284,-201.0,2373.361,1293.464,-201.0
0.025568834,-13.643489,25.413874,0.068398274,-0.006263356,0.0028896406,28.626642,8.242391,2.168744,0.48331332,0.0,0.0,0.0,0.0,0.0,0.0,593.6559,1479.8048,-201.0,1489.8438,1258.7635,-201.0,2608.0835,1049.453,-201.0
0.02909618,-15.1032915,26.978737,0.04052319,-0.008611683,0.0040935352,31.383547,8.532911,3.391755,1.2714885,0.0,0.0,0.0,0.0,0.0,0.0,574.8029,1589.7113,-201.0,1443.2529,1348.9889,-201.0,2492.0374,1009.8913,-201.0
0.032306585,-14.705395,25.492243,0.042541683,-0.007599572,0.0034223124,32.558292,6.999888,2.0106869,1.7043072,0.0,0.0,0.0,0.0,0.0,0.0,722.08984,1567.8212,-201.0,1610.3837,1298.6051,-201.0,2734.552,854.2485,-201.0
0.036300853,-15.454631,25.828009,0.039373994,-0.013833796,0.0034588363,34.08137,7.120664,3.858504,2.2586393,0.0,0.0,0.0,0.0,0.0,0.0,463.6133,1752.9594,-201.0,1336.2458,1371.7274,-201.0,2340.6592,1044.3552,-201.0
0.040037114,-13.968243,25.284735,0.04819311,-0.014722777,0.0038290576,33.630474,4.7488794,1.2406018,-0.44391584,0.0,0.0,0.0,0.0,0.0,0.0,412.15726,1891.9922,-201.0,1360.746,1441.5641,-201.0,2274.994,1329.4945,-201.0
0.04544026,-13.687958,26.239159,0.050137166,-0.014901628,0.0070267743,34.248867,3.9735749,1.6711925,-2.0959613,0.0,0.0,0.0,0.0,0.0,0.0,267.93796,1904.0791,-201.0,1198.0762,1473.5131,-201.0,2060.8428,1473.1982,-201.0
0.04973014,-12.651202,27.22598,0.07299194,-0.010958933,0.007637085,34.367138,2.3234735,0.6619482,-2.6767883,0.0,0.0,0.0,0.0,0.0,0.0,328.30222,1624.398,-201.0,1281.2828,1278.0289,-201.0,2205.9004,1474.6993,-201.0
0.05416846,-12.532036,25.956472,0.07489117,-0.009888214,0.007657852,34.47354,1.8246635,1.2517791,-3.824303,0.0,0.0,0.0,0.0,0.0,0.0,399.22375,1361.7322,-201.0,1290.7036,1114.3539,-201.0,2353.5457,1234.7037,-201.0
0.05951367,-12.140254,23.891428,0.07483792,-0.010720759,0.0075369696,34.71398,0.5679851,2.8963687,-7.9390607,0.0,0.0,0.0,0.0,0.0,0.0,394.5461,1340.059,-201.0,1273.5985,1085.1584,-201.0,2358.0098,1190.4171,-201.0
0.064804025,-12.591434,23.002747,0.078855,-0.011751991,0.009605511,34.435364,0.8551641,2.6098607,-10.79592,0.0,0.0,0.0,0.0,0.0,0.0,390.39346,1351.3419,-201.0,1279.6407,1102.8871,-201.0,2337.7913,1249.8207,-201.0
0.07064081,-13.7513275,26.25551,0.072474815,-0.012796399,0.014150337,35.722916,3.239994,3.4458046,-10.662456,0.0,0.0,0.0,0.0,0.0,0.0,394.36453,1307.704,-201.0,1267.0311,1058.4232,-201.0,2333.8772,1190.3488,-201.0
0.07354955,-14.5506525,28.03881,0.06620031,-0.012944934,0.014391117,35.23219,5.388575,1.8959913,-8.964041,0.0,0.0,0.0,0.0,0.0,0.0,399.2339,1310.2108,-201.0,1281.8,1077.6835,-201.0,2363.4622,1254.6482,-201.0
0.078755476,-15.801262,29.258295,0.033086263,-0.01509475,0.017639166,35.791332,6.6812167,5.079384,-7.502424,0.0,0.0,0.0,0.0,0.0,0.0,400.02963,1287.1027,-201.0,1257.9095,1050.4811,-201.0,2375.45,1113.0775,-201.0
0.083255194,-16.096281,28.41878,0.03537045,-0.014844481,0.017401904,35.233463,6.889393,6.632849,-7.728911,0.0,0.0,0.0,0.0,0.0,0.0,394.19553,1277.7789,-201.0,1246.3247,1034.1542,-201.0,2394.4104,950.00146,-201.0
0.08872932,-16.793692,29.453459,0.030691197,-0.013493313,0.022531012,35.55894,6.6719737,8.969199,-7.1568856,0.0,0.0,0.0,0.0,0.0,0.0,388.40677,1270.1265,-137.23128,1232.2557,1012.79974,-140.10658,2352.055,856.5926,-145.89517
0.09454072,-15.736222,30.204226,0.03922179,-0.009749557,0.02399826,35.59949,6.4495025,7.586188,-8.614758,22.028189,0.0,1.6226627,2.9709408,11.213015,18.34386,387.95886,1313.4187,-73.64794,1244.9689,1015.1841,-79.5594,2515.7673,820.2419,-90.04957
0.099867344,-16.411459,31.858175,0.026444344,-0.009839081,0.02907075,36.42313,5.9077015,8.205985,-7.5144696,22.01567,0.0,1.1243538,2.9563,10.681904,18.259878,387.35452,1339.4532,-10.182067,1244.3177,1027.1718,-19.333416,2529.8118,860.74097,-34.44869
0.10651704,-15.854385,31.57868,0.0252627,-0.011401266,0.026785007,36.541405,4.7371345,9.08595,-6.8826504,22.011078,0.0020983017,1.3028356,2.6120937,5.2767963,16.81193,382.37784,1378.735,-10.695676,1237.5267,1049.4271,-20.262365,2506.0881,884.4329,-32.856403
0.110086285,-16.921484,31.050512,0.013184585,-0.014484651,0.023767978,35.666027,3.9858139,13.079562,-2.836506,22.02279,0.0015818783,1.3057312,1.8991016,4.3748813,16.366423,372.3654,1446.6943,-11.221683,1224.4841,1131.107,-20.753027,2357.9307,952.8261,-31.955603
0.118300885,-16.58066,30.347326,0.020810204,-0.011371844,0.024396783,36.243336,4.1796656,14.390938,0.51139575,22.044699,0.007826398,1.9414663,1.513692,5.136687,15.829979,361.80258,1446.4219,-11.48568,1217.5366,1113.3209,-20.278416,2277.1025,941.105,-30.327728
0.12357751,-17.40692,30.834229,0.014020699,-0.007846559,0.02971229,36.111492,4.9286814,13.994666,3.5090885,22.047195,0.013769683,1.6870283,1.9466515,11.006078,16.108833,349.80444,1499.0961,-11.348483,1219.9805,1136.9897,-19.57506,2242.5312,1017.7832,-29.206442
0.13349521,-15.605987,30.694288,0.014650367,-0.0018114619,0.04326062,35.762882,5.4891343,10.804681,4.2153664,22.03405,0.015570815,1.5649668,2.7037933,11.111379,19.128992,346.47617,1421.6617,-11.115531,1220.1371,1011.3056,-19.610994,2302.7764,948.4583,-30.875147
0.13417833,-15.2958555,30.309198,0.00846849,-0.0030468076,0.046458606,33.2465,5.049108,10.6358,5.1407485,22.026825,0.009285116,0.946974,3.01176,10.535729,21.388113,626.8777,1369.7789,-14.965057,1609.0371,1220.6068,-21.877777,2568.162,900.5764,-32.33238
0.1384316,-14.101913,30.434656,0.020821353,-0.0023247087,0.04550751,32.84996,5.0164456,10.2470665,4.5430627,22.027565,0.0048843864,0.5409321,3.0456924,9.94442,20.590195,558.1053,1519.8483,-17.03606,1607.8539,1262.469,-23.255198,2571.6965,1098.7474,-31.462982
0.1397952,-16.32952,32.24854,0.009833298,-0.0039876555,0.04748836,33.151104,5.3073134,11.93282,8.1349,22.018555,0.004373953,0.9366935,3.013153,9.835509,18.661001,800.563,1461.621,0.0,1875.9904,1310.0634,-24.503439,2760.5383,1010.76044,-30.327631
0.14962237,-16.418282,32.398937,0.013770588,-0.0029037304,0.048449825,33.606125,6.181234,11.829658,8.702937,22.008352,0.004865343,1.010569,3.1974447,10.86439,14.657977,458.65796,1685.4814,-20.822498,1464.4834,1179.434,-22.895256,2443.339,1109.5272,-27.618505
0.1553738,-16.927496,32.1111,-0.004230339,-0.0038888678,0.04883915,31.863195,6.864617,12.553418,11.537896,22.007685,0.0053921877,1.3540964,3.2943182,13.132352,16.5046,783.2217,1452.5625,-23.8935,1724.7389,1194.9199,-24.246592,2748.8105,684.4273,-30.491762
0.16597594,-16.056452,30.627005,0.008334455,-0.0050835772,0.040093604,32.004215,5.75613,12.921131,10.620793,22.021547,0.014310196,0.5940108,3.556565,15.510869,16.993212,791.4196,1483.3209,-24.787466,1724.6509,1235.5206,-25.373825,2752.951,684.73,-31.075438
0.1739512,-16.80443,31.536016,-0.012954696,-0.004958581,0.049721096,32.005756,5.425146,12.158993,11.582944,22.020683,0.018918209,1.531856,3.8653958,16.065477,18.37171,847.3768,1394.2054,-25.095482,1749.7987,1233.3883,-25.1284,2768.4265,705.5085,-31.70018
0.18399866,-16.933943,32.087574,-0.0010356692,-0.0026995412,0.055576827,32.912766,4.655527,13.78028,11.549904,22.014618,0.017580798,1.7254418,4.003922,15.870178,17.086037,568.31226,1493.1544,-24.00722,1491.7506,1119.8984,-22.853357,2532.307,860.736,-29.270723
0.18827458,-17.197184,33.264362,-0.017057538,-0.0014149068,0.057804745,31.851545,5.515688,12.452766,13.004161,22.015059,0.007566415,1.9952058,3.8261268,15.146852,15.150917,331.31454,1489.7753,-18.991335,1245.8756,1061.1058,-20.509932,2270.7385,1004.1955,-26.567986
