Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0061607435,-11.683385,23.843384,-0.021868668,0.010741969,3.6615693e-05,-4.6098733,5.5066075,3.7207057,14.067723,0.0,0.0,0.0,0.0,0.0,0.0,612.99335,940.56415,-201.0,1484.5284,870.6101,-201.0,2365.9353,1050.0957,-201.0
0.0061224713,-11.858232,23.94879,-0.021387957,0.007964925,7.618071e-05,-5.2187123,4.389771,3.6190178,12.199169,0.0,0.0,0.0,0.0,0.0,0.0,626.78204,983.6619,-201.0,1483.2887,915.7925,-201.0,2364.1492,1058.4203,-201.0
0.0059216805,-12.430982,24.605902,-0.022383159,0.010952144,0.00011228944,-5.799288,3.7458057,4.8082223,11.134312,0.0,0.0,0.0,0.0,0.0,0.0,691.17706,1032.2013,-201.0,1579.814,2118.1763,-201.0,2252.9434,1089.6232,-201.0
0.0059347395,-13.013198,25.705353,-0.019195862,0.015131799,0.00012485233,-5.3094144,3.4874876,3.8216364,12.279958,0.0,0.0,0.0,0.0,0.0,0.0,709.5715,1057.6023,-201.0,1513.5192,2318.0776,-201.0,2231.413,887.8569,-201.0
0.005881501,-14.391144,27.12005,-0.022735173,0.018847784,0.00014826116,-4.383913,6.0744348,4.2425475,10.942749,0.0,0.0,0.0,0.0,0.0,0.0,731.32666,1163.2977,-201.0,1417.1097,2539.8848,-201.0,2200.634,725.12646,-201.0
0.0060330355,-15.1475,27.415522,-0.037291545,0.013840881,0.00014516078,-4.094008,6.7864156,2.5053918,8.859523,0.0,0.0,0.0,0.0,0.0,0.0,636.81445,1142.4406,-201.0,1298.1421,1271.5433,-201.0,2349.6672,491.93637,-201.0
0.0060652965,-15.824543,28.181845,-0.041254524,0.005609609,0.00013068126,-3.4014368,8.65972,2.2004974,4.2311764,0.0,0.0,0.0,0.0,0.0,0.0,607.0313,1174.1614,-201.0,1344.1255,1256.9224,-201.0,2321.1863,471.3545,-201.0
0.0061657676,-15.871442,28.284048,-0.053562302,0.00096331415,0.000111384026,-2.3399642,9.695552,1.9086739,6.0557466,0.0,0.0,0.0,0.0,0.0,0.0,543.37103,1091.6078,-201.0,1460.8566,981.8377,-201.0,2454.0918,491.24966,-201.0
0.0065823146,-14.894165,28.657045,-0.048133064,-0.0017754756,0.00015041426,0.5744486,9.775693,-1.0731395,7.912104,0.0,0.0,0.0,0.0,0.0,0.0,535.241,1029.9005,-201.0,1463.141,984.77637,-201.0,2464.4133,561.7083,-201.0
0.008804557,-12.381767,25.449366,-0.043936715,0.0023271234,0.00034150374,3.2129097,9.044254,-1.037443,9.1167,0.0,0.0,0.0,0.0,0.0,0.0,525.1158,1010.36646,-201.0,1402.3055,951.8135,-201.0,2497.5535,513.6098,-201.0
