Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0058836383,-6.7070174,18.567432,-0.013233382,0.011473521,3.5317982e-05,-8.056251,3.0448406,1.7668129,3.3115482,0.0,0.0,0.0,0.0,0.0,0.0,623.45605,703.5994,-201.0,1628.2714,868.7692,-201.0,2302.1902,952.68286,-201.0
0.0057012863,-7.4072814,18.316732,-0.012573894,0.010806511,7.050575e-05,-7.606771,5.2766776,3.2941694,3.6230156,0.0,0.0,0.0,0.0,0.0,0.0,622.0452,742.2134,-201.0,1600.6768,862.3869,-201.0,2320.4521,907.7888,-201.0
0.0057167294,-7.431722,17.722097,-0.009079383,0.009297491,0.00010676458,-6.597758,7.354915,3.6565835,2.2081957,0.0,0.0,0.0,0.0,0.0,0.0,603.5943,760.64105,-201.0,1595.453,791.0789,-201.0,2367.679,864.5171,-201.0
0.0056705065,-7.815226,18.057001,0.0027957677,0.0046376563,0.00011456275,-5.6449013,8.387137,3.0769444,-1.943071,0.0,0.0,0.0,0.0,0.0,0.0,556.49414,690.29443,-201.0,1640.2565,606.1789,-201.0,2395.7197,864.5503,-201.0
0.005932106,-7.033697,17.931545,0.0069819274,0.002984532,0.00012109095,-6.1105957,6.643924,0.57464075,-2.3805041,0.0,0.0,0.0,0.0,0.0,0.0,529.038,647.5916,-201.0,1619.9955,429.86182,-201.0,2479.2214,774.17267,-201.0
0.006254865,-7.6913085,19.106203,0.022134908,-0.0008174455,0.00015019356,-3.81307,7.0935287,-0.057956655,-2.991256,0.0,0.0,0.0,0.0,0.0,0.0,504.21628,709.56934,-201.0,1566.4086,418.16354,-201.0,2557.0508,718.55695,-201.0
0.007056939,-7.915857,18.570726,0.036683958,-0.00737921,0.00019433007,0.3579844,8.479046,-5.0521917,-7.6616044,0.0,0.0,0.0,0.0,0.0,0.0,504.5889,853.347,-201.0,1523.5894,821.986,-201.0,2522.1907,747.0488,-201.0
0.007992927,-9.31633,19.074995,0.052282628,-0.013560326,0.00024662958,6.7232575,9.90983,-8.687051,-13.216985,0.0,0.0,0.0,0.0,0.0,0.0,496.97806,1021.3877,-201.0,1588.3141,1048.922,-201.0,2404.5823,1785.0917,-201.0
0.009047679,-10.055541,18.703695,0.053234715,-0.010054185,0.0002812643,10.835385,8.807099,-14.056363,-16.000751,0.0,0.0,0.0,0.0,0.0,0.0,489.7606,1099.2865,-201.0,1525.2471,1247.3822,-201.0,2300.6829,1799.7748,-201.0
0.010207492,-9.206535,15.530471,0.047849014,-0.0053710546,0.0003700409,13.276919,3.8937905,-16.322252,-12.478718,0.0,0.0,0.0,0.0,0.0,0.0,483.68814,1227.3594,-201.0,1449.1859,1366.0018,-201.0,2182.9832,1832.736,-201.0
0.012247976,-7.702966,14.615093,0.052215386,-0.010971456,0.0006114925,16.942106,1.4924631,-17.118366,-12.138576,0.0,0.0,0.0,0.0,0.0,0.0,654.424,1228.9681,-201.0,1580.3353,1221.1346,-201.0,2581.3518,753.3121,-201.0
0.014171225,-6.070753,13.744598,0.044680487,-0.01802282,0.0007598118,19.579292,-1.3608618,-15.479434,-9.638839,0.0,0.0,0.0,0.0,0.0,0.0,633.37683,1294.5422,-201.0,1532.9645,1189.1364,-201.0,2548.4739,707.3212,-201.0
0.016189152,-4.4588246,17.200836,0.05328269,-0.021610131,0.00095198234,22.413467,-2.93783,-16.919222,-10.099171,0.0,0.0,0.0,0.0,0.0,0.0,830.12354,1180.5984,-201.0,1848.9492,855.9128,-201.0,2967.4648,651.37573,-201.0
0.017822947,-3.2897737,18.017885,0.06264461,-0.015244521,0.0010308899,22.7746,-6.64349,-19.176947,-11.860869,0.0,0.0,0.0,0.0,0.0,0.0,825.8005,1139.3214,-201.0,1834.5892,898.21533,-201.0,2926.1992,646.4377,-201.0
0.020636966,-2.4221742,18.755001,0.07559914,-0.012569666,0.0013094315,24.153193,-9.518295,-20.230349,-12.404865,0.0,0.0,0.0,0.0,0.0,0.0,1010.5383,1080.0505,-201.0,2103.5276,834.9614,-201.0,3219.568,715.80835,-201.0
0.023880877,-3.3525372,18.324903,0.08820241,-0.011173259,0.001625504,26.743734,-10.625766,-18.717108,-14.66948,0.0,0.0,0.0,0.0,0.0,0.0,724.26373,1269.1107,-201.0,1758.3724,952.3156,-201.0,2858.9543,777.2456,-201.0
0.026919918,-3.6612308,18.806442,0.08643951,-0.008850959,0.0018202644,28.657873,-10.901288,-16.811043,-14.548488,0.0,0.0,0.0,0.0,0.0,0.0,763.6382,1288.7069,-201.0,1799.4203,990.2675,-201.0,2851.0225,824.18024,-201.0
0.029789671,-4.3426905,18.55601,0.10794866,-0.008931578,0.002223979,28.664904,-13.151248,-17.726557,-19.854586,0.0,0.0,0.0,0.0,0.0,0.0,829.6206,1244.5813,-201.0,1874.7157,928.0533,-201.0,2883.6484,752.6816,-201.0
0.032262895,-5.252891,19.307653,0.10660266,-0.011320985,0.0023919262,26.934183,-14.744953,-18.048414,-22.303658,0.0,0.0,0.0,0.0,0.0,0.0,1115.2054,1080.1162,-201.0,2197.3296,851.57416,-201.0,3180.9827,676.96906,-201.0
0.035559963,-5.7673454,18.737236,0.10976375,-0.014233135,0.0027469546,24.68416,-15.583248,-19.071299,-22.731354,0.0,0.0,0.0,0.0,0.0,0.0,1067.1626,1045.4736,-201.0,2119.2268,809.8208,-201.0,3167.823,618.0556,-201.0
0.038572505,-7.262957,19.634228,0.097458564,-0.017738903,0.0033367306,24.88157,-11.676384,-19.53418,-22.725967,0.0,0.0,0.0,0.0,0.0,0.0,1019.5966,1059.5299,-201.0,2079.2605,782.7828,-201.0,3206.5117,565.1746,-201.0
