Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0012979201,1.9609054,-1.7257314e-07,0.11721856,0.019597748,9.385934e-06,-2.989113,0.012607801,-0.70182365,0.022609135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.00174425,1.4028028,2.2499588,0.097038984,0.013901758,2.0291625e-05,-2.0493503,2.2636654,-3.9338598,-1.3930861,0.0,0.0,0.0,0.0,0.0,0.0,484.68268,894.1541,-201.0,1408.9199,862.2908,-201.0,2467.5708,633.64685,-201.0
0.0027903833,0.6659789,5.1164017,0.065721005,0.008088093,4.9429498e-05,-2.0653765,4.354213,-4.259083,0.20917542,0.0,0.0,0.0,0.0,0.0,0.0,480.12646,986.7424,-201.0,1409.2836,869.8396,-201.0,2435.5498,692.1639,-201.0
0.0053639957,-2.6399229,8.672566,0.052139804,0.002740273,0.00020294804,4.0495763,4.7465806,0.88154286,0.911588,0.0,0.0,0.0,0.0,0.0,0.0,476.1019,1095.7607,-201.0,1397.8248,959.1323,-201.0,2378.9004,679.0881,-201.0
0.009029721,-3.9079354,8.684852,0.036539506,-0.0013016504,0.00043666604,6.777102,4.381235,11.931109,2.0496082,0.0,0.0,0.0,0.0,0.0,0.0,360.88123,1443.207,-201.0,1364.9001,1203.9009,-201.0,2188.1965,704.9878,-201.0
0.012826904,-5.6479897,8.860532,0.022283433,-0.005490687,0.0006717383,11.190658,2.9242165,19.352633,2.2016945,0.0,0.0,0.0,0.0,0.0,0.0,349.6132,1491.998,-201.0,1378.3922,1276.5883,-201.0,2116.5469,734.16815,-201.0
0.014994842,-6.6658535,9.188062,0.010915987,-0.0045893,0.00087497354,11.720374,3.2290642,23.900362,3.1621077,0.0,0.0,0.0,0.0,0.0,0.0,300.86316,1607.4736,-201.0,1377.0194,1156.8275,-201.0,2130.9854,785.2851,-201.0
0.017233327,-7.3141255,10.251596,0.008017576,-0.00090978126,0.0011818855,12.305043,1.8080469,27.674316,7.5124,0.0,0.0,0.0,0.0,0.0,0.0,681.7184,1139.2407,-201.0,1685.1381,864.7818,-201.0,2542.7385,915.4473,-201.0
0.019941045,-6.0258408,9.57962,0.022387436,-0.0011746489,0.0013686513,12.008953,-1.3189688,29.964722,7.190769,0.0,0.0,0.0,0.0,0.0,0.0,912.06915,1037.6884,-201.0,1906.027,769.57544,-201.0,2858.682,910.9348,-201.0
0.02348789,-5.151403,8.338464,0.023931602,-0.0057515763,0.0014247111,12.721423,-4.010702,28.75561,5.1905713,0.0,0.0,0.0,0.0,0.0,0.0,961.52075,1042.0919,-201.0,1859.7701,895.1965,-201.0,2853.3125,851.592,-201.0
0.027526842,-4.699614,7.869913,0.020816935,-0.009666071,0.0018584015,14.650132,-6.424455,26.726105,1.6441536,0.0,0.0,0.0,0.0,0.0,0.0,903.75635,1086.1714,-201.0,1847.8228,841.59344,-201.0,2836.243,799.0066,-201.0
0.03111436,-6.0524464,8.533797,-0.0012043491,-0.008762825,0.002772317,15.940984,-5.680599,27.981949,2.657988,0.0,0.0,0.0,0.0,0.0,0.0,896.4409,1007.3897,-201.0,1859.486,777.8392,-201.0,2865.532,774.6394,-201.0
0.034127273,-8.865451,12.063529,-0.024027715,-0.0013310298,0.0040952847,17.551878,-3.813798,32.658306,6.5207753,0.0,0.0,0.0,0.0,0.0,0.0,1133.813,747.45575,-201.0,2196.2402,612.07184,-201.0,3197.9053,834.78,-201.0
0.038210735,-9.962241,13.4175,-0.033646632,-0.0014425219,0.0042411834,17.392906,-3.33546,35.584057,7.130914,0.0,0.0,0.0,0.0,0.0,0.0,1177.6102,752.81396,-201.0,2202.0374,615.42065,-201.0,3232.2097,748.13275,-201.0
