Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010361956,1.9609054,0.0,0.12046514,0.020140544,2.8753564e-06,-0.15680663,0.23708993,-0.29345134,0.32029027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0012436352,3.921811,0.0,0.10539153,0.01762039,8.0974605e-06,-3.14592,0.24969773,-0.9952753,0.34289923,0.0,0.0,0.0,0.0,0.0,0.0,502.5026,788.7565,-201.0,1446.6135,801.62805,-201.0,2394.5254,757.53564,-201.0
0.0012436353,5.2195983,0.27972925,0.09409089,0.015563139,1.4549924e-05,-3.14592,0.24969773,-0.9952753,0.34289923,0.0,0.0,0.0,0.0,0.0,0.0,762.48956,991.2791,-201.0,1588.341,631.4611,-201.0,2494.5447,912.7962,-201.0
0.0017712251,4.514428,0.62061435,0.08857122,0.01484194,2.866555e-05,-3.1023557,-2.6833057,1.3832749,-1.6725589,0.0,0.0,0.0,0.0,0.0,0.0,766.6285,1014.0354,-201.0,1586.5677,637.27997,-201.0,2489.131,934.50946,-201.0
0.0020669603,2.4364195,2.565597,0.08927419,0.012309935,3.3695145e-05,1.0194664,-2.5327525,1.9629806,-1.0234107,0.0,0.0,0.0,0.0,0.0,0.0,753.2207,1106.75,-201.0,1588.8823,668.51337,-201.0,2479.3704,968.70636,-201.0
0.0034088448,-0.05035448,5.535263,0.08951942,0.005809939,7.575906e-05,3.7176685,-1.8809911,-0.95356685,-1.4612981,0.0,0.0,0.0,0.0,0.0,0.0,485.12515,1003.37103,-201.0,1477.1641,968.46857,-201.0,2315.3376,985.0881,-201.0
0.0051027313,-3.7627046,9.399233,0.08167764,-0.0048438436,0.0001535895,8.303209,1.516596,-4.544747,-1.9585533,0.0,0.0,0.0,0.0,0.0,0.0,459.579,1036.7751,-201.0,1489.8994,991.28143,-201.0,2302.9365,983.27057,-201.0
0.006927705,-6.129542,12.159217,0.06717807,-0.008997858,0.00023413105,11.7465105,2.3045926,-7.5343413,-3.3938382,0.0,0.0,0.0,0.0,0.0,0.0,457.2518,1057.8937,-201.0,1456.5797,1081.702,-201.0,2273.4421,964.20966,-201.0
0.008582958,-8.183215,14.960935,0.045435537,-0.017119663,0.0003465075,14.895088,4.6672587,-6.854681,-7.649962,0.0,0.0,0.0,0.0,0.0,0.0,591.43134,1059.9078,-201.0,1665.0197,927.8592,-201.0,2607.9773,771.9217,-201.0
0.009724773,-9.494576,16.808638,0.05909702,-0.019911261,0.00036848642,16.435095,7.5543227,-6.336452,-10.881386,0.0,0.0,0.0,0.0,0.0,0.0,748.70245,1083.2114,-201.0,1899.1412,816.8318,-201.0,2915.502,671.72485,-201.0
0.010895129,-10.273129,19.226215,0.072266154,-0.023168469,0.000428115,17.836222,9.419671,-7.3951645,-14.388492,0.0,0.0,0.0,0.0,0.0,0.0,881.90576,1044.7056,-201.0,2115.1438,724.40186,-201.0,3182.297,596.117,-201.0
0.012013567,-11.445933,20.484118,0.081769586,-0.025289273,0.0004997873,18.87364,10.511696,-8.166635,-14.191375,0.0,0.0,0.0,0.0,0.0,0.0,678.0328,1262.8004,-201.0,1747.3545,898.81464,-201.0,2863.2273,580.6912,-201.0
0.012762534,-12.01682,23.210012,0.07008528,-0.024479175,0.00062783103,20.79207,11.904976,-10.392953,-13.104375,0.0,0.0,0.0,0.0,0.0,0.0,680.7701,1269.8749,-201.0,1778.6211,1057.3197,-201.0,2824.1863,700.8323,-201.0
0.014960033,-12.789433,20.978199,0.06591175,-0.0272472,0.0008111775,22.878325,11.209679,-7.34302,-14.188064,0.0,0.0,0.0,0.0,0.0,0.0,699.83234,1277.146,-201.0,1865.8385,1213.5618,-201.0,2708.0105,733.12067,-201.0
