Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0043535335,3.2366612,6.7948966,0.042614564,0.017562283,2.851605e-05,-8.28388,-3.0266926,0.31829202,3.8578606,0.0,0.0,0.0,0.0,0.0,0.0,634.6294,641.85455,-201.0,1469.6232,952.58185,-201.0,2491.3828,900.8281,-201.0
0.0042633093,2.7917407,6.8281016,0.041356232,0.014515976,5.5745273e-05,-8.1904955,-1.9012675,3.7157252,4.1565948,0.0,0.0,0.0,0.0,0.0,0.0,650.626,670.1897,-201.0,1425.4457,914.0445,-201.0,2454.6082,824.94727,-201.0
0.0036607527,1.356191,7.372004,0.053691614,0.010868692,8.755142e-05,-5.441122,0.41956162,2.5582733,2.5177603,0.0,0.0,0.0,0.0,0.0,0.0,606.42206,811.1755,-201.0,1419.9799,887.1308,-201.0,2397.5315,819.28046,-201.0
0.0037210593,0.39211297,8.090851,0.046333894,0.008943404,7.8943056e-05,-3.0654957,0.8900413,-1.3242508,2.810878,0.0,0.0,0.0,0.0,0.0,0.0,562.82,749.6863,-201.0,1452.7067,781.2056,-201.0,2429.9119,738.9117,-201.0
0.0037866926,0.12737446,7.967479,0.05601929,0.00810258,7.676362e-05,-0.42686185,-1.580637,-6.56329,0.46386257,0.0,0.0,0.0,0.0,0.0,0.0,516.4949,856.6434,-201.0,1472.2769,885.0796,-201.0,2413.9285,817.1164,-201.0
0.0049516833,0.7183493,7.8389535,0.034829263,0.012080873,9.7856704e-05,-0.31169787,-5.8928604,-5.4030795,2.6296883,0.0,0.0,0.0,0.0,0.0,0.0,539.763,816.43243,-201.0,1433.6432,953.68915,-201.0,2390.4934,773.14844,-201.0
0.0064025423,1.3430437,7.3374896,0.048327465,0.013234529,0.00014843287,0.8743524,-8.969304,-4.561477,2.344138,0.0,0.0,0.0,0.0,0.0,0.0,505.03552,966.2673,-201.0,1370.9854,983.99884,-201.0,2369.862,791.8362,-201.0
0.008129708,0.1277128,8.958745,0.047037303,0.01403701,0.00023834074,3.1264188,-9.520469,-5.205931,-0.40703678,0.0,0.0,0.0,0.0,0.0,0.0,493.53775,936.1961,-201.0,1396.1222,1019.2949,-201.0,2345.9128,765.23145,-201.0
0.009824236,-1.9328493,11.307724,0.060245093,0.009741482,0.00034193564,5.0848413,-6.8739567,-7.893869,-4.6787195,0.0,0.0,0.0,0.0,0.0,0.0,452.83426,911.21924,-201.0,1415.9323,904.31586,-201.0,2399.489,665.0043,-201.0
0.011643778,-2.9681442,12.022981,0.051267747,0.004151844,0.00039167027,5.7313933,-6.444336,-6.13038,-9.150899,0.0,0.0,0.0,0.0,0.0,0.0,464.9795,807.7823,-201.0,1457.7344,860.0967,-201.0,2430.0984,625.1159,-201.0
0.013531473,-1.870101,10.354471,0.046699632,0.001084863,0.00043692417,5.8355985,-6.1366982,-3.720252,-5.7386093,0.0,0.0,0.0,0.0,0.0,0.0,465.14,836.1377,-201.0,1435.31,754.03,-201.0,2545.2913,784.7503,-201.0
0.016449686,-0.15947993,9.665557,0.043476123,0.0024135776,0.00061770284,7.248507,-10.049513,-1.762538,-2.0242658,0.0,0.0,0.0,0.0,0.0,0.0,468.63696,875.584,-201.0,1434.6641,796.5808,-201.0,2528.71,972.52075,-201.0
0.020214088,1.4341898,10.199943,0.03574839,0.005798064,0.0009682754,8.785726,-12.150092,0.7619774,2.9586906,0.0,0.0,0.0,0.0,0.0,0.0,476.20413,899.28046,-201.0,1417.6058,815.0425,-201.0,2470.3123,1052.799,-201.0
0.024657464,1.2035419,10.285678,0.021131108,0.005074891,0.0013057416,9.973493,-14.534829,1.9610023,1.3245634,0.0,0.0,0.0,0.0,0.0,0.0,455.42712,868.6094,-201.0,1421.7355,757.9233,-201.0,2367.987,912.0389,-201.0
0.02809341,0.9810038,6.6809993,0.018075645,-0.0025597762,0.001589389,11.417846,-13.29536,5.996296,0.29348585,0.0,0.0,0.0,0.0,0.0,0.0,448.37662,849.5734,-201.0,1431.7466,655.2891,-201.0,2347.1794,828.7644,-201.0
0.031558532,-0.70529026,3.015439,0.017148511,-0.0073228455,0.0016397297,12.884419,-12.450489,8.48851,-2.0796328,0.0,0.0,0.0,0.0,0.0,0.0,439.552,874.84235,-201.0,1466.1029,634.0542,-201.0,2373.8804,856.5298,-201.0
0.03414673,-1.467103,2.0186684,0.025125748,-0.014630471,0.001655924,13.635739,-9.9245,13.123263,-2.0088732,0.0,0.0,0.0,0.0,0.0,0.0,441.3929,866.5371,-201.0,1480.6722,571.8475,-201.0,2388.9797,837.5114,-201.0
0.03784758,-2.2917552,2.6885147,0.021357125,-0.021903768,0.0019057137,13.216905,-7.86751,17.293314,-5.63076,0.0,0.0,0.0,0.0,0.0,0.0,443.5529,875.45734,-201.0,1501.9061,560.1616,-201.0,2401.8652,902.09686,-201.0
0.04158747,-2.0723379,4.48702,0.02116163,-0.02677028,0.002486628,12.695072,-6.72036,20.02367,-4.9896913,0.0,0.0,0.0,0.0,0.0,0.0,438.4115,896.3665,-201.0,1470.966,517.7452,-201.0,2398.9268,841.01953,-201.0
0.045209814,-1.5104637,3.889621,0.028219117,-0.026042275,0.0031249935,12.86201,-7.45129,18.65473,-3.9332182,0.0,0.0,0.0,0.0,0.0,0.0,433.62915,931.4748,-201.0,1450.6943,555.5235,-201.0,2376.7307,848.23926,-201.0
0.0456568,-1.4026209,3.715181,0.04303363,-0.020727891,0.003300907,13.949756,-9.20113,12.492183,1.6623694,0.0,0.0,0.0,0.0,0.0,0.0,430.14658,997.46655,-201.0,1432.4316,688.20685,-201.0,2328.9268,887.6953,-201.0
0.045066472,-2.1318462,4.048936,0.061975807,-0.016224425,0.0030792232,15.575879,-10.084645,8.120795,2.8527768,0.0,0.0,0.0,0.0,0.0,0.0,422.27573,992.89966,-201.0,1448.4385,730.6033,-201.0,2309.9343,942.51117,-201.0
