Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0045140423,1.4190246,8.180938,0.056371406,0.009604476,2.837184e-05,-5.6864777,1.3937678,1.8378595,3.7204828,0.0,0.0,0.0,0.0,0.0,0.0,558.4072,1021.26495,-201.0,1358.2949,739.6453,-201.0,2422.9294,675.32367,-201.0
0.0044371802,1.6918489,7.912348,0.04880183,0.011202398,5.1662442e-05,-7.2707944,3.4940631,4.0084667,4.6187444,0.0,0.0,0.0,0.0,0.0,0.0,589.0573,859.0496,-201.0,1417.5875,675.3503,-201.0,2437.807,727.4705,-201.0
0.0047433977,1.1952447,8.573098,0.0433075,0.00937809,9.3390154e-05,-7.6590405,2.005757,1.4924593,1.1276883,0.0,0.0,0.0,0.0,0.0,0.0,601.45026,672.0817,-201.0,1483.1027,705.6826,-201.0,2462.1765,688.8906,-201.0
0.00480469,0.30179417,8.618581,0.038218837,0.010386974,0.00010670809,-6.0628715,1.5264964,0.84390384,-0.33681822,0.0,0.0,0.0,0.0,0.0,0.0,590.06195,746.1223,-201.0,1462.2192,771.7872,-201.0,2481.495,662.24097,-201.0
0.038891997,-0.7458078,9.742019,0.061026882,0.005284883,0.0067818016,0.6611932,-3.3618362,-5.845379,-6.001318,0.0,0.0,0.0,0.0,0.0,0.0,765.23724,868.34375,-201.0,1658.75,1051.8721,-201.0,2731.872,538.94885,-201.0
0.14450738,-2.6923742,10.793508,0.0748356,-0.0011284985,0.047675356,8.566388,-2.645261,-2.6270545,-7.2287445,0.0,0.0,0.0,0.0,0.0,0.0,691.1635,1053.6207,-130.54387,1615.9733,1043.6104,-134.80733,2730.664,605.3237,-135.3427
0.22259855,-5.149778,13.341389,0.08145679,-0.007755673,0.07226792,16.935198,-4.955135,2.515043,-8.824742,24.073689,0.0,0.0,-0.70240355,3.7871237,18.606966,574.2056,1307.6918,-60.172215,1547.4669,1025.5216,-70.19627,2674.361,692.6337,-71.06574
0.27390757,-8.148822,15.229295,0.06348481,-0.0091868965,0.08981102,21.665903,-3.5290804,9.644954,-7.7946925,24.08978,0.0,0.0,0.14905815,2.6396687,21.633844,604.48926,1308.4288,5.1512985,1635.5781,888.3283,-9.905936,2735.8577,860.9992,-11.195701
0.33605352,-10.468241,17.094858,0.05744872,-0.0021490115,0.17467922,26.463907,-4.294683,13.105298,-6.714478,24.137423,0.0,0.0,1.5049438,-1.8293829,18.552626,559.17377,1457.6058,0.7936627,1593.5248,1003.12915,-11.1699095,2650.4392,903.68164,-13.983232
0.4536586,-12.3554735,18.01907,0.061846647,-0.006329765,0.20408313,31.839022,-4.484345,14.699783,-5.392569,24.132868,0.0,3.3773081,2.297819,-3.2797544,20.32895,606.982,1349.4926,-0.54254085,1599.2871,1000.58984,-12.408497,2636.8027,843.60944,-17.5325
0.577995,-13.153117,18.619987,0.07805518,-0.00962077,0.27324995,37.16197,-8.191532,17.00279,-6.496041,24.137222,0.019825336,2.6114743,2.6165264,-3.4786227,18.19203,300.1045,1453.8175,3.0400665,1271.7418,1041.6146,-9.247379,2250.136,865.83466,-15.67265
0.65542114,-13.327609,19.024035,0.09379987,-0.018941754,0.25339654,40.74705,-10.713273,16.28135,-6.431722,24.103416,0.015221155,1.1042191,2.6848934,-0.71517944,19.525265,344.08408,1416.4448,5.952494,1317.8947,1119.0947,-10.468732,2212.9592,1025.0924,-14.28795
0.72914773,-13.892955,20.855154,0.0963716,-0.018099617,0.32280722,44.93604,-12.886973,16.402002,-5.9357667,24.114202,0.005163885,1.96104,2.5936177,-3.3074381,16.396502,519.8591,1496.5775,2.509093,1472.5751,1171.5664,-8.968893,2414.6658,1133.3062,-13.216649
0.78646,-14.261876,22.568659,0.079019785,-0.018530453,0.33932686,48.148098,-13.047187,14.720795,-2.245084,24.130941,0.0041445415,1.630617,2.256946,-5.8728447,14.582925,712.5694,1518.4376,0.0748837,1645.919,1212.7874,-6.6671386,2596.4285,1159.6373,-12.52564
0.7891858,-13.943352,23.774199,0.06062591,-0.015282333,0.35475004,50.040867,-14.436081,12.662862,1.2690245,24.141386,0.0026060527,1.4092073,1.9830703,-5.4762406,18.325996,907.15985,1500.1016,-0.9575117,1801.235,1184.642,-3.2065089,2816.8918,1139.0015,-13.234082
0.77635187,-13.7477,24.218786,0.04923916,-0.01743858,0.31348404,51.089813,-14.753116,9.941457,2.5459118,24.129118,0.001726529,1.1107429,1.8214742,-2.1791239,22.044981,920.55145,1508.9424,0.29355073,1834.9313,1187.7616,-2.1739402,2806.0227,1061.2001,-12.985209
