Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0013554174,5.882717,0.0,0.09149123,0.0152964005,6.6487664e-06,-4.278139,1.6264658,-2.1189094,0.90469486,0.0,0.0,0.0,0.0,0.0,0.0,502.31653,781.50226,-201.0,1446.8154,793.5808,-201.0,2395.3018,749.39575,-201.0
0.0013424283,5.8827157,0.0,0.09535458,0.015942315,1.59286e-05,-3.6336262,0.81953675,-1.4103667,0.46365193,0.0,0.0,0.0,0.0,0.0,0.0,502.5337,785.4224,-201.0,1446.8502,798.0633,-201.0,2395.092,753.95776,-201.0
0.0013294389,5.8827167,0.0,0.09934119,0.016608834,1.5966034e-05,-2.9891136,0.0126077095,-0.7018239,0.02260898,0.0,0.0,0.0,0.0,0.0,0.0,797.3553,1010.9614,-201.0,1524.8197,662.7765,-201.0,2510.5608,974.8974,-201.0
0.0013310731,5.8827157,0.0,0.09933058,0.016607063,1.8673747e-05,-2.989113,0.012607801,-0.7018239,0.022608675,0.0,0.0,0.0,0.0,0.0,0.0,797.358,1010.96063,-201.0,1524.8213,662.7797,-201.0,2510.5615,974.90137,-201.0
0.0013310729,5.882717,-2.588597e-07,0.09675159,0.01617588,1.738382e-05,-2.989113,0.012607801,-0.7018239,0.022608675,0.0,0.0,0.0,0.0,0.0,0.0,795.311,1034.1405,-201.0,1519.1371,674.98486,-201.0,2509.7556,977.4986,-201.0
0.0023225388,3.099344,3.4317236,0.052135576,0.0154698,6.2471816e-05,-2.5258176,0.83902186,-1.3661485,5.6273217,0.0,0.0,0.0,0.0,0.0,0.0,518.5599,834.2027,-201.0,1434.8838,859.23785,-201.0,2372.3018,826.9006,-201.0
0.003391084,0.60466576,6.3588386,0.03234555,0.014236401,7.936266e-05,0.7462041,2.4065895,0.447548,9.055411,0.0,0.0,0.0,0.0,0.0,0.0,529.0732,866.9432,-201.0,1423.8291,835.8754,-201.0,2389.89,817.26117,-201.0
0.0055775177,-4.07951,11.507515,0.008529105,0.006873096,0.00018827479,3.9405072,7.210617,1.7318525,9.256627,0.0,0.0,0.0,0.0,0.0,0.0,497.29605,1012.20807,-201.0,1400.8619,874.4362,-201.0,2414.2515,816.99054,-201.0
0.006741652,-5.7769256,13.665929,0.026247308,0.00097626756,0.00022512219,5.6918645,10.849526,3.3943546,5.342465,0.0,0.0,0.0,0.0,0.0,0.0,459.4901,1106.7384,-201.0,1399.3868,845.4899,-201.0,2432.0144,735.1369,-201.0
0.00788839,-9.25833,17.467028,0.014925268,-0.0015803482,0.00038767178,8.66791,14.534467,7.470473,6.766163,0.0,0.0,0.0,0.0,0.0,0.0,728.41,1056.9037,-201.0,1736.7036,836.76807,-201.0,2740.0078,763.9424,-201.0
