Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.005789895,-9.924033,22.323067,-0.018848842,0.013219592,4.056332e-05,-6.7329392,7.1267853,5.6764417,10.77942,0.0,0.0,0.0,0.0,0.0,0.0,592.89105,852.253,-201.0,1434.7894,766.5652,-201.0,2448.5225,664.4327,-201.0
0.0057129017,-9.706714,22.2046,-0.009753332,0.015997732,7.292562e-05,-7.4058805,6.359278,4.960169,11.750766,0.0,0.0,0.0,0.0,0.0,0.0,616.3076,822.3604,-201.0,1416.9677,835.278,-201.0,2436.755,611.33417,-201.0
0.0057414384,-9.466564,21.70291,-0.00846877,0.018460957,0.00011285705,-8.804229,5.0925617,4.7283688,10.635235,0.0,0.0,0.0,0.0,0.0,0.0,676.9952,828.8657,-201.0,1436.4528,987.3377,-201.0,2452.3403,717.28735,-201.0
0.005828573,-9.507226,21.88267,-0.014999536,0.015271778,0.00010992936,-7.8789306,4.628887,3.6493542,10.203047,0.0,0.0,0.0,0.0,0.0,0.0,674.05206,878.96783,-201.0,1445.3824,1009.7627,-201.0,2432.6155,798.3138,-201.0
0.0058367695,-10.160314,22.87143,-0.0259446,0.0113624185,0.0001209438,-6.9129233,4.542179,1.322562,9.979825,0.0,0.0,0.0,0.0,0.0,0.0,652.0109,897.9353,-201.0,1458.3334,997.6985,-201.0,2463.4968,799.1303,-201.0
0.0058243875,-10.446832,23.507944,-0.021976182,0.009541482,0.00012167235,-5.7855935,3.2020223,0.48763585,9.340425,0.0,0.0,0.0,0.0,0.0,0.0,617.0097,886.11816,-201.0,1493.0425,950.07916,-201.0,2448.4785,915.93036,-201.0
0.0057349396,-10.766662,23.754797,-0.01426703,0.006873408,0.0001177708,-5.73505,4.0728164,1.6825498,7.8860383,0.0,0.0,0.0,0.0,0.0,0.0,610.6843,949.66595,-201.0,1426.2391,866.93024,-201.0,2468.4534,748.2199,-201.0
0.0058076526,-10.359445,22.865767,-0.019612918,0.009911212,0.00011595067,-5.79232,3.899215,4.5963206,7.6755753,0.0,0.0,0.0,0.0,0.0,0.0,620.1526,931.3343,-201.0,1471.9791,871.06934,-201.0,2414.068,913.3387,-201.0
0.0060146297,-10.966924,23.249842,-0.01975324,0.006355734,0.00013876373,-3.0862405,8.504017,6.945741,6.789799,0.0,0.0,0.0,0.0,0.0,0.0,569.80414,912.52686,-201.0,1458.8951,756.5174,-201.0,2395.3516,668.94666,-201.0
0.0066614547,-12.886181,23.719175,-0.026352456,-0.0030610117,0.0003384968,2.5248783,13.563576,10.477345,7.3224335,0.0,0.0,0.0,0.0,0.0,0.0,493.426,954.18915,-201.0,1596.805,724.02264,-201.0,2304.3303,1033.583,-201.0
0.007083731,-14.093339,23.302149,-0.018598571,-0.011488191,0.00039479253,6.7825,18.640533,13.221782,6.3011804,0.0,0.0,0.0,0.0,0.0,0.0,427.9733,1012.7907,-201.0,1594.736,625.45215,-201.0,2360.68,922.9058,-201.0
