Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0016370598,5.0334506,0.8648682,0.09105959,0.015136617,8.395079e-06,-5.2764335,1.4405646,-3.164364,0.61961776,0.0,0.0,0.0,0.0,0.0,0.0,509.4122,799.01324,-201.0,1451.0619,808.83527,-201.0,2399.9126,738.6782,-201.0
0.0014923873,5.4580817,0.4324341,0.09165167,0.015279417,1.3477301e-05,-5.5407443,0.86570174,-2.1155899,0.52270335,0.0,0.0,0.0,0.0,0.0,0.0,505.90616,791.1326,-201.0,1448.9404,802.1976,-201.0,2397.5547,745.0407,-201.0
0.0012433344,5.9584694,-0.6727352,0.09241284,0.015419296,1.6562184e-05,-4.7337127,1.6422018,-1.0850781,0.3693098,0.0,0.0,0.0,0.0,0.0,0.0,507.39322,748.6997,-201.0,1455.0195,765.4051,-201.0,2406.8113,731.8723,-201.0
0.0016906202,6.2133408,-1.2148086,0.08239159,0.01139218,1.8840972e-05,-8.529304,1.7357734,-1.9755443,0.6005488,0.0,0.0,0.0,0.0,0.0,0.0,511.9506,709.7813,-201.0,1464.6625,733.1916,-201.0,2421.153,715.53125,-201.0
0.0015337458,4.252437,-1.2148086,0.09706286,0.013845067,2.8185377e-05,-5.626776,1.590354,-1.4421366,0.3876544,0.0,0.0,0.0,0.0,0.0,0.0,516.74243,673.35693,-201.0,1473.5898,702.359,-201.0,2434.1226,697.9515,-201.0
0.0014812518,4.176681,-0.5420733,0.10003159,0.014372598,2.7329457e-05,-3.795591,0.09357164,-0.8904662,0.23123896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0012956077,3.6655633,0.35804105,0.10502323,0.017686447,2.3874052e-05,-2.6167114,0.068776175,-0.9812224,0.34813866,0.0,0.0,0.0,0.0,0.0,0.0,510.23328,815.49384,-201.0,1450.5881,837.15295,-201.0,2396.9482,787.41113,-201.0
0.0016550403,4.279345,0.98881036,0.086690485,0.014265567,1.5531527e-05,-3.1069124,-0.054491833,-4.0142374,3.612177,0.0,0.0,0.0,0.0,0.0,0.0,504.2184,865.2476,-201.0,1439.4613,880.1133,-201.0,2381.1533,818.0987,-201.0
0.0017413,4.279345,0.98881036,0.08423608,0.013855215,2.1357853e-05,-5.409372,0.7965401,-4.0173254,4.0233955,0.0,0.0,0.0,0.0,0.0,0.0,502.81116,844.021,-201.0,1438.9131,856.249,-201.0,2380.953,794.2957,-201.0
0.0014852638,4.5355916,0.6307693,0.087912075,0.014342169,1.646147e-05,-3.1288178,1.2043867,-3.563197,4.1601353,0.0,0.0,0.0,0.0,0.0,0.0,499.0393,846.2166,-201.0,1436.8588,855.0928,-201.0,2379.6943,796.8317,-201.0
0.0013679769,5.836926,4.9355072e-05,0.08998084,0.014890737,1.64098e-05,-5.6285596,1.3391982,-1.2342857,0.9132455,0.0,0.0,0.0,0.0,0.0,0.0,507.00674,775.0524,-201.0,1449.3988,794.0911,-201.0,2396.5154,751.271,-201.0
0.0016900863,4.5205555,0.65978664,0.08607947,0.013947252,1.6153695e-05,-4.069288,0.3500465,-4.1396604,3.2727273,0.0,0.0,0.0,0.0,0.0,0.0,504.21866,828.0842,-201.0,1440.6846,843.7275,-201.0,2383.3083,787.0046,-201.0
0.0019254613,3.9289143,1.427679,0.08105461,0.010663423,2.155953e-05,-6.383741,0.3839718,-5.1986585,2.682335,0.0,0.0,0.0,0.0,0.0,0.0,512.0225,833.5698,-201.0,1446.8011,852.8718,-201.0,2389.4167,780.9234,-201.0
0.0021086226,2.9525907,1.6036366,0.07704098,0.008857914,2.2729715e-05,-5.5598693,2.4662433,-7.3830667,1.7329117,0.0,0.0,0.0,0.0,0.0,0.0,510.9869,868.39844,-201.0,1447.2632,875.13086,-201.0,2413.2598,741.3559,-201.0
0.0019434389,4.3229556,0.94467586,0.08051506,0.010836184,2.2379709e-05,-7.9319797,2.5155067,-5.2080574,-1.0174171,0.0,0.0,0.0,0.0,0.0,0.0,518.6196,801.5476,-201.0,1459.1776,818.07794,-201.0,2429.11,699.3902,-201.0
0.0017024582,2.9536908,0.17678364,0.09800462,0.016203986,2.362823e-05,-5.2813697,2.0049589,-3.6219647,-0.9119032,0.0,0.0,0.0,0.0,0.0,0.0,514.9421,798.3247,-201.0,1456.332,811.04895,-201.0,2437.4004,677.87897,-201.0
0.0012771514,2.014899,0.00077654334,0.118282236,0.02088181,1.6425616e-05,-3.115298,-0.08885643,-0.733453,0.020371204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0013260911,1.2245475,0.24369259,0.11376885,0.015189606,2.1058999e-05,-0.9580965,0.45409933,3.396599,1.7376057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
