Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0035461022,3.510067,5.2874246,0.038422886,0.02583696,1.684817e-05,-5.191828,-1.0582439,-1.3362046,8.678023,0.0,0.0,0.0,0.0,0.0,0.0,592.8862,752.0894,-201.0,1411.4972,979.8333,-201.0,2446.053,734.1657,-201.0
0.0034670315,4.059152,3.8047721,0.042874407,0.024182232,3.3515793e-05,-5.9402046,-2.7513714,-1.1404532,4.949573,0.0,0.0,0.0,0.0,0.0,0.0,581.0963,663.62115,-201.0,1486.7354,911.968,-201.0,2439.9187,846.49854,-201.0
0.0033082261,4.0996537,2.8881369,0.049428806,0.0190609,4.774351e-05,-6.369011,-2.6313853,0.29894328,0.009624004,0.0,0.0,0.0,0.0,0.0,0.0,562.0964,624.8475,-201.0,1535.4396,803.1838,-201.0,2437.862,803.68677,-201.0
0.0028557882,4.0442233,2.251444,0.058553327,0.01749849,4.378033e-05,-6.071148,-1.5353818,3.828249,1.8850359,0.0,0.0,0.0,0.0,0.0,0.0,563.9034,661.5174,-201.0,1514.3754,676.3847,-201.0,2504.3816,872.2129,-201.0
0.0023812517,3.3087416,1.940533,0.065961204,0.011887831,3.547592e-05,-4.8762174,1.6566902,6.5953116,-0.19145902,0.0,0.0,0.0,0.0,0.0,0.0,539.1565,747.2346,-201.0,1517.5953,606.8464,-201.0,2472.324,807.08026,-201.0
0.0021586993,3.4889085,1.5240268,0.07194569,0.012617485,2.7388627e-05,-5.463905,2.0519898,6.2898536,0.56868005,0.0,0.0,0.0,0.0,0.0,0.0,534.55884,768.61847,-201.0,1507.6328,620.8421,-201.0,2447.472,826.33405,-201.0
0.0026700993,0.9049311,4.27696,0.088316284,0.003544144,4.218931e-05,-2.11563,4.442034,3.3436635,-3.170338,0.0,0.0,0.0,0.0,0.0,0.0,480.2634,913.4793,-201.0,1511.247,665.19244,-201.0,2404.2854,800.5996,-201.0
0.0034655582,0.23245247,5.9573765,0.07992994,0.0035369515,5.9919683e-05,-1.7912068,4.9043403,2.604221,-0.6550133,0.0,0.0,0.0,0.0,0.0,0.0,495.93954,914.63745,-201.0,1487.5596,713.13947,-201.0,2412.0166,721.3234,-201.0
0.004688713,-3.5143178,10.527334,0.062492188,-0.0031836212,0.00014554737,2.568744,9.490414,6.842274,1.8661757,0.0,0.0,0.0,0.0,0.0,0.0,459.3453,1008.68994,-201.0,1479.2452,665.3979,-201.0,2435.4124,670.9882,-201.0
0.0052949605,-3.98865,11.1167755,0.029261814,0.0021386615,0.00018255145,1.9880737,9.456019,11.597035,4.7060847,0.0,0.0,0.0,0.0,0.0,0.0,472.66837,1153.1273,-201.0,1420.5844,688.023,-201.0,2358.2725,598.8943,-201.0
0.0062550246,-8.124488,15.503711,0.013490743,0.0023382271,0.00033790866,4.883961,12.279933,14.880424,11.912736,0.0,0.0,0.0,0.0,0.0,0.0,412.99036,1373.985,-201.0,1371.7194,776.3911,-201.0,2310.4922,630.791,-201.0
0.006637853,-8.563352,14.701786,0.00014423393,0.0067310077,0.00040369996,4.8320336,10.879817,14.600682,13.691836,0.0,0.0,0.0,0.0,0.0,0.0,429.58508,1481.8002,-201.0,1342.1984,927.8916,-201.0,2251.7517,654.56256,-201.0
0.007362133,-11.807794,17.640512,-0.006986037,0.0058770715,0.0005908713,7.9223976,12.213387,15.581492,16.335312,0.0,0.0,0.0,0.0,0.0,0.0,656.81396,1279.7551,-201.0,1668.9332,861.33856,-201.0,2635.2761,796.7866,-201.0
