Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,0.0,0.0,0.13269739,0.022185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.0010339657,1.9609073,3.451462e-07,0.121617176,0.020333152,1.8896266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,-201.0,0.0,0.0,-201.0
0.001463659,3.2326667,1.1477613,0.102928214,0.017728591,1.4728069e-05,-1.5911655,-0.9356604,-0.21114068,-0.62926525,0.0,0.0,0.0,0.0,0.0,0.0,517.8337,841.92413,-201.0,1449.6232,866.19507,-201.0,2400.663,821.2247,-201.0
0.0025743225,1.9385642,4.837754,0.07854102,0.011127354,5.4431526e-05,0.20479219,0.9823148,-0.8194321,0.10968093,0.0,0.0,0.0,0.0,0.0,0.0,492.4603,943.43634,-201.0,1437.7921,886.6906,-201.0,2413.5896,806.21655,-201.0
0.0038838666,-1.3805776,8.419346,0.068984754,0.003052341,8.84099e-05,2.7069504,1.2984809,-3.8336666,-0.6571835,0.0,0.0,0.0,0.0,0.0,0.0,461.41544,1022.9798,-201.0,1416.1948,914.9963,-201.0,2379.6719,752.6215,-201.0
0.0054760887,-5.6215897,13.556931,0.053630937,-0.003913542,0.00019325875,8.881686,5.434833,-4.013188,1.4314346,0.0,0.0,0.0,0.0,0.0,0.0,423.0288,1159.7832,-201.0,1392.0785,957.81464,-201.0,2380.3,820.60126,-201.0
0.0065218187,-6.7201104,14.593727,0.05821829,-0.0071245157,0.00024774057,11.400357,5.820658,-3.562905,0.14732297,0.0,0.0,0.0,0.0,0.0,0.0,394.50174,1177.0367,-201.0,1367.8788,923.169,-201.0,2373.8264,782.52203,-201.0
0.007741546,-9.322099,18.5925,0.048218954,-0.0065570683,0.00039969073,15.278811,9.332482,0.6260954,2.6323526,0.0,0.0,0.0,0.0,0.0,0.0,393.39172,1148.7777,-201.0,1369.0397,860.2678,-201.0,2452.5247,767.2824,-201.0
0.008829447,-9.666592,17.931555,0.05579135,-0.007854898,0.00046106265,16.42235,8.784401,-0.90129787,-0.30292907,0.0,0.0,0.0,0.0,0.0,0.0,378.86807,1169.076,-201.0,1389.424,858.31854,-201.0,2447.089,934.8008,-201.0
0.010015051,-11.558267,20.327448,0.04606527,-0.009594888,0.0006017751,19.74578,10.603459,-1.6814076,1.3531564,0.0,0.0,0.0,0.0,0.0,0.0,404.38977,1194.8495,-201.0,1441.3453,951.02216,-201.0,2395.6824,1375.0875,-201.0
0.010785638,-12.199996,20.857485,0.05614875,-0.018030083,0.0006892597,18.613113,10.017142,-5.2903385,-5.3059287,0.0,0.0,0.0,0.0,0.0,0.0,399.944,1180.8945,-201.0,1460.9434,958.8633,-201.0,2385.7385,1424.7399,-201.0
0.01156751,-13.94387,24.135742,0.054654896,-0.018572584,0.0009699804,21.233126,12.574124,-4.2173924,-2.0962434,0.0,0.0,0.0,0.0,0.0,0.0,412.81418,1146.7173,-201.0,1421.0117,954.3669,-201.0,2417.8381,1174.4281,-201.0
0.012176901,-13.478695,24.593384,0.063642204,-0.018489523,0.0011170685,21.042143,11.354291,-5.193256,-3.5957248,0.0,0.0,0.0,0.0,0.0,0.0,401.88083,1100.3486,-201.0,1383.8492,892.81964,-201.0,2449.873,868.53906,-201.0
