Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.0044482504,2.251166,8.68203,0.02590949,0.00930613,2.9821196e-05,-9.727428,-0.17796564,2.2949786,1.5311667,0.0,0.0,0.0,0.0,0.0,0.0,603.0721,685.2276,-201.0,1429.9628,589.38434,-201.0,2466.0808,690.45514,-201.0
0.0042788256,2.5385778,7.439134,0.023408325,0.011186187,5.2617703e-05,-9.012666,-1.0871292,1.6352457,0.41524935,0.0,0.0,0.0,0.0,0.0,0.0,591.87366,633.03235,-201.0,1477.1553,642.08984,-201.0,2448.5916,727.3001,-201.0
0.004045022,1.823658,6.811302,0.033703234,0.007246126,7.4933494e-05,-6.5338426,0.4687008,1.0551833,-2.0786762,0.0,0.0,0.0,0.0,0.0,0.0,557.56226,652.16455,-201.0,1526.2347,623.6087,-201.0,2433.4072,760.6385,-201.0
0.0042660846,1.6354519,5.056844,0.037046555,0.004125941,6.612839e-05,-5.218588,1.3535818,1.45392,-3.578001,0.0,0.0,0.0,0.0,0.0,0.0,529.1631,660.89777,-201.0,1534.4137,629.5954,-201.0,2395.8953,643.12103,-201.0
0.004401287,0.77079916,5.056146,0.043724906,0.0021539188,6.977619e-05,-3.0270176,4.3568034,1.7059182,-0.05277284,0.0,0.0,0.0,0.0,0.0,0.0,523.9104,750.2942,-201.0,1527.3799,608.9025,-201.0,2496.8066,679.50726,-201.0
0.00476036,-0.7230627,5.734947,0.04185693,0.006341053,8.955369e-05,-0.6404824,7.7410393,2.822272,2.1609743,0.0,0.0,0.0,0.0,0.0,0.0,477.2382,1032.3109,-201.0,1435.4326,776.3962,-201.0,2483.7097,684.2896,-201.0
0.004779105,-2.85656,8.894225,0.038316354,0.0014176406,0.000107310916,1.4849669,9.353839,2.5777953,0.19575357,0.0,0.0,0.0,0.0,0.0,0.0,465.94272,1040.1556,-201.0,1462.2261,783.68744,-201.0,2494.7004,688.92017,-201.0
0.0053142705,-5.4772644,11.83361,0.042307664,-0.0008694453,0.00017455213,5.3768888,11.102211,4.336676,-2.7823477,0.0,0.0,0.0,0.0,0.0,0.0,431.3983,1247.6301,-201.0,1483.9938,991.654,-201.0,2388.5999,974.4026,-201.0
0.0061854585,-7.4939675,14.609462,0.043166842,-0.0043122894,0.00023175275,8.665587,11.69015,4.1868377,-3.386751,0.0,0.0,0.0,0.0,0.0,0.0,647.59033,1200.149,-201.0,1739.0846,967.3486,-201.0,2656.1396,851.676,-201.0
0.0075799096,-10.077421,17.612907,0.05094865,0.00010681393,0.00028117062,12.640521,13.318889,5.1346564,0.7070616,0.0,0.0,0.0,0.0,0.0,0.0,825.4178,1319.58,-201.0,1894.0177,1021.0761,-201.0,2905.2078,849.0346,-201.0
0.008789395,-10.886413,17.568354,0.058651466,0.0003450038,0.00027745793,14.793635,13.382878,5.005276,2.4513962,0.0,0.0,0.0,0.0,0.0,0.0,985.31055,1194.4178,-201.0,2005.9043,807.9834,-201.0,3171.6458,458.0952,-201.0
0.009904542,-11.642863,18.486898,0.061282262,-0.004736087,0.00035645356,16.376524,13.670161,5.334763,3.843191,0.0,0.0,0.0,0.0,0.0,0.0,974.8813,1105.9995,-201.0,1994.7383,728.65454,-201.0,3249.295,447.52444,-201.0
0.010846981,-12.8005705,21.085543,0.052595228,-0.011166163,0.0004825931,18.019835,16.251654,4.1162443,1.8117207,0.0,0.0,0.0,0.0,0.0,0.0,933.3491,1070.4728,-201.0,1991.3062,700.7805,-201.0,3259.2864,404.30786,-201.0
0.012028313,-14.801723,24.666237,0.030546417,-0.01748334,0.00087111443,19.310398,19.406492,5.8724475,1.0062612,0.0,0.0,0.0,0.0,0.0,0.0,973.1336,1109.1866,-201.0,2143.203,713.40576,-201.0,3314.737,487.73657,-201.0
0.014036189,-16.38977,27.899612,0.012935651,-0.008496265,0.0012842423,19.27578,20.037878,9.994843,6.700564,0.0,0.0,0.0,0.0,0.0,0.0,733.1534,1224.9442,-201.0,1915.0543,781.4568,-201.0,2989.9211,718.3558,-201.0
0.021611273,-17.325796,27.472689,0.0088049155,-0.009627205,0.0034415803,19.502468,18.621836,15.1909,8.434932,0.0,0.0,0.0,0.0,0.0,0.0,558.6414,1360.1138,-201.0,1771.8003,952.10187,-201.0,2700.4048,1034.7593,-201.0
0.026785152,-19.55239,29.695219,0.0015432065,-0.009751677,0.0060500074,18.889296,18.300951,17.783361,12.207687,0.0,0.0,0.0,0.0,0.0,0.0,300.8869,1542.0664,-201.0,1432.1449,1186.3016,-201.0,2293.134,1121.497,-201.0
0.029290551,-21.757576,30.322832,-0.009964613,-0.01926199,0.00674377,18.972305,20.359596,19.512117,8.695935,0.0,0.0,0.0,0.0,0.0,0.0,313.53885,1611.837,-201.0,1483.8597,1407.8219,-201.0,2265.923,1103.5027,-201.0
0.026621798,-22.697794,31.202776,-0.029752484,-0.01664904,0.0063244216,18.537859,21.940027,17.793406,11.690579,0.0,0.0,0.0,0.0,0.0,0.0,303.06088,1533.6387,-201.0,1387.6895,1251.9703,-201.0,2317.3481,724.1254,-201.0
0.026744239,-22.762014,29.956003,-0.03671589,-0.019834794,0.0048719845,18.923326,24.179304,16.218864,12.239413,0.0,0.0,0.0,0.0,0.0,0.0,341.12448,1368.8306,-201.0,1431.043,1104.2059,-201.0,2424.6843,670.74756,-201.0
0.028208487,-21.452171,28.366812,-0.039013837,-0.023170633,0.0058358684,18.969963,24.395515,13.091741,12.297748,0.0,0.0,0.0,0.0,0.0,0.0,383.842,1217.9948,-201.0,1498.296,896.4783,-201.0,2430.701,1267.2686,-201.0
0.029359892,-20.60198,28.047606,-0.03103879,-0.029558422,0.0054733776,19.320887,24.905708,10.282771,11.818202,0.0,0.0,0.0,0.0,0.0,0.0,399.72653,1178.9004,-201.0,1534.2964,896.7144,-201.0,2468.3567,1432.882,-201.0
0.030079154,-20.478025,28.773539,-0.03434569,-0.027996788,0.006891104,20.334333,25.10614,9.830398,10.716247,0.0,0.0,0.0,0.0,0.0,0.0,390.1694,1153.9585,-201.0,1489.7148,813.4189,-201.0,2513.7502,1311.4283,-201.0
0.031514034,-20.75817,30.105856,-0.027028456,-0.025768904,0.00640538,22.136154,24.02242,10.990096,11.411953,0.0,0.0,0.0,0.0,0.0,0.0,371.72525,1131.6355,-201.0,1385.3525,803.61066,-201.0,2503.74,670.829,-201.0
0.033810984,-22.339508,31.354767,-0.029134328,-0.023834927,0.006449615,25.108404,22.610449,14.92815,10.397071,0.0,0.0,0.0,0.0,0.0,0.0,356.3131,1226.6842,-201.0,1357.413,913.67993,-201.0,2419.0527,687.0932,-201.0
0.03662399,-23.116539,31.680695,-0.013299002,-0.024978852,0.006760262,27.649088,20.760946,17.582094,11.065551,0.0,0.0,0.0,0.0,0.0,0.0,356.4182,1311.6134,-201.0,1362.1061,1100.5087,-201.0,2284.24,848.9808,-201.0
0.038425732,-23.465897,30.551546,-0.001427887,-0.025527949,0.008040822,29.399698,19.333992,18.234953,12.249396,0.0,0.0,0.0,0.0,0.0,0.0,350.84732,1349.1278,-201.0,1353.6122,1139.8563,-201.0,2232.6597,886.5151,-201.0
0.039399475,-23.358566,31.07515,0.0051437058,-0.02840705,0.009399194,29.500732,19.420591,17.539196,11.979649,0.0,0.0,0.0,0.0,0.0,0.0,365.98056,1312.9432,-201.0,1385.8529,1142.3502,-201.0,2236.0784,968.9338,-201.0
0.039974913,-22.957937,31.662308,0.0035509374,-0.027984815,0.009282417,29.075974,19.892061,17.865786,9.936458,0.0,0.0,0.0,0.0,0.0,0.0,370.93686,1269.6553,-201.0,1391.7985,1088.2975,-201.0,2276.632,951.3764,-201.0
