Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.003291915,4.3975277,3.0318878,0.04475586,0.018382456,1.8612604e-05,-10.779262,-0.39451697,-2.3255556,-2.2739441,0.0,0.0,0.0,0.0,0.0,0.0,559.0485,489.16293,-201.0,1573.027,570.0991,-201.0,2468.1064,822.0737,-201.0
0.003529014,3.2945232,5.2257047,0.04349923,0.015300578,3.8018447e-05,-8.957355,-0.15141411,-3.5833445,-0.10038602,0.0,0.0,0.0,0.0,0.0,0.0,555.16406,609.5083,-201.0,1492.4137,654.1902,-201.0,2457.9705,673.6697,-201.0
0.0033475168,2.93307,6.5843735,0.03399755,0.01162307,5.8522815e-05,-8.605411,0.081247054,-2.546926,2.8272226,0.0,0.0,0.0,0.0,0.0,0.0,546.49457,786.1783,-201.0,1408.9532,695.5817,-201.0,2426.2502,653.1164,-201.0
0.0027772875,3.664727,4.4090667,0.050325606,0.008941215,4.8794114e-05,-8.0939865,0.24656193,-3.0617065,1.6721369,0.0,0.0,0.0,0.0,0.0,0.0,538.795,879.7756,-201.0,1389.0502,796.05914,-201.0,2404.0598,689.5967,-201.0
0.0024888439,4.4065485,3.1403458,0.054554462,0.010903341,4.003405e-05,-7.9802055,-1.6998634,-1.647942,0.038458347,0.0,0.0,0.0,0.0,0.0,0.0,529.95184,859.2114,-201.0,1423.559,786.1165,-201.0,2393.3499,787.62384,-201.0
0.0030132465,2.3221037,3.841183,0.06739577,0.008815246,4.8188096e-05,-4.4597516,-0.4330268,-1.8546125,-2.303764,0.0,0.0,0.0,0.0,0.0,0.0,508.78552,856.1275,-201.0,1472.4865,819.1796,-201.0,2406.4734,735.476,-201.0
0.003991479,-0.90102506,7.4626718,0.06333208,0.004565302,7.5121876e-05,-0.0041804314,2.1377602,-0.18060303,-2.3868594,0.0,0.0,0.0,0.0,0.0,0.0,486.24997,974.0173,-201.0,1491.9767,809.19855,-201.0,2428.78,857.55566,-201.0
0.004881426,-4.128851,9.792445,0.06559676,0.0008309679,0.0001030284,3.723029,6.2067337,1.8733069,-1.813757,0.0,0.0,0.0,0.0,0.0,0.0,442.76602,1190.931,-201.0,1544.0209,896.6889,-201.0,2336.305,1084.5513,-201.0
0.0058257394,-6.324754,13.87613,0.07576979,0.0020065522,0.00015554624,7.406531,7.284622,0.6111216,-0.9873788,0.0,0.0,0.0,0.0,0.0,0.0,357.73123,1352.4811,-201.0,1473.2081,924.63605,-201.0,2308.5703,1099.257,-201.0
0.00642621,-9.434865,17.274267,0.0824808,0.001455334,0.00021372731,11.151871,8.995727,1.7162946,-0.747246,0.0,0.0,0.0,0.0,0.0,0.0,263.93307,1524.4921,-201.0,1393.5986,1025.4979,-201.0,2254.6514,986.2913,-201.0
0.0073556737,-10.998344,21.17369,0.09921358,0.0020510452,0.00030635556,13.387585,9.109035,1.0586518,-3.5753453,0.0,0.0,0.0,0.0,0.0,0.0,496.02512,1368.9901,-201.0,1631.5049,857.986,-201.0,2615.7573,730.32324,-201.0
0.008082551,-11.47678,22.165543,0.1006305,0.002041114,0.00033227258,13.69592,10.602848,3.4165525,-5.334684,0.0,0.0,0.0,0.0,0.0,0.0,793.8986,1176.8047,-201.0,2004.3525,730.3652,-201.0,2927.6992,704.1411,-201.0
0.009374662,-12.232704,24.287119,0.114408396,0.0016287767,0.00049693184,14.560468,13.042656,2.4377487,-8.772334,0.0,0.0,0.0,0.0,0.0,0.0,780.81323,1159.4999,-201.0,1969.8119,689.8914,-201.0,3000.4275,545.0762,-201.0
0.010246605,-14.079887,27.138525,0.11766187,0.002368953,0.00061983865,17.131716,15.842475,0.50514156,-7.683775,0.0,0.0,0.0,0.0,0.0,0.0,782.6892,1177.0361,-201.0,1961.4889,762.3882,-201.0,3030.529,496.9415,-201.0
0.011187945,-16.981615,28.671274,0.12318486,-0.0014675375,0.00072070607,19.56972,18.507439,-0.11780584,-8.740556,0.0,0.0,0.0,0.0,0.0,0.0,515.4964,1364.4036,-201.0,1609.7881,968.468,-201.0,2826.9578,469.9352,-201.0
0.011576305,-18.504461,30.43923,0.1201841,0.0003045109,0.0007421111,20.546434,20.638565,0.04223458,-6.37151,0.0,0.0,0.0,0.0,0.0,0.0,551.5759,1359.2621,-201.0,1620.3387,1009.3748,-201.0,2822.737,602.84064,-201.0
0.012194975,-20.717997,30.266024,0.11644713,-0.007057454,0.00075092603,19.776888,24.11847,4.7933826,-4.9742055,0.0,0.0,0.0,0.0,0.0,0.0,310.02493,1450.0526,-201.0,1324.2529,1215.486,-201.0,2520.3955,688.1141,-201.0
0.017165279,-23.050117,34.219204,0.10368926,-0.013989523,0.0034114236,23.48958,24.489973,8.599551,-3.3266184,0.0,0.0,0.0,0.0,0.0,0.0,357.77017,1528.7721,-201.0,1441.0331,1270.4913,-201.0,2597.6812,774.53174,-201.0
0.020176576,-26.704065,36.875973,0.06015643,-0.012628733,0.00589518,26.842987,25.430418,15.402034,4.8417454,0.0,0.0,0.0,0.0,0.0,0.0,390.09348,1434.2113,-201.0,1501.5524,1208.011,-201.0,2673.4963,742.6928,-201.0
0.025767148,-26.502993,37.31748,0.0126726525,-0.0038378139,0.008070002,29.360619,22.874863,21.428446,8.918676,0.0,0.0,0.0,0.0,0.0,0.0,688.6805,1263.0067,-201.0,1949.0018,778.73364,-201.0,3156.4578,1370.6027,-201.0
0.029171174,-23.152807,34.356144,-0.019174198,0.009969188,0.010071792,28.348595,19.841837,21.580383,15.022381,0.0,0.0,0.0,0.0,0.0,0.0,896.34735,1721.5367,-201.0,1796.2572,636.5742,-201.0,3147.3254,1150.759,-201.0
0.037504803,-18.029463,31.735254,-0.020584978,0.010609339,0.011766058,27.622164,14.518619,15.734532,10.298113,0.0,0.0,0.0,0.0,0.0,0.0,1036.6212,2141.9749,-201.0,1773.6431,662.4036,-201.0,3213.7424,1033.2897,-201.0
0.04259901,-16.787567,33.71489,-0.025547946,0.0067561623,0.01204048,29.795328,11.21769,6.402798,7.0453763,0.0,0.0,0.0,0.0,0.0,0.0,838.30255,2488.4668,-201.0,1342.1813,965.7155,-201.0,2938.1338,259.14688,-201.0
0.045854907,-17.104433,33.94388,-0.029187238,0.002244245,0.009378657,31.090017,8.38314,2.6351967,1.4899808,0.0,0.0,0.0,0.0,0.0,0.0,647.1927,2021.4159,-201.0,1402.04,1015.1164,-201.0,2964.5383,292.46567,-201.0
0.04630035,-17.884275,32.926277,-0.04118878,-0.0016890123,0.0071033593,32.11868,5.04425,1.2803112,-2.2831647,0.0,0.0,0.0,0.0,0.0,0.0,655.53253,1621.2832,-201.0,1475.939,1033.3822,-201.0,2950.377,279.3328,-201.0
0.04729679,-18.391699,31.45376,-0.042216927,-0.00056100363,0.0062473626,31.664972,3.3716977,2.2978137,-2.70831,0.0,0.0,0.0,0.0,0.0,0.0,692.9121,1440.4645,-201.0,1529.3431,1017.3597,-201.0,2930.2898,272.9113,-201.0
0.04956313,-19.363749,30.593027,-0.060894098,-0.0011394297,0.0071818307,30.80751,3.024668,3.5626934,-5.132279,0.0,0.0,0.0,0.0,0.0,0.0,757.55444,1354.949,-201.0,1565.4297,1057.2035,-201.0,2905.125,252.549,-201.0
0.052168343,-20.020966,30.055773,-0.063852556,-0.003905968,0.0069085644,30.491755,3.6635523,5.109924,-8.191891,0.0,0.0,0.0,0.0,0.0,0.0,672.34467,1442.014,-201.0,1494.0211,1183.3734,-201.0,2877.496,279.55347,-201.0
0.055391353,-18.541714,28.382269,-0.07122517,-0.0065504983,0.0070865504,30.869263,2.3621345,5.3941345,-12.080475,0.0,0.0,0.0,0.0,0.0,0.0,560.3244,1547.0631,-201.0,1353.2169,1254.7771,-201.0,2833.7751,307.47302,-201.0
0.057818323,-15.624063,26.804571,-0.06474184,-0.0051818932,0.007857203,30.87375,-0.42346025,3.782489,-12.311162,0.0,0.0,0.0,0.0,0.0,0.0,537.8779,1529.7106,-201.0,1345.9618,1326.5651,-201.0,2826.096,361.55264,-201.0
0.061877083,-11.576637,27.838936,-0.059446692,0.0009627792,0.008711446,30.347185,-4.215459,-0.85263234,-13.975934,0.0,0.0,0.0,0.0,0.0,0.0,532.762,1350.8534,-201.0,1367.9869,1217.0941,-201.0,2853.909,1112.3881,-201.0
0.06781077,-10.253293,29.502243,-0.05325885,0.003852509,0.012272127,30.661482,-4.0841413,-3.3410766,-15.328133,0.0,0.0,0.0,0.0,0.0,0.0,561.78314,1289.899,-201.0,1430.182,1233.1416,-201.0,2713.1575,3060.9297,-201.0
0.0736446,-9.870824,30.204489,-0.04178514,0.004455269,0.0109402165,30.977936,-2.9617178,-2.5419471,-17.038492,0.0,0.0,0.0,0.0,0.0,0.0,616.3803,1298.2573,-201.0,1465.7295,1315.6783,-201.0,2722.5535,3044.1904,-201.0
