pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-29.030426,-0.25799787,-4.413493,5.189772,2.5935788,5.353554,0.6730055,0.31786802,-1.9056044,1.2215265,1.0069965,4.8359914,0.6376005,0.95760137,1.3488036,1.6763697,1.9869018,2.2507763,2.4819593,2.709191,0.8543367,0.15965019,0.0,0.0
0.0,0.0,-29.553812,0.3435204,-1.8514528,4.925467,1.0698652,3.925088,2.4967854,2.9740417,-5.182634,0.5557296,-1.9228357,4.7843986,0.63016206,0.95603204,1.3497314,1.6707612,1.9834074,2.244795,2.4893281,2.7020617,0.8573587,0.16023128,0.0,0.0
0.0,0.0,-30.1312,1.3829503,1.2711501,3.797356,-1.0554398,4.341714,4.0140605,3.1105213,-3.798874,-0.64866304,-4.875776,4.3968043,0.62625986,0.950244,1.3452746,1.6633142,1.9805307,2.2429132,2.4948747,2.6904085,0.8609852,0.14522274,0.0,0.0
0.0,0.0,-30.029108,1.5401635,1.5755534,4.491123,-3.000745,2.714079,4.3623147,4.2058997,-0.39745364,-1.0042418,-5.7509713,3.7662373,0.62298006,0.9485185,1.3205204,1.646303,1.972875,2.2536557,2.4954352,2.689943,0.8718646,0.15447539,0.0,0.0
0.0,0.0,-29.660263,2.2069936,0.8286042,3.7378337,-2.7034807,3.2186759,1.6922041,2.5245025,4.3306003,-1.7140331,-8.013473,3.6656764,0.6190577,0.9459447,1.3065178,1.6414304,1.9674674,2.2518694,2.4912508,2.7038164,0.88667274,0.14752829,0.0,0.0
0.0,0.0,-28.54893,1.5515004,-0.65093356,3.1778173,-3.2111092,4.7589397,0.30550957,2.9158192,2.4457757,-4.090529,-7.7554154,4.7175717,0.61366034,0.94794625,1.2954053,1.6281824,1.9608902,2.25084,2.493592,2.713581,0.8936234,0.16372322,0.0,0.0
0.0,0.0,-27.674347,1.3622994,-0.31331322,1.7578095,0.63933593,9.588795,2.4848802,2.17273,-0.5497534,-5.1612678,-9.085401,2.1016302,0.582645,0.91854256,1.2888685,1.6150924,1.9619641,2.2423375,2.5033677,2.706934,0.84527045,0.1988386,0.0,0.0
4.1735173e-14,0.002832473,-25.162504,1.6042724,1.4359215,4.8830504,1.3028053,2.4599648,-0.14441268,0.5660241,-7.3765125,-10.395936,-8.294644,-2.5858524,0.55518275,0.88002175,1.2653782,1.5914965,1.9695364,2.250051,2.5160635,2.6903336,0.7373829,0.2530043,0.0,0.0
4.1735173e-14,0.002832473,-23.650862,1.3442726,3.2834513,7.4315047,1.6211859,-5.8028684,-6.595305,-0.42135397,-6.552069,-11.489478,-13.149918,-8.655425,0.5123414,0.8399768,1.2397065,1.5725075,1.9635028,2.25337,2.5208302,2.6787226,0.5977637,0.27909157,0.0,0.0
1.2520162e-13,0.006319607,-21.583082,-0.8201299,0.9426382,8.914709,-4.2465186,-13.654873,-10.879964,-7.225973,-8.417344,-10.481171,-18.603064,-9.031729,0.49046764,0.8296337,1.2194868,1.5496721,1.942522,2.2548945,2.51286,2.6787674,0.5010577,0.3310523,0.0,0.0
