pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,2.2457966e-08,0.0,0.0
0.0,0.0,-3.9090817,3.7680197,-1.8539723,0.18226974,0.041038014,0.56286174,-0.7834868,0.3699834,0.019770324,0.043865237,-0.2764328,0.27249548,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,2.4007647e-08,0.0,0.0
0.0,0.0,-5.435186,5.8147144,-3.8990624,1.7761313,-0.8923095,0.90624183,-0.79501843,0.3364379,-0.08159869,0.30390194,-0.60425234,0.5506527,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9975824,0.07596258,0.0,0.0
0.0,0.0,-5.435186,5.8147144,-3.8990624,1.7761313,-0.8923095,0.90624183,-0.79501843,0.3364379,-0.08159869,0.30390194,-0.60425234,0.5506527,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.9975824,0.16186215,0.0,0.0
0.0,0.0,-6.533407,4.4811797,-1.2726945,1.2180434,-2.295747,1.1319922,1.6824764,-3.047638,1.3353983,1.2611986,-1.5262733,0.41985726,0.52046794,0.82398766,1.2103353,1.5247889,1.8414794,2.1539192,2.4717367,2.7576787,0.99546695,0.23779105,0.0,0.0
0.0,0.0,-11.692764,4.3918242,0.8615399,0.41296217,-2.5035493,2.404313,2.474514,-6.855143,3.5523884,1.6290694,-1.8470808,0.30065992,0.48317552,0.83411545,1.2275891,1.5435065,1.8417221,2.1596153,2.4547334,2.710291,0.9888184,0.21552594,0.0,0.0
0.0,0.0,-16.139753,8.689994,1.8080963,2.3999863,-6.101396,2.705044,-1.0082115,-4.567577,7.657101,-2.3545043,-3.150706,1.3820249,0.53328496,0.92778593,1.3034497,1.6042517,1.8960924,2.2177484,2.474496,2.6673787,0.9613176,0.21409686,0.0,0.0
0.0,0.0,-14.970439,9.2135935,-1.2312773,1.8301808,-7.825913,5.6916847,-2.490177,-1.0703229,9.697366,-1.8279055,-3.0659873,0.7202239,0.4849793,0.95878047,1.2842984,1.5900015,1.900515,2.2452004,2.4935818,2.6759126,0.89724994,0.25878194,0.0,0.0
0.0,0.0,-10.26622,10.42995,-2.4301546,4.103389,-6.8097577,6.6944184,-2.4689772,3.6646564,9.591575,-1.999041,-5.805409,-1.0539583,0.447569,0.9598157,1.2774625,1.5858908,1.903575,2.2656841,2.5113919,2.6865313,0.8220007,0.40545475,0.0,0.0
0.0,0.0,-8.613946,8.883119,-5.50132,4.571547,-3.8395445,10.411101,5.294543,3.6433887,8.166314,2.6826527,-3.907676,-1.1399808,0.41551766,0.9462266,1.2688564,1.5959754,1.8953229,2.2630508,2.513095,2.7037096,0.72499245,0.52731335,68.05556,17.01389
4.1735173e-14,0.002832473,-7.345015,10.1370325,-3.0161927,8.015246,-0.98510766,10.899277,3.9393423,4.6070323,5.037535,1.3467077,-4.3125005,1.0060927,0.38919696,0.93056184,1.2528443,1.592446,1.900613,2.2665975,2.5116777,2.7069132,0.62556666,0.5777022,136.11111,46.788197
4.1735173e-14,0.002832473,-7.5099387,11.817722,-0.27250686,9.586483,-0.52500796,6.707262,1.4853541,4.40731,4.252779,0.22901802,-0.53557986,3.150008,0.3765452,0.9220097,1.2358357,1.5881146,1.9218087,2.266486,2.5076425,2.7000325,0.5116349,0.52854156,136.11111,76.56251
4.1735173e-14,0.002832473,-6.665094,13.3791,2.4448748,8.544385,-2.8976228,3.232569,-2.917401,0.40756574,3.6766803,3.2995713,0.66324395,1.3534256,0.3555367,0.90249825,1.2386621,1.5830699,1.9381089,2.2599401,2.5022895,2.6924381,0.40163192,0.47688732,68.05556,89.322914
8.3466444e-14,0.0034871344,-5.5411744,12.68834,5.790752,8.789844,-5.1972237,-2.9913762,0.49241814,1.3108782,5.873319,5.10379,1.9838542,-1.9035087,0.34049132,0.884239,1.2519609,1.59021,1.9436086,2.2430203,2.4942782,2.700632,0.31097007,0.5105249,0.0,89.322914
1.6693289e-13,0.0069742687,-4.768974,11.6029005,7.6340446,7.532324,-8.193376,-4.7726483,1.6663527,4.0805,6.069439,8.068492,4.3405623,-0.66996926,0.31390032,0.8553142,1.2469456,1.5907112,1.9369192,2.2289026,2.4955046,2.7168953,0.24508913,0.56727517,57.198444,96.178955
2.5039934e-13,0.010461402,-4.0268908,12.039109,10.816985,6.7837906,-8.179193,-6.37573,3.4774048,11.330607,4.3572335,6.7724643,4.6839213,1.0860528,0.28851154,0.8307574,1.2171186,1.5791931,1.933415,2.2304218,2.4980607,2.7358315,0.22544575,0.59527165,130.07478,112.09649
2.0866806e-13,0.009806742,-3.9140847,14.847751,11.961624,5.2102027,-5.753101,-4.3343744,0.87184095,6.474149,1.0659171,8.62588,7.2560935,2.7490084,0.27177674,0.8037829,1.1699657,1.5671009,1.9183226,2.233548,2.5017245,2.748109,0.22423692,0.5484355,130.07478,128.01402
1.2520162e-13,0.006319607,-3.8418617,17.937105,12.369153,0.4965248,-3.3694057,0.07104564,-0.3779758,2.1525269,0.3477446,10.265153,7.2837486,4.113905,0.26188576,0.78969043,1.1289121,1.5591184,1.9014162,2.231206,2.4986322,2.750058,0.20731337,0.5002949,72.876335,137.07552
4.1735173e-14,0.002832473,-3.4812424,20.441801,12.876084,-0.075443685,-0.8119168,1.3850092,-1.6503258,-1.2170755,3.46932,9.129437,4.1736856,5.5029488,0.25036275,0.7820449,1.103581,1.5529579,1.8864199,2.2227852,2.4946668,2.7554443,0.16288908,0.47832885,0.0,137.07552
8.3466444e-14,0.0034871344,-3.2317836,21.339005,13.158492,1.5957346,-0.3475534,2.9154644,-0.9846652,1.2543627,4.657705,2.899699,-0.7438958,3.8365567,0.23353167,0.78173536,1.0977165,1.548041,1.8844361,2.2205055,2.48749,2.7609293,0.11514053,0.4963888,0.0,137.07552
2.1701276e-12,0.012646191,-2.8465316,20.389992,14.655522,5.789126,2.063001,3.461672,-0.097894825,2.2419498,5.9564004,2.0505023,-5.5722613,-1.6622095,0.20920332,0.78441304,1.1013993,1.5376056,1.8754343,2.2104733,2.4713013,2.772,0.087337576,0.4880878,0.0,137.07552
2.7126498e-12,0.0187604,-1.2520533,21.76063,14.189944,6.8334975,3.9550247,3.9009411,-0.28782406,-3.601387,-0.38671938,3.8316257,-6.7544665,-4.3602595,0.19019003,0.7988284,1.1166368,1.542029,1.8726956,2.2052958,2.462028,2.7739227,0.0692052,0.48389617,0.0,137.07552
2.6291833e-12,0.015273266,0.37249926,23.202234,11.543405,5.676882,2.7683582,5.4198112,3.699276,-7.402846,-2.460974,8.822362,-1.7820019,-2.532211,0.16913712,0.8195545,1.1210519,1.534079,1.85346,2.1937568,2.457688,2.7778177,0.060743432,0.47542536,0.0,137.07552
8.7638794e-13,0.011399719,0.9483893,24.559881,11.055461,6.2054176,0.63834006,5.088635,4.9894314,-7.7600217,-2.50765,9.027221,2.5258296,2.7658627,0.1626584,0.8242142,1.1089314,1.5204538,1.8371106,2.19294,2.460489,2.7793188,0.04986401,0.49636135,0.0,137.07552
1.6693288e-12,0.013296839,0.18720494,21.319803,9.577708,7.592489,-1.4831171,4.143528,5.7862964,-1.4721519,1.096247,2.7253237,4.008539,4.772741,0.17173791,0.7436685,1.0690068,1.4856424,1.8186489,2.1710584,2.4656537,2.7751076,0.048352975,0.5041484,0.0,137.07552
7.0111816e-12,0.025439747,2.2789688,12.4765215,7.1975274,7.4070835,-0.44485554,-0.70594853,4.820045,3.2483158,3.1866133,1.7797545,1.7057375,5.0444922,0.1767832,0.67750335,1.0179895,1.4261527,1.7695656,2.121445,2.4639606,2.7594235,0.04110003,0.5084803,0.0,137.07552
6.7607816e-12,0.023641372,1.9370006,9.512272,3.9093235,8.427542,-0.9521939,-2.868535,4.313417,4.4283123,4.4997363,1.1976043,0.23988397,3.0285485,0.1975848,0.6486922,0.98597574,1.3540643,1.6760441,1.9964056,2.4458458,2.7362595,0.034753703,0.56816274,0.0,137.07552
7.56206e-11,0.041927118,-1.1652031,9.902661,7.207342,12.283111,0.6884964,-5.096491,1.3440108,4.062671,8.204745,7.5897408,3.2982159,5.247002,0.21199019,0.69624823,0.97951144,1.291133,1.580575,1.8631258,2.3891575,2.7254448,0.025989726,0.6840518,74.90887,144.37978
1.6964569e-10,0.058971096,-7.2691875,15.260605,12.864583,19.477943,3.9771795,-1.4779968,-4.2020245,7.574446,10.883588,10.882847,4.3776755,4.6076865,0.2310493,0.7254109,1.0017339,1.2711353,1.538744,1.7615552,2.292458,2.7240818,0.018434571,0.77405435,152.4085,157.8099
2.4722763e-10,0.08259108,-8.692771,17.515692,15.434262,23.607399,8.004597,1.4024081,-6.3162117,8.050981,8.960425,12.943848,6.105016,4.324863,0.21643883,0.7469073,1.0222832,1.2742704,1.5513304,1.7364999,2.222374,2.729433,0.016923541,0.7824161,236.15059,177.39508
3.6933903e-10,0.09187462,-8.098523,19.677269,13.635967,24.578196,10.569122,5.596079,-5.857788,10.59036,8.803509,11.017072,4.456106,1.774684,0.19231732,0.7656658,1.0292116,1.2765704,1.5742661,1.7352246,2.1925466,2.7296937,0.019341191,0.7298272,252.43257,196.15446
3.476375e-10,0.08979485,-7.2994447,21.423487,13.951688,21.88003,10.615581,6.4567947,-2.5208676,9.035489,5.4797854,5.4336047,4.738278,6.872551,0.1756236,0.76973313,1.0207995,1.2667061,1.5829514,1.7389492,2.2320907,2.7379704,0.019945605,0.6566127,289.24503,219.42708
4.3907547e-10,0.09692198,-7.75535,21.158905,14.349262,19.302547,8.437882,5.854445,-1.8823981,6.068661,2.510934,-1.7458086,4.5927997,12.703855,0.17919701,0.7541268,1.0082197,1.2668481,1.5858132,1.7503949,2.2713253,2.7485578,0.016621336,0.60334843,344.37997,250.6653
3.3774747e-10,0.089766145,-6.934607,21.059622,15.746612,16.8316,9.513959,6.435827,-4.2493553,0.34981313,-1.1667342,-5.114652,7.3219223,11.457643,0.1779161,0.7378827,0.9946616,1.2722331,1.5618963,1.79242,2.329779,2.76662,0.014505893,0.5786678,404.28018,289.069
3.4029332e-10,0.09002972,-4.7938156,21.68664,14.669429,13.892467,11.385135,4.366529,-7.005942,-2.2282958,2.9798946,-5.499148,4.7627883,8.361474,0.17064579,0.72763354,0.97747135,1.2955036,1.5539745,1.8620214,2.3722403,2.7814696,0.019038985,0.5769648,434.0446,325.3129
2.620849e-10,0.084212385,-2.338727,23.92826,16.297941,10.869675,10.482985,1.0666609,-5.876351,-0.90330523,5.702949,-6.891627,2.0768704,4.7834516,0.15145282,0.722847,0.9683111,1.3104993,1.5620675,1.9383582,2.4152038,2.7985294,0.025687521,0.5868014,420.45773,349.09912
1.8521203e-10,0.072036915,0.026421467,24.582705,18.532063,8.910667,6.404953,-3.3393364,-3.4590285,1.2449045,8.01705,-5.6133714,-0.28043786,4.961762,0.13370769,0.7154257,0.9742574,1.3290323,1.5998516,1.9986962,2.4300952,2.8045452,0.029918404,0.5874617,408.64478,363.9855
1.0671186e-10,0.053295936,1.6107944,26.694754,19.657106,7.733589,1.2018108,-3.8183196,-5.885843,-1.2650429,4.462315,-5.22295,1.5566722,3.1438534,0.11265105,0.70885205,0.9797856,1.3376864,1.6383452,2.040822,2.4390275,2.800784,0.026291931,0.60658675,410.41873,375.59384
6.193221e-11,0.048061956,4.048732,27.213425,19.339382,5.898403,-0.003560702,-0.40239844,-3.476682,-0.8675793,1.2285162,-5.893886,3.7829463,3.9388916,0.09753672,0.70120305,0.97385,1.3522831,1.672994,2.076517,2.42976,2.7971468,0.021154428,0.6346708,426.1892,388.24268
7.194819e-11,0.050899673,5.5491595,26.506182,17.599466,5.252905,-0.26034355,3.5143058,3.060936,-2.6751158,-2.1430128,-11.233093,0.009677569,4.7412596,0.08584523,0.6878603,0.9644981,1.3676577,1.7034639,2.098452,2.4282768,2.7959788,0.015714718,0.6573841,411.15347,393.97037
1.0704581e-10,0.06393704,7.6239777,24.897537,17.952486,6.054985,-1.7168535,3.307577,9.357146,-1.1389471,-3.1020823,-13.529362,-5.133044,6.6956387,0.079879165,0.67262036,0.96646756,1.3801684,1.7320614,2.112807,2.4320476,2.7895126,0.015714718,0.6537688,374.57724,389.12207
6.848425e-11,0.05422708,9.132758,23.390005,17.61096,6.997038,0.8452139,3.1881506,6.730761,-5.242334,-1.2922465,-9.086542,-9.984657,4.6670365,0.071421094,0.643543,0.97325546,1.3947754,1.7497396,2.1172688,2.4526184,2.7781382,0.015412512,0.6428473,355.07895,380.6113
2.0232288e-10,0.06868134,11.268722,22.153503,17.61731,6.7922177,2.119477,3.5638494,2.3048575,-10.384934,1.10455,-1.5902883,-10.508225,5.426479,0.06823454,0.6138665,0.96675473,1.4028158,1.7518202,2.1219637,2.4658992,2.7708638,0.014203687,0.6295489,355.41275,374.31168
1.6584804e-10,0.05229977,12.693072,21.239393,17.031796,7.6128783,3.0465746,1.0572602,3.5280075,-10.728546,1.3686184,-2.8610075,-7.8729014,4.4417834,0.063955724,0.59667236,0.96797585,1.4096586,1.7407442,2.1230772,2.470933,2.780136,0.01087942,0.6313748,370.8318,373.44168
2.4376393e-10,0.06672386,12.904339,20.263683,18.437506,8.923907,0.29156455,-1.5771686,6.5847926,-10.941998,4.22093,-5.0526004,-6.33943,6.695685,0.06876149,0.58080393,0.9416781,1.3928423,1.7296587,2.1261587,2.4659228,2.7861392,0.008159565,0.5992574,389.86597,377.54776
1.1919009e-10,0.054224566,11.660351,19.02461,20.80555,9.841765,-2.3722527,-4.6716084,10.012145,-14.479534,6.1578326,-4.5424933,-5.3902283,3.8570185,0.07471164,0.57284683,0.91858035,1.3766704,1.7244654,2.120222,2.4570224,2.7979457,0.0069507402,0.5613697,265.2897,381.61963
3.8532308e-10,0.08817717,11.366463,18.001047,21.629671,10.7980585,-2.7510986,-3.9306133,7.1314645,-21.18524,6.8893642,2.9185734,-2.919635,3.2850149,0.08654779,0.56715226,0.8819625,1.3569907,1.7179995,2.1052024,2.4521089,2.79838,0.0069507402,0.5460246,140.59654,385.6366
3.0156447e-10,0.06890975,10.6150675,18.713057,21.291094,12.210469,-3.486964,-5.2885475,8.428443,-23.874445,6.6932006,0.011575381,-0.6343989,2.3006632,0.083266295,0.6001165,0.8790075,1.3454132,1.7097582,2.0983648,2.4520066,2.79953,0.0066485344,0.5331284,0.0,385.6366
3.646651e-10,0.07679827,10.032467,21.110312,21.613037,12.645119,-4.428261,-4.789713,8.502381,-24.653402,7.331968,-7.845801,3.1828544,4.6612,0.080041476,0.634086,0.8611422,1.3082384,1.6991873,2.0909832,2.4494898,2.7841938,0.0066485344,0.52869284,0.0,385.6366
1.10217425e-10,0.053047527,8.430108,22.708136,25.22584,11.088632,-6.2862973,-3.5448415,14.001599,-25.952744,11.079109,-15.909745,6.458959,5.8982377,0.07333004,0.64757514,0.8436255,1.2695756,1.691349,2.0834417,2.438028,2.7743027,0.006044122,0.50528663,0.0,385.6366
5.8430655e-10,0.09110987,7.8971195,21.672495,29.345306,9.929803,-5.8662033,1.5826715,17.896013,-24.988562,9.700381,-15.273716,8.582931,5.382042,0.078996755,0.62204224,0.8142794,1.2429713,1.6896067,2.0751696,2.4293478,2.765252,0.005741916,0.5103628,0.0,385.6366
5.195784e-10,0.08290823,6.209664,21.02829,33.69417,9.26822,-3.006625,0.21240075,20.213549,-22.988543,3.8251371,-14.178359,8.741856,4.009126,0.08422074,0.5934608,0.79180336,1.2145177,1.6754951,2.0699244,2.4230173,2.7604225,0.0066485344,0.49668053,0.0,385.6366
7.204402e-10,0.104103126,3.6803935,19.823942,36.95349,6.390576,-0.6587166,-0.3002591,21.904472,-23.252676,-3.6669185,-13.161156,8.642971,-0.5042197,0.10072497,0.58595246,0.7680357,1.1753885,1.6384745,2.0489705,2.4213688,2.7547798,0.009368389,0.50669503,0.0,385.6366
3.077825e-10,0.08288598,-0.47320762,21.65364,36.344322,2.551572,4.030407,-4.8857217,19.638205,-25.158531,-7.224936,-5.8194485,5.8122916,-2.7517788,0.11895895,0.6111261,0.7447235,1.1404617,1.5644035,1.9868174,2.4045992,2.7445982,0.012088244,0.49958166,0.0,385.6366
8.5799295e-10,0.11175752,-3.9923403,25.291443,31.980516,0.35069504,11.661853,-5.989469,16.992712,-22.045145,-4.9877467,0.43425322,0.89435893,-0.7117532,0.1514405,0.6422913,0.73154277,1.1519419,1.4942751,1.8860039,2.380059,2.7379444,0.019038985,0.52090544,0.0,385.6366
7.1539047e-10,0.10138168,-7.48883,30.476883,26.47995,-2.9863398,21.720545,-9.063779,10.127454,-12.97705,-2.585739,5.0244985,-5.4546475,0.2884059,0.17640235,0.66455066,0.7235391,1.1875086,1.4446217,1.769049,2.3378732,2.730759,0.022665456,0.51390845,0.0,385.6366
7.227776e-10,0.10224142,-9.469421,33.118168,23.079702,-4.060365,27.579325,-11.123675,3.3609993,-4.9181676,0.9379947,4.21044,-7.389557,-0.54521006,0.20411418,0.6617814,0.719423,1.2093437,1.428238,1.6691076,2.294532,2.7228606,0.025989726,0.5197093,0.0,385.6366
8.022811e-10,0.10418391,-10.660782,32.5247,22.304358,-6.057733,28.860168,-10.21705,-0.7624001,3.5271108,2.0023804,3.2040997,-6.0740695,-4.2946897,0.21872859,0.6587474,0.7282035,1.2045292,1.4212435,1.603618,2.2622426,2.721269,0.016923541,0.5215868,0.0,385.6366
1.8170682e-09,0.1376707,-11.42706,32.774475,19.994184,-5.080438,30.486322,-7.7039027,-1.5397459,8.002046,0.953232,0.16640203,-1.6261352,-2.0743244,0.25480464,0.65312,0.73609143,1.1937857,1.4093434,1.5719104,2.2300665,2.716777,0.01087942,0.5090593,0.0,385.6366
2.0235236e-09,0.15103258,-12.598681,32.83845,19.455032,-5.995753,31.100708,-2.0123193,-1.3142346,9.66576,-0.46776512,-4.6794977,-3.301294,-0.03357919,0.28989992,0.65226966,0.7539466,1.1837591,1.4038272,1.55825,2.1768484,2.7123678,0.011483832,0.4474348,0.0,385.6366
1.5465118e-09,0.13462847,-15.043584,30.168764,17.084894,-6.273279,30.015757,1.1525964,-1.7217451,6.3197703,-1.4952995,-9.122199,-6.78847,3.869304,0.3412685,0.64866644,0.7705324,1.1613744,1.3997763,1.5531179,2.0670578,2.687678,0.024176488,0.4359474,0.0,385.6366
5.4900123e-10,0.102934815,-14.766316,21.771997,11.032004,-7.3669753,22.188194,3.3945904,2.2247558,11.306415,4.1709423,-6.452349,-8.272389,5.2257237,0.33405605,0.64253247,0.7845896,1.1402701,1.4029055,1.5815197,1.9343786,2.6500807,0.037473556,0.4999055,0.0,385.6366
3.1111988e-10,0.08530212,-12.759946,15.605327,7.3632317,-8.961567,14.759803,3.9374154,7.8893876,15.655063,5.4187775,-1.6177964,-3.286163,7.025789,0.31676733,0.63059616,0.781951,1.1223316,1.3716341,1.6067648,1.8064108,2.5765522,0.038380176,0.64177185,86.98225,375.24576
5.7967253e-09,0.14835885,-9.803821,13.209342,6.7567325,-6.0873146,9.224145,2.229492,6.2174087,16.782995,2.3684952,5.251182,6.294285,5.054901,0.26827002,0.6196521,0.770044,1.132658,1.3439913,1.6278607,1.7322273,2.509826,0.03112723,0.72834426,202.53218,364.20377
1.0437129e-08,0.21324523,-8.550469,15.539975,12.561596,0.22711022,11.120277,3.5697823,5.5826244,11.324748,-1.2031058,4.2994485,11.874565,2.7118442,0.23755437,0.61847997,0.7762721,1.1408411,1.330487,1.6172004,1.712648,2.48188,0.019945601,0.7728612,335.09158,356.92575
