pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-28.483091,2.1274796,-5.7365894,3.8863256,-0.3342339,0.5274656,-0.7775383,0.73363286,3.8842618,3.8359153,0.7734769,-4.8245635,0.63683534,0.9209811,1.315932,1.6450418,1.9693209,2.241844,2.4840596,2.6987135,0.89724994,0.2005723,0.0,0.0
4.1735173e-14,0.002832473,-28.263567,2.5334861,-3.1638424,6.433538,-3.2266986,-1.9321312,0.61533,3.399112,1.9175967,3.2410295,-0.21994536,-5.094671,0.6241593,0.930062,1.2922007,1.6382952,1.9665308,2.2474675,2.4953253,2.7068672,0.9090359,0.18761213,0.0,0.0
4.1735173e-14,0.002832473,-28.253584,1.7655407,-1.969708,7.968521,-1.6643366,-3.082711,0.65037537,5.509642,-0.34389535,2.503425,-1.5234302,-4.1314607,0.61652607,0.94009835,1.2910243,1.6451203,1.9696589,2.2562315,2.496887,2.7132292,0.91205806,0.18467502,0.0,0.0
4.1735173e-14,0.002832473,-28.543777,1.2948762,-1.2148261,9.065383,-0.041939735,-0.31347466,2.1095998,1.4741622,-3.16247,3.4736907,1.5155269,-1.2121762,0.61324143,0.9395044,1.3167642,1.6475006,1.9661177,2.2561524,2.4843912,2.7064202,0.90027195,0.16526105,0.0,0.0
4.1735173e-14,0.002832473,-29.046165,1.3120731,-1.7131429,6.809262,2.5826526,2.5034902,0.1880533,0.49241242,-3.6727965,1.5604925,2.0959547,2.24694,0.6222922,0.9449702,1.3417953,1.6558943,1.9651489,2.2417827,2.4742832,2.7036295,0.8854639,0.17178285,0.0,0.0
4.1735173e-14,0.002832473,-28.702162,1.5988755,-1.1102883,6.8051972,1.7909855,5.1374755,-1.7370747,-0.9801159,-3.8417742,1.6576959,4.589216,2.9554975,0.63058895,0.9409061,1.3456682,1.6513559,1.9587647,2.223417,2.4710052,2.699569,0.8760955,0.15626745,0.0,0.0
4.1735173e-14,0.002832473,-28.9988,2.6802084,-0.7289684,5.644834,2.0060852,-0.19762866,-1.39045,4.418162,0.23045357,-2.5087817,3.715952,2.241942,0.63551277,0.93789285,1.3395368,1.6473225,1.9590949,2.2143536,2.480641,2.6953256,0.8655183,0.16381128,0.0,0.0
4.173127e-14,0.0028323939,-28.779722,3.4336102,-1.7693335,4.416717,3.7001169,3.7637587,1.4433689,4.846643,-1.1709682,1.6058526,5.095834,1.6607434,0.6384668,0.92290384,1.3342823,1.6469151,1.9513863,2.2264075,2.4920237,2.6871672,0.84799033,0.16759823,0.0,0.0
4.173127e-14,0.0028323939,-28.543922,5.2565646,-1.7621889,2.3305333,2.7436516,5.0079713,5.009284,1.6646919,-2.3226962,2.5483294,5.368212,0.7600201,0.6447712,0.91850597,1.321994,1.6470152,1.9448339,2.2382395,2.503835,2.68235,0.8250227,0.19325356,0.0,0.0
4.173127e-14,0.0028323939,-27.169363,7.052952,-2.41507,3.9615726,3.4102075,6.92214,-0.0554142,-8.342242,-3.8481483,7.3891034,4.828034,1.186469,0.64426416,0.921858,1.3041106,1.6488074,1.9444438,2.2457392,2.5057259,2.6768322,0.79993963,0.1977753,0.0,0.0
0.0,0.0,-25.600769,6.7261376,-0.608597,6.930387,1.6244797,4.158076,-4.594484,-11.838203,-4.5142007,7.4994445,6.1076164,1.9999317,0.6359511,0.9280122,1.299203,1.6506134,1.9619616,2.2461436,2.5048468,2.6710765,0.77969176,0.18011717,0.0,0.0
4.173127e-14,0.0028323939,-24.217463,5.600256,-2.4364238,5.5069013,1.6751375,2.8150718,-9.329242,-8.424278,-5.6773396,5.0143795,5.4973273,5.656469,0.6105401,0.9398671,1.2957964,1.6523067,1.9799002,2.2540038,2.5062943,2.667394,0.7654881,0.1600329,0.0,0.0
4.173127e-14,0.0028323939,-21.164774,4.6719966,-2.7548475,3.8784459,0.59679896,4.884619,-8.179565,-0.90007883,-10.1181555,2.0830228,3.2622654,3.947038,0.5747621,0.9493489,1.2981957,1.6611644,1.9793626,2.2550774,2.5019436,2.6706784,0.7071623,0.19119854,0.0,0.0
8.3466444e-14,0.0056648664,-16.472883,5.753938,-5.402922,1.7779474,-0.025160631,3.8022556,-7.152931,0.67027426,-10.774299,-0.5851607,-0.3998991,0.6818647,0.52344674,0.94971657,1.2848874,1.6691142,1.9673136,2.2494788,2.4856963,2.6868713,0.60954976,0.30190858,0.0,0.0
1.2520162e-13,0.006319607,-12.156933,6.0549417,-5.6817784,3.6241596,-1.7432517,1.6432981,-4.3028207,-3.5048838,-8.957172,-2.111518,-6.476746,-1.2312576,0.46859455,0.9323334,1.275394,1.6678973,1.9520588,2.2410805,2.472259,2.7001657,0.4753702,0.43428627,0.0,0.0
2.0866808e-13,0.009806742,-9.774884,4.404824,-6.291777,2.6249,-3.3487475,-0.38254395,-1.1068463,-7.347201,-5.2611833,-5.428768,-10.584144,-2.3308868,0.4105928,0.89433235,1.2659773,1.6407951,1.9526399,2.2435558,2.4710162,2.6969318,0.3605319,0.54532313,132.43243,33.10811
3.7559314e-13,0.011564632,-8.693234,0.29711977,-8.56117,2.8606284,-2.2527535,-1.5469111,-1.8873677,-9.718936,-7.8396287,-11.352633,-13.730021,-6.0262127,0.3621715,0.8435817,1.257815,1.6191133,1.9575902,2.2569425,2.47665,2.683985,0.2925355,0.60398513,240.17407,84.874596
2.921267e-13,0.008077498,-7.1414046,-3.5172586,-12.071042,3.571441,-0.10923437,-3.113758,-3.096716,-3.660136,-10.045474,-14.062154,-12.686236,-10.231006,0.31407556,0.7935422,1.2396098,1.6060553,1.9629532,2.2607262,2.47968,2.6755104,0.24750681,0.6004836,318.6342,143.3145
2.921267e-13,0.008077498,-6.0324445,-8.194945,-14.15385,5.104027,2.7289875,-2.9865391,-5.3520927,2.3313525,-9.227675,-17.017649,-12.811473,-8.695516,0.2921844,0.7349681,1.2042121,1.599058,1.9609891,2.2477462,2.4808166,2.6795597,0.23028105,0.53883636,186.20174,168.64627
1.2519772e-13,0.006319528,-6.050747,-11.531315,-12.189995,4.606048,3.5724115,-3.341172,-5.392906,8.591724,-5.1432385,-14.08376,-12.207835,-3.9292974,0.28329006,0.6770358,1.1648715,1.585236,1.9547914,2.229108,2.4844162,2.683279,0.197945,0.47368369,78.4601,175.31966
1.2519772e-13,0.006319528,-5.280643,-13.027005,-8.911877,2.23336,5.863701,-0.6469956,-3.7073004,10.458713,-1.5114894,-10.221146,-11.654328,-2.3031147,0.27815458,0.6118744,1.1204878,1.5566168,1.94404,2.2184436,2.4871316,2.6840985,0.1725597,0.4324392,0.0,175.31966
1.2519772e-13,0.006319528,-3.964324,-14.566795,-8.607634,1.517713,8.568875,2.6041884,-4.6713758,6.6875205,-3.7658596,-5.2871237,-9.567711,-1.53861,0.26171884,0.5608961,1.0904927,1.531664,1.9246639,2.2278433,2.4885013,2.6852608,0.14687216,0.43753335,0.0,175.31966
2.6292146e-12,0.013209227,-1.8790236,-16.024126,-9.591468,1.3580128,8.287094,5.575569,-7.479584,5.790899,-2.1716137,-7.40842,-8.083961,-3.6668243,0.24531238,0.51361954,1.0743452,1.5069908,1.9052925,2.244355,2.4920342,2.685891,0.1233001,0.44327244,0.0,175.31966
2.9630803e-12,0.018494735,-0.92871743,-19.664497,-10.915732,2.7613077,9.90731,6.3204246,-9.720848,5.0417123,-3.7927349,-7.529819,-4.98094,-5.3242154,0.23584835,0.46687087,1.0762995,1.5057446,1.8913298,2.248409,2.4892142,2.680705,0.11060744,0.5092165,0.0,175.31966
2.9630803e-12,0.018494735,-0.47716865,-23.311594,-11.822658,2.7621768,8.726425,5.485384,-10.240422,9.726692,-4.6108623,-13.023709,-7.0949135,-10.322131,0.23160054,0.42633268,1.0694283,1.5098296,1.881731,2.2371607,2.4805331,2.6797018,0.10093684,0.54195094,0.0,175.31966
4.173322e-13,0.008772642,-0.03193019,-24.84858,-11.300355,2.6942692,10.916721,5.134577,-8.930186,7.497682,-5.544974,-12.734016,-9.322019,-11.207131,0.22945726,0.4045469,1.0407068,1.5003439,1.8607622,2.2035635,2.4587977,2.7002296,0.09307948,0.53450286,0.0,175.31966
1.6693289e-13,0.0069742687,0.14118958,-24.25928,-10.467116,2.5408096,7.595369,5.3159776,-10.4660425,5.252069,-2.1752255,-13.843852,-9.645965,-11.847282,0.23024674,0.4010161,1.0027124,1.4680752,1.8449472,2.1631842,2.4365385,2.734718,0.081897855,0.50025827,0.0,175.31966
1.1267833e-12,0.01092657,-0.0100227,-23.719938,-11.307724,2.3370545,3.5809278,5.8316154,-11.182546,0.44639722,0.21124156,-16.849514,-9.887344,-8.578317,0.2269423,0.3966609,0.9721468,1.4457526,1.8366092,2.1290944,2.4253027,2.759209,0.07766697,0.4829178,0.0,175.31966
2.4622466e-12,0.0189379,0.47091267,-23.914537,-12.442815,0.85682625,4.635665,7.422918,-9.732366,3.1232288,4.936505,-16.572208,-8.88873,-6.5597615,0.2227353,0.38963318,0.9472974,1.4491283,1.8385061,2.118333,2.4433067,2.7503335,0.07676035,0.4847319,0.0,175.31966
2.9213218e-12,0.021565042,0.57439876,-25.144424,-12.312884,-1.499558,4.222456,8.521204,-9.865218,3.038882,0.8829482,-16.223452,-10.194407,-5.23923,0.21829915,0.38838133,0.92130965,1.4581667,1.8254737,2.1259186,2.476426,2.7234442,0.077062555,0.45724,0.0,175.31966
2.629203e-12,0.020866873,0.40390158,-23.839514,-9.187523,-5.669316,4.5350127,10.381435,-7.1694818,2.762227,-4.818222,-11.605062,-8.440978,-6.971419,0.23036392,0.41356122,0.8572585,1.434137,1.8061029,2.1282682,2.5026426,2.6995637,0.0695074,0.4487723,0.0,175.31966
1.3772062e-12,0.016342677,-0.27168953,-21.037378,-3.1837127,-7.1794667,3.437132,6.5394435,-8.494052,-0.21521612,-13.127395,-10.370019,-5.432875,-10.422952,0.24293077,0.43729457,0.79688597,1.3780975,1.7805673,2.1237288,2.504666,2.69123,0.06376549,0.490685,0.0,175.31966
7.595447e-12,0.023260495,0.009044647,-19.680267,1.0908333,-5.581597,6.081778,2.465304,-6.145869,0.046740532,-13.968541,-13.507165,-6.5152836,-12.628087,0.25329572,0.44495896,0.7457573,1.3148292,1.7592398,2.116953,2.4939384,2.6916258,0.054094892,0.49701038,0.0,175.31966
1.1017516e-11,0.027795305,1.5262051,-19.593363,3.2778187,-2.815963,9.285026,-0.7687128,-7.9493527,3.3735533,-6.1336174,-10.643609,-4.1189375,-10.203607,0.24185912,0.42905924,0.74613905,1.2771841,1.7356564,2.106756,2.459328,2.6977012,0.046237532,0.53212893,0.0,175.31966
1.4481349e-11,0.03504768,2.594794,-20.102198,-1.7533447,-6.450951,2.8284657,-3.555642,-10.639741,2.7478206,0.11938556,-5.4405646,3.0754654,-3.0800602,0.22247489,0.42368963,0.76539904,1.267475,1.7110549,2.0891256,2.4096262,2.7071993,0.039589,0.5781111,131.25002,193.5222
7.804033e-12,0.02550272,2.7300463,-18.192001,-5.2531962,-9.980662,-5.513285,-5.659775,-12.99945,2.9129245,9.735805,3.7902572,11.180397,4.697021,0.19754334,0.42467543,0.78731036,1.2721682,1.6900935,2.062722,2.3530102,2.7252285,0.035358116,0.61950225,233.625,218.15788
2.654211e-11,0.033021122,3.1246746,-15.779441,-9.233928,-13.587837,-11.114728,-6.9610233,-14.348512,3.0311382,13.204803,5.5636706,15.5301485,6.4784985,0.18502967,0.42858437,0.8066872,1.2654151,1.6698209,2.0380738,2.3184264,2.7350378,0.03203385,0.5650613,308.85666,240.83257
2.4664203e-11,0.030847704,3.1778507,-14.739297,-10.042704,-10.702832,-11.241664,-5.743879,-13.937825,1.0802592,12.899772,1.1708378,7.0314574,1.9904089,0.18234158,0.42542562,0.81667995,1.233146,1.6515337,2.020699,2.2987173,2.739362,0.02931399,0.46335173,177.60667,245.30473
3.301099e-10,0.06824245,2.574053,-14.146136,-11.716189,-11.659419,-7.186188,0.7919442,-14.075681,2.0830863,14.245231,-2.6815042,1.7868977,-0.5186708,0.19657235,0.42684737,0.81205004,1.1848484,1.6093725,2.00649,2.2891037,2.7342079,0.032940466,0.3669522,75.231674,243.34377
3.750149e-10,0.07547446,-0.11774286,-15.420895,-11.586041,-11.571195,-7.448364,3.4172125,-13.430325,-1.2699274,14.184979,-4.0203967,-2.8935726,-4.6500545,0.2120899,0.43129316,0.7997637,1.1402472,1.552234,1.9997435,2.2749803,2.7343452,0.040797826,0.33680263,0.0,243.34377
3.787709e-10,0.07910793,-2.7255857,-17.360975,-13.584808,-13.47334,-2.499876,11.456433,-11.588122,2.731741,21.40899,-4.693633,-1.3824968,-4.879111,0.22635342,0.43737307,0.7811311,1.1108009,1.50063,1.9879522,2.2606404,2.7244008,0.046237532,0.30914855,0.0,243.34377
7.3909524e-11,0.04473336,-3.9980795,-17.840044,-14.091217,-12.131451,2.386583,12.528064,-9.185288,2.965273,19.68998,-7.4102483,-0.40332016,-4.1507564,0.23094888,0.44234666,0.77513665,1.0967325,1.4716226,1.977923,2.2424595,2.7155712,0.047144156,0.33141866,0.0,243.34377
7.804189e-12,0.027336532,-5.033979,-17.704643,-15.92204,-11.052211,7.818546,10.608646,-6.9605117,2.2277622,20.50675,-10.769788,-0.44907203,1.0451444,0.22934425,0.4503987,0.7816594,1.0848665,1.4623028,1.9596237,2.2304525,2.7022507,0.043215472,0.35266146,0.0,243.34377
6.5521846e-12,0.026413135,-4.8364506,-16.248713,-15.092064,-9.145672,9.411435,7.925546,-4.216497,-0.055623133,17.686934,-11.471432,-2.622577,5.205171,0.23355572,0.45732865,0.79493666,1.0846587,1.4552879,1.9395648,2.2275288,2.7074,0.042611063,0.35630932,0.0,243.34377
3.6015812e-11,0.04031008,-5.228376,-16.261206,-13.400028,-7.3912816,7.6167064,7.4976006,-4.234726,-1.6877884,17.313557,-13.260871,-4.000748,6.5984197,0.23942906,0.4581555,0.8187254,1.0857533,1.4329742,1.9047638,2.212326,2.7081442,0.045028713,0.3557725,0.0,243.34377
3.9020648e-11,0.043377683,-6.1822314,-16.322453,-13.717814,-6.3758435,3.1054668,9.961488,-5.465263,3.3729327,16.87861,-12.657295,-2.5818555,11.689464,0.24950148,0.45712462,0.8319176,1.0875813,1.4059318,1.860385,2.1821353,2.7003124,0.051375035,0.37136474,0.0,243.34377
