pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-8.297983,7.36527,-4.33153,3.5542505,-3.9943578,2.8567162,-0.9869278,0.44002572,-0.58253306,0.1281767,0.15481652,0.53563505,0.65467846,0.9347734,1.2922336,1.5846173,1.9146347,2.2125661,2.5296857,2.8326795,0.9954669,0.39581716,0.0,0.0
0.0,0.0,-10.910408,9.391378,-4.3237023,1.9630331,-2.4409878,2.3676324,-1.2753215,0.72681135,-0.6025769,0.14325373,-0.013495803,0.6576229,0.6407946,0.9180927,1.2741017,1.5674238,1.8995818,2.2006054,2.521365,2.8284347,0.9951647,0.3915539,0.0,0.0
0.0,0.0,-13.919049,11.555786,-4.0828195,0.15835612,-1.0065812,2.1199696,-1.5538449,0.7871373,-0.53247595,0.319002,-0.32759196,0.702817,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9957691,0.31040084,0.0,0.0
0.0,0.0,-8.751076,8.706481,-4.9013667,1.571055,-1.125026,2.1494637,-2.2025814,0.99867916,-0.0395432,0.13896044,-0.58314526,0.53190976,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9963735,0.24520873,0.0,0.0
0.0,0.0,-10.581261,7.95643,-2.5936434,1.6606674,-3.3545485,2.4872568,-0.13411474,-0.0031203032,-0.68722075,-0.8958948,2.827678,-1.5197328,0.620668,0.91849285,1.2624786,1.556106,1.8865566,2.207775,2.5071158,2.7818909,0.9906316,0.16655736,0.0,0.0
0.0,0.0,-14.737981,4.585942,-2.564772,3.9685242,-2.348736,3.100092,1.5041256,-2.8987224,-3.1225364,0.14690685,4.368362,-2.751068,0.61179906,0.9253053,1.2787625,1.5730062,1.8967599,2.2117348,2.4933212,2.7326546,0.97340584,0.17721932,0.0,0.0
0.0,0.0,-22.574142,4.464384,-0.5907802,2.8229182,-0.7402583,2.9638462,5.749876,-1.6871228,-4.5360413,0.23739319,7.236357,-1.6448845,0.59296393,0.9343912,1.2920176,1.5944881,1.9083894,2.2178195,2.4858215,2.6852026,0.9199154,0.24547291,0.0,0.0
0.0,0.0,-22.870768,6.5293603,2.7483828,4.913143,1.1050552,3.5998394,7.488945,0.11451856,-3.7273388,4.0062423,1.24259,-1.5847511,0.5840374,0.91920584,1.3088257,1.6121883,1.9274516,2.2200918,2.4840746,2.6801786,0.83741313,0.3190744,0.0,0.0
0.0,0.0,-21.625559,10.703832,8.287463,7.0617776,-0.045962792,1.7768755,8.0148535,6.763021,3.2665741,2.4110594,0.27288222,-3.0226767,0.5751195,0.91806203,1.3121122,1.6183041,1.9371864,2.2436876,2.4937136,2.6897857,0.74010277,0.3560389,0.0,0.0
0.0,0.0,-19.637312,15.270661,11.282556,9.412368,-3.7182071,3.181441,3.4534943,6.27453,4.2010303,-2.0161726,-2.0737865,-2.4203403,0.58291763,0.9284473,1.3100373,1.6078562,1.9353627,2.257078,2.492918,2.6974735,0.7162285,0.29034612,0.0,0.0
