pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-27.945597,3.3143413,-0.0929656,2.4734342,2.713665,3.9110138,-4.5336223,1.189785,0.47749814,-4.206387,-0.7363198,2.5012474,0.62195843,0.91196346,1.3136162,1.6169561,1.9418982,2.2467573,2.514986,2.757941,0.9456029,0.11845213,0.0,0.0
0.0,0.0,-27.94161,4.2694864,-0.7148711,3.918986,3.1635191,1.4372588,-4.6176057,0.28761163,0.52810663,-1.7546506,-0.70728654,2.1129053,0.62805074,0.91800755,1.3165436,1.6219789,1.9373735,2.2395012,2.5129766,2.7602322,0.94409186,0.11848285,0.0,0.0
0.0,0.0,-28.137932,3.467779,-1.2456708,6.6637635,2.5784957,0.1486427,-4.1538606,-0.3322517,-0.5692095,-0.25202617,0.2926245,2.0576475,0.6201132,0.9232243,1.30806,1.6285495,1.9285997,2.2301705,2.5078952,2.761636,0.94409186,0.11976207,0.0,0.0
0.0,0.0,-27.489054,4.2955375,1.1347363,8.456615,-1.5113554,-3.9568985,-0.870969,1.6244097,-0.22407795,-0.9721532,-1.874554,5.0017,0.6139056,0.9249974,1.2920823,1.6339201,1.9193054,2.2285426,2.4921372,2.7649887,0.950136,0.1317761,0.0,0.0
0.0,0.0,-25.287437,4.087608,2.0944395,7.575909,-3.134716,-2.905613,-0.75930595,3.049195,-0.5330592,-1.4654036,-1.2502004,3.4318047,0.6005884,0.9211443,1.2829847,1.623556,1.9079052,2.2239158,2.482202,2.7780774,0.96433973,0.14715855,0.0,0.0
0.0,0.0,-22.107048,5.7253966,1.8463463,5.99926,-4.443586,-1.473279,-1.2082857,3.1736362,-0.33012456,0.077134885,-2.1400003,2.0429654,0.59741026,0.9085641,1.2889143,1.6085434,1.9024988,2.2145517,2.471407,2.7817917,0.9767301,0.15308808,0.0,0.0
0.0,0.0,-21.492407,5.0396886,-0.42344126,4.5326223,-2.1278598,0.93347305,0.12789376,1.0920142,-2.3351126,-1.5877008,1.6339887,0.4278663,0.6080613,0.915078,1.2846981,1.5922233,1.9007679,2.207883,2.4824364,2.7634869,0.97763675,0.1539687,0.0,0.0
0.0,0.0,-22.963823,5.616628,-3.454149,4.9712367,-2.0084267,0.68646,-0.21531956,-0.7097103,-1.942893,1.5905733,2.72914,2.2786891,0.607649,0.91763264,1.2693319,1.5865105,1.9002172,2.2031615,2.4913151,2.7426786,0.97008157,0.14712484,0.0,0.0
0.0,0.0,-24.715422,4.5319285,-3.6108916,3.6342793,-0.49841452,-0.11861532,1.4838023,-1.7089243,-1.6906813,3.8727748,1.4966875,2.3729508,0.6190186,0.9336366,1.254902,1.5808634,1.9091362,2.2074306,2.5061815,2.7273083,0.9582955,0.1472139,0.0,0.0
0.0,0.0,-25.08941,3.3394315,-4.1255507,2.544877,-2.4195478,-0.80500674,-0.6061661,0.55686146,3.0262554,7.7431374,-0.9195401,1.4415436,0.5937555,0.9214886,1.2526039,1.5725231,1.9270283,2.223581,2.503877,2.7211573,0.9422786,0.17887972,0.0,0.0
