pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
3.6308315e-12,0.021849861,-21.293621,-7.615378,-18.789656,-14.429372,-9.449046,6.40846,6.4076686,9.931556,15.902206,14.983432,9.687521,7.9617934,0.37753037,0.69014835,1.0471231,1.3405489,1.7013007,1.9753453,2.35051,2.5768006,0.10637655,0.61207587,151.5464,37.8866
2.6291874e-12,0.019846724,-16.82393,-12.835856,-23.728708,-19.529627,-9.148316,7.2294936,7.2219415,8.506222,12.146354,13.348538,7.466044,1.4120107,0.28214094,0.5868867,0.9614324,1.2437901,1.5723566,1.8464236,2.1617596,2.4570465,0.10003022,0.5975873,306.35184,105.00291
6.0587986e-08,0.21107851,-9.81331,-17.395792,-26.014948,-22.686888,-7.9772377,9.990677,8.357621,6.66645,6.9471893,12.566554,6.673359,-3.6915026,0.18127835,0.45483384,0.8490549,1.1309743,1.4455415,1.7166344,1.9985126,2.4250214,0.078875795,0.5740666,462.135,194.28593
2.0516762e-07,0.46593437,-6.2176967,-18.522179,-26.654198,-26.022087,-7.6288056,14.682456,9.915604,5.302748,5.2627187,15.339747,6.577404,-1.1009288,0.1728437,0.4220817,0.8244795,1.1088516,1.4407653,1.7157382,2.045046,2.51778,0.050770625,0.54698426,310.58862,245.68237
2.4676095e-07,0.63784313,-5.267665,-16.936865,-24.76796,-26.17643,-7.531107,16.097363,10.583359,3.3113184,5.6916566,16.20775,8.378062,0.19855976,0.17331116,0.42081842,0.8074729,1.0941997,1.4390078,1.703774,2.0694945,2.5932453,0.037171353,0.478489,155.78317,267.8491
2.060396e-07,0.58101803,-6.39986,-14.766643,-24.499634,-28.764101,-8.168744,14.76503,8.677072,1.0792333,8.384784,14.428494,6.696577,1.7523804,0.18354797,0.4541503,0.8208893,1.1051344,1.4286963,1.6988674,2.059347,2.56367,0.038984593,0.37680903,0.0,267.8491
6.61243e-08,0.41418183,-7.4337025,-6.9882035,-16.128326,-24.058905,-6.703542,12.382846,4.2342744,-1.5182105,2.9899428,8.542923,8.691173,0.67235976,0.2118647,0.49687567,0.8224829,1.1081172,1.3863133,1.6815405,1.984425,2.4130833,0.041704442,0.35678628,0.0,267.8491
3.1000802e-08,0.33781016,-6.0101733,1.4385506,-5.530287,-18.220013,-6.1421475,9.353286,-0.2230467,0.5297219,-0.27447608,1.931888,6.6011777,-2.8062904,0.22887678,0.5264059,0.8184619,1.1012822,1.3408097,1.6452999,1.9340788,2.2362306,0.040797826,0.41263953,0.0,267.8491
4.5381262e-07,0.55771923,-5.109587,8.011608,5.096803,-7.08808,-0.21050231,9.512759,0.5564019,5.5249267,0.554547,-3.2178166,8.795323,-5.8995376,0.2353258,0.5516897,0.80143064,1.0978295,1.3014606,1.6286134,1.8840464,2.1415834,0.03656694,0.5924833,0.0,267.8491
4.7497966e-07,0.61986977,-2.9784458,7.891373,8.631561,-0.313699,4.5337143,10.157669,1.9430146,9.068894,5.355868,-8.298518,9.790069,-4.5916963,0.21493559,0.5479683,0.7723942,1.0933322,1.2903751,1.6045579,1.8675665,2.1140287,0.025385313,0.67804,0.0,267.8491
