pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-22.3206,7.0151267,2.466605,3.0261848,-4.531597,-1.2718021,2.951233,2.7814415,-4.7477007,1.427003,-1.7555925,1.7992439,0.60733324,0.8728142,1.287784,1.6034461,1.903612,2.1909864,2.4998343,2.770272,0.9860985,0.20268844,0.0,0.0
0.0,0.0,-20.660044,9.287007,1.0650364,1.2284284,-4.33786,1.437027,1.9147239,-0.45480418,-1.903121,2.0184703,-2.2718906,1.7445799,0.61363196,0.8868086,1.2820197,1.5949575,1.8951727,2.1945195,2.4941833,2.7730093,0.9870052,0.19381116,0.0,0.0
0.0,0.0,-19.59893,11.2224455,0.09635529,-0.65920466,-4.81507,4.989504,2.2203074,-6.205189,2.448591,1.5004245,-2.36773,1.8657627,0.61935514,0.91313285,1.2772486,1.5808281,1.8865644,2.1995442,2.4877386,2.7559214,0.98851615,0.2001925,0.0,0.0
0.0,0.0,-18.258898,11.474322,-1.3983253,0.12769525,-4.17891,4.2853026,1.0496148,-3.8651264,1.546938,0.9276557,-1.9466786,1.5320358,0.6241105,0.92755765,1.2806507,1.5707079,1.8829631,2.2168436,2.482529,2.7437923,0.98912066,0.17922574,0.0,0.0
0.0,0.0,-18.90486,11.410064,-1.1367778,-0.1239773,-2.9214687,2.8409736,0.41587827,-1.7398725,0.50900704,0.65894216,-1.7852802,1.5640205,0.62468475,0.9386098,1.2723398,1.546933,1.8833408,2.2217104,2.4923046,2.7560532,0.99032944,0.23035185,0.0,0.0
0.0,0.0,-15.855865,11.312083,-3.3405564,0.821467,-0.82897854,0.74475336,-1.9949684,2.8393996,-1.7032174,1.0636545,-1.5531906,1.2636815,0.6259779,0.9254909,1.2630343,1.5374641,1.8838915,2.2149131,2.5028372,2.797641,0.9915382,0.21181513,0.0,0.0
0.0,0.0,-15.849807,11.540466,-2.7129257,-0.4016219,-0.8106596,1.3391829,-1.2502829,1.4575263,-1.034213,0.36076972,-0.54625016,0.9791775,0.60847634,0.9031698,1.2708793,1.5595804,1.8924265,2.195444,2.4990752,2.7966022,0.99335146,0.19761263,0.0,0.0
0.0,0.0,-15.748528,9.116585,-2.1765804,2.1434262,-2.0410745,0.9666155,-1.7966204,2.5861042,-1.1615089,-1.1920239,0.8019683,1.6623157,0.5966417,0.90428233,1.285936,1.5804647,1.8933989,2.2020671,2.4899414,2.771333,0.98791176,0.1495134,0.0,0.0
0.0,0.0,-20.710476,6.2673554,0.17425142,5.4452286,-3.7251518,0.716638,-3.134148,3.967785,-1.7565566,-1.7749724,2.3658345,2.4486134,0.5854168,0.920914,1.2990109,1.5893298,1.8942146,2.219369,2.4815018,2.7362347,0.9812632,0.1413797,0.0,0.0
0.0,0.0,-22.091017,5.124124,-0.054562252,7.6214643,-3.6083248,0.09056,-4.2415814,4.040326,-1.2991475,-0.8230818,2.1018403,1.9472929,0.5966546,0.9481945,1.2915914,1.5796,1.8914992,2.2462637,2.491471,2.7196722,0.96917504,0.13785265,0.0,0.0
