pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.2102732e-12,0.016685292,-26.723984,7.073494,1.7783628,17.88665,12.760742,14.970528,15.155429,22.333849,19.857527,20.013212,11.171978,10.669272,0.3691574,0.9820908,1.2507204,1.5604011,1.9564505,2.2204468,2.3303473,2.7576866,0.0,0.9415862,148.48485,37.121212
1.2102732e-12,0.01668529,-26.398994,9.374822,1.8042778,14.819032,9.933353,18.873133,14.956566,21.238678,20.173626,20.029884,10.672287,12.711926,0.3691574,0.9872739,1.2461114,1.5612144,1.9543484,2.2176561,2.3252869,2.7596214,0.0,0.94224405,290.78284,100.53662
1.2102732e-12,0.01668529,-26.21218,10.929337,1.5140325,13.211772,7.964184,21.440298,17.610258,20.128069,18.807138,17.001978,10.151649,16.082449,0.3652482,0.999424,1.2436478,1.5654584,1.9453131,2.2143364,2.322625,2.7546818,0.0,0.9425494,431.22476,183.20866
8.7640355e-13,0.015161456,-25.671951,10.370125,1.1649853,14.994163,5.8086357,24.540201,15.427245,19.734423,17.934174,17.086046,12.918469,17.134102,0.36065713,1.0123829,1.2483784,1.5819187,1.943079,2.21503,2.321375,2.7450676,0.0,0.94139284,435.8955,246.38037
8.7640355e-13,0.015161456,-25.765417,8.593564,2.7080219,17.56042,4.791481,23.743185,17.767935,19.57432,14.46317,16.358147,15.138313,14.794345,0.35292256,1.0173253,1.2571408,1.6064707,1.9369249,2.2172859,2.3222024,2.7375553,0.0,0.94115186,419.45877,289.65
8.7640355e-13,0.015161456,-26.055,8.48022,4.555164,16.811373,4.1255107,23.874098,16.670652,17.55231,12.81553,20.370565,19.10647,13.221494,0.35363308,1.0066336,1.2597561,1.6156136,1.9359633,2.2148788,2.3186445,2.7398627,0.0,0.94159955,388.3579,314.32697
1.0015974e-12,0.015856523,-25.700134,9.614391,3.7058744,13.949807,7.4453983,20.291178,18.06407,13.827184,11.96256,20.160223,19.48072,12.530678,0.35895142,0.98705536,1.2618082,1.6147866,1.9306496,2.2166152,2.3185227,2.7382233,0.0,0.94092613,355.5582,324.63477
1.2102732e-12,0.016685292,-26.32607,10.089538,3.9708679,13.966567,8.825513,18.081251,17.27064,13.8420105,15.628395,20.540932,16.108591,15.235263,0.37064037,0.9772665,1.2590846,1.6002865,1.923535,2.2195072,2.3199084,2.7365468,0.0,0.93920183,342.3423,329.0616
1.4189296e-12,0.017513992,-26.684729,10.213294,3.843715,16.163607,9.858516,17.42253,16.67212,14.936676,14.485318,19.405008,15.222079,16.732965,0.3772172,0.98509246,1.2558395,1.6016616,1.919096,2.2260277,2.3240566,2.7299137,0.0,0.93733937,345.64658,333.20786
1.4189296e-12,0.017513994,-27.482092,10.080272,4.718208,19.402168,9.806034,17.376617,13.696376,17.704287,18.485392,22.113855,9.393281,16.97363,0.37512347,1.0009902,1.253499,1.6063422,1.9174066,2.2231052,2.3264,2.725765,0.0,0.9393665,336.24826,333.96796
1.2102537e-12,0.016685227,-27.38415,10.361175,4.3646073,20.016844,10.980377,17.894232,13.190188,14.612035,16.701149,24.763948,10.530507,14.833461,0.37208733,1.0072473,1.2460229,1.616588,1.9182582,2.217509,2.3247256,2.7292159,0.0,0.93989974,349.8129,337.9292
1.0015974e-12,0.015856523,-27.155996,10.5428915,3.5832815,21.047853,10.958463,17.199875,13.921641,15.632848,18.58593,20.53081,7.42135,16.221092,0.36920175,1.0048021,1.2421556,1.6207508,1.9238005,2.2165005,2.3223314,2.7306738,0.0,0.9395058,379.88608,348.41843
1.0015974e-12,0.015856523,-27.025217,11.229274,3.504366,20.345333,11.266728,18.371523,14.939683,15.312375,16.818384,14.197335,11.024876,17.94684,0.36693633,1.0035421,1.2410399,1.6200947,1.9277948,2.2203853,2.3197873,2.7339532,0.0,0.9386539,392.7877,359.51074
1.2102537e-12,0.016685225,-26.89415,10.980701,3.8413467,19.76753,11.583107,17.293169,13.835004,18.795713,16.699274,8.838096,13.132405,21.373224,0.36295447,0.99889356,1.246568,1.6237091,1.936958,2.2257812,2.3215683,2.7135231,0.0,0.9369603,372.7273,362.81485
1.627586e-12,0.018140985,-26.918383,9.484208,5.4324164,19.72061,10.78484,17.50985,11.1816225,19.917776,18.179304,11.465117,15.039411,18.728285,0.35936442,1.0008246,1.2567457,1.6275105,1.9399542,2.224138,2.3198826,2.7042046,0.0,0.9328745,360.22104,362.1664
1.8362618e-12,0.018969752,-27.618484,8.556919,6.5266094,20.267748,9.232527,18.566154,12.396294,19.421957,18.848991,13.210327,13.892639,20.093752,0.3651986,0.9982155,1.254113,1.6253616,1.9402453,2.2214687,2.3133354,2.6988218,0.0,0.9296229,366.18515,363.17114
1.6276055e-12,0.01814105,-28.250067,8.575505,6.6433787,21.718737,8.608257,19.957848,14.433063,16.713734,17.936625,13.471242,14.314361,21.181086,0.37109423,1.0042826,1.2464777,1.6189986,1.9354874,2.217902,2.3020833,2.715521,0.0,0.9318547,387.53882,369.26306
1.4189492e-12,0.01751406,-28.06402,9.431565,4.822264,19.16692,11.001793,22.827719,15.0350065,14.156507,17.587196,14.333037,13.180191,19.822529,0.37737727,0.9948821,1.2387053,1.6055855,1.9233332,2.2163923,2.2938797,2.7243192,0.0,0.9368639,403.62793,377.85425
