pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.2520552e-13,0.008497419,-24.50382,7.8550363,-0.6321415,15.857544,8.476911,15.504932,6.1840496,11.203259,13.056847,13.620332,7.9782295,14.624283,0.47702205,0.9609375,1.2219939,1.5990839,1.9100409,2.2108622,2.36781,2.820364,0.0,0.9018006,108.888885,27.222221
1.6693679e-13,0.00915208,-24.176836,7.0012608,-0.73986083,15.171852,6.80607,16.439041,10.983464,13.786778,10.709716,11.589971,8.043751,10.478723,0.4806591,0.964427,1.2350063,1.5975285,1.9246849,2.205053,2.368385,2.813793,0.0006044122,0.88797045,233.33333,78.75
2.0866808e-13,0.009806742,-24.779757,7.075865,-1.6964391,14.864868,9.124938,15.469203,14.657738,15.077344,6.089977,9.38482,8.81631,9.249405,0.48976412,0.9640034,1.2542082,1.5972096,1.9476033,2.203282,2.37336,2.7978585,0.0018132366,0.8638125,374.00644,152.5641
2.5039934e-13,0.010461402,-24.876793,5.550883,-2.0054994,13.987564,8.609892,12.074929,15.84523,16.901436,6.5211806,13.04744,12.1284,5.616656,0.5174899,0.95879483,1.2659578,1.604813,1.9565226,2.2053127,2.3652258,2.7896812,0.004835298,0.83751816,398.61108,214.07587
2.5039934e-13,0.010461402,-25.847986,6.8807473,-1.6209483,12.91196,8.582675,9.492633,12.918923,16.26616,11.366313,14.328273,12.373542,8.75494,0.53573126,0.9569538,1.2783009,1.6149954,1.965737,2.2072518,2.3622181,2.7740507,0.008461771,0.8172851,377.3718,254.89986
2.0866415e-13,0.009806663,-25.827612,6.0815654,-0.5191045,10.927926,8.218754,10.431123,11.860473,14.785489,13.207901,16.477348,13.29201,10.638031,0.55396485,0.96140736,1.2840844,1.6160396,1.9630195,2.2020247,2.3513126,2.7615693,0.012692656,0.8096513,317.46796,270.54187
2.0866418e-13,0.009806662,-26.565561,6.2770214,-0.22168963,11.859851,10.166911,11.217725,7.625321,14.849357,14.288632,13.447976,11.301711,13.849625,0.5511256,0.96303326,1.2824765,1.6100353,1.9630283,2.2001498,2.346799,2.7458546,0.013297069,0.8219619,275.65457,271.82007
1.6692898e-13,0.009151922,-25.996435,6.3321595,-0.8730212,10.754349,11.544098,12.739486,7.4263167,14.97141,9.170837,15.9073305,13.772133,12.090716,0.54162127,0.96196795,1.2754129,1.6037035,1.9468551,2.1999311,2.3503268,2.7424362,0.01087942,0.840565,280.72183,274.0455
1.6692898e-13,0.009151922,-25.538092,5.8980737,-1.0818486,12.437915,11.805942,11.945946,7.989084,15.111832,8.909135,15.676117,14.344045,9.28083,0.52805156,0.9582698,1.272431,1.6040916,1.9462384,2.2057488,2.360445,2.747364,0.008461771,0.84409714,311.87085,283.50183
1.6692898e-13,0.009151922,-25.446142,5.290915,-1.8664331,12.148061,13.073724,13.522954,11.478723,12.631394,5.582438,12.816779,15.328935,12.683177,0.52788866,0.9547487,1.2695624,1.6060508,1.9505396,2.206754,2.3659735,2.7490346,0.012088244,0.82856804,332.6564,295.7905
1.2519772e-13,0.006319528,-26.511183,3.4100285,-2.3648574,15.835055,15.399574,15.668431,10.574878,8.225655,6.035649,9.782003,11.207519,17.012136,0.53307575,0.9545867,1.2631361,1.6046562,1.9614897,2.2025707,2.3646328,2.7545168,0.017830161,0.8193192,362.67758,312.51224
1.6693289e-13,0.0069742687,-26.977041,2.6667178,-2.2468388,15.843353,14.0664835,18.052114,8.425247,7.7317977,8.945679,7.7328324,9.728424,16.953821,0.5393899,0.9553816,1.2566578,1.6008877,1.9679589,2.192442,2.3598292,2.7633114,0.022967665,0.81195456,403.58737,335.281
1.2519772e-13,0.006319528,-26.524437,4.057319,-2.5263433,12.077015,11.527679,16.849741,7.4433684,12.189069,14.558189,9.066113,8.457866,8.907011,0.5388801,0.95444566,1.259214,1.5963992,1.9709549,2.1830795,2.3648825,2.773978,0.02326987,0.79528517,427.0934,358.23413
2.0866418e-13,0.009806662,-24.39125,5.0859036,-2.0582263,9.299909,10.504973,15.575848,4.4845777,13.840188,12.656883,9.833236,9.422935,3.8170297,0.5397654,0.954185,1.2649204,1.5927625,1.978291,2.184807,2.3644416,2.778104,0.057419162,0.7229552,406.75708,370.36487
3.3385802e-13,0.010909892,-21.80066,7.093325,-1.0647651,10.453944,11.934829,15.26234,3.7630966,11.97707,7.0018964,8.617286,3.8592672,1.4799322,0.5260904,0.9454486,1.2599891,1.59754,1.9669622,2.189821,2.357715,2.7759745,0.11242067,0.63711524,359.37173,367.6166
5.007987e-13,0.012667938,-19.357674,9.022161,3.205384,13.558728,14.609436,15.829198,2.5761073,5.260092,-1.8596774,5.2592163,1.019677,2.3578508,0.5104423,0.93681115,1.2467579,1.5926118,1.955204,2.1937783,2.3447597,2.777993,0.20368691,0.5730889,223.3999,361.29565
4.590635e-13,0.012013198,-18.304253,9.029322,4.3778434,17.09951,16.224909,15.885648,4.001304,3.2676716,-4.4891033,2.4592676,1.7427298,1.4542533,0.49434987,0.92086035,1.2349492,1.5797657,1.9309613,2.1937315,2.3396447,2.7734783,0.24508913,0.57474715,249.56038,363.09506
3.3386968e-13,0.01090997,-19.119993,7.9468904,2.6366184,16.484388,13.920663,12.69287,6.6346755,2.2627687,-3.4378793,4.99764,8.053523,-0.51016456,0.51226926,0.90940857,1.2313484,1.548542,1.9018027,2.1965816,2.3371818,2.761216,0.29042006,0.57869035,264.2157,368.1085
3.3386968e-13,0.010909968,-20.931063,6.732722,-0.9396377,16.270386,13.940843,10.214648,7.2060127,2.9258873,-1.8450627,7.0490365,10.874593,-2.6537678,0.53599423,0.8914523,1.2285695,1.5179744,1.8671812,2.1940918,2.3306367,2.750831,0.27198547,0.52379197,359.37027,365.92392
5.008104e-13,0.012668016,-21.811996,6.9015403,-1.9343109,11.412833,11.781658,4.547118,5.882403,-0.939707,-4.254337,7.44298,8.084348,-1.4699794,0.56336504,0.8623393,1.2176826,1.4906893,1.8349929,2.1826952,2.3173335,2.7461185,0.2973708,0.4768313,215.25264,357.44324
6.260042e-13,0.013771244,-22.966867,7.1210275,-0.13969326,8.897061,13.673598,2.5179112,3.3508081,-4.2333684,-9.713933,3.834842,3.3402293,4.415428,0.5614303,0.8278815,1.1975149,1.4684854,1.8065726,2.161321,2.30799,2.752371,0.2617105,0.5005954,95.1546,350.24527
7.51198e-13,0.014466312,-23.341345,4.545155,1.1987436,9.447032,16.490381,-2.1020255,0.049280513,0.82825786,-5.775234,6.4686623,7.2963614,10.140371,0.54033846,0.7933104,1.1708938,1.4553179,1.7891351,2.149621,2.304201,2.7500992,0.24962223,0.5273239,0.0,350.24527
6.2599253e-13,0.0133630065,-23.702188,1.8049673,2.7810993,13.84967,22.809958,1.1413971,-0.8261301,4.825933,-1.6520509,4.6356206,10.362355,9.395106,0.49781957,0.7695027,1.1452546,1.4474277,1.7816137,2.1509416,2.309696,2.7405777,0.1931097,0.5336092,0.0,350.24527
6.260042e-13,0.013363083,-22.082762,-1.9560219,2.5043044,17.456572,24.35082,2.6732833,-3.0133483,9.772072,3.7973855,9.451855,13.366254,5.8563404,0.43540993,0.74924606,1.1246529,1.4432836,1.785708,2.168761,2.313713,2.7281306,0.18071926,0.4858613,0.0,350.24527
1.7110991e-12,0.016235998,-16.3746,-3.3276749,0.021443209,15.938671,14.267966,-1.75868,-6.5504785,7.447027,-3.4458725,4.2320695,4.8844233,1.6929584,0.37713528,0.7310875,1.115768,1.4344679,1.786846,2.1854017,2.318575,2.7266853,0.16168027,0.5334951,0.0,350.24527
1.6276326e-12,0.0127488645,-10.906246,-4.7581935,-4.759725,10.161399,5.155968,-6.050368,-6.750604,9.725765,-5.9935055,2.022794,-0.94950485,0.08018812,0.32113746,0.7001489,1.1180081,1.4191126,1.7916484,2.1940176,2.3179042,2.743481,0.1483832,0.52179533,0.0,350.24527
1.7528265e-12,0.013443932,-5.8389783,-7.2109184,-8.37656,4.691233,-1.014434,-3.8948028,-4.335741,12.36866,-5.3204427,-3.0596278,-4.2226567,-2.8526392,0.2879021,0.6476572,1.1185335,1.4035692,1.7944981,2.1883144,2.3172214,2.7609746,0.13055304,0.45439804,0.0,350.24527
4.173322e-13,0.008772642,-4.293892,-10.989338,-8.023492,1.7335421,1.3556403,6.1268296,1.8926207,15.290196,5.9229817,-1.869558,-3.4003003,-5.947351,0.26518607,0.5911279,1.1062256,1.3951049,1.7929338,2.1875517,2.3177946,2.7655566,0.10788759,0.37830213,0.0,350.24527
8.3468004e-13,0.014424153,-3.5840652,-13.271118,-5.0885615,5.57571,4.429143,12.922138,7.952623,16.622938,13.6706085,1.789424,-0.74942684,-6.063765,0.25969616,0.5472641,1.0773307,1.3986117,1.7913446,2.188357,2.3193586,2.755454,0.0936839,0.30338985,0.0,350.24527
1.8362774e-12,0.017149976,-3.7439559,-13.185677,-2.8111641,6.9936624,7.0448112,16.070833,3.7941554,11.552582,12.053451,0.41503063,-2.4047704,-8.066532,0.26185358,0.53574926,1.0454534,1.3899827,1.777614,2.1846974,2.3219779,2.7422316,0.07948021,0.291423,0.0,350.24527
1.9197517e-12,0.017956069,-5.4699244,-12.600037,-2.4815862,10.119664,10.441974,24.56278,5.533093,7.8127503,9.223809,-2.1195676,-2.887355,-11.500607,0.2729988,0.5389707,1.0221215,1.36827,1.7474836,2.1685598,2.3209622,2.7411587,0.080689035,0.26330206,0.0,350.24527
