pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-26.563772,1.433918,1.8820873,7.290776,1.4152256,-1.0702089,-5.081555,-0.58746964,1.587933,0.71988803,-0.54407245,5.032631,0.58911794,0.9175022,1.3100482,1.5986181,1.942965,2.227872,2.4824047,2.7477562,0.95406467,0.1192627,0.0,0.0
0.0,0.0,-25.947378,2.4708827,2.977165,6.024561,0.34742275,-1.6411535,-3.623944,-0.7142778,2.19303,0.2944052,0.16396856,2.6591098,0.5906761,0.9094811,1.3089913,1.5987841,1.9406015,2.2169287,2.4732769,2.766449,0.96010876,0.12809622,0.0,0.0
0.0,0.0,-24.968779,3.7829218,4.477896,2.9256518,-0.23927648,-0.54709244,-2.9985335,-0.79771703,2.0184557,-0.22660287,1.260187,2.355898,0.59669656,0.90248436,1.303726,1.5949568,1.9267545,2.2053673,2.471468,2.788606,0.9694772,0.15952682,0.0,0.0
0.0,0.0,-23.86293,5.711311,2.1452525,5.0556154,-1.2947817,-4.5966763,0.39036298,3.1898606,-1.0461079,-3.6577244,4.530049,1.8727194,0.59969085,0.8985266,1.3043456,1.5895902,1.9090658,2.211101,2.4652936,2.7804108,0.9743125,0.18037963,0.0,0.0
0.0,0.0,-22.681898,5.832931,-0.8958067,7.1127915,-0.34807417,-5.690216,1.0591818,3.3509452,-1.95041,-3.8078654,3.6631756,4.02367,0.6032601,0.9210369,1.2986084,1.5747128,1.9003763,2.2316172,2.4810765,2.759683,0.9712904,0.17652147,0.0,0.0
0.0,0.0,-22.377554,3.8943727,-5.282987,8.932766,-1.8122476,-6.3605895,3.0206413,7.3332,-1.6072512,-1.0985093,-0.4195013,-0.097296715,0.59678155,0.94928235,1.2892121,1.5621506,1.9082599,2.256177,2.4933887,2.735732,0.9625265,0.14522393,0.0,0.0
0.0,0.0,-22.766771,3.3125546,-5.7519937,5.803249,-2.259257,0.8826778,-0.43040356,3.706953,1.5258206,1.925416,-2.0005827,-1.8964963,0.59482676,0.96851236,1.2794491,1.5624202,1.9316875,2.2652342,2.5155754,2.7219381,0.9474161,0.1641254,0.0,0.0
0.0,0.0,-23.414938,3.8377926,-3.0491288,4.872936,-2.1699123,0.40983072,-2.9789867,3.45206,3.2864606,2.8409357,-2.2033026,-2.3106327,0.5904227,0.95785475,1.2799412,1.5730957,1.9398336,2.2652323,2.5088546,2.7095194,0.9011786,0.23551343,0.0,0.0
0.0,0.0,-22.860344,6.7672677,1.2061356,7.6680474,-0.765732,-0.6834891,-6.393192,-5.0046897,2.4068365,2.459817,2.4299362,0.6592954,0.58935,0.9441723,1.2932377,1.5850443,1.9475737,2.2604878,2.4960954,2.6916997,0.84285283,0.2724072,0.0,0.0
4.1735173e-14,0.002832473,-21.300993,7.336909,4.3906054,9.932309,-0.58021,-1.6136965,-5.2788186,-6.7009206,-1.4976892,6.483835,6.8603263,5.141338,0.57877034,0.93821,1.2985812,1.5974641,1.9478823,2.2637227,2.4916618,2.6700885,0.74584466,0.3254221,0.0,0.0
